"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00190768","1891-01","42.35","-71.066667","5.2","BOSTON, MA US","8",",6","6",",6","3",",6","1",",6","","","18910125",",,6","","","18910102",",,6","114",",,6,25,","36.6",",,6,02,","155.1",",,,6","122",",,,6"
"USC00190768","1891-02","42.35","-71.066667","5.2","BOSTON, MA US","11","1,6","10","1,6","1","1,6","","","","","","","","","18910226",",1,6","","","31.8","1,,6,26,","133.9","1,,,6","",""
"USC00190768","1891-03","42.35","-71.066667","5.2","BOSTON, MA US","4",",6","4",",6","2",",6","1",",6","","","18910304",",,6","","","18910322",",,6","279",",,6,04,","54.9",",,6,22,","135.9",",,,6","279",",,,6"
"USC00190768","1891-04","42.35","-71.066667","5.2","BOSTON, MA US","4",",6","4",",6","1",",6","","","","","","","","","18910403",",,6","","","36.6",",,6,03,","64.3",",,,6","",""
"USC00190768","1891-05","42.35","-71.066667","5.2","BOSTON, MA US","2",",6","2",",6","2",",6","","","","","","","","","18910530",",,6","","","36.1",",,6,30,","68.4",",,,6","",""
"USC00190768","1891-06","42.35","-71.066667","5.2","BOSTON, MA US","3",",6","3",",6","2",",6","","","","","","","","","18910622",",,6","","","34.5",",,6,22,","72.6",",,,6","",""
"USC00190768","1891-07","42.35","-71.066667","5.2","BOSTON, MA US","5",",6","5",",6","0",",6","","","","","","","","","18910708",",,6","","","20.3",",,6,08,","80.8",",,,6","",""
"USC00190768","1891-08","42.35","-71.066667","5.2","BOSTON, MA US","9",",6","9",",6","1",",6","","","","","","","","","18910828",",,6","","","29.0",",,6,28,","95.1",",,,6","",""
"USC00190768","1891-09","42.35","-71.066667","5.2","BOSTON, MA US","2",",6","2",",6","1",",6","","","","","","","","","18910906",",,6","","","36.6",",,6,06,","40.2",",,,6","",""
"USC00190768","1891-11","42.35","-71.066667","5.2","BOSTON, MA US","5",",6","4",",6","1",",6","","","","","","","","","18911127",",,6","","","38.6",",,6,27,","67.3",",,,6","",""
"USC00190768","1891-12","42.35","-71.066667","5.2","BOSTON, MA US","7",",6","7",",6","1",",6","","","","","","","","","18911230",",,6","","","36.6",",,6,30,","93.0",",,,6","",""
"USC00190768","1893-01","42.35","-71.066667","5.2","BOSTON, MA US","7",",6","4",",6","1",",6","3",",6","","","18930106",",,6","","","18930102",",,6","203",",,6,06,","25.9",",,6,02,","52.9",",,,6","404",",,,6"
"USC00190768","1893-02","42.35","-71.066667","5.2","BOSTON, MA US","11",",6","9",",6","3",",6","7",",6","","","18930218",",,6","","","18930223",",,6","356",",,6,18,","44.5",",,6,23,","179.5",",,,6","852",",,,6"
"USC00190768","1893-03","42.35","-71.066667","5.2","BOSTON, MA US","7",",6","3",",6","1",",6","1",",6","","","18930304",",,6","","","18930310",",,6","38",",,6,04,","35.3",",,6,10,","63.6",",,,6","38",",,,6"
"USC00190768","1893-04","42.35","-71.066667","5.2","BOSTON, MA US","10",",6","5",",6","0",",6","2",",6","","","18930407",",,6","","","18930415",",,6","102",",,6,07,","22.4",",,6,15,","74.0",",,,6","178",",,,6"
"USC00190768","1893-05","42.35","-71.066667","5.2","BOSTON, MA US","8",",6","5",",6","2",",6","","","","","","","","","18930504",",,6","","","71.1",",,6,04,","137.7",",,,6","",""
"USC00190768","1893-06","42.35","-71.066667","5.2","BOSTON, MA US","6",",6","3",",6","1",",6","","","","","","","","","18930624",",,6","","","42.7",",,6,24,","67.1",",,,6","",""
"USC00190768","1893-07","42.35","-71.066667","5.2","BOSTON, MA US","5",",6","5",",6","0",",6","","","","","","","","","18930722",",,6","","","13.7",",,6,22,","42.7",",,,6","",""
"USC00190768","1893-08","42.35","-71.066667","5.2","BOSTON, MA US","6",",6","6",",6","3",",6","","","","","","","","","18930805",",,6","","","60.5",",,6,05,","178.2",",,,6","",""
"USC00190768","1893-09","42.35","-71.066667","5.2","BOSTON, MA US","7",",6","5",",6","0",",6","","","","","","","","","18930916",",,6","","","15.0",",,6,16,","39.1",",,,6","",""
"USC00190768","1893-10","42.35","-71.066667","5.2","BOSTON, MA US","4",",6","4",",6","2",",6","","","","","","","","","18931024",",,6","","","54.9",",,6,24,","88.9",",,,6","",""
"USC00190768","1893-11","42.35","-71.066667","5.2","BOSTON, MA US","4",",6","4",",6","0",",6","","","","","","","","","18931105",",,6","","","23.1",",,6,05,","60.4",",,,6","",""
"USC00190768","1893-12","42.35","-71.066667","5.2","BOSTON, MA US","8",",6","7",",6","2",",6","3",",6","","","18931206",",,6","","","18931217",",,6","152",",,6,06,","41.7",",,6,17,","122.7",",,,6","317",",,,6"
"USC00190768","1894-01","42.35","-71.066667","5.2","BOSTON, MA US","","","","","","","4",",6","","","18940127",",,6","","","","","203",",,6,27,","","","","","419",",,,6"
