"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00440755","1869-02","37.416667","-75.866667","12.2","BIRDSNEST, VA US","7",",F","7",",F","0",",F","","","","","","","","","","","","","18690223","+,,F","","","","","17.8",",,F,23,+","","","76.3",",,,F","","","",""
"USC00440755","1869-03","37.416667","-75.866667","12.2","BIRDSNEST, VA US","10",",F","7",",F","0",",F","","","","","","","","","","","","","18690330","+,,F","","","","","15.2",",,F,30,+","","","71.2",",,,F","","","",""
"USC00440755","1869-04","37.416667","-75.866667","12.2","BIRDSNEST, VA US","2",",F","2",",F","1",",F","","","","","","","","","","","","","18690412",",,F","","","","","25.4",",,F,12,","","","27.9",",,,F","","","",""
"USC00440755","1869-05","37.416667","-75.866667","12.2","BIRDSNEST, VA US","10",",F","9",",F","1",",F","","","","","","","","","","","","","18690513",",,F","","","","","38.1",",,F,13,","","","120.8",",,,F","","","",""
"USC00440755","1869-06","37.416667","-75.866667","12.2","BIRDSNEST, VA US","10",",F","6",",F","1",",F","","","","","","","","","","","","","18690615",",,F","","","","","57.2",",,F,15,","","","94.1",",,,F","","","",""
"USC00440755","1869-07","37.416667","-75.866667","12.2","BIRDSNEST, VA US","9",",F","6",",F","2",",F","","","","","","","","","","","","","18690730",",,F","","","","","31.8",",,F,30,","","","97.9",",,,F","","","",""
"USC00440755","1869-08","37.416667","-75.866667","12.2","BIRDSNEST, VA US","3",",F","1",",F","0",",F","","","","","","","","","","","","","18690802",",,F","","","","","2.5",",,F,02,","","","5.1",",,,F","","","",""
"USC00440755","1869-09","37.416667","-75.866667","12.2","BIRDSNEST, VA US","3",",F","1",",F","1",",F","","","","","","","","","","","","","18690928",",,F","","","","","50.8",",,F,28,","","","53.4",",,,F","","","",""
"USC00440755","1869-10","37.416667","-75.866667","12.2","BIRDSNEST, VA US","9",",F","9",",F","1",",F","","","","","","","","","","","","","18691004",",,F","","","","","26.7",",,F,04,","","","87.5",",,,F","","","",""
"USC00440755","1869-11","37.416667","-75.866667","12.2","BIRDSNEST, VA US","5",",F","2",",F","1",",F","","","","","","","","","","","","","18691120",",,F","","","","","38.1",",,F,20,","","","57.2",",,,F","","","",""
"USC00440755","1869-12","37.416667","-75.866667","12.2","BIRDSNEST, VA US","7",",F","5",",F","0",",F","","","","","","","","","","","","","18691226",",,F","","","","","20.3",",,F,26,","","","64.9",",,,F","","","",""
"USC00440755","1870-01","37.416667","-75.866667","12.2","BIRDSNEST, VA US","10",",F","8",",F","0",",F","","","","","","","","","","","","","18700125",",,F","","","","","15.2",",,F,25,","","","67.4",",,,F","","","",""
"USC00440755","1870-02","37.416667","-75.866667","12.2","BIRDSNEST, VA US","12",",F","10",",F","0",",F","","","","","","","","","","","","","18700216",",,F","","","","","20.3",",,F,16,","","","80.0",",,,F","","","",""
"USC00440755","1870-03","37.416667","-75.866667","12.2","BIRDSNEST, VA US","6",",F","5",",F","1",",F","","","","","","","","","","","","","18700307",",,F","","","","","43.2",",,F,07,","","","82.6",",,,F","","","",""
"USC00440755","1870-04","37.416667","-75.866667","12.2","BIRDSNEST, VA US","10",",F","10",",F","0",",F","","","","","","","","","","","","","18700401",",,F","","","","","15.2",",,F,01,","","","76.1",",,,F","","","",""
