"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003026","1997-06","39.24148","-102.28192","1278.2","BURLINGTON CARSON AIRPORT, CO US","","","","","66.1","1,M","","","","","","","0","1,M","0","1,M","0","1,M","26","1,M","7","1,M","","","","","19970604",",1,M","","","","","19970630",",1,M","9.4","1,M,04,","","","36.7","1,M,30,","","","15.5","1,M","","","20.08","1,M","27.41","1,,,M","12.74","1,,,M","","","","","","","","","",""
"USW00003026","1997-08","39.24148","-102.28192","1278.2","BURLINGTON CARSON AIRPORT, CO US","","","","","102.9",",M","","","","","","","0",",M","0",",M","0",",M","28",",M","9",",M","","","","","19970819","+,,M","","","","","19970828","+,,M","11.7",",M,19,+","","","33.3",",M,28,+","","","7.7",",M","","","21.40",",M","28.41",",,,M","14.39",",,,M","","","","","","","","","",""
"USW00003026","1997-09","39.24148","-102.28192","1278.2","BURLINGTON CARSON AIRPORT, CO US","","","","","56.7","2,M","","","","","","","0","2,M","0","2,M","0","2,M","23","2,M","5","2,M","","","","","19970928",",2,M","","","","","19970918",",2,M","4.4","2,M,28,","","","35.0","2,M,18,","","","49.0","2,M","","","18.61","2,M","26.24","2,,,M","10.98","2,,,M","","","","","","","","","",""
"USW00003026","1997-10","39.24148","-102.28192","1278.2","BURLINGTON CARSON AIRPORT, CO US","","","","","11.7","1,M","","","","","","","0","1,M","10","1,M","2","1,M","11","1,M","1","1,M","","","","","19971026",",1,M","","","","","19971002",",1,M","-13.3","1,M,26,","","","33.3","1,M,02,","","","259.2","1,M","","","10.08","1,M","17.69","1,,,M","2.47","1,,,M","","","","","","","","","",""
"USW00003026","1997-11","39.24148","-102.28192","1278.2","BURLINGTON CARSON AIRPORT, CO US","","","","","0.0",",M","","","","","","","0",",M","27",",M","6",",M","0",",M","0",",M","","","","","19971115",",,M","","","","","19971125",",,M","-13.9",",M,15,","","","20.0",",M,25,","","","496.8",",M","","","1.77",",M","8.23",",,,M","-4.69",",,,M","","","","","","","","","",""
"USW00003026","1997-12","39.24148","-102.28192","1278.2","BURLINGTON CARSON AIRPORT, CO US","","","","","0.0",",M","","","","","","","0",",M","31",",M","11",",M","0",",M","0",",M","","","","","19971212",",,M","","","","","19971217",",,M","-14.4",",M,12,","","","10.0",",M,17,","","","639.6",",M","","","-2.30",",M","1.88",",,,M","-6.48",",,,M","","","","","","","","","",""
"USW00003026","1998-01","39.24148","-102.28192","1278.2","BURLINGTON CARSON AIRPORT, CO US","","","0.0","W","0.0",",M","","","","","","","0",",M","30",",M","4",",M","0",",M","0",",M","","","","","19980112",",,M","","","","","19980127",",,M","-13.9",",M,12,","","","15.0",",M,27,","","","570.3",",M","","","-0.06",",M","6.34",",,,M","-6.46",",,,M","","","","","","","","","",""
"USW00003026","1998-02","39.24148","-102.28192","1278.2","BURLINGTON CARSON AIRPORT, CO US","","","0.0","W","0.0",",M","","","","","","","0",",M","26",",M","2",",M","0",",M","0",",M","","","","","19980226","+,,M","","","","","19980224",",,M","-6.7",",M,26,+","","","17.8",",M,24,","","","460.0",",M","","","1.91",",M","7.37",",,,M","-3.56",",,,M","","","","","","","","","",""
"USW00003026","1998-03","39.24148","-102.28192","1278.2","BURLINGTON CARSON AIRPORT, CO US","","","0.0","W","0.0",",M","","","","","","","1",",M","25",",M","6",",M","3",",M","0",",M","","","","","19980311",",,M","","","","","19980325",",,M","-18.3",",M,11,","","","28.3",",M,25,","","","490.4",",M","","","2.51",",M","10.25",",,,M","-5.23",",,,M","","","","","","","","","",""
"USW00003026","1998-04","39.24148","-102.28192","1278.2","BURLINGTON CARSON AIRPORT, CO US","6.2",",W","0.0","W","0.0",",W","3",",W","1",",W","0",",W","0",",W","18",",W","0",",W","5",",W","0",",W","","","","","19980417",",,W","","","19980402",",,W","19980424",",,W","-7.2",",W,17,","6.1",",,W,02,","30.6",",W,24,","","","311.7",",W","7.9",",,,W","7.94",",W","16.16",",,,W","-0.27",",,,W","","","200",",W","210",",W","19.2",",W","23.2",",W"
