"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00025708","1916-08","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","4",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19160828",",,6","","","","","","","","","11.7",",,6,28,","","","","","","","34.5",",,,6","","","","","","","",""
"USC00025708","1916-09","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","5",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","19160908",",,6","","","","","","","","","30.5",",,6,08,","","","","","","","66.1",",,,6","","","","","","","",""
"USC00025708","1916-10","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","5",",6","4",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","19161014",",,6","","","19161005",",,6","","","","","","","0",",T,6,14,","68.1",",,6,05,","","","","","","","88.4",",,,6","0",",T,,6","","","","","",""
"USC00025708","1917-05","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","4","4,6","4","4,6","0","4,6","","","0",",6","","","","","","","","","","","","","","","","","19170529","+,,6","","","19170525","+,4,6","","","","","","","0",",T,6,29,+","8.9","4,,6,25,+","","","","","","","30.5","4,,,6","0",",T,,6","","","","","",""
"USC00025708","1917-06","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19170630","+,,6","","","","","","","","","0.0",",,6,30,+","","","","","","","0.0",",,,6","","","","","","","",""
"USC00025708","1917-07","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","8",",6","7",",6","2",",6","","","","","","","","","","","","","","","","","","","","","","","","","19170725",",,6","","","","","","","","","33.0",",,6,25,","","","","","","","113.3",",,,6","","","","","","","",""
"USC00025708","1917-08","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","5",",6","3",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","19170812",",,6","","","","","","","","","25.4",",,6,12,","","","","","","","54.4",",,,6","","","","","","","",""
"USC00025708","1917-09","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","4",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","19170921",",,6","","","","","","","","","37.3",",,6,21,","","","","","","","46.1",",,,6","","","","","","","",""
"USC00025708","1918-05","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","0.0",",6","2",",6","0",",6","0",",6","","","0",",6","0",",6","6",",6","0",",6","2",",6","0",",6","","","19180529",",,6","","","19180531","+,,6","","","19180504",",,6","19180513",",,6","-4.4",",6,29,","","","0",",,6,31,+","1.5",",,6,04,","22.2",",6,13,","","","283.3",",6","2.5",",,,6","0",",,,6","9.19",",6","15.91",",,,6","2.48",",,,6"
"USC00025708","1918-06","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","18.6",",6","10",",6","5",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","22",",6","0",",6","","","19180602",",,6","","","19180630","+,,6","","","19180614",",,6","19180612",",,6","3.3",",6,02,","","","0",",,6,30,+","15.2",",,6,14,","31.1",",6,12,","","","54.0",",6","43.5",",,,6","0",",,,6","17.15",",6","24.31",",,,6","10.00",",,,6"
"USC00025708","1918-07","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","","","","","","","","","0",",6","","","","","","","","","","","","","","","","","19180731","+,,6","","","","","","","","","","","0",",,6,31,+","","","","","","","","","","","0",",,,6","","","","","",""
"USC00025708","1919-05","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","8",",6","2",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","19190531","+,,6","","","19190523",",,6","","","","","","","0",",,6,31,+","24.1",",,6,23,","","","","","","","40.8",",,,6","0",",,,6","","","","","",""
"USC00025708","1919-06","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","0",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","19190630","+,,6","","","19190630","+,,6","","","","","","","0",",,6,30,+","0.0",",T,6,30,+","","","","","","","0.0",",T,,6","0",",,,6","","","","","",""
"USC00025708","1919-07","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","13.4","2,6","19",",6","16",",6","2",",6","","","","","0","2,6","0","2,6","0","2,6","27","2,6","0","2,6","","","19190730",",2,6","","","","","","","19190715",",,6","19190727","+,2,6","8.3","2,6,30,","","","","","29.7",",,6,15,","28.9","2,6,27,+","9.9","","9.9","2,6","170.7",",,,6","","","18.46","2,6","25.42","2,,,6","11.49","2,,,6"
"USC00025708","1919-08","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","10",",6","5",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","19190831","+,,6","","","19190828",",,6","","","","","","","0",",,6,31,+","33.0",",,6,28,","","","","","","","72.9",",,,6","0",",,,6","","","","","",""
"USC00025708","1919-09","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","0.6","2,6","10",",6","5",",6","0",",6","","","0",",6","0","2,6","0","2,6","0","2,6","17","2,6","0","2,6","","","19190928","+,2,6","","","19190930","+,,6","","","19190901",",,6","19190904",",2,6","2.8","2,6,28,+","","","0",",,6,30,+","24.1",",,6,01,","27.2","2,6,04,","","","104.8","2,6","58.6",",,,6","0",",,,6","14.61","2,6","21.70","2,,,6","7.52","2,,,6"
