"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00033230","1948-06","35.46667","-92.05","267.9","HEBER SPRINGS 3 SSW, AR US","10",",0","9",",0","3",",0","","","19480623",",,0","35.6",",,0,23,","132.5",",,,0"
"USC00033230","1948-07","35.46667","-92.05","267.9","HEBER SPRINGS 3 SSW, AR US","4",",0","3",",0","1",",0","","","19480713",",,0","27.4",",,0,13,","36.3",",,,0"
"USC00033230","1948-08","35.46667","-92.05","267.9","HEBER SPRINGS 3 SSW, AR US","8",",0","7",",0","1",",0","","","19480815",",,0","41.9",",,0,15,","98.4",",,,0"
"USC00033230","1948-09","35.46667","-92.05","267.9","HEBER SPRINGS 3 SSW, AR US","3",",0","2",",0","0",",0","","","19480928","+,,0","9.4",",,0,28,+","20.1",",,,0"
"USC00033230","1948-10","35.46667","-92.05","267.9","HEBER SPRINGS 3 SSW, AR US","6",",0","4",",0","1",",0","","","19481030",",,0","36.3",",,0,30,","63.2",",,,0"
"USC00033230","1948-11","35.46667","-92.05","267.9","HEBER SPRINGS 3 SSW, AR US","12",",0","11",",0","1",",0","","","19481118",",,0","29.7",",,0,18,","141.4",",,,0"
"USC00033230","1949-01","35.46667","-92.05","267.9","HEBER SPRINGS 3 SSW, AR US","10",",0","10",",0","6",",0","2","","19490124",",,0","43.2",",,0,24,","229.2",",,,0"
"USC00033230","1949-02","35.46667","-92.05","267.9","HEBER SPRINGS 3 SSW, AR US","6",",0","5",",0","1",",0","1","","19490213",",,0","32.0",",,0,13,","76.3",",,,0"
"USC00033230","1949-03","35.46667","-92.05","267.9","HEBER SPRINGS 3 SSW, AR US","7",",0","6",",0","3",",0","6","","19490325",",,0","44.5",",,0,25,","153.6",",,,0"
"USC00033230","1949-04","35.46667","-92.05","267.9","HEBER SPRINGS 3 SSW, AR US","9",",0","7",",0","1",",0","1","","19490426",",,0","26.2",",,0,26,","61.7",",,,0"
"USC00033230","1949-05","35.46667","-92.05","267.9","HEBER SPRINGS 3 SSW, AR US","9",",0","9",",0","1",",0","10","","19490501",",,0","33.0",",,0,01,","106.6",",,,0"
"USC00033230","1949-06","35.46667","-92.05","267.9","HEBER SPRINGS 3 SSW, AR US","13",",0","12",",0","2",",0","11","","19490613",",,0","52.1",",,0,13,","195.7",",,,0"
"USC00033230","1949-07","35.46667","-92.05","267.9","HEBER SPRINGS 3 SSW, AR US","9",",0","8",",0","0",",0","","","19490703",",,0","21.3",",,0,03,","76.0",",,,0"
"USC00033230","1949-08","35.46667","-92.05","267.9","HEBER SPRINGS 3 SSW, AR US","7",",6","6",",6","1",",6","","","19490815",",,6","27.4",",,6,15,","60.6",",,,6"
"USC00033230","1949-09","35.46667","-92.05","267.9","HEBER SPRINGS 3 SSW, AR US","8",",0","6",",0","1",",0","","","19490906",",,0","38.1",",,0,06,","78.4",",,,0"
"USC00033230","1949-10","35.46667","-92.05","267.9","HEBER SPRINGS 3 SSW, AR US","10",",0","10",",0","6",",0","","","19491005",",,0","65.5",",,0,05,","303.9",",,,0"
