"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"IOW00070701","1972-01","-7.3","72.4","4.3","DIEGO GARCIA NAF, IO","","","","","275.3",",X","24",",X","17",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","1",",X","","","19720125","+,,X","19720131","+,,X","19720131","+,,X","","","19720108",",,X","19720117",",,X","23.3",",X,25,+","0",",,X,31,+","0",",,X,31,+","70.6",",,X,08,","33.3",",X,17,","0.0","X","0.0",",X","277.1",",,,X","0",",,,X","27.21",",X","29.66",",,,X","24.76",",,,X","","","300",",X","","","17.5",",X"
"IOW00070701","1972-02","-7.3","72.4","4.3","DIEGO GARCIA NAF, IO","","","","","257.9",",X","19",",X","15",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","29",",X","3",",X","","","19720225","+,,X","19720229","+,,X","19720229","+,,X","","","19720228",",,X","19720203",",,X","22.2",",X,25,+","0",",,X,29,+","0",",,X,29,+","96.3",",,X,28,","33.9",",X,03,","0.0","X","0.0",",X","435.5",",,,X","0",",,,X","27.23",",X","29.68",",,,X","24.77",",,,X","","","300",",X","","","21.1",",X"
"IOW00070701","1972-03","-7.3","72.4","4.3","DIEGO GARCIA NAF, IO","","","","","274.9",",X","21",",X","17",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","1",",X","","","19720307","+,,X","19720331","+,,X","19720331","+,,X","","","19720322",",,X","19720317",",,X","23.9",",X,07,+","0",",,X,31,+","0",",,X,31,+","70.6",",,X,22,","32.2",",X,17,","0.0","X","0.0",",X","267.2",",,,X","0",",,,X","27.20",",X","29.53",",,,X","24.87",",,,X","","","230",",X","","","13.4",",X"
"IOW00070701","1972-04","-7.3","72.4","4.3","DIEGO GARCIA NAF, IO","","","","","285.4",",X","20",",X","10",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","1",",X","","","19720415",",,X","19720430","+,,X","19720430","+,,X","","","19720404",",,X","19720411",",,X","23.9",",X,15,","0",",,X,30,+","0",",,X,30,+","22.4",",,X,04,","32.8",",X,11,","0.0","X","0.0",",X","124.6",",,,X","0",",,,X","27.85",",X","30.11",",,,X","25.58",",,,X","","","340",",X","","","13.4",",X"
"IOW00070701","1972-05","-7.3","72.4","4.3","DIEGO GARCIA NAF, IO","","","","","279.2",",X","12",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","19720517","+,,X","19720531","+,,X","19720531","+,,X","","","19720502",",,X","19720530","+,,X","23.3",",X,17,+","0",",,X,31,+","0",",,X,31,+","54.6",",,X,02,","30.6",",X,30,+","0.0","X","0.0",",X","87.8",",,,X","0",",,,X","27.34",",X","29.39",",,,X","25.28",",,,X","","","130",",X","","","11.8",",X"
"IOW00070701","1972-06","-7.3","72.4","4.3","DIEGO GARCIA NAF, IO","","","","","245.9",",X","21",",X","11",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","","","19720626","+,,X","19720630","+,,X","19720630","+,,X","","","19720625",",,X","19720606",",,X","23.9",",X,26,+","0",",,X,30,+","0",",,X,30,+","46.7",",,X,25,","30.0",",X,06,","0.0","X","0.0",",X","195.3",",,,X","0",",,,X","26.53",",X","27.91",",,,X","25.15",",,,X","","","100",",X","","","12.9",",X"
"IOW00070701","1972-07","-7.3","72.4","4.3","DIEGO GARCIA NAF, IO","","","239.5","X","239.5",",X","21",",X","3",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","19720731","+,,X","19720731","+,,X","19720731","+,,X","","","19720714",",,X","19720730","+,,X","22.8",",X,31,+","0",",,X,31,+","0",",,X,31,+","51.3",",,X,14,","28.3",",X,30,+","0.0","X","0.0",",X","119.3",",,,X","0",",,,X","26.06",",X","27.61",",,,X","24.50",",,,X","","","100",",X","","","14.4",",X"
"IOW00070701","1972-08","-7.3","72.4","4.3","DIEGO GARCIA NAF, IO","","","491.1","X","251.6",",X","18",",X","9",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","19720829",",,X","19720831","+,,X","19720831","+,,X","","","19720824",",,X","19720822",",,X","21.1",",X,29,","0",",,X,31,+","0",",,X,31,+","12.4",",,X,24,","30.0",",X,22,","0.0","X","0.0",",X","62.6",",,,X","0",",,,X","26.45",",X","28.24",",,,X","24.66",",,,X","","","100",",X","","","16.4",",X"
"IOW00070701","1972-09","-7.3","72.4","4.3","DIEGO GARCIA NAF, IO","","","733.8","X","242.7",",X","15",",X","7",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","","","19720918","+,,X","19720930","+,,X","19720930","+,,X","","","19720917",",,X","19720929","+,,X","23.3",",X,18,+","0",",,X,30,+","0",",,X,30,+","166.4",",,X,17,","28.9",",X,29,+","0.0","X","0.0",",X","262.8",",,,X","0",",,,X","26.42",",X","28.09",",,,X","24.76",",,,X","","","80",",X","","","16.4",",X"
"IOW00070701","1972-10","-7.3","72.4","4.3","DIEGO GARCIA NAF, IO","","","1007.8","X","274.0",",X","18",",X","15",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","19721022","+,,X","19721031","+,,X","19721031","+,,X","","","19721022",",,X","19721010",",,X","23.9",",X,22,+","0",",,X,31,+","0",",,X,31,+","65.0",",,X,22,","31.1",",X,10,","0.0","X","0.0",",X","236.8",",,,X","0",",,,X","27.17",",X","28.76",",,,X","25.58",",,,X","","","100",",X","","","15.9",",X"
