"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00043260","1906-03","37.016667","-119.683333","95.1","FRIANT, CA US","11",",6","10",",6","3",",6","","","","","","","","","","","","","","","","","","","19060315",",,6","","","","","","","41.4",",,6,15,","","","199.1",",,,6","","","","","",""
"USC00043260","1906-04","37.016667","-119.683333","95.1","FRIANT, CA US","3",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","19060427",",,6","","","","","","","13.0",",,6,27,","","","33.8",",,,6","","","","","",""
"USC00043260","1906-05","37.016667","-119.683333","95.1","FRIANT, CA US","4",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","19060527",",,6","","","","","","","25.4",",,6,27,","","","67.8",",,,6","","","","","",""
"USC00043260","1906-09","37.016667","-119.683333","95.1","FRIANT, CA US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00043260","1906-11","37.016667","-119.683333","95.1","FRIANT, CA US","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00043260","1906-12","37.016667","-119.683333","95.1","FRIANT, CA US","11",",6","10",",6","1",",6","","","","","","","","","","","","","1","","","","","","19061212",",,6","","","","","","","38.1",",,6,12,","","","126.2",",,,6","","","","","",""
"USC00043260","1907-01","37.016667","-119.683333","95.1","FRIANT, CA US","13",",6","11",",6","0",",6","","","","","","","","","","","","","","","","","","","19070105",",,6","","","","","","","20.8",",,6,05,","","","106.8",",,,6","","","","","",""
"USC00043260","1907-02","37.016667","-119.683333","95.1","FRIANT, CA US","5",",6","2",",6","0",",6","","","","","","","","","","","","","2","","","","","","19070222",",,6","","","","","","","14.2",",,6,22,","","","21.7",",,,6","","","","","",""
"USC00043260","1907-04","37.016667","-119.683333","95.1","FRIANT, CA US","5",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","19070415",",,6","","","","","","","12.7",",,6,15,","","","32.5",",,,6","","","","","",""
"USC00043260","1907-12","37.016667","-119.683333","95.1","FRIANT, CA US","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00043260","1908-01","37.016667","-119.683333","95.1","FRIANT, CA US","","","","","","","0",",6","","","","","","","","","","","5","","","","19080131","+,,6","","","","","","","0",",,6,31,+","","","","","","","0",",,,6","","","",""
"USC00043260","1908-03","37.016667","-119.683333","95.1","FRIANT, CA US","3",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","19080306",",,6","","","","","","","13.7",",,6,06,","","","24.4",",,,6","","","","","",""
"USC00043260","1908-04","37.016667","-119.683333","95.1","FRIANT, CA US","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","19080423",",,6","","","","","","","16.3",",,6,23,","","","21.9",",,,6","","","","","",""
"USC00043260","1908-05","37.016667","-119.683333","95.1","FRIANT, CA US","4",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","19080502",",,6","","","","","","","5.1",",,6,02,","","","13.3",",,,6","","","","","",""
"USC00043260","1908-09","37.016667","-119.683333","95.1","FRIANT, CA US","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","19080923",",,6","","","","","","","6.4",",,6,23,","","","6.4",",,,6","","","","","",""
"USC00043260","1908-11","37.016667","-119.683333","95.1","FRIANT, CA US","3",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","19081126",",,6","","","","","","","8.6",",,6,26,","","","22.8",",,,6","","","","","",""
"USC00043260","1908-12","37.016667","-119.683333","95.1","FRIANT, CA US","5",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","19081203",",,6","","","","","","","8.6",",,6,03,","","","24.8",",,,6","","","","","",""
"USC00043260","1909-03","37.016667","-119.683333","95.1","FRIANT, CA US","8",",6","8",",6","0",",6","","","","","","","","","","","","","","","","","","","19090307",",,6","","","","","","","11.7",",,6,07,","","","45.7",",,,6","","","","","",""
"USC00043260","1910-03","37.016667","-119.683333","95.1","FRIANT, CA US","","","","","","","","","","","","","0",",6","0",",6","0",",6","","","","","","","","","19100304","+,,6","","","","","","","12.8",",6,04,+","","","","","10.77",",,,6","",""
"USC00043260","1910-06","37.016667","-119.683333","95.1","FRIANT, CA US","","","","","","","","","0",",","0",",6","","","","","","","","","19100621",",,6","","","","","","","12.2",",6,21,","","","","","","","","","","","","","16.70",",,,6"
"USC00043260","1910-07","37.016667","-119.683333","95.1","FRIANT, CA US","","","","","","","","","0",",","0",",6","","","","","","","","","19100704",",,6","","","","","","","11.7",",6,04,","","","","","","","","","","","","","20.27",",,,6"
