"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00402202","1912-03","36.0148","-85.1313","551.7","CROSSVILLE EDUCATION AND RESEARCH STATION, TN US","","","0.3","1,0","12","5,0","10","5,0","3","5,0","0",",0","1",",0","0","1,0","14","1,0","0",",0","5",",0","0",",0","","","19120302",",1,0","19120331","+,,0","19120303",",,0","","","19120328",",5,0","19120330",",,0","-8.9","1,0,02,","0",",,0,31,+","284",",,0,03,","45.5","5,,0,28,","25.6",",0,30,","","","","","","","326.8",",0","","","","","","","","","","","","","","","197.3","5,,,0","284",",,,0","7.31","1,0","12.70",",,,0","1.92","1,,,0","",""
"USC00402202","1912-04","36.0148","-85.1313","551.7","CROSSVILLE EDUCATION AND RESEARCH STATION, TN US","","","3.6",",0","13",",0","11",",0","4",",0","0",",0","0",",0","0",",0","4",",0","0",",0","14",",0","0",",0","","","19120419","+,,0","19120430","+,,0","19120430","+,,0","","","19120427",",,0","19120427",",,0","0.0",",0,19,+","0",",,0,30,+","0",",,0,30,+","57.7",",,0,27,","25.6",",0,27,","","","","","","","121.1",",0","","","","","","","","","","","","","","","284.2",",,,0","0",",,,0","14.42",",0","20.21",",,,0","8.63",",,,0","",""
"USC00402202","1912-05","36.0148","-85.1313","551.7","CROSSVILLE EDUCATION AND RESEARCH STATION, TN US","","","41.7",",0","12",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","0",",0","","","19120518",",,0","19120531","+,,0","19120531","+,,0","","","19120529",",,0","19120527",",,0","3.3",",0,18,","0",",,0,31,+","0",",,0,31,+","48.0",",,0,29,","31.7",",0,27,","","","","","","","39.9",",0","","","","","","","","","","","","","","","105.5",",,,0","0",",,,0","18.39",",0","25.02",",,,0","11.76",",,,0","",""
"USC00402202","1912-06","36.0148","-85.1313","551.7","CROSSVILLE EDUCATION AND RESEARCH STATION, TN US","","","64.7",",0","13",",6","10",",6","1",",6","0","1,0","0","1,0","0",",0","0",",0","0",",0","29",",0","0",",0","","","19120610","+,,0","19120630","+,1,0","19120630","+,1,0","","","19120624",",,6","19120605",",,0","7.2",",0,10,+","0","1,,0,30,+","0","1,,0,30,+","37.6",",,6,24,","30.0",",0,05,","","","","","","","14.2",",0","","","","","","","","","","","","","","","134.2",",,,6","0","1,,,0","20.02",",0","26.17",",,,0","13.87",",,,0","",""
"USC00402202","1912-07","36.0148","-85.1313","551.7","CROSSVILLE EDUCATION AND RESEARCH STATION, TN US","","","147.1",",0","18",",6","11",",6","2",",6","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","","","19120727",",,0","19120731","+,,0","19120731","+,,0","","","19120723",",,6","19120714",",,0","12.2",",0,27,","0",",,0,31,+","0",",,0,31,+","38.4",",,6,23,","31.7",",0,14,","","","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","168.7",",,,6","0",",,,0","23.08",",0","28.36",",,,0","17.80",",,,0","",""
"USC00402202","1912-08","36.0148","-85.1313","551.7","CROSSVILLE EDUCATION AND RESEARCH STATION, TN US","","","115.2",",0","18",",0","12",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","","","19120805",",,0","19120831","+,,0","19120831","+,,0","","","19120816",",,0","19120831","+,,0","8.9",",0,05,","0",",,0,31,+","0",",,0,31,+","19.1",",,0,16,","31.1",",0,31,+","","","3.3","0","","","3.3",",0","","","","","","","","","","","","","","","103.6",",,,0","0",",,,0","21.94",",0","27.58",",,,0","16.31",",,,0","",""
"USC00402202","1912-09","36.0148","-85.1313","551.7","CROSSVILLE EDUCATION AND RESEARCH STATION, TN US","","","107.6",",0","6",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","4",",0","","","19120922",",,0","19120930","+,,0","19120930","+,,0","","","19120922",",,0","19120909",",,0","6.1",",0,22,","0",",,0,30,+","0",",,0,30,+","53.6",",,0,22,","32.8",",0,09,","","","17.7","0","","","14.4",",0","","","","","","","","","","","","","","","107.4",",,,0","0",",,,0","21.44",",0","28.61",",,,0","14.27",",,,0","",""
"USC00402202","1912-10","36.0148","-85.1313","551.7","CROSSVILLE EDUCATION AND RESEARCH STATION, TN US","","","8.1",",0","3",",0","3",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","17",",0","0",",0","","","19121027","+,,0","19121031","+,,0","19121031","+,,0","","","19121019",",,0","19121010","+,,0","-1.7",",0,27,+","0",",,0,31,+","0",",,0,31,+","13.0",",,0,19,","28.3",",0,10,+","","","138.8","0","","","121.1",",0","","","","","","","","","","","","","","","21.1",",,,0","0",",,,0","14.69",",0","21.96",",,,0","7.42",",,,0","",""
"USC00402202","1912-11","36.0148","-85.1313","551.7","CROSSVILLE EDUCATION AND RESEARCH STATION, TN US","","","0.0",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","3",",0","0",",0","","","19121128",",,0","19121130","+,,0","19121128",",,0","","","19121113",",,0","19121111",",,0","-9.4",",0,28,","0",",,0,30,+","18",",,0,28,","17.8",",,0,13,","22.8",",0,11,","","","483.4","0","","","344.6",",0","","","","","","","","","","","","","","","39.2",",,,0","23",",,,0","6.85",",0","13.50",",,,0","0.19",",,,0","",""
"USC00402202","1912-12","36.0148","-85.1313","551.7","CROSSVILLE EDUCATION AND RESEARCH STATION, TN US","","","0.0",",0","16",",0","8",",0","3",",0","0",",0","0",",0","0",",0","22",",0","0",",0","0",",0","0",",0","","","19121213",",,0","19121231","+,,0","19121224",",,0","","","19121205",",,0","19121205",",,0","-11.7",",0,13,","0",",,0,31,+","18",",,0,24,","47.5",",,0,05,","16.7",",0,05,","","","938.9","0","","","455.5",",0","","","","","","","","","","","","","","","174.8",",,,0","18",",,,0","3.64",",0","8.53",",,,0","-1.25",",,,0","",""
