"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES"
"NOE00133531","1970-09","60.5539","6.0256","514.0","KALDESTAD, NO","0",",","19700930","+,,E","0",",,E,30,+"
"NOE00133531","1970-10","60.5539","6.0256","514.0","KALDESTAD, NO","6",",","19701029",",,E","220",",,E,29,"
"NOE00133531","1970-11","60.5539","6.0256","514.0","KALDESTAD, NO","30",",","19701114",",,E","860",",,E,14,"
"NOE00133531","1970-12","60.5539","6.0256","514.0","KALDESTAD, NO","31",",","19701203",",,E","450",",,E,03,"
"NOE00133531","1971-01","60.5539","6.0256","514.0","KALDESTAD, NO","30",",","19710107",",,E","480",",,E,07,"
"NOE00133531","1971-02","60.5539","6.0256","514.0","KALDESTAD, NO","28",",","19710222",",,E","720",",,E,22,"
"NOE00133531","1971-03","60.5539","6.0256","514.0","KALDESTAD, NO","31",",","19710324",",,E","870",",,E,24,"
"NOE00133531","1971-04","60.5539","6.0256","514.0","KALDESTAD, NO","30",",","19710402","+,,E","830",",,E,02,+"
"NOE00133531","1971-05","60.5539","6.0256","514.0","KALDESTAD, NO","10",",","19710502","+,,E","360",",,E,02,+"
"NOE00133531","1971-06","60.5539","6.0256","514.0","KALDESTAD, NO","0",",","19710630","+,,E","0",",,E,30,+"
"NOE00133531","1971-07","60.5539","6.0256","514.0","KALDESTAD, NO","0",",","19710731","+,,E","0",",,E,31,+"
"NOE00133531","1971-08","60.5539","6.0256","514.0","KALDESTAD, NO","0",",","19710831","+,,E","0",",,E,31,+"
"NOE00133531","1971-09","60.5539","6.0256","514.0","KALDESTAD, NO","0",",","19710930","+,,E","0",",,E,30,+"
"NOE00133531","1971-10","60.5539","6.0256","514.0","KALDESTAD, NO","3",",","19711014",",,E","120",",,E,14,"
"NOE00133531","1971-11","60.5539","6.0256","514.0","KALDESTAD, NO","22",",","19711125","+,,E","300",",,E,25,+"
