"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00173295","1995-10","43.8925","-70.2544","115.2","GRAY, ME US","","","0.9",",0","9",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","","","","","19951031","+,,0","19951031","+,,0","19951031","+,,0","","","19951006",",,0","19951013",",,0","0.6",",0,31,+","0",",,0,31,+","0",",,0,31,+","39.6",",,0,06,","25.6",",0,13,","","","207.0",",0","151.3",",,,0","0",",,,0","11.68",",0","16.57",",,,0","6.80",",,,0","",""
"USC00173295","1995-11","43.8925","-70.2544","115.2","GRAY, ME US","","","0.0",",0","15",",0","8",",0","3",",0","2",",0","1",",0","0",",0","26",",0","4",",0","0",",0","0",",0","","","","","19951130",",,0","19951120","+,,0","19951119",",,0","","","19951115",",,0","19951111",",,0","-11.1",",0,30,","25",",,0,20,+","38",",,0,19,","41.7",",,0,15,","14.4",",0,11,","","","510.2",",0","173.0",",,,0","64",",,,0","1.33",",0","5.36",",,,0","-2.70",",,,0","",""
"USC00173295","1995-12","43.8925","-70.2544","115.2","GRAY, ME US","","","0.0",",0","15",",0","11",",0","0",",0","30",",0","12",",0","0",",0","31",",0","20",",0","0",",0","0",",0","","","","","19951214",",,0","19951222","+,,0","19951220",",,0","","","19951209",",,0","19951204",",,0","-17.2",",0,14,","610",",,0,22,+","221",",,0,20,","19.3",",,0,09,","6.1",",0,04,","","","727.9",",0","104.2",",,,0","990",",,,0","-5.15",",0","-1.30",",,,0","-9.00",",,,0","",""
"USC00173295","1996-01","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","14",",0","10",",0","1",",0","31",",0","7",",0","4",",0","30",",0","18",",0","0",",0","0",",0","","","","","19960105",",,0","19960113",",,0","19960103",",,0","","","19960127",",,0","19960119",",,0","-22.8",",0,05,","838",",,0,13,","244",",,0,03,","42.7",",,0,27,","10.0",",0,19,","","","772.5",",0","154.3",",,,0","850",",,,0","-6.59",",0","-1.97",",,,0","-11.20",",,,0","",""
"USC00173295","1996-02","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","13",",0","10",",0","0",",0","23",",0","5",",0","7",",0","24",",0","16",",0","0",",0","0",",0","","","","","19960204",",,0","19960218",",,0","19960214",",,0","","","19960221",",,0","19960228",",,0","-22.8",",0,04,","330",",,0,18,","97",",,0,14,","18.0",",,0,21,","11.7",",0,28,","","","678.4",",0","80.1",",,,0","311",",,,0","-5.06",",0","-0.56",",,,0","-9.57",",,,0","",""
"USC00173295","1996-03","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","8",",0","5",",0","1",",0","14",",0","4",",0","0",",0","28",",0","9",",0","0",",0","0",",0","","","","","19960310","+,,0","19960310","+,,0","19960307",",,0","","","19960320",",,0","19960315",",,0","-15.6",",0,10,+","381",",,0,10,+","185",",,0,07,","26.9",",,0,20,","14.4",",0,15,","","","597.8",",0","74.3",",,,0","581",",,,0","-0.95",",0","4.18",",,,0","-6.08",",,,0","",""
"USC00173295","1996-04","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","13",",0","9",",0","2",",0","5",",0","3",",0","0",",0","12",",0","1",",0","1",",0","0",",0","","","","","19960404",",,0","19960411",",,0","19960410",",,0","","","19960416",",,0","19960421",",,0","-3.9",",0,04,","229",",,0,11,","279",",,0,10,","98.8",",,0,16,","25.0",",0,21,","","","365.1",",0","181.5",",,,0","521",",,,0","6.16",",0","11.14",",,,0","1.18",",,,0","",""
"USC00173295","1996-05","43.8925","-70.2544","115.2","GRAY, ME US","3.3","0","3.3",",0","17",",0","13",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","6",",0","0",",0","","","","","19960515","+,,0","19960531","+,,0","19960531","+,,0","","","19960511",",,0","19960521",",,0","1.1",",0,15,+","0",",,0,31,+","0",",,0,31,+","31.5",",,0,11,","28.3",",0,21,","","","203.3",",0","128.4",",,,0","0",",,,0","11.88",",0","17.45",",,,0","6.31",",,,0","",""
"USC00173295","1996-06","43.8925","-70.2544","115.2","GRAY, ME US","27.8","0","24.5",",0","16",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","","","","","19960622","+,,0","19960630","+,,0","19960630","+,,0","","","19960605",",,0","19960612",",,0","8.3",",0,22,+","0",",,0,30,+","0",",,0,30,+","20.3",",,0,05,","31.1",",0,12,","","","41.4",",0","72.5",",,,0","0",",,,0","17.77",",0","23.08",",,,0","12.46",",,,0","",""
"USC00173295","1996-07","43.8925","-70.2544","115.2","GRAY, ME US","77.9","0","50.1",",0","15",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","0",",0","","","","","19960731","+,,0","19960731","+,,0","19960731","+,,0","","","19960713",",,0","19960718",",,0","13.3",",0,31,+","0",",,0,31,+","0",",,0,31,+","114.6",",,0,13,","30.0",",0,18,","14.0","0","14.0",",0","196.7",",,,0","0",",,,0","19.50",",0","23.98",",,,0","15.01",",,,0","",""
