"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00400137","1976-01","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","","","7","2,0","6","2,0","0","2,0","0",",0","0",",0","","","","","","","","","","","","","","","19760131","+,,0","19760108",",,0","19760102",",2,0","","","","","0",",,0,31,+","0",",T,0,08,","17.3","2,,0,02,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103.7",",a,,0","0",",T,,0","","","","","","","",""
"USC00400137","1976-02","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","","","8",",0","5",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19760229","+,,0","19760229","+,,0","19760218",",,0","","","","","0",",,0,29,+","0",",,0,29,+","38.4",",,0,18,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.6",",,,0","0",",,,0","","","","","","","",""
"USC00400137","1976-03","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","6.5",",0","12",",0","10",",0","2",",0","0",",0","0",",0","0",",0","5",",0","0",",0","14",",0","0",",0","","","19760317",",,0","19760331","+,,0","19760331","+,,0","19760305",",,0","19760305",",,0","-3.9",",0,17,","0",",,0,31,+","0",",,0,31,+","31.5",",,0,05,","26.7",",0,05,","","","","","","","","","190.3",",0","","","","","","","","","","","","","","","","","","","","","181.3",",,,0","0",",,,0","12.40",",0","18.62",",,,0","6.18",",,,0","",""
"USC00400137","1976-04","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","21.7",",0","4",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","","","19760410",",,0","19760430","+,,0","19760430","+,,0","19760425",",,0","19760424","+,,0","1.1",",0,10,","0",",,0,30,+","0",",,0,30,+","35.8",",,0,25,","28.9",",0,24,+","","","","","","","","","93.1",",0","","","","","","","","","","","","","","","","","","","","","58.4",",,,0","0",",,,0","15.95",",0","22.78",",,,0","9.13",",,,0","",""
"USC00400137","1976-05","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","23.9",",0","8","4,0","6","4,0","2","4,0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","","","19760504",",,0","19760531","+,,0","19760531","+,,0","19760514",",4,0","19760513",",,0","0.6",",0,04,","0",",,0,31,+","0",",,0,31,+","81.3","4,,0,14,","29.4",",0,13,","","","","","","","","","80.5",",0","","","","","","","","","","","","","","","","","","","","","172.1",",a,,0","0",",,,0","16.51",",0","22.51",",,,0","10.50",",,,0","",""
"USC00400137","1976-06","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","123.0",",0","9",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","8",",0","","","19760607",",,0","19760630","+,,0","19760630","+,,0","19760619",",,0","19760630","+,,0","11.1",",0,07,","0",",,0,30,+","0",",,0,30,+","43.2",",,0,19,","32.8",",0,30,+","","","","","","","","","0.9",",0","","","","","","","","","","","","","","","","","","","","","148.9",",,,0","0",",,,0","22.41",",0","28.35",",,,0","16.46",",,,0","",""
"USC00400137","1976-07","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","206.0",",0","7",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","","","19760701",",,0","19760731","+,,0","19760731","+,,0","19760730",",,0","19760727","+,,0","13.3",",0,01,","0",",,0,31,+","0",",,0,31,+","62.5",",,0,30,","36.1",",0,27,+","","","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","140.6",",,,0","0",",,,0","24.98",",0","31.89",",,,0","18.06",",,,0","",""
"USC00400137","1976-08","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","163.5",",0","5",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","11",",0","","","19760809",",,0","19760831","+,,0","19760831","+,,0","19760826",",,0","19760826","+,,0","11.1",",0,09,","0",",,0,31,+","0",",,0,31,+","37.3",",,0,26,","34.4",",0,26,+","","","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","63.4",",,,0","0",",,,0","23.61",",0","30.55",",,,0","16.66",",,,0","",""
"USC00400137","1976-09","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","83.9",",0","11",",0","10",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","0",",0","","","19760922","+,,0","19760930","+,,0","19760930","+,,0","19760903",",,0","19760919","+,,0","7.2",",0,22,+","0",",,0,30,+","0",",,0,30,+","14.0",",,0,03,","30.6",",0,19,+","","","10.3","0","","","","","10.3",",0","","","","","","","","","","","","","","","","","","","","","63.3",",,,0","0",",,,0","20.79",",0","27.42",",,,0","14.15",",,,0","",""
"USC00400137","1976-10","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","8.3",",0","7",",0","6",",0","2",",0","0",",0","0",",0","0",",0","6",",0","0",",0","14",",0","0",",0","","","19761029",",,0","19761031","+,,0","19761031","+,,0","19761025",",,0","19761005",",,0","-1.7",",0,29,","0",",,0,31,+","0",",,0,31,+","65.3",",,0,25,","31.1",",0,05,","","","195.1","0","","","","","184.8",",0","","","","","","","","","","","","","","","","","","","","","159.6",",,,0","0",",,,0","12.64",",0","19.80",",,,0","5.48",",,,0","",""
