"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013967","1948-01","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","","","","","","","","","0.0","0","0.0",",0","5",",0","2",",0","0",",0","10",",0","2",",0","0",",0","26",",0","11",",0","0",",0","0",",0","7","","","","19480128",",,0","19480124",",,0","19480124",",,0","","","19480124",",,0","19480108",",,0","-15.0",",0,28,","102",",,0,24,","114",",,0,24,","6.6",",,0,24,","18.3",",0,08,","","","","","571.9",",0","","","","","","","","","","","15.5",",,,0","","","","","","","","","147",",,,0","-0.12",",0","4.98",",,,0","-5.21",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1948-02","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","","","","","","","","","0.0","0","0.0",",0","11",",0","7",",0","0",",0","1",",0","1",",0","0",",0","18",",0","4",",0","2",",0","0",",0","13","","","","19480212",",,0","19480212",",,0","19480212",",,0","3","","19480205",",,0","19480217",",,0","-11.1",",0,12,","25",",,0,12,","30",",,0,12,","19.6",",,0,05,","21.7",",0,17,","","","","","440.9",",0","","","","","","","","","","","63.9",",,,0","","","","","","","","","30",",,,0","3.13",",0","7.62",",,,0","-1.36",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1948-03","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","","","","","","","","","0.6","0","0.6",",0","10",",0","8",",0","2",",0","5",",0","2",",0","0",",0","13",",0","4",",0","7",",0","0",",0","6","","","","19480311",",,0","19480310",",,0","19480310",",,0","7","","19480301",",,0","19480324",",,0","-17.2",",0,11,","203",",,0,10,","213",",,0,10,","60.5",",,0,01,","26.1",",0,24,","","","","","366.2",",0","","","","","","","","","","","182.0",",,,0","","","","","","","","","284",",,,0","6.54",",0","11.93",",,,0","1.15",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1948-04","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","","","","","","","","","64.6","0","64.0",",0","3",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","2",",0","2","","","","19480401",",,0","19480430","+,,0","19480430","+,,0","2","","19480424",",,0","19480430",",,0","1.1",",0,01,","0",",,0,30,+","0",",,0,30,+","39.1",",,0,24,","33.9",",0,30,","","","","","39.0",",0","","","","","","","","","","","50.5",",,,0","","","","","","","","","0",",,,0","19.17",",0","25.98",",,,0","12.35",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1948-05","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","","","","","","","","","154.5","0","89.9",",0","13",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","2",",0","11","","","","19480512",",,0","19480531","+,,0","19480531","+,,0","9","","19480510",",,0","19480501",",,0","6.7",",0,12,","0",",,0,31,+","0",",,0,31,+","34.8",",,0,10,","33.9",",0,01,","","","","","27.5",",0","","","","","","","","","","","117.3",",,,0","","","","","","","","","0",",,,0","20.35",",0","26.15",",,,0","14.54",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1948-06","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","","","","","","","","","372.1","0","217.6",",0","12",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","15",",0","1","","","","19480603",",,0","19480630","+,,0","19480630","+,,0","11","","19480621",",,0","19480605",",,0","15.6",",0,03,","0",",,0,30,+","0",",,0,30,+","85.6",",,0,21,","37.8",",0,05,","","","","","0.0",",0","","","","","","","","","","","197.7",",,,0","","","","","","","","","0",",,,0","25.59",",0","31.56",",,,0","19.61",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1948-07","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","","","","","","","","","638.1","0","266.0",",0","9",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","19",",0","2","","","","19480731",",,0","19480731","+,,0","19480731","+,,0","11","","19480711",",,0","19480714",",,0","17.8",",0,31,","0",",,0,31,+","0",",,0,31,+","10.9",",,0,11,","35.6",",0,14,","0.0","0","","","0.0",",0","","","","","","","","","","","42.8",",,,0","","","","","","","","","0",",,,0","26.91",",0","32.18",",,,0","21.65",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1948-08","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","","","","","","","","","903.1","0","265.0",",0","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","20",",0","4","","","","19480805",",,0","19480831","+,,0","19480831","+,,0","6","","19480808",",,0","19480820",",,0","15.6",",0,05,","0",",,0,31,+","0",",,0,31,+","20.8",",,0,08,","38.9",",0,20,","0.0","0","","","0.0",",0","","","","","","","","","","","49.5",",,,0","","","","","","","","","0",",,,0","26.88",",0","33.25",",,,0","20.52",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1948-09","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","","","","","","","","","1069.8","0","166.7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","15",",0","","","","","19480927",",,0","19480930","+,,0","19480930","+,,0","1","","19480908","+,,0","19480906",",,0","7.8",",0,27,","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,08,+","38.3",",0,06,","4.2","0","","","4.2",",0","","","","","","","","","","","0.0",",T,,0","","","","","","","","","0",",,,0","23.75",",0","31.13",",,,0","16.38",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1948-10","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","","","","","","","","","1091.1","0","21.3",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","1",",0","1","","","","19481018",",,0","19481031","+,,0","19481031","+,,0","3","","19481021",",,0","19481013",",,0","0.6",",0,18,","0",",,0,31,+","0",",,0,31,+","3.8",",,0,21,","32.2",",0,13,","79.2","0","","","75.0",",0","","","","","","","","","","","6.4",",,,0","","","","","","","","","0",",,,0","16.60",",0","24.08",",,,0","9.13",",,,0","","","","","","","","","","","","","","","","","","","","","",""
