"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00230177","1936-11","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","3",",6","3",",6","1",",6","1",",6","19361126",",,6","","","19361102",",,6","76",",,6,26,","25.4",",,6,02,","53.3",",,,6","76",",,,6"
"USC00230177","1936-12","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","6",",6","6",",6","1",",6","0",",6","19361218",",,6","","","19361230",",,6","0",",T,6,18,","50.3",",,6,30,","103.9",",,,6","0",",T,,6"
"USC00230177","1937-01","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","12",",6","12",",6","4",",6","1",",6","19370122",",,6","","","19370114",",,6","152",",,6,22,","61.7",",,6,14,","249.1",",,,6","152",",,,6"
"USC00230177","1937-02","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","5",",6","4",",6","0",",6","0",",6","19370228","+,,6","","","19370208",",,6","0",",T,6,28,+","11.9",",,6,08,","32.7",",,,6","0",",T,,6"
"USC00230177","1937-03","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","3",",6","3",",6","0",",6","0",",6","19370331","+,,6","","","19370313",",,6","0",",,6,31,+","16.5",",,6,13,","37.6",",,,6","0",",,,6"
"USC00230177","1937-04","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","9",",6","8",",6","2",",6","0",",6","19370430","+,,6","","","19370404",",,6","0",",,6,30,+","31.2",",,6,04,","116.0",",,,6","0",",,,6"
"USC00230177","1937-05","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","5",",6","5",",6","1",",6","0",",6","19370531","+,,6","","","19370502",",,6","0",",,6,31,+","26.7",",,6,02,","56.4",",,,6","0",",,,6"
"USC00230177","1937-06","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","7",",6","7",",6","1",",6","0",",6","19370630","+,,6","","","19370610",",,6","0",",,6,30,+","31.8",",,6,10,","99.6",",,,6","0",",,,6"
"USC00230177","1937-07","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","4",",6","4",",6","3",",6","0",",6","19370731","+,,6","","","19370717",",,6","0",",,6,31,+","62.7",",,6,17,","172.9",",,,6","0",",,,6"
"USC00230177","1937-08","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","5",",6","5",",6","1",",6","0",",6","19370831","+,,6","","","19370804",",,6","0",",,6,31,+","31.5",",,6,04,","61.8",",,,6","0",",,,6"
"USC00230177","1937-09","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","5",",6","5",",6","0",",6","0",",6","19370930","+,,6","","","19370910",",,6","0",",,6,30,+","20.8",",,6,10,","67.6",",,,6","0",",,,6"
"USC00230177","1937-10","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","7",",6","7",",6","1",",6","0",",6","19371031","+,,6","","","19371004",",,6","0",",,6,31,+","26.7",",,6,04,","95.0",",,,6","0",",,,6"
"USC00230177","1937-11","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","5",",6","5",",6","1",",6","1",",6","19371128",",,6","","","19371128",",,6","51",",,6,28,","26.9",",,6,28,","68.3",",,,6","51",",,,6"
"USC00230177","1937-12","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","8",",6","6",",6","2",",6","0",",6","19371231","+,,6","","","19371216",",,6","0",",,6,31,+","27.9",",,6,16,","81.6",",,,6","0",",,,6"
"USC00230177","1938-01","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","4",",6","4",",6","1",",6","0",",6","19380131","+,,6","","","19380124",",,6","0",",,6,31,+","27.9",",,6,24,","89.6",",,,6","0",",,,6"
"USC00230177","1938-02","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","7",",6","6",",6","2",",6","0",",6","19380228","+,,6","","","19380218",",,6","0",",,6,28,+","38.9",",,6,18,","111.6",",,,6","0",",,,6"
"USC00230177","1938-03","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","11",",6","9",",6","1",",6","0",",6","19380331","+,,6","","","19380329",",,6","0",",,6,31,+","49.0",",,6,29,","131.6",",,,6","0",",,,6"
"USC00230177","1938-04","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","5",",6","3",",6","1",",6","0",",6","19380430","+,,6","","","19380416",",,6","0",",,6,30,+","50.0",",,6,16,","82.5",",,,6","0",",,,6"
"USC00230177","1938-05","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","9",",6","9",",6","4",",6","0",",6","19380531","+,,6","","","19380513",",,6","0",",,6,31,+","31.5",",,6,13,","157.8",",,,6","0",",,,6"
"USC00230177","1938-06","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","4",",6","4",",6","3",",6","0",",6","19380630","+,,6","","","19380617",",,6","0",",,6,30,+","46.2",",,6,17,","117.3",",,,6","0",",,,6"
"USC00230177","1938-07","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","5",",6","4",",6","2",",6","0",",6","19380731","+,,6","","","19380718",",,6","0",",,6,31,+","27.4",",,6,18,","74.1",",,,6","0",",,,6"
"USC00230177","1938-08","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","3",",6","3",",6","1",",6","0",",6","19380831","+,,6","","","19380815",",,6","0",",,6,31,+","38.1",",,6,15,","60.0",",,,6","0",",,,6"
"USC00230177","1938-09","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","1",",6","1",",6","0",",6","0",",6","19380930","+,,6","","","19380918",",,6","0",",,6,30,+","8.9",",,6,18,","8.9",",,,6","0",",,,6"
"USC00230177","1938-10","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","1",",6","1",",6","0",",6","0",",6","19381031","+,,6","","","19381019",",,6","0",",,6,31,+","23.4",",,6,19,","23.4",",,,6","0",",,,6"
"USC00230177","1938-11","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","3",",6","3",",6","2",",6","0",",6","19381130","+,,6","","","19381104",",,6","0",",,6,30,+","50.8",",,6,04,","89.9",",,,6","0",",,,6"
"USC00230177","1938-12","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","6",",6","6",",6","1",",6","0",",6","19381231","+,,6","","","19381203",",,6","0",",,6,31,+","38.6",",,6,03,","67.3",",,,6","0",",,,6"
"USC00230177","1939-01","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","10",",6","8",",6","1",",6","2",",6","19390117",",,6","","","19390129",",,6","89",",,6,17,","45.7",",,6,29,","113.9",",,,6","140",",,,6"
"USC00230177","1939-02","37.360327","-90.69762","199.0","ANNAPOLIS, MO US","12",",6","9",",6","0",",6","2",",6","19390225",",,6","","","19390219",",,6","191",",,6,25,","20.6",",,6,19,","98.5",",,,6","239",",,,6"
