"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COGF0090","2023-05","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","2","4,N","1","4,N","0","4,N","","","","","","","","","20230507",",4,N","","","","","3.8","4,,N,07,","8.1",",a,,N","",""
"US1COGF0090","2023-06","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","6",",N","3",",N","0",",N","","","","","","","","","20230616",",,N","","","","","9.7",",,N,16,","23.9",",,,N","",""
"US1COGF0090","2023-09","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","4","2,N","0","2,N","0","2,N","","","","","","","","","20230905",",2,N","","","","","0.8","2,,N,05,","5.5",",a,,N","",""
"US1COGF0090","2023-11","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","6","3,N","5","3,N","0","3,N","","","","","","","","","20231116",",3,N","","","","","6.6","3,,N,16,","19.7","3,,,N","",""
"US1COGF0090","2023-12","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","4","2,N","2","2,N","0","2,N","","","2","3,N","","","20231209",",3,N","20231209",",2,N","","","74","3,,N,09,","6.6","2,,N,09,","20.0",",a,,N","140","3,,,N"
"US1COGF0090","2024-01","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","6",",N","2",",N","0",",N","","","3","1,N","","","20240114",",1,N","20240114",",,N","","","81","1,,N,14,","6.4",",,N,14,","16.1",",,,N","204","1,,,N"
"US1COGF0090","2024-02","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","8","1,N","4","1,N","0","1,N","","","","","","","","","20240207",",1,N","","","","","16.8","1,,N,07,","42.2","1,,,N","",""
"US1COGF0090","2024-03","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","8","5,N","4","5,N","0","5,N","","","","","","","","","20240303",",5,N","","","","","6.9","5,,N,03,","28.9",",a,,N","",""
"US1COGF0090","2024-04","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","6","2,N","4","2,N","0","2,N","","","","","","","","","20240427",",2,N","","","","","12.2","2,,N,27,","40.4","2,,,N","",""
"US1COGF0090","2024-05","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","9","3,N","2","3,N","0","3,N","","","","","","","","","20240506",",3,N","","","","","15.0","3,,N,06,","30.0",",a,,N","",""
"US1COGF0090","2024-06","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","5",",N","2",",N","0",",N","","","0","5,N","","","20240630","+,5,N","20240621",",,N","","","0","5,,N,30,+","9.7",",,N,21,","19.8",",,,N","0","5,,,N"
