"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USC00111577","1928-03","41.73727","-87.77734","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","","","0.0",",0","7",",0","5",",0","0",",0","1",",0","2",",0","0",",0","26",",0","4",",0","3",",0","0",",0","","","","","19280305",",,0","19280329",",,0","19280329",",,0","","","19280308",",,0","19280323",",,0","-13.3",",0,05,","25",",,0,29,","107",",,0,29,","9.1",",,0,08,","25.0",",0,23,","","","496.5",",0","35.2",",,,0","","","153",",,,0","2.32",",0","7.12",",,,0","-2.48",",,,0","","","","","","","","","",""
"USC00111577","1928-04","41.73727","-87.77734","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","","","0.5",",0","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","15",",0","0",",0","3",",0","0",",0","","","","","19280415",",,0","19280414","+,,0","19280408",",,0","","","19280405",",,0","19280429","+,,0","-6.1",",0,15,","0",",T,0,14,+","15",",,0,08,","22.9",",,0,05,","23.3",",0,29,+","","","351.4",",0","51.0",",,,0","","","18",",,,0","6.64",",0","12.04",",,,0","1.24",",,,0","","","","","","","","","",""
"USC00111577","1928-05","41.73727","-87.77734","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","","","9.0",",0","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","14",",0","0",",0","","","","","19280512",",,0","19280531","+,,0","19280531","+,,0","","","19280516",",,0","19280503",",,0","-0.6",",0,12,","0",",,0,31,+","0",",,0,31,+","19.3",",,0,16,","31.7",",0,03,","","","126.2",",0","43.0",",,,0","","","0",",,,0","14.55",",0","21.19",",,,0","7.91",",,,0","","","","","","","","","",""
"USC00111577","1928-06","41.73727","-87.77734","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","","","32.0",",0","14",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","22",",0","0",",0","","","","","19280610",",,0","19280630","+,,0","19280630","+,,0","","","19280620",",,0","19280612",",,0","5.0",",0,10,","0",",,0,30,+","0",",,0,30,+","65.0",",,0,20,","30.6",",0,12,","","","65.9",",0","168.7",",,,0","","","0",",,,0","17.20",",0","22.72",",,,0","11.68",",,,0","","","","","","","","","",""
"USC00111577","1928-11","41.73727","-87.77734","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","","","0.0",",0","15",",0","7",",0","2",",0","0",",0","0",",0","0",",0","13",",0","1",",0","0",",0","0",",0","","","","","19281126","+,,0","19281130","+,,0","19281121",",,0","","","19281116",",,0","19281115",",,0","-7.2",",0,26,+","0",",,0,30,+","3",",,0,21,","32.8",",,0,16,","20.0",",0,15,","","","407.3",",0","103.0",",,,0","","","3",",,,0","4.76",",0","8.44",",,,0","1.07",",,,0","","","","","","","","","",""
"USC00111577","1928-12","41.73727","-87.77734","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","","","0.0","1,0","12","1,0","4","1,0","1","1,0","3","1,0","2","1,0","1","1,0","25","1,0","9","1,0","0","1,0","0","1,0","","","","","19281221",",1,0","19281217","+,1,0","19281217","+,1,0","","","19281213",",1,0","19281211",",1,0","-17.8","1,0,21,","25","1,,0,17,+","41","1,,0,17,+","31.5","1,,0,13,","10.0","1,0,11,","","","576.6","1,0","66.2","1,,,0","","","98","1,,,0","-0.89","1,0","2.74","1,,,0","-4.52","1,,,0","","","","","","","","","",""
"USC00111577","1929-01","41.73727","-87.77734","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","0.0","0","0.0",",0","15",",0","9",",0","0",",0","27",",0","7",",0","11",",0","31",",0","22",",0","0",",0","0",",0","","","","","19290115",",,0","19290114",",,0","19290114",",,0","","","19290122",",,0","19290122",",,0","-25.0",",0,15,","152",",,0,14,","142",",,0,14,","22.9",",,0,22,","5.6",",0,22,","","","856.3",",0","98.6",",,,0","","","487",",,,0","-9.29",",0","-3.85",",,,0","-14.73",",,,0","","","","","","","","","",""
"USC00111577","1929-02","41.73727","-87.77734","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","0.0","0","0.0",",0","10",",0","2",",0","0",",0","20","1,0","3","1,0","8",",0","28",",0","19",",0","0",",0","0",",0","","","","","19290220","+,,0","19290213",",1,0","19290219",",1,0","","","19290208",",,0","19290226",",,0","-22.8",",0,20,+","127","1,,0,13,","41","1,,0,19,","4.1",",,0,08,","8.3",",0,26,","","","706.5",",0","15.4",",,,0","","","156","1,,,0","-6.90",",0","-2.21",",,,0","-11.59",",,,0","","","","","","","","","",""
"USC00111577","1929-03","41.73727","-87.77734","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","0.0","0","0.0","2,0","8","2,0","5","2,0","2","2,0","0","2,0","0","2,0","0","2,0","12","2,0","2","2,0","1","2,0","0","2,0","","","","","19290307",",2,0","19290317","+,2,0","19290316","+,2,0","","","19290331",",2,0","19290324",",2,0","-13.3","2,0,07,","0","2,T,0,17,+","5","2,,0,16,+","63.5","2,,0,31,","22.2","2,0,24,","","","370.8","2,0","119.9","2,,,0","","","13","2,,,0","5.55","2,0","10.83","2,,,0","0.27","2,,,0","","","","","","","","","",""
"USC00111577","1929-04","41.73727","-87.77734","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","14.2","0","14.2",",0","13",",0","8",",0","1",",0","0",",0","0",",0","0",",0","4",",0","0",",0","7",",0","0",",0","","","","","19290401",",,0","19290430","+,,0","19290402","+,,0","","","19290420",",,0","19290406",",,0","-1.7",",0,01,","0",",,0,30,+","0",",T,0,02,+","29.0",",,0,20,","28.9",",0,06,","","","254.5",",0","98.5",",,,0","","","0",",T,,0","10.32",",0","15.32",",,,0","5.32",",,,0","","","","","","","","","",""
