"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00087832","1913-05","28.25","-81.266667","19.2","ST. CLOUD, FL US","","","","","8",",6","1",",6","0",",6","","","","","0",",6","31",",6","11",",6","","","","","19130517",",,6","19130531",",,6","","","7.1",",,6,17,","35.6",",6,31,","","","","","14.9",",,,6","","","30.55",",,,6","",""
"USC00087832","1913-06","28.25","-81.266667","19.2","ST. CLOUD, FL US","","","198.1",",6","9",",6","9",",6","1",",6","0",",6","0",",6","0",",6","30",",6","20",",6","19130613",",,6","","","19130626",",,6","19130622","+,,6","10.6",",6,13,","50.8",",,6,26,","35.6",",6,22,+","","","0.0",",6","142.8",",,,6","24.94",",6","32.63",",,,6","17.24",",,,6"
"USC00087832","1913-07","28.25","-81.266667","19.2","ST. CLOUD, FL US","","","284.2",",6","14",",6","10",",6","1",",6","0",",6","0",",6","0",",6","31",",6","30",",6","19130710",",,6","","","19130718",",,6","19130716",",,6","18.3",",6,10,","31.8",",,6,18,","36.1",",6,16,","0.0","6","0.0",",6","134.2",",,,6","27.50",",6","34.08",",,,6","20.92",",,,6"
"USC00087832","1913-08","28.25","-81.266667","19.2","ST. CLOUD, FL US","","","261.8",",6","13",",6","12",",6","3",",6","0",",6","0",",6","0",",6","31",",6","20",",6","19130829","+,,6","","","19130821",",,6","19130802",",,6","19.4",",6,29,+","37.3",",,6,21,","35.6",",6,02,","0.0","6","0.0",",6","194.4",",,,6","26.78",",6","32.44",",,,6","21.12",",,,6"
"USC00087832","1913-09","28.25","-81.266667","19.2","ST. CLOUD, FL US","","","219.0","1,6","11",",6","9",",6","1",",6","0","1,6","0","1,6","0",",6","30",",6","12",",6","19130923",",1,6","","","19130906",",,6","19130930","+,,6","16.7","1,6,23,","50.8",",,6,06,","33.3",",6,30,+","0.0","6","0.0",",6","122.3",",,,6","25.82","1,6","31.46",",,,6","20.18","1,,,6"
"USC00087832","1913-10","28.25","-81.266667","19.2","ST. CLOUD, FL US","","","116.6",",6","4",",6","4",",6","1",",6","0",",6","0",",6","0",",6","31",",6","6",",6","19131022",",,6","","","19131011",",,6","19131011",",,6","7.2",",6,22,","43.7",",,6,11,","34.4",",6,11,","7.2","6","7.2",",6","92.8",",,,6","21.86",",6","28.94",",,,6","14.78",",,,6"
"USC00087832","1913-11","28.25","-81.266667","19.2","ST. CLOUD, FL US","","","49.4",",6","1",",6","1",",6","0",",6","0",",6","0",",6","0",",6","28",",6","0",",6","19131110",",,6","","","19131109",",,6","19131116",",,6","1.1",",6,10,","2.8",",,6,09,","29.4",",6,16,","35.5","6","28.3",",6","2.8",",,,6","19.04",",6","25.50",",,,6","12.58",",,,6"
"USC00087832","1913-12","28.25","-81.266667","19.2","ST. CLOUD, FL US","","","22.8",",6","7",",6","7",",6","0",",6","0",",6","0",",6","0",",6","26",",6","0",",6","19131227","+,,6","","","19131225",",,6","19131201",",,6","2.2",",6,27,+","19.1",",,6,25,","28.9",",6,01,","87.3","6","51.8",",6","64.7",",,,6","17.40",",6","24.13",",,,6","10.66",",,,6"
"USC00087832","1914-01","28.25","-81.266667","19.2","ST. CLOUD, FL US","22.3","","22.3",",6","8",",6","6",",6","2",",6","0",",6","1",",6","0",",6","21",",6","0",",6","19140108",",,6","","","19140124",",,6","19140130","+,,6","-0.6",",6,08,","50.8",",,6,24,","27.8",",6,30,+","195.1","","107.8",",6","95.8",",,,6","15.58",",6","22.63",",,,6","8.53",",,,6"
"USC00087832","1914-02","28.25","-81.266667","19.2","ST. CLOUD, FL US","44.3","","22.0","1,6","8",",6","7",",6","0",",6","0",",6","0",",6","0","1,6","21","1,6","0","1,6","19140216",",,6","","","19140210",",,6","19140206",",1,6","1.7",",6,16,","17.8",",,6,10,","28.9","1,6,06,","248.4","","53.3","1,6","61.8",",,,6","17.10","1,6","23.77","1,,,6","10.43",",,,6"
