"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00130200","1964-11","42.02097","-93.77428","338.3","AMES 8 WSW, IA US","","","0.0",",0","6",",0","2",",0","0",",0","2",",0","0",",0","2",",0","16",",0","4",",0","4",",0","0",",0","","","19641130",",,0","19641121","+,,0","19641120",",,0","19641115",",,0","19641102",",,0","-21.1",",0,30,","25",",,0,21,+","20",",,0,20,","9.1",",,0,15,","23.9",",0,02,","","","","","","","","","","","394.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8",",,,0","20",",,,0","5.20",",0","11.37",",,,0","-0.98",",,,0","6757",",,,0"
"USC00130200","1964-12","42.02097","-93.77428","338.3","AMES 8 WSW, IA US","","","0.0",",0","6",",0","1",",0","0",",0","11",",0","3",",0","4",",0","31",",0","15",",0","0",",0","0",",0","","","19641217",",,0","19641206","+,,0","19641202",",,0","19641210",",,0","19641223",",,0","-24.4",",0,17,","51",",,0,06,+","46",",,0,02,","16.5",",,0,10,","12.8",",0,23,","","","","","","","","","","","733.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.6",",,,0","104",",,,0","-5.32",",0","-0.42",",,,0","-10.23",",,,0","",""
"USC00130200","1965-01","42.02097","-93.77428","338.3","AMES 8 WSW, IA US","0.0","0","0.0",",0","6",",0","3",",0","0",",0","16",",0","3",",0","10",",0","30",",0","15",",0","0",",0","0",",0","","","19650130",",,0","19650115",",,0","19650114",",,0","19650123",",,0","19650121",",,0","-25.6",",0,30,","76",",,0,15,","46",",,0,14,","10.4",",,0,23,","6.1",",0,21,","","","","","","","","","","","799.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.1",",,,0","109",",,,0","-7.46",",0","-1.75",",,,0","-13.18",",,,0","",""
"USC00130200","1965-02","42.02097","-93.77428","338.3","AMES 8 WSW, IA US","0.0","0","0.0",",0","8",",0","4",",0","0",",0","16",",0","3",",0","11",",0","26",",0","14",",0","0",",0","0",",0","","","19650202",",,0","19650214","+,,0","19650223",",,0","19650209",",,0","19650228",",,0","-23.3",",0,02,","127",",,0,14,+","109",",,0,23,","11.2",",,0,09,","8.9",",0,28,","","","","","","","","","","","715.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.7",",,,0","267",",,,0","-7.20",",0","-1.49",",,,0","-12.92",",,,0","",""
"USC00130200","1965-03","42.02097","-93.77428","338.3","AMES 8 WSW, IA US","0.0","0","0.0",",0","10",",0","6",",0","1",",0","30",",0","6",",0","1",",0","31",",0","15",",0","0",",0","0",",0","","","19650324",",,0","19650325","+,,0","19650302",",,0","19650317",",,0","19650331","+,,0","-17.8",",0,24,","305",",,0,25,+","178",",,0,02,","33.0",",,0,17,","8.3",",0,31,+","","","","","","","","","","","726.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.9",",,,0","640",",,,0","-5.09",",0","-0.92",",,,0","-9.27",",,,0","",""
"USC00130200","1965-04","42.02097","-93.77428","338.3","AMES 8 WSW, IA US","2.5","0","2.5",",0","11",",0","8",",0","2",",0","4",",0","0",",0","0",",0","6",",0","0",",0","5",",0","0",",0","","","19650416",",,0","19650401",",,0","19650427",",,0","19650425",",,0","19650430",",,0","-1.7",",0,16,","51",",,0,01,","0",",T,0,27,","33.8",",,0,25,","31.7",",0,30,","89.2","2,,,0","","","","","","","","","286.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","4.99","2,,,0","","","","","","","16.02","2,,,0","138.5",",,,0","0",",T,,0","8.85",",0","14.48",",,,0","3.23",",,,0","7308",",,,0"
"USC00130200","1965-05","42.02097","-93.77428","338.3","AMES 8 WSW, IA US","63.1","0","60.6",",0","11",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","0",",0","","","19650528",",,0","19650531","+,,0","19650531","+,,0","19650526",",,0","19650501",",,0","2.2",",0,28,","0",",,0,31,+","0",",,0,31,+","52.8",",,0,26,","31.1",",0,01,","175.3","2,,,0","","","","","","","","","46.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","12.41",",,,0","","","","","","","25.20",",,,0","118.9",",,,0","0",",,,0","18.80",",0","25.66",",,,0","11.94",",,,0","7370",",,,0"
"USC00130200","1965-06","42.02097","-93.77428","338.3","AMES 8 WSW, IA US","135.5","0","72.4",",0","10",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","","","19650621",",,0","19650630","+,,0","19650630","+,,0","19650604",",,0","19650628","+,,0","8.9",",0,21,","0",",,0,30,+","0",",,0,30,+","38.1",",,0,04,","29.4",",0,28,+","205.4",",,,0","","","","","","","","","2.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","15.92",",,,0","","","","","","","28.64",",,,0","121.8",",,,0","0",",,,0","20.66",",0","26.44",",,,0","14.89",",,,0","4683",",,,0"
"USC00130200","1965-07","42.02097","-93.77428","338.3","AMES 8 WSW, IA US","282.3","0","146.8",",0","9",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","4",",0","","","19650728",",,0","19650731","+,,0","19650731","+,,0","19650709",",,0","19650723",",,0","12.2",",0,28,","0",",,0,31,+","0",",,0,31,+","17.8",",,0,09,","35.6",",0,23,","191.3",",,,0","0.0","0","","","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","18.09",",,,0","","","","","","","31.89",",,,0","41.3",",,,0","0",",,,0","23.07",",0","29.01",",,,0","17.13",",,,0","4714",",,,0"
"USC00130200","1965-08","42.02097","-93.77428","338.3","AMES 8 WSW, IA US","399.3","0","117.0",",0","12",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","8",",0","","","19650828",",,0","19650831","+,,0","19650831","+,,0","19650830",",,0","19650813",",,0","7.8",",0,28,","0",",,0,31,+","0",",,0,31,+","28.4",",,0,30,","36.7",",0,13,","183.2",",,,0","16.4","0","","","","","","","16.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","16.30",",,,0","","","","","","","29.59",",,,0","68.0",",,,0","0",",,,0","21.58",",0","28.43",",,,0","14.73",",,,0","4608",",,,0"
"USC00130200","1965-09","42.02097","-93.77428","338.3","AMES 8 WSW, IA US","411.4","0","12.1",",0","15",",0","12",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","18",",0","0",",0","","","19650924",",,0","19650930","+,,0","19650930","+,,0","19650927",",,0","19650909",",,0","1.1",",0,24,","0",",,0,30,+","0",",,0,30,+","32.3",",,0,27,","30.0",",0,09,","91.3",",,,0","113.2","0","","","","","","","96.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","11.01","1,,,0","","","","","","","21.68","1,,,0","183.8",",,,0","0",",,,0","15.51",",0","21.07",",,,0","9.94",",,,0","5129",",,,0"
"USC00130200","1965-10","42.02097","-93.77428","338.3","AMES 8 WSW, IA US","416.4","0","5.0",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","9",",0","0",",0","","","19651024",",,0","19651031","+,,0","19651031","+,,0","19651021",",,0","19651017",",,0","-2.8",",0,24,","0",",,0,31,+","0",",,0,31,+","13.0",",,0,21,","27.2",",0,17,","109.5",",,,0","303.6","0","","","","","","","190.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","6.99",",,,0","","","","","","","17.74",",,,0","25.5",",,,0","0",",,,0","12.35",",0","19.11",",,,0","5.60",",,,0","5758",",,,0"
