"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00249186","1999-02","48.82861","-115.74667","1045.5","YAAK 1 W, MT US","0.0",",0","19",",0","14",",0","0",",0","28",",0","14",",0","0",",0","28",",0","2",",0","0",",0","0",",0","","","19990212",",,0","19990228","+,,0","19990205",",,0","19990207",",,0","19990215",",,0","-15.0",",0,12,","584",",,0,28,+","114",",,0,05,","14.7",",,0,07,","7.2",",0,15,","560.9",",0","95.0",",,,0","853",",,,0","-1.70",",0","3.09",",,,0","-6.49",",,,0"
"USC00249186","1999-03","48.82861","-115.74667","1045.5","YAAK 1 W, MT US","0.0",",0","13",",0","6",",0","0",",0","29",",0","7",",0","0",",0","31",",0","1",",0","0",",0","0",",0","","","19990306",",,0","19990304",",,0","19990330",",,0","19990330",",,0","19990322",",,0","-12.2",",0,06,","559",",,0,04,","114",",,0,30,","9.1",",,0,30,","18.9",",0,22,","534.9",",0","36.7",",,,0","388",",,,0","1.08",",0","8.45",",,,0","-6.29",",,,0"
"USC00249186","1999-04","48.82861","-115.74667","1045.5","YAAK 1 W, MT US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","2","","","","19990430","+,,0","19990405",",,0","","","","","","","0",",,0,30,+","5",",,0,05,","","","","","","","","","5",",,,0","","","","","",""
"USC00249186","1999-05","48.82861","-115.74667","1045.5","YAAK 1 W, MT US","","","9","5,0","6","5,0","0","5,0","0","2,0","0","1,0","","","","","","","","","","","1","","","","19990531","+,2,0","19990508",",1,0","19990511",",5,0","","","","","0","2,,0,31,+","13","1,,0,08,","22.9","5,,0,11,","","","","","39.8","5,,,0","13","1,,,0","","","","","",""
"USC00249186","1999-06","48.82861","-115.74667","1045.5","YAAK 1 W, MT US","1.7","1,0","8",",0","4",",0","0",",0","0",",0","0",",0","0","1,0","8","1,0","0","1,0","11","1,0","0","1,0","","","19990610","+,1,0","19990630","+,,0","19990630","+,,0","19990625",",,0","19990616",",1,0","-2.8","1,0,10,+","0",",,0,30,+","0",",,0,30,+","11.9",",,0,25,","30.6","1,0,16,","198.8","1,0","31.9",",,,0","0",",,,0","11.54","1,0","20.09","1,,,0","2.98","1,,,0"
"USC00249186","1999-08","48.82861","-115.74667","1045.5","YAAK 1 W, MT US","16.1",",0","13",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","8",",0","","","19990824","+,,0","19990831","+,,0","19990831","+,,0","19990808",",,0","19990804",",,0","3.3",",0,24,+","0",",,0,31,+","0",",,0,31,+","8.4",",,0,08,","35.0",",0,04,","56.7",",0","29.7",",,,0","0",",,,0","17.02",",0","27.69",",,,0","6.36",",,,0"
"USC00249186","1999-09","48.82861","-115.74667","1045.5","YAAK 1 W, MT US","0.0","4,0","5",",0","0",",0","0",",0","0",",0","0",",0","0","4,0","21","4,0","0","4,0","14","4,0","0","4,0","","","19990928",",4,0","19990930","+,,0","19990930","+,,0","19990926",",,0","19990924",",4,0","-8.3","4,0,28,","0",",,0,30,+","0",",,0,30,+","2.3",",,0,26,","30.6","4,0,24,","226.3","4,0","7.4",",,,0","0",",,,0","9.63","4,0","21.56","4,,,0","-2.30","4,,,0"
"USC00249186","1999-10","48.82861","-115.74667","1045.5","YAAK 1 W, MT US","0.0","3,0","10","1,0","8","1,0","0","1,0","0",",0","0",",0","0","3,0","22","3,0","0","2,0","1","2,0","0","2,0","","","19991017",",3,0","19991031","+,,0","19991031","+,,0","19991009",",1,0","19991005",",2,0","-10.6","3,0,17,","0",",,0,31,+","0",",,0,31,+","15.5","1,,0,09,","22.2","2,0,05,","368.1","2,0","74.9","1,,,0","0",",,,0","5.06","3,0","14.29","2,,,0","-4.16","3,,,0"
"USC00249186","1999-11","48.82861","-115.74667","1045.5","YAAK 1 W, MT US","","","15","3,0","12","3,0","1","3,0","5","3,0","2","2,0","","","","","","","","","","","","","","","19991126",",3,0","19991126",",2,0","19991113",",3,0","","","","","76","3,,0,26,","76","2,,0,26,","31.8","3,,0,13,","","","","","108.7","3,,,0","111","2,,,0","","","","","",""
"USC00249186","1999-12","48.82861","-115.74667","1045.5","YAAK 1 W, MT US","","","","","","","","","","","4","2,0","","","","","","","","","","","","","","","","","19991215",",2,0","","","","","","","","","102","2,,0,15,","","","","","","","","","235","2,,,0","","","","","",""
