"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"US1GAWG0005","2021-07","32.983254","-82.8125","140.2","SANDERSVILLE 0.0 ESE, GA US","155.1","4,a,,N"
"US1GAWG0005","2022-08","32.983254","-82.8125","140.2","SANDERSVILLE 0.0 ESE, GA US","199.7","5,a,,N"
"US1GAWG0005","2024-05","32.983254","-82.8125","140.2","SANDERSVILLE 0.0 ESE, GA US","102.5","3,a,,N"
