"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00362565","1939-11","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","3",",6","3",",6","0",",6","","","19391106",",,6","17.5",",,6,06,","30.5",",,,6"
"USC00362565","1939-12","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","7",",6","6",",6","0",",6","","","19391221",",,6","21.6",",,6,21,","53.6",",,,6"
"USC00362565","1940-01","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","4","1,6","3","1,6","1","1,6","","","19400115",",1,6","55.9","1,,6,15,","65.9","1,,,6"
"USC00362565","1940-02","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","5",",6","5",",6","0",",6","","","19400220",",,6","24.1",",,6,20,","64.5",",,,6"
"USC00362565","1940-03","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","4",",6","4",",6","3",",6","","","19400331",",,6","58.4",",,6,31,","168.4",",,,6"
"USC00362565","1940-04","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","8",",6","8",",6","3",",6","","","19400420",",,6","55.9",",,6,20,","190.5",",,,6"
"USC00362565","1940-05","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","8",",6","8",",6","0",",6","","","19400517",",,6","23.6",",,6,17,","80.9",",,,6"
"USC00362565","1940-06","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","5",",6","5",",6","0",",6","","","19400602",",,6","23.6",",,6,02,","74.2",",,,6"
"USC00362565","1940-07","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","5",",6","5",",6","1",",6","","","19400728",",,6","30.5",",,6,28,","96.0",",,,6"
"USC00362565","1940-08","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","9",",6","8",",6","0",",6","","","19400827",",,6","16.3",",,6,27,","79.7",",,,6"
"USC00362565","1940-09","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","7","1,6","7","1,6","1","1,6","","","19400901",",1,6","48.3","1,,6,01,","129.5","1,,,6"
"USC00362565","1940-10","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","4",",6","4",",6","0",",6","","","19401030",",,6","21.3",",,6,30,","39.3",",,,6"
"USC00362565","1940-11","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","5",",6","5",",6","2",",6","","","19401102",",,6","50.8",",,6,02,","148.1",",,,6"
"USC00362565","1940-12","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","8",",6","7",",6","1",",6","","","19401229",",,6","33.0",",,6,29,","77.8",",,,6"
"USC00362565","1941-01","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","","","","","","","1","","","","","","",""
"USC00362565","1941-02","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","3",",6","3",",6","0",",6","","","19410215",",,6","11.4",",,6,15,","23.3",",,,6"
"USC00362565","1941-03","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","2","3,6","2","3,6","0","3,6","","","19410311",",3,6","5.8","3,,6,11,","8.6","3,,,6"
"USC00362565","1941-05","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","8",",6","6",",6","0",",6","","","19410527",",,6","16.5",",,6,27,","40.0",",,,6"
"USC00362565","1941-12","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","7",",6","7",",6","2",",6","3","","19411224",",,6","50.8",",,6,24,","123.8",",,,6"
"USC00362565","1942-12","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","11","1,6","11","1,6","2","1,6","","","19421202",",1,6","32.5","1,,6,02,","144.9","1,,,6"
"USC00362565","1943-02","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","7",",6","6",",6","0",",6","","","19430211",",,6","14.5",",,6,11,","52.9",",,,6"
"USC00362565","1943-03","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","8","2,6","7","2,6","0","2,6","","","19430317",",2,6","19.1","2,,6,17,","66.0","2,,,6"
"USC00362565","1943-07","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","8",",6","8",",6","0",",6","","","19430722",",,6","22.9",",,6,22,","87.4",",,,6"
"USC00362565","1943-08","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","4",",6","4",",6","0",",6","","","19430828",",,6","13.5",",,6,28,","35.3",",,,6"
"USC00362565","1943-09","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","2",",6","2",",6","0",",6","","","19430923",",,6","6.6",",,6,23,","9.6",",,,6"
"USC00362565","1943-10","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","13",",6","13",",6","4",",6","","","19431002",",,6","55.9",",,6,02,","257.7",",,,6"
"USC00362565","1943-11","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","4",",6","4",",6","1",",6","","","19431108",",,6","73.9",",,6,08,","94.1",",,,6"
"USC00362565","1943-12","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","1",",6","1",",6","1",",6","","","19431227",",,6","26.7",",,6,27,","26.7",",,,6"
"USC00362565","1944-01","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","5","1,6","5","1,6","1","1,6","","","19440103",",1,6","58.4","1,,6,03,","71.0","1,,,6"
"USC00362565","1944-02","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","5",",6","5",",6","0",",6","","","19440227",",,6","13.2",",,6,27,","30.9",",,,6"
"USC00362565","1944-04","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","9",",6","9",",6","1",",6","","","19440425",",,6","30.5",",,6,25,","131.8",",,,6"
"USC00362565","1944-05","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","5",",6","5",",6","2",",6","","","19440507",",,6","101.6",",,6,07,","167.8",",,,6"
"USC00362565","1944-06","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","8",",6","8",",6","2",",6","","","19440620",",,6","35.6",",,6,20,","124.9",",,,6"
"USC00362565","1944-07","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","4",",6","4",",6","1",",6","","","19440713",",,6","32.5",",,6,13,","56.9",",,,6"
"USC00362565","1944-09","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","7",",6","7",",6","1",",6","","","19440915",",,6","27.9",",,6,15,","90.9",",,,6"
"USC00362565","1944-10","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","6",",6","6",",6","1",",6","","","19441021",",,6","48.3",",,6,21,","97.1",",,,6"
"USC00362565","1944-11","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","8",",6","8",",6","2",",6","","","19441130",",,6","33.0",",,6,30,","104.0",",,,6"
"USC00362565","1944-12","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","7","1,6","7","1,6","2","1,6","","","19441209",",1,6","34.3","1,,6,09,","106.1","1,,,6"
"USC00362565","1945-01","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","7",",6","7",",6","1",",6","","","19450117",",,6","35.6",",,6,17,","99.5",",,,6"
"USC00362565","1945-04","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","8",",6","8",",6","2",",6","","","19450405",",,6","33.8",",,6,05,","134.8",",,,6"
"USC00362565","1945-05","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","11",",6","11",",6","3",",6","","","19450527",",,6","88.9",",,6,27,","251.9",",,,6"
"USC00362565","1945-06","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","8",",6","8",",6","1",",6","","","19450620",",,6","35.6",",,6,20,","103.2",",,,6"
"USC00362565","1945-07","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","6",",6","6",",6","3",",6","","","19450719",",,6","58.4",",,6,19,","185.1",",,,6"
"USC00362565","1945-08","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","7",",6","7",",6","1",",6","","","19450825",",,6","50.8",",,6,25,","102.3",",,,6"
"USC00362565","1945-09","40.4","-76.85","131.1","ELLENDALE FORGE, PA US","7",",6","7",",6","3",",6","","","19450919",",,6","53.3",",,6,19,","147.8",",,,6"
