"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00417637","1991-09","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","11",",0","8",",0","2",",0","0",",0","0",",0","3","","19910930","+,,0","19910930","+,,0","","","19910919",",,0","0",",,0,30,+","0",",,0,30,+","31.0",",,0,19,","  25.6",",,,0,3,2","  33.9",",,,0,3,2","  13.9",",,,0,3,2","  13.9",",,,0,3,2","  19.9",",,,0,3,2","  28.7",",,,0,3,2","98.4",",,,0","0",",,,0"
"USC00417637","1991-10","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","6",",0","4",",0","1",",0","0",",0","0",",0","","","19911031","+,,0","19911031","+,,0","","","19911026",",,0","0",",,0,31,+","0",",,0,31,+","66.8",",,0,26,","  20.6",",,,0,3,2","  29.4",",,,0,3,2","   3.9",",,,0,3,2","  10.6",",,,0,3,2","  16.4",",,,0,3,2","  24.4",",,,0,3,2","112.0",",,,0","0",",,,0"
"USC00417637","1991-11","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","4",",0","3",",0","0",",0","0",",0","0",",0","1","","19911130","+,,0","19911130","+,,0","","","19911118",",,0","0",",,0,30,+","0",",,0,30,+","14.0",",,0,18,","  12.8",",,,0,3,2","  20.0",",,,0,3,2","   3.9",",,,0,3,2","   8.9",",,,0,3,2","   6.3",",,,0,3,2","  13.8",",,,0,3,2","24.0",",,,0","0",",,,0"
"USC00417637","1991-12","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","12","1,0","8","1,0","2","1,0","0",",0","0",",0","4","","19911231","+,,0","19911231","+,,0","","","19911219",",1,0","0",",,0,31,+","0",",,0,31,+","63.5","1,,0,19,","  14.4","1,,,0,3,2","  18.9","1,,,0,3,2","   2.2","1,,,0,3,2","   7.2","1,,,0,3,2","   6.6","1,,,0,3,2","  12.6","1,,,0,3,2","195.1","1,,,0","0",",,,0"
"USC00417637","1992-01","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","9",",0","5",",0","0",",0","0",",0","0",",0","","","19920118",",,0","19920119","+,,0","","","19920125",",,0","0",",T,0,18,","15",",,0,19,+","23.6",",,0,25,","","","","","","","","","","","","","56.4",",,,0","30",",,,0"
"USC00417637","1992-02","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","9",",0","5",",0","2",",0","0",",0","0",",0","","","19920229","+,,0","19920225","+,,0","","","19920224",",,0","0",",,0,29,+","0",",T,0,25,+","51.8",",,0,24,","  11.7","5,,,0,3,2","  19.4","5,,,0,3,2","   2.8","5,,,0,3,2","  10.0","5,,,0,3,2","   6.8","5,,,0,3,2","  14.8","5,,,0,3,2","117.0",",,,0","0",",T,,0"
"USC00417637","1992-03","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","3",",0","3",",0","0",",0","0",",0","0",",0","","","19920331","+,,0","19920331","+,,0","","","19920327",",,0","0",",,0,31,+","0",",,0,31,+","20.3",",,0,27,","  12.8",",,,2,3,2","  27.2",",,,2,3,2","   2.8",",,,2,3,2","  15.6",",,,2,3,2","   9.0",",,,2,3,2","  20.9",",,,2,3,2","43.9",",,,0","0",",,,0"
"USC00417637","1992-04","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","4",",0","3",",0","1",",0","0",",0","0",",0","2","","19920430","+,,0","19920430","+,,0","1","","19920416",",,0","0",",,0,30,+","0",",,0,30,+","31.2",",,0,16,","  18.3","1,,,0,3,2","  33.9","1,,,0,3,2","   6.1","1,,,0,3,2","  18.9","1,,,0,3,2","  13.3","1,,,0,3,2","  27.7","1,,,0,3,2","50.2",",,,0","0",",,,0"
"USC00417637","1992-05","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","11",",0","9",",0","0",",0","0",",0","0",",0","6","","19920531","+,,0","19920531","+,,0","4","","19920504",",,0","0",",,0,31,+","0",",,0,31,+","18.5",",,0,04,","  21.1",",,,0,3,2","  37.8",",,,0,3,2","  12.8",",,,0,3,2","  16.1",",,,0,3,2","  17.1",",,,0,3,2","  28.2",",,,0,3,2","84.7",",,,0","0",",,,0"
"USC00417637","1992-06","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","11",",0","7",",0","4",",0","0",",0","0",",0","","","19920630","+,,0","19920630","+,,0","3","","19920622",",,0","0",",,0,30,+","0",",,0,30,+","63.0",",,0,22,","  25.6",",,,0,3,2","  38.9",",,,0,3,2","  15.6",",,,0,3,2","  26.1",",,,0,3,2","  21.2",",,,0,3,2","  33.0",",,,0,3,2","212.1",",,,0","0",",,,0"
"USC00417637","1992-07","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","7",",0","4",",0","0",",0","0",",0","0",",0","","","19920731","+,,0","19920731","+,,0","3","","19920721",",,0","0",",,0,31,+","0",",,0,31,+","10.9",",,0,21,","  25.0",",,,2,3,2","  38.9",",,,2,3,2","  21.1",",,,2,3,2","  30.6",",,,2,3,2","  23.4",",,,2,3,2","  36.0",",,,2,3,2","35.0",",,,0","0",",,,0"
"USC00417637","1992-08","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","5",",0","4",",0","2",",0","0",",0","0",",0","","","19920831","+,,0","19920831","+,,0","2","","19920831",",,0","0",",,0,31,+","0",",,0,31,+","57.2",",,0,31,","  26.7",",,,0,3,2","  38.9",",,,0,3,2","  20.6",",,,0,3,2","  30.6",",,,0,3,2","  23.1",",,,0,3,2","  35.3",",,,0,3,2","108.1",",,,0","0",",,,0"
"USC00417637","1992-09","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","4",",0","4",",0","1",",0","0",",0","0",",0","","","19920930","+,,0","19920930","+,,0","","","19920901",",,0","0",",,0,30,+","0",",,0,30,+","47.2",",,0,01,","","","","","","","","","","","","","84.3",",,,0","0",",,,0"
"USC00417637","1992-10","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","2",",0","2",",0","0",",0","0",",0","0",",0","","","19921031","+,,0","19921031","+,,0","","","19921030",",,0","0",",,0,31,+","0",",,0,31,+","8.1",",,0,30,","","","","","","","","","","","","","10.9",",,,0","0",",,,0"
"USC00417637","1992-11","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","2",",0","2",",0","1",",0","0",",0","0",",0","","","19921130","+,,0","19921130","+,,0","","","19921119",",,0","0",",,0,30,+","0",",,0,30,+","43.2",",,0,19,","","","","","","","","","","","","","54.6",",,,0","0",",,,0"
"USC00417637","1992-12","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","2",",0","2",",0","0",",0","0",",0","0",",0","","","19921231","+,,0","19921231","+,,0","","","19921223",",,0","0",",,0,31,+","0",",,0,31,+","3.8",",,0,23,","","","","","","","","","","","","","6.8",",,,0","0",",,,0"
"USC00417637","1993-01","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","9",",0","6",",0","0",",0","0",",0","0",",0","","","19930131","+,,0","19930131","+,,0","","","19930119",",,0","0",",,0,31,+","0",",,0,31,+","6.6",",,0,19,","","","","","","","","","","","","","32.9",",,,0","0",",,,0"
"USC00417637","1993-02","32.16111","-98.92889","489.2","RISING STAR 5 NNE, TX US","5","4,0","4","4,0","0","4,0","0","4,0","0",",0","","","19930228","+,4,0","19930228","+,,0","","","19930201",",4,0","0","4,,0,28,+","0",",,0,28,+","14.5","4,,0,01,","","","","","","","","","","","","","48.9","4,,,0","0",",,,0"
