"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"EN000026215","1966-03","58.233","22.5","4.0","KURESSAARE ROOMASSAA, EN","","","17",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19660328",",,I","","","","","","","12.3",",,I,28,","","","","","","","51.4",",,,I","","","","","",""
"EN000026215","1966-04","58.233","22.5","4.0","KURESSAARE ROOMASSAA, EN","","","14",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19660406",",,I","","","","","","","10.2",",,I,06,","","","","","","","39.2",",,,I","","","","","",""
"EN000026215","1966-05","58.233","22.5","4.0","KURESSAARE ROOMASSAA, EN","","","12",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19660506",",,I","","","","","","","10.8",",,I,06,","","","","","","","38.0",",,,I","","","","","",""
"EN000026215","1966-06","58.233","22.5","4.0","KURESSAARE ROOMASSAA, EN","","","7",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19660628",",,I","","","","","","","2.4",",,I,28,","","","","","","","10.0",",,,I","","","","","",""
"EN000026215","1966-07","58.233","22.5","4.0","KURESSAARE ROOMASSAA, EN","","","9",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19660712",",,I","","","","","","","15.9",",,I,12,","","","","","","","59.5",",,,I","","","","","",""
"EN000026215","1966-08","58.233","22.5","4.0","KURESSAARE ROOMASSAA, EN","","","13",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19660805",",,I","","","","","","","21.5",",,I,05,","","","","","","","67.0",",,,I","","","","","",""
"EN000026215","1966-09","58.233","22.5","4.0","KURESSAARE ROOMASSAA, EN","","","22","3,I","12","3,I","0","3,I","","","","","","","","","","","","","","","","","19660904",",3,I","","","","","","","14.6","3,,I,04,","","","","","","","78.4","3,,,I","","","","","",""
"EN000026215","1966-10","58.233","22.5","4.0","KURESSAARE ROOMASSAA, EN","","","18",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19661024",",,I","","","","","","","17.6",",,I,24,","","","","","","","56.3",",,,I","","","","","",""
"EN000026215","1966-11","58.233","22.5","4.0","KURESSAARE ROOMASSAA, EN","","","19",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19661120",",,I","","","","","","","6.7",",,I,20,","","","","","","","38.0",",,,I","","","","","",""
"EN000026215","1966-12","58.233","22.5","4.0","KURESSAARE ROOMASSAA, EN","","","24",",I","10",",I","0",",I","","","","","","","","","","","","","","","","","19661211",",,I","","","","","","","8.3",",,I,11,","","","","","","","64.6",",,,I","","","","","",""
