"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00093044","1949-02","35.0705","-108.8388","1923.6","ZUNI, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093044","1949-03","35.0705","-108.8388","1923.6","ZUNI, NM US","","","0.0",",0","5",",0","3",",0","0",",0","0",",0","1",",0","0",",0","29",",0","0",",0","1",",0","0",",0","3","","","","19490324",",,0","19490326","+,,0","19490331",",,0","1","","19490326",",,0","19490319",",,0","-8.9",",0,24,","0",",T,0,26,+","51",",,0,31,","3.6",",,0,26,","22.2",",0,19,","","","408.8",",0","11.7",",,,0","51",",,,0","5.15",",0","13.10",",,,0","-2.81",",,,0"
"USW00093044","1949-04","35.0705","-108.8388","1923.6","ZUNI, NM US","","","0.0",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","14",",0","0",",0","2","","","","19490401",",,0","19490401",",,0","19490404","+,,0","5","","19490418",",,0","19490424",",,0","-8.3",",0,01,","0",",T,0,01,","0",",T,0,04,+","7.1",",,0,18,","27.8",",0,24,","","","249.9",",0","7.1",",,,0","0",",T,,0","10.00",",0","19.05",",,,0","0.95",",,,0"
"USW00093044","1949-05","35.0705","-108.8388","1923.6","ZUNI, NM US","","","1.7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","22",",0","0",",0","","","","","19490507",",,0","19490531","+,,0","19490531","+,,0","6","","19490510",",,0","19490525",",,0","0.0",",0,07,","0",",,0,31,+","0",",,0,31,+","1.0",",,0,10,","31.1",",0,25,","","","137.5",",0","1.5",",,,0","0",",,,0","13.95",",0","23.23",",,,0","4.68",",,,0"
"USW00093044","1949-06","35.0705","-108.8388","1923.6","ZUNI, NM US","","","43.6",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","1",",0","","","","","19490605",",,0","19490630","+,,0","19490630","+,,0","11","","19490624",",,0","19490616",",,0","3.3",",0,05,","0",",,0,30,+","0",",,0,30,+","11.2",",,0,24,","32.2",",0,16,","","","34.9",",0","33.4",",,,0","0",",,,0","18.62",",0","27.76",",,,0","9.48",",,,0"
"USW00093044","1949-07","35.0705","-108.8388","1923.6","ZUNI, NM US","","","106.6",",0","8",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","9",",0","2","","","","19490707",",,0","19490731","+,,0","19490731","+,,0","18","","19490719",",,0","19490717","+,,0","10.6",",0,07,","0",",,0,31,+","0",",,0,31,+","19.3",",,0,19,","34.4",",0,17,+","0.3","0","0.3",",0","54.3",",,,0","0",",,,0","21.76",",0","29.67",",,,0","13.85",",,,0"
"USW00093044","1949-08","35.0705","-108.8388","1923.6","ZUNI, NM US","","","80.5",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","9",",0","","","","","19490819",",,0","19490831","+,,0","19490831","+,,0","8","","19490807",",,0","19490831","+,,0","6.7",",0,19,","0",",,0,31,+","0",",,0,31,+","11.2",",,0,07,","33.9",",0,31,+","2.2","0","1.9",",0","31.1",",,,0","0",",,,0","20.87",",0","29.86",",,,0","11.88",",,,0"
"USW00093044","1949-09","35.0705","-108.8388","1923.6","ZUNI, NM US","","","36.1",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","1","","","","19490921",",,0","19490930","+,,0","19490910",",,0","8","","19490913",",,0","19490901",",,0","6.1",",0,21,","0",",,0,30,+","0",",T,0,10,","19.6",",,0,13,","31.7",",0,01,","15.2","0","13.0",",0","36.2",",,,0","0",",T,,0","19.10",",0","27.76",",,,0","10.44",",,,0"
"USW00093044","1949-10","35.0705","-108.8388","1923.6","ZUNI, NM US","","","0.0",",0","5",",0","4",",0","0",",0","1",",0","2",",0","0",",0","15",",0","0",",0","12",",0","0",",0","4","","","","19491021",",,0","19491019",",,0","19491019",",,0","3","","19491019",",,0","19491003",",,0","-5.0",",0,21,","25",",,0,19,","51",",,0,19,","9.4",",,0,19,","28.3",",0,03,","265.8","0","250.6",",0","26.7",",,,0","89",",,,0","10.25",",0","19.01",",,,0","1.49",",,,0"
"USW00093044","1949-11","35.0705","-108.8388","1923.6","ZUNI, NM US","","","0.0",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","9",",0","0",",0","1","","","","19491123","+,,0","19491111",",,0","19491111","+,,0","","","19491111",",,0","19491104",",,0","-6.7",",0,23,+","0",",T,0,11,","0",",T,0,11,+","3.0",",,0,11,","24.4",",0,04,","580.0","0","314.2",",0","3.0",",,,0","0",",T,,0","7.86",",0","18.59",",,,0","-2.87",",,,0"
"USW00093044","1949-12","35.0705","-108.8388","1923.6","ZUNI, NM US","","","0.0",",0","5",",0","4",",0","0",",0","16","2,0","3","1,0","7",",0","30",",0","6",",0","0",",0","0",",0","4","","","","19491222",",,0","19491222","+,2,0","19491220",",1,0","","","19491220",",,0","19491204",",,0","-24.4",",0,22,","102","2,,0,22,+","102","1,,0,20,","5.1",",,0,20,","16.7",",0,04,","1201.9","0","621.9",",0","15.8",",,,0","203","1,,,0","-1.73",",0","7.33",",,,0","-10.79",",,,0"
"USW00093044","1950-01","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0",",0","5",",0","3",",0","0",",0","6",",0","3",",0","3",",0","29",",0","2",",0","0",",0","0",",0","3","","","","19500104",",,0","19500130",",,0","19500129",",,0","","","19500129",",,0","19500120",",,0","-20.0",",0,04,","229",",,0,30,","229",",,0,29,","14.2",",,0,29,","18.9",",0,20,","1778.1","0","576.2",",0","21.8",",,,0","313",",,,0","-0.25",",0","7.90",",,,0","-8.41",",,,0"
"USW00093044","1950-02","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0","1,0","5",",0","3",",0","0",",0","8",",0","2",",0","0","1,0","22","1,0","0",",0","0",",0","0",",0","5","","","","19500202",",1,0","19500201",",,0","19500211",",,0","","","19500211",",,0","19500225",",,0","-17.2","1,0,02,","152",",,0,01,","51",",,0,11,","6.9",",,0,11,","19.4",",0,25,","2158.9","0","380.8",",0","14.2",",,,0","76",",,,0","4.14","1,0","12.02",",,,0","-3.74","1,,,0"
"USW00093044","1950-03","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","28",",0","0",",0","2",",0","0",",0","4","","","","19500313",",,0","19500326","+,,0","19500326","+,,0","2","","19500302",",,0","19500331",",,0","-10.0",",0,13,","0",",T,0,26,+","0",",T,0,26,+","7.4",",,0,02,","23.3",",0,31,","2550.1","0","391.2",",0","10.7",",,,0","0",",T,,0","5.71",",0","14.57",",,,0","-3.14",",,,0"
"USW00093044","1950-04","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","11",",0","0",",0","17",",0","0",",0","","","","","19500410",",,0","19500430","+,,0","19500415",",,0","1","","19500408",",,0","19500421",",,0","-7.2",",0,10,","0",",,0,30,+","0",",T,0,15,","0.5",",,0,08,","26.7",",0,21,","2773.6","0","223.5",",0","0.5",",,,0","0",",T,,0","10.88",",0","20.67",",,,0","1.09",",,,0"
"USW00093044","1950-05","35.0705","-108.8388","1923.6","ZUNI, NM US","1.4","0","1.4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","26",",0","1",",0","","","","","19500505",",,0","19500504",",,0","19500504",",,0","1","","19500514","+,,0","19500531",",,0","-5.0",",0,05,","0",",T,0,04,","0",",T,0,04,","0.0",",T,0,14,+","32.2",",0,31,","2927.8","0","154.2",",0","0.0",",T,,0","0",",T,,0","13.40",",0","23.63",",,,0","3.17",",,,0"
"USW00093044","1950-06","35.0705","-108.8388","1923.6","ZUNI, NM US","38.7","0","37.3",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","9",",0","","","","","19500608",",,0","19500630","+,,0","19500630","+,,0","1","","19500622",",,0","19500630","+,,0","0.6",",0,08,","0",",,0,30,+","0",",,0,30,+","3.6",",,0,22,","35.0",",0,30,+","2950.9","0","23.1",",0","4.6",",,,0","0",",,,0","18.81",",0","29.86",",,,0","7.76",",,,0"
