"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00093193","1948-01","36.77999","-119.72016","101.9","FRESNO YOSEMITE INTERNATIONAL, CA US","","","","","","","","","","","0.0","0","0.0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","11",",X","0",",X","8",",X","0",",X","12","","","","19480130","+,,X","19480131","+,,X","19480131","+,,X","","","19480112","+,,X","19480124","+,,X","-1.7",",X,30,+","0",",,X,31,+","0",",,X,31,+","0.0",",T,X,12,+","22.8",",X,24,+","","","","","","","237.4",",X","","","","","","","","","","","","","","","","","","","","","0.0",",T,,X","","","","","","","","","0",",,,X","10.67",",X","19.04",",,,X","2.31",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1948-02","36.77999","-119.72016","101.9","FRESNO YOSEMITE INTERNATIONAL, CA US","","","","","","","","","","","0.0","0","0.0",",X","6",",X","3",",X","0",",X","0",",X","0",",X","0",",X","8",",X","0",",X","4",",X","0",",X","5","","","","19480212","+,,X","19480229","+,,X","19480229","+,,X","","","19480204",",,X","19480225",",,X","-2.2",",X,12,+","0",",,X,29,+","0",",,X,29,+","7.4",",,X,04,","23.3",",X,25,","","","","","","","258.1",",X","","","","","","","","","","","","","","","","","","","","","19.7",",,,X","","","","","","","","","0",",,,X","9.43",",X","16.78",",,,X","2.09",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1948-03","36.77999","-119.72016","101.9","FRESNO YOSEMITE INTERNATIONAL, CA US","","","","","","","","","","","0.0","0","0.0",",X","10",",X","6",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","11",",X","0",",X","2","","","","19480304",",,X","19480331","+,,X","19480331","+,,X","1","","19480313",",,X","19480327",",,X","0.6",",X,04,","0",",,X,31,+","0",",,X,31,+","19.1",",,X,13,","25.0",",X,27,","","","","","","","203.5",",X","","","","","","","","","","","","","","","","","","","","","58.2",",,,X","","","","","","","","","0",",,,X","11.77",",X","18.68",",,,X","4.86",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1948-04","36.77999","-119.72016","101.9","FRESNO YOSEMITE INTERNATIONAL, CA US","","","","","","","","","","","8.6","0","8.6",",X","11",",X","6",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","15",",X","0",",X","3","","","","19480404",",,X","19480430","+,,X","19480430","+,,X","1","","19480409",",,X","19480415",",,X","4.4",",X,04,","0",",,X,30,+","0",",,X,30,+","21.1",",,X,09,","29.4",",X,15,","","","","","","","95.9",",X","","","","","","","","","","","","","","","","","","","","","57.9",",,,X","","","","","","","","","0",",,,X","15.42",",X","22.11",",,,X","8.74",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1948-05","36.77999","-119.72016","101.9","FRESNO YOSEMITE INTERNATIONAL, CA US","","","","","","","","","","","50.8","0","42.2",",X","4",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","27",",X","5",",X","2","","","","19480509",",,X","19480531","+,,X","19480531","+,,X","1","","19480530",",,X","19480523","+,,X","6.1",",X,09,","0",",,X,31,+","0",",,X,31,+","9.7",",,X,30,","33.3",",X,23,+","","","","","","","38.5",",X","","","","","","","","","","","","","","","","","","","","","24.4",",,,X","","","","","","","","","0",",,,X","18.45",",X","26.52",",,,X","10.39",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1948-06","36.77999","-119.72016","101.9","FRESNO YOSEMITE INTERNATIONAL, CA US","","","","","","","","","","","229.8","0","179.0",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","18",",X","","","","","19480603","+,,X","19480630","+,,X","19480630","+,,X","","","19480605",",,X","19480630",",,X","12.2",",X,03,+","0",",,X,30,+","0",",,X,30,+","0.3",",,X,05,","42.2",",X,30,","","","","","","","0.0",",X","","","","","","","","","","","","","","","","","","","","","0.3",",,,X","","","","","","","","","0",",,,X","24.30",",X","33.31",",,,X","15.29",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1948-07","36.77999","-119.72016","101.9","FRESNO YOSEMITE INTERNATIONAL, CA US","","","","","","","","","","","491.6","0","261.8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","29",",0","","","","","19480705",",,0","19480731","+,,0","19480731","+,,0","","","19480731","+,,0","19480716",",,0","11.1",",0,05,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","43.3",",0,16,","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","0.0",",,,0","","","","","","","","","0",",,,0","26.78",",0","36.83",",,,0","16.73",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1948-08","36.77999","-119.72016","101.9","FRESNO YOSEMITE INTERNATIONAL, CA US","","","","","","","","","","","728.9","0","237.3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","29",",0","","","","","19480824",",,0","19480831","+,,0","19480831","+,,0","","","19480831","+,,0","19480802",",,0","12.8",",0,24,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","40.0",",0,02,","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","0.0",",,,0","","","","","","","","","0",",,,0","25.99",",0","36.12",",,,0","15.85",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1948-09","36.77999","-119.72016","101.9","FRESNO YOSEMITE INTERNATIONAL, CA US","","","","","","","","","","","886.9","0","158.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","19",",0","","","","","19480926","+,,0","19480930","+,,0","19480930","+,,0","","","19480930","+,,0","19480901",",,0","6.1",",0,26,+","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","40.0",",0,01,","10.0","0","","","","","10.0",",0","","","","","","","","","","","","","","","","","","","","","0.0",",,,0","","","","","","","","","0",",,,0","23.27",",0","33.24",",,,0","13.30",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1948-10","36.77999","-119.72016","101.9","FRESNO YOSEMITE INTERNATIONAL, CA US","","","","","","","","","","","923.0","0","36.1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","5",",0","1","","","","19481030","+,,0","19481031","+,,0","19481031","+,,0","1","","19481011",",,0","19481008",",,0","3.3",",0,30,+","0",",,0,31,+","0",",,0,31,+","2.0",",,0,11,","35.0",",0,08,","45.9","0","","","","","35.9",",0","","","","","","","","","","","","","","","","","","","","","2.0",",,,0","","","","","","","","","0",",,,0","18.34",",0","27.11",",,,0","9.56",",,,0","","","","","","","","","","","","","","","","","","","","","",""
