"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003919","1952-01","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","0.0","0","0.0",",0","2",",0","2",",0","0",",0","4",",0","2",",0","1",",0","31",",0","6",",0","0",",0","0",",0","6","","","","19520106",",,0","19520106","+,,0","19520103",",,0","","","19520103",",,0","19520121",",,0","-18.3",",0,06,","76",",,0,06,+","56",",,0,03,","5.1",",,0,03,","18.3",",0,21,","","","574.9",",0","7.9",",,,0","97",",,,0","-0.21",",0","7.19",",,,0","-7.61",",,,0","","","","","","","","","","","","","",""
"USW00003919","1952-02","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","0.0","0","0.0",",0","4",",0","2",",0","0",",0","1",",0","1",",0","0",",0","26",",0","0",",0","0",",0","0",",0","12","","","","19520220",",,0","19520224",",,0","19520224",",,0","","","19520212",",,0","19520207",",,0","-9.4",",0,20,","25",",,0,24,","25",",,0,24,","8.6",",,0,12,","20.6",",0,07,","","","430.7",",0","14.7",",,,0","25",",,,0","3.48",",0","10.47",",,,0","-3.51",",,,0","","","","","","","","","","","","","",""
"USW00003919","1952-03","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","0.9","0","0.9",",0","12",",0","9",",0","0",",0","6",",0","4",",0","0",",0","26",",0","4",",0","4",",0","0",",0","12","","","","19520304",",,0","19520303",",,0","19520303",",,0","2","","19520318",",,0","19520330",",,0","-17.2",",0,04,","152",",,0,03,","178",",,0,03,","14.0",",,0,18,","26.7",",0,30,","","","467.8",",0","55.2",",,,0","338",",,,0","3.27",",0","9.19",",,,0","-2.65",",,,0","","","","","","","","","","","","","",""
"USW00003919","1952-04","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","1.7","0","0.8",",0","13",",0","10",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","10",",0","0",",0","5","","","","19520406",",,0","19520430","+,,0","19520418","+,,0","7","","19520418",",,0","19520408",",,0","-4.4",",0,06,","0",",,0,30,+","0",",T,0,18,+","23.6",",,0,18,","30.6",",0,08,","","","229.4",",0","132.4",",,,0","0",",T,,0","10.72",",0","17.45",",,,0","3.98",",,,0","","","","","","","","","","","","","",""
"USW00003919","1952-05","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","45.4","0","43.7",",0","12",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","1",",0","3","","","","19520512",",,0","19520531","+,,0","19520531","+,,0","12","","19520523",",,0","19520505",",,0","1.1",",0,12,","0",",,0,31,+","0",",,0,31,+","22.6",",,0,23,","32.2",",0,05,","","","62.6",",0","108.8",",,,0","0",",,,0","17.72",",0","24.75",",,,0","10.70",",,,0","","","","","","","","","","","","","",""
"USW00003919","1952-06","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","326.6","0","281.2",",0","2",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","24",",0","1","","","","19520617",",,0","19520630","+,,0","19520630","+,,0","4","","19520618",",,0","19520629","+,,0","10.6",",0,17,","0",",,0,30,+","0",",,0,30,+","41.1",",,0,18,","38.9",",0,29,+","","","0.0",",0","63.7",",,,0","0",",,,0","27.71",",0","34.73",",,,0","20.68",",,,0","","","","","","","","","","","","","",""
"USW00003919","1952-07","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","605.7","0","279.1",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","25",",0","","","","","19520709",",,0","19520731","+,,0","19520731","+,,0","6","","19520714",",,0","19520726",",,0","10.0",",0,09,","0",",,0,31,+","0",",,0,31,+","14.0",",,0,14,","41.7",",0,26,","0.0","0","0.0",",0","36.1",",,,0","0",",,,0","27.34",",0","34.99",",,,0","19.68",",,,0","","","","","","","","","","","","","",""
"USW00003919","1952-08","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","860.4","0","254.7",",0","9",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","22",",0","2","","","","19520812",",,0","19520831","+,,0","19520831","+,,0","14","","19520821",",,0","19520801",",,0","13.9",",0,12,","0",",,0,31,+","0",",,0,31,+","31.8",",,0,21,","40.6",",0,01,","0.0","0","0.0",",0","107.3",",,,0","0",",,,0","26.55",",0","33.61",",,,0","19.48",",,,0","","","","","","","","","","","","","",""
"USW00003919","1952-09","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","983.1","0","122.7",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","17",",0","","","","","19520923",",,0","19520930","+,,0","19520930","+,,0","1","","19520901",",,0","19520916",",,0","5.0",",0,23,","0",",,0,30,+","0",",,0,30,+","23.4",",,0,01,","37.2",",0,16,","18.0","0","18.0",",0","26.5",",,,0","0",",,,0","21.82",",0","30.92",",,,0","12.73",",,,0","","","","","","","","","","","","","",""
"USW00003919","1952-10","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","988.7","0","5.6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","12",",0","0",",0","20",",0","1",",0","","","","","19521007",",,0","19521031","+,,0","19521031","+,,0","","","19521005",",,0","19521003",",,0","-6.1",",0,07,","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,05,","32.2",",0,03,","210.4","0","192.4",",0","0.0",",T,,0","0",",,,0","12.31",",0","22.10",",,,0","2.51",",,,0","","","","","","","","","","","","","",""
"USW00003919","1952-11","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","988.7","0","0.0",",0","7",",0","2",",0","0",",0","5",",0","2",",0","2",",0","19",",0","5",",0","6",",0","0",",0","2","","","","19521128",",,0","19521130","+,,0","19521125",",,0","2","","19521125",",,0","19521101",",,0","-20.6",",0,28,","152",",,0,30,+","152",",,0,25,","19.8",",,0,25,","27.8",",0,01,","624.1","0","413.7",",0","30.1",",,,0","208",",,,0","4.54",",0","12.21",",,,0","-3.12",",,,0","","","","","","","","","","","","","",""
"USW00003919","1952-12","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","988.7","0","0.0",",0","4",",0","2",",0","0",",0","17",",0","2",",0","0",",0","30",",0","11",",0","0",",0","0",",0","9","","","","19521227",",,0","19521201",",,0","19521221",",,0","","","19521219",",,0","19521216",",,0","-17.2",",0,27,","178",",,0,01,","76",",,0,21,","5.3",",,0,19,","15.6",",0,16,","1241.4","0","617.3",",0","10.7",",,,0","111",",,,0","-1.58",",0","3.82",",,,0","-6.97",",,,0","","","","","","","","","","","","","",""
"USW00003919","1953-01","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","0.0","0","0.0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","1",",0","30",",0","5",",0","0",",0","0",",0","8","","","","19530116",",,0","19530101",",,0","19530122","+,,0","","","19530122","+,,0","19530126",",,0","-17.8",",0,16,","51",",,0,01,","0",",T,0,22,+","0.0",",T,0,22,+","18.3",",0,26,","1778.8","0","537.4",",0","0.0",",T,,0","0",",T,,0","1.00",",0","7.15",",,,0","-5.15",",,,0","","","","","","","","","","","","","",""
"USW00003919","1953-02","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","0.0","0","0.0",",0","5",",0","2",",0","0",",0","1",",0","0",",0","0",",0","25",",0","0",",0","1",",0","0",",0","5","","","","19530221",",,0","19530211",",,0","19530211",",,0","1","","19530219",",,0","19530204",",,0","-12.8",",0,21,","25",",,0,11,","5",",,0,11,","4.6",",,0,19,","23.9",",0,04,","2189.8","0","411.0",",0","9.5",",,,0","5",",,,0","3.65",",0","11.75",",,,0","-4.44",",,,0","","","","","","","","","","","","","",""
"USW00003919","1953-03","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","3.0","0","3.0",",0","6",",0","4",",0","0",",0","6",",0","1",",0","0",",0","15",",0","1",",0","3",",0","0",",0","11","","","","19530304",",,0","19530304",",,0","19530303",",,0","3","","19530303",",,0","19530320",",,0","-12.2",",0,04,","102",",,0,04,","107",",,0,03,","19.1",",,0,03,","29.4",",0,20,","2522.2","0","332.4",",0","55.2",",,,0","130",",,,0","7.71",",0","14.47",",,,0","0.95",",,,0","","","","","","","","","","","","","",""
"USW00003919","1953-04","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","10.2","0","7.2",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","9",",0","1",",0","3","","","","19530416",",,0","19530411",",,0","19530411",",,0","3","","19530424",",,0","19530422",",,0","-6.7",",0,16,","0",",T,0,11,","10",",,0,11,","17.8",",,0,24,","33.3",",0,22,","2778.8","0","256.6",",0","38.6",",,,0","10",",,,0","10.02",",0","17.33",",,,0","2.72",",,,0","","","","","","","","","","","","","",""
"USW00003919","1953-05","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","83.3","0","73.1",",0","10",",0","6",",0","2",",0","0",",0","0",",0","0",",0","1",",0","0",",0","20",",0","7",",0","7","","","","19530514",",,0","19530531","+,,0","19530513",",,0","4","","19530527",",,0","19530525",",,0","-2.8",",0,14,","0",",,0,31,+","0",",T,0,13,","78.0",",,0,27,","36.7",",0,25,","2885.4","0","106.6",",0","142.0",",,,0","0",",T,,0","17.25",",0","23.85",",,,0","10.65",",,,0","","","","","","","","","","","","","",""
"USW00003919","1953-06","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","357.1","0","273.8",",0","9",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","22",",0","","","","","19530606",",,0","19530630","+,,0","19530627",",,0","14","","19530605",",,0","19530613","+,,0","13.3",",0,06,","0",",,0,30,+","0",",T,0,27,","17.3",",,0,05,","41.7",",0,13,+","2887.4","0","2.0",",0","56.8",",,,0","0",",T,,0","27.39",",0","34.59",",,,0","20.20",",,,0","","","","","","","","","","","","","",""
"USW00003919","1953-07","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","596.1","0","239.0",",0","9",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","19",",0","4","","","","19530713",",,0","19530731","+,,0","19530731","+,,0","10","","19530711",",,0","19530704",",,0","13.3",",0,13,","0",",,0,31,+","0",",,0,31,+","29.2",",,0,11,","41.1",",0,04,","0.0","0","0.0",",0","58.4",",,,0","0",",,,0","26.04",",0","32.91",",,,0","19.18",",,,0","","","","","","","","","","","","","",""
"USW00003919","1953-08","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","822.3","0","226.2",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","22",",0","1","","","","19530819",",,0","19530831","+,,0","19530831","+,,0","5","","19530803",",,0","19530801",",,0","11.7",",0,19,","0",",,0,31,+","0",",,0,31,+","14.2",",,0,03,","40.0",",0,01,","0.0","0","0.0",",0","31.7",",,,0","0",",,,0","25.63",",0","33.28",",,,0","17.98",",,,0","","","","","","","","","","","","","",""
"USW00003919","1953-09","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","951.1","0","128.8",",0","2",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","13",",0","","","","","19530921",",,0","19530930","+,,0","19530930","+,,0","3","","19530903",",,0","19530928",",,0","4.4",",0,21,","0",",,0,30,+","0",",,0,30,+","37.6",",,0,03,","41.7",",0,28,","12.8","0","12.8",",0","38.9",",,,0","0",",,,0","22.20",",0","31.20",",,,0","13.19",",,,0","","","","","","","","","","","","","",""
"USW00003919","1953-10","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","996.5","0","45.4",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","24",",0","3",",0","","","","","19531027",",,0","19531031","+,,0","19531031","+,,0","2","","19531016",",,0","19531010","+,,0","-4.4",",0,27,","0",",,0,31,+","0",",,0,31,+","3.6",",,0,16,","33.9",",0,10,+","120.0","0","107.2",",0","6.9",",,,0","0",",,,0","16.34",",0","24.93",",,,0","7.75",",,,0","","","","","","","","","","","","","",""
"USW00003919","1953-11","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","996.5","0","0.0",",0","6",",0","4",",0","1",",0","3",",0","2",",0","0",",0","17",",0","0",",0","7",",0","0",",0","7","","","","19531122",",,0","19531107",",,0","19531106",",,0","1","","19531119",",,0","19531102",",,0","-6.1",",0,22,","178",",,0,07,","178",",,0,06,","26.9",",,0,19,","25.6",",0,02,","445.2","0","325.2",",0","46.7",",,,0","229",",,,0","7.49",",0","13.80",",,,0","1.18",",,,0","","","","","","","","","","","","","",""
"USW00003919","1953-12","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","996.5","0","0.0",",0","5",",0","3",",0","0",",0","2",",0","2",",0","0",",0","27",",0","1",",0","0",",0","0",",0","5","","","","19531223",",,0","19531222",",,0","19531221",",,0","1","","19531202",",,0","19531231","+,,0","-16.7",",0,23,","76",",,0,22,","102",",,0,21,","24.9",",,0,02,","15.6",",0,31,+","965.2","0","520.0",",0","49.8",",,,0","127",",,,0","1.56",",0","7.76",",,,0","-4.64",",,,0","","","","","","","","","","","","","",""
"USW00003919","1954-01","38.77996","-97.64444","385.0","SALINA MUNICIPAL AIRPORT, KS US","","","0.0","X","0.0",",0","3",",0","0",",0","0",",0","1",",0","0",",0","3",",0","31",",0","11",",0","0",",0","0",",0","5","","","","19540121",",,0","19540113",",,0","19540113",",,0","","","19540113",",,0","19540131","+,,0","-20.6",",0,21,","25",",,0,13,","13",",,0,13,","0.5",",,0,13,","18.3",",0,31,+","1609.8","X","644.6",",0","1.1",",,,0","18",",,,0","-2.46",",0","4.81",",,,0","-9.73",",,,0","","","","","","","","","","","","","",""
