"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00029653","1936-01","55.3","89.817","387.0","UZUR, RS","8",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19360105",",,I","","","","","","","2.0",",,I,05,","","","7.1",",,,I","","","","","",""
"RSM00029653","1936-02","55.3","89.817","387.0","UZUR, RS","7",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19360201",",,I","","","","","","","8.2",",,I,01,","","","14.1",",,,I","","","","","",""
"RSM00029653","1936-03","55.3","89.817","387.0","UZUR, RS","4",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19360325",",,I","","","","","","","3.1",",,I,25,","","","4.9",",,,I","","","","","",""
"RSM00029653","1936-04","55.3","89.817","387.0","UZUR, RS","6",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19360429",",,I","","","","","","","7.0",",,I,29,","","","14.3",",,,I","","","","","",""
"RSM00029653","1936-05","55.3","89.817","387.0","UZUR, RS","14",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19360530",",,I","","","","","","","7.9",",,I,30,","","","30.7",",,,I","","","","","",""
"RSM00029653","1936-06","55.3","89.817","387.0","UZUR, RS","15",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19360604",",,I","","","","","","","11.2",",,I,04,","","","53.3",",,,I","","","","","",""
"RSM00029653","1936-07","55.3","89.817","387.0","UZUR, RS","12",",I","6",",I","2",",I","","","","","","","","","","","","","","","","","19360725",",,I","","","","","","","38.0",",,I,25,","","","98.0",",,,I","","","","","",""
"RSM00029653","1936-08","55.3","89.817","387.0","UZUR, RS","13",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19360802",",,I","","","","","","","20.5",",,I,02,","","","59.7",",,,I","","","","","",""
"RSM00029653","1936-09","55.3","89.817","387.0","UZUR, RS","11",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19360927",",,I","","","","","","","16.4",",,I,27,","","","51.7",",,,I","","","","","",""
"RSM00029653","1936-10","55.3","89.817","387.0","UZUR, RS","7",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19361016",",,I","","","","","","","3.0",",,I,16,","","","11.5",",,,I","","","","","",""
"RSM00029653","1936-11","55.3","89.817","387.0","UZUR, RS","12",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19361112",",,I","","","","","","","10.6",",,I,12,","","","31.8",",,,I","","","","","",""
"RSM00029653","1936-12","55.3","89.817","387.0","UZUR, RS","9",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19361205",",,I","","","","","","","8.8",",,I,05,","","","15.3",",,,I","","","","","",""
"RSM00029653","1937-01","55.3","89.817","387.0","UZUR, RS","13",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19370119",",,I","","","","","","","1.4",",,I,19,","","","8.1",",,,I","","","","","",""
"RSM00029653","1937-02","55.3","89.817","387.0","UZUR, RS","4",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19370201",",,I","","","","","","","1.8",",,I,01,","","","3.5",",,,I","","","","","",""
"RSM00029653","1937-03","55.3","89.817","387.0","UZUR, RS","10",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19370312",",,I","","","","","","","3.6",",,I,12,","","","18.7",",,,I","","","","","",""
"RSM00029653","1937-04","55.3","89.817","387.0","UZUR, RS","14",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19370413",",,I","","","","","","","3.2",",,I,13,","","","14.9",",,,I","","","","","",""
"RSM00029653","1937-05","55.3","89.817","387.0","UZUR, RS","11",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19370521",",,I","","","","","","","6.9",",,I,21,","","","23.5",",,,I","","","","","",""
"RSM00029653","1937-06","55.3","89.817","387.0","UZUR, RS","13",",I","9",",I","0",",I","","","","","","","","","","","","","","","","","19370613",",,I","","","","","","","9.3",",,I,13,","","","60.4",",,,I","","","","","",""
"RSM00029653","1937-07","55.3","89.817","387.0","UZUR, RS","16",",I","8",",I","0",",I","","","","","","","","","","","","","","","","","19370721",",,I","","","","","","","15.4",",,I,21,","","","58.8",",,,I","","","","","",""
"RSM00029653","1937-08","55.3","89.817","387.0","UZUR, RS","13",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19370806",",,I","","","","","","","11.8",",,I,06,","","","46.1",",,,I","","","","","",""
"RSM00029653","1937-09","55.3","89.817","387.0","UZUR, RS","15",",I","8",",I","0",",I","","","","","","","","","","","","","","","","","19370925",",,I","","","","","","","15.5",",,I,25,","","","65.4",",,,I","","","","","",""
"RSM00029653","1937-10","55.3","89.817","387.0","UZUR, RS","10",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19371028",",,I","","","","","","","2.6",",,I,28,","","","10.2",",,,I","","","","","",""
"RSM00029653","1937-11","55.3","89.817","387.0","UZUR, RS","17",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19371128",",,I","","","","","","","5.3",",,I,28,","","","28.8",",,,I","","","","","",""
"RSM00029653","1937-12","55.3","89.817","387.0","UZUR, RS","14",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19371230",",,I","","","","","","","3.0",",,I,30,","","","15.1",",,,I","","","","","",""
"RSM00029653","1938-01","55.3","89.817","387.0","UZUR, RS","10",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19380117",",,I","","","","","","","2.5",",,I,17,","","","11.9",",,,I","","","","","",""
"RSM00029653","1938-02","55.3","89.817","387.0","UZUR, RS","9",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19380211",",,I","","","","","","","2.5",",,I,11,","","","12.7",",,,I","","","","","",""
"RSM00029653","1938-03","55.3","89.817","387.0","UZUR, RS","2",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19380301",",,I","","","","","","","4.8",",,I,01,","","","7.1",",,,I","","","","","",""
"RSM00029653","1938-04","55.3","89.817","387.0","UZUR, RS","9",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19380417",",,I","","","","","","","5.1",",,I,17,","","","13.1",",,,I","","","","","",""
"RSM00029653","1938-05","55.3","89.817","387.0","UZUR, RS","13",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19380520",",,I","","","","","","","17.0",",,I,20,","","","52.8",",,,I","","","","","",""
"RSM00029653","1938-06","55.3","89.817","387.0","UZUR, RS","14",",I","6",",I","1",",I","","","","","","","","","","","","","","","","","19380625",",,I","","","","","","","37.0",",,I,25,","","","83.8",",,,I","","","","","",""
"RSM00029653","1938-07","55.3","89.817","387.0","UZUR, RS","14",",I","8",",I","0",",I","","","","","","","","","","","","","","","","","19380709",",,I","","","","","","","11.1",",,I,09,","","","53.5",",,,I","","","","","",""
"RSM00029653","1938-08","55.3","89.817","387.0","UZUR, RS","16",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19380803",",,I","","","","","","","8.3",",,I,03,","","","40.3",",,,I","","","","","",""
"RSM00029653","1938-09","55.3","89.817","387.0","UZUR, RS","15",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19380912",",,I","","","","","","","12.0",",,I,12,","","","55.7",",,,I","","","","","",""
"RSM00029653","1938-10","55.3","89.817","387.0","UZUR, RS","21",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19381029",",,I","","","","","","","3.9",",,I,29,","","","24.9",",,,I","","","","","",""
"RSM00029653","1938-11","55.3","89.817","387.0","UZUR, RS","14",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19381105",",,I","","","","","","","4.5",",,I,05,","","","21.6",",,,I","","","","","",""
"RSM00029653","1938-12","55.3","89.817","387.0","UZUR, RS","17",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19381201",",,I","","","","","","","3.3",",,I,01,","","","19.9",",,,I","","","","","",""
"RSM00029653","1939-01","55.3","89.817","387.0","UZUR, RS","12",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19390108",",,I","","","","","","","2.4",",,I,08,","","","11.9",",,,I","","","","","",""
"RSM00029653","1939-02","55.3","89.817","387.0","UZUR, RS","8",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19390205",",,I","","","","","","","3.3",",,I,05,","","","10.9",",,,I","","","","","",""
"RSM00029653","1939-03","55.3","89.817","387.0","UZUR, RS","11",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19390327",",,I","","","","","","","3.5",",,I,27,","","","10.8",",,,I","","","","","",""
"RSM00029653","1939-04","55.3","89.817","387.0","UZUR, RS","4",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19390423",",,I","","","","","","","10.7",",,I,23,","","","17.7",",,,I","","","","","",""
