"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00129430","1901-01","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","0.0","0","0.0",",0","7",",0","3",",0","0",",0","4",",0","1",",0","3",",0","28",",0","16",",0","0",",0","0",",0","1","","19010101",",,0","19010130","+,,0","19010126",",,0","","","19010109",",,0","19010115","+,,0","-21.7",",0,01,","25",",,0,30,+","25",",,0,26,","18.8",",,0,09,","13.3",",0,15,+","","","","","","","","","","","","","637.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.4",",,,0","53",",,,0","-2.21",",0","2.85",",,,0","-7.28",",,,0","",""
"USC00129430","1901-02","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","0.0","0","0.0","2,0","9",",0","6",",0","0",",0","14",",0","3",",0","2",",0","28",",0","17","2,0","0","2,0","0","2,0","","","19010206",",,0","19010214","+,,0","19010202",",,0","","","19010202",",,0","19010215",",2,0","-20.0",",0,06,","51",",,0,14,+","58",",,0,02,","17.8",",,0,02,","8.3","2,0,15,","","","","","","","","","","","","","640.3","2,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.9",",,,0","203",",,,0","-6.32","2,0","-1.11","2,,,0","-11.53",",,,0","",""
"USC00129430","1901-03","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","0.0","0","0.0",",0","15",",0","10",",0","2",",0","0",",0","1",",0","0",",0","18",",0","3",",0","1",",0","0",",0","","","19010306","+,,0","19010321","+,,0","19010321",",,0","","","19010309",",,0","19010318",",,0","-16.1",",0,06,+","0",",T,0,21,+","51",",,0,21,","36.3",",,0,09,","21.1",",0,18,","","","","","","","","","","","","","453.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133.7",",,,0","89",",,,0","3.70",",0","8.37",",,,0","-0.97",",,,0","",""
"USC00129430","1901-04","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","3.0","0","3.0",",0","12",",0","7",",0","0",",0","0",",0","1",",0","0",",0","8",",0","0",",0","5",",0","0",",0","","","19010401",",,0","19010430","+,,0","19010418",",,0","","","19010418",",,0","19010430",",,0","-3.9",",0,01,","0",",,0,30,+","25",",,0,18,","14.2",",,0,18,","30.0",",0,30,","","","","","","","","","","","","","275.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.7",",,,0","25",",,,0","9.27",",0","14.89",",,,0","3.65",",,,0","",""
"USC00129430","1901-05","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","18.0","0","15.0",",0","15",",0","9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","16",",0","0",",0","","","19010513",",,0","19010531","+,,0","19010531","+,,0","","","19010528",",,0","19010502",",,0","2.8",",0,13,","0",",,0,31,+","0",",,0,31,+","24.9",",,0,28,","31.1",",0,02,","","","","","","","","","","","","","110.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.5",",,,0","0",",,,0","15.27",",0","21.09",",,,0","9.44",",,,0","",""
"USC00129430","1901-06","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","167.7","0","149.7",",0","11",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","6",",0","","","19010608",",,0","19010630","+,,0","19010630","+,,0","","","19010606",",,0","19010630",",,0","3.9",",0,08,","0",",,0,30,+","0",",,0,30,+","30.7",",,0,06,","35.0",",0,30,","","","","","","","","","","","","","18.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.3",",,,0","0",",,,0","22.71",",0","28.42",",,,0","17.00",",,,0","",""
"USC00129430","1901-07","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","444.6","0","276.9",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","26",",0","","","19010708",",,0","19010731","+,,0","19010731","+,,0","","","19010705",",,0","19010724","+,,0","10.6",",0,08,","0",",,0,31,+","0",",,0,31,+","6.6",",,0,05,","40.0",",0,24,+","","","0.0","0","","","","","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2",",,,0","0",",,,0","27.26",",0","34.64",",,,0","19.89",",,,0","",""
"USC00129430","1901-08","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","626.0","0","181.4",",0","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","10",",0","","","19010811",",,0","19010831","+,,0","19010831","+,,0","","","19010822",",,0","19010802",",,0","11.1",",0,11,","0",",,0,31,+","0",",,0,31,+","19.1",",,0,22,","38.3",",0,02,","","","0.0","0","","","","","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.6",",,,0","0",",,,0","24.19",",0","30.89",",,,0","17.48",",,,0","",""
"USC00129430","1901-09","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","696.1","0","70.1",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","3",",0","1","","19010919",",,0","19010930","+,,0","19010930","+,,0","","","19010910",",,0","19010907","+,,0","0.6",",0,19,","0",",,0,30,+","0",",,0,30,+","15.0",",,0,10,","33.9",",0,07,+","","","40.3","0","","","","","","","","","40.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.2",",,,0","0",",,,0","19.33",",0","26.43",",,,0","12.22",",,,0","",""
"USC00129430","1901-10","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","700.8","0","4.7",",0","7",",0","4",",0","1",",0","0",",0","0",",0","0",",0","3",",0","0",",0","17",",0","0",",0","","","19011005",",,0","19011031","+,,0","19011031","+,,0","","","19011012",",,0","19011001",",,0","-1.7",",0,05,","0",",,0,31,+","0",",,0,31,+","75.7",",,0,12,","29.4",",0,01,","","","198.3","0","","","","","","","","","158.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121.6",",,,0","0",",,,0","13.39",",0","20.09",",,,0","6.69",",,,0","",""
