"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00097028","1995-04","1.017","120.8","2.0","TOLI TOLI LALOS, ID","","","","","","","0","5,S","25","5,S","4","5,S","","","19950406",",5,S","","","32.6","5,S,06,","","","","","31.42","5,,,S","",""
"IDM00097028","1995-08","1.017","120.8","2.0","TOLI TOLI LALOS, ID","","","","","","","0","5,S","26","5,S","0","5,S","","","19950827",",5,S","","","31.5","5,S,27,","","","","","30.38","5,,,S","",""
"IDM00097028","1995-09","1.017","120.8","2.0","TOLI TOLI LALOS, ID","227.3","5,S","0","4,S","0","4,S","0","1,S","29","1,S","0","1,S","19950908",",4,S","19950916",",1,S","22.0","4,S,08,","31.9","1,S,16,","0.0","1,S","27.30","5,S","31.01","1,,,S","23.58","4,,,S"
"IDM00097028","1995-10","1.017","120.8","2.0","TOLI TOLI LALOS, ID","","","0","5,S","0","5,S","0","2,S","29","2,S","0","2,S","19951007",",5,S","19951027",",2,S","18.8","5,S,07,","32.1","2,S,27,","","","27.09","7,S","30.96","2,,,S","23.22","5,,,S"
"IDM00097028","1995-11","1.017","120.8","2.0","TOLI TOLI LALOS, ID","238.1","3,S","0","3,S","0","3,S","0",",S","30",",S","1",",S","19951116",",3,S","19951129",",,S","22.0","3,S,16,","32.8",",S,29,","0.0",",S","27.09","3,S","30.86",",,,S","23.31","3,,,S"
"IDM00097028","1995-12","1.017","120.8","2.0","TOLI TOLI LALOS, ID","","","0","5,S","0","5,S","","","","","","","19951214",",5,S","","","21.8","5,S,14,","","","","","","","","","23.23","5,,,S"
"IDM00097028","1996-01","1.017","120.8","2.0","TOLI TOLI LALOS, ID","","","0","5,S","0","5,S","0","5,S","26","5,S","0","5,S","19960131",",5,S","19960116",",5,S","22.0","5,S,31,","31.0","5,S,16,","","","26.19","9,S","29.26","5,,,S","23.12","5,,,S"
"IDM00097028","1996-02","1.017","120.8","2.0","TOLI TOLI LALOS, ID","191.5","5,S","0","5,S","0","5,S","0","1,S","28","1,S","0","1,S","19960221",",5,S","19960217",",1,S","22.0","5,S,21,","31.8","1,S,17,","0.0","1,S","26.37","5,S","29.62","1,,,S","23.11","5,,,S"
"IDM00097028","1996-03","1.017","120.8","2.0","TOLI TOLI LALOS, ID","","","0","5,S","0","5,S","0","3,S","28","3,S","1","3,S","19960302",",5,S","19960318",",3,S","22.2","5,S,02,","32.4","3,S,18,","","","27.02","8,S","30.66","3,,,S","23.37","5,,,S"
"IDM00097028","1996-04","1.017","120.8","2.0","TOLI TOLI LALOS, ID","","","","","","","0","2,S","28","2,S","1","2,S","","","19960414",",2,S","","","32.6","2,S,14,","","","","","30.94","2,,,S","",""
"IDM00097028","1996-05","1.017","120.8","2.0","TOLI TOLI LALOS, ID","","","0","5,S","0","5,S","0","5,S","26","5,S","2","5,S","19960515",",5,S","19960522","+,5,S","22.6","5,S,15,","32.2","5,S,22,+","","","27.25","8,S","30.90","5,,,S","23.59","5,,,S"
"IDM00097028","1996-06","1.017","120.8","2.0","TOLI TOLI LALOS, ID","","","0","2,S","0","2,S","","","","","","","19960606",",2,S","","","22.6","2,S,06,","","","","","","","","","23.67","2,,,S"
"IDM00097028","1996-08","1.017","120.8","2.0","TOLI TOLI LALOS, ID","","","","","","","0","2,S","29","2,S","1","2,S","","","19960814",",2,S","","","32.4","2,S,14,","","","","","30.61","2,,,S","",""
"IDM00097028","1996-09","1.017","120.8","2.0","TOLI TOLI LALOS, ID","","","","","","","0",",S","30",",S","2",",S","","","19960915",",,S","","","32.4",",S,15,","","","","","31.11",",,,S","",""
"IDM00097028","1996-10","1.017","120.8","2.0","TOLI TOLI LALOS, ID","233.9","4,S","0","3,S","0","3,S","0","2,S","29","2,S","1","2,S","19961007",",3,S","19961015",",2,S","20.6","3,S,07,","32.5","2,S,15,","0.0","2,S","26.93","4,S","30.76","2,,,S","23.10","3,,,S"
"IDM00097028","1996-11","1.017","120.8","2.0","TOLI TOLI LALOS, ID","","","","","","","0","4,S","26","4,S","3","4,S","","","19961106",",4,S","","","33.2","4,S,06,","","","","","30.73","4,,,S","",""
"IDM00097028","1996-12","1.017","120.8","2.0","TOLI TOLI LALOS, ID","","","","","","","0","5,S","26","5,S","1","5,S","","","19961226",",5,S","","","33.2","5,S,26,","","","","","30.05","5,,,S","",""
"IDM00097028","1997-02","1.017","120.8","2.0","TOLI TOLI LALOS, ID","196.0","4,S","0","1,S","0","1,S","0","3,S","25","3,S","0","3,S","19970209","+,1,S","19970209",",3,S","22.2","1,S,09,+","31.2","3,S,09,","0.0","3,S","26.50","4,S","29.96","3,,,S","23.04","1,,,S"
"IDM00097028","1997-03","1.017","120.8","2.0","TOLI TOLI LALOS, ID","","","","","","","0","1,S","30","1,S","5","1,S","","","19970326","+,1,S","","","32.8","1,S,26,+","","","","","30.81","1,,,S","",""
"IDM00097028","1997-04","1.017","120.8","2.0","TOLI TOLI LALOS, ID","","","","","","","0","3,S","27","3,S","2","3,S","","","19970421",",3,S","","","32.7","3,S,21,","","","","","31.22","3,,,S","",""
