"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00055805","1920-04","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","6",",6","6",",6","1",",6","6",",6","","","19200419",",,6","19200419",",,6","381",",,6,19,","91.9",",,6,19,","161.6",",,,6","1006",",,,6"
"USC00055805","1920-05","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","3",",6","1",",6","0",",6","","","","","","","19200508",",,6","","","15.2",",,6,08,","18.7",",,,6","",""
"USC00055805","1920-06","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","9",",6","7",",6","0",",6","0",",6","","","19200630","+,,6","19200614",",,6","0",",,6,30,+","8.9",",,6,14,","41.0",",,,6","0",",,,6"
"USC00055805","1920-07","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","6",",6","5",",6","0",",6","","","","","","","19200725",",,6","","","17.8",",,6,25,","42.0",",,,6","",""
"USC00055805","1920-08","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","6",",6","4",",6","1",",6","","","","","","","19200820",",,6","","","36.8",",,6,20,","65.2",",,,6","",""
"USC00055805","1920-10","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","6",",6","5",",6","0",",6","3",",6","","","19201031",",,6","19201031",",,6","178",",,6,31,","19.8",",,6,31,","42.3",",,,6","280",",,,6"
"USC00055805","1921-03","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","4",",6","4",",6","0",",6","","","","","","","19210327",",,6","","","14.0",",,6,27,","33.5",",,,6","",""
"USC00055805","1921-12","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","4",",6","2",",6","0",",6","","","","","","","19211202",",,6","","","21.8",",,6,02,","42.9",",,,6","",""
"USC00055805","1922-04","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","9",",6","6",",6","1",",6","","","","","","","19220417",",,6","","","40.6",",,6,17,","114.3",",,,6","",""
"USC00055805","1922-06","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","4",",6","2",",6","0",",6","0",",6","","","19220630","+,,6","19220625",",,6","0",",,6,30,+","14.0",",,6,25,","18.8",",,,6","0",",,,6"
"USC00055805","1922-07","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","11",",6","9",",6","0",",6","0",",6","","","19220731","+,,6","19220721",",,6","0",",,6,31,+","14.2",",,6,21,","56.9",",,,6","0",",,,6"
"USC00055805","1922-08","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","12",",6","10",",6","0",",6","","","","","","","19220817",",,6","","","15.7",",,6,17,","85.2",",,,6","",""
"USC00055805","1922-09","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","2",",6","2",",6","0",",6","0",",6","","","19220930","+,,6","19220902",",,6","0",",,6,30,+","7.9",",,6,02,","10.7",",,,6","0",",,,6"
"USC00055805","1922-10","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","3",",6","3",",6","0",",6","2",",6","","","19221016",",,6","19221021",",,6","51",",,6,16,","12.7",",,6,21,","18.2",",,,6","89",",,,6"
"USC00055805","1922-11","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","4",",6","3",",6","1",",6","3",",6","","","19221112",",,6","19221112",",,6","406",",,6,12,","40.6",",,6,12,","55.6",",,,6","546",",,,6"
"USC00055805","1922-12","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","3",",6","1",",6","0",",6","2",",6","","","19221225",",,6","19221225",",,6","178",",,6,25,","17.5",",,6,25,","20.8",",,,6","216",",,,6"
"USC00055805","1923-01","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","1",",6","1",",6","0",",6","1",",6","","","19230125",",,6","19230125",",,6","51",",,6,25,","4.1",",,6,25,","4.1",",,,6","51",",,,6"
"USC00055805","1923-02","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","4","2,6","3","2,6","1","2,6","6",",6","","","19230226",",,6","19230226",",2,6","356",",,6,26,","26.9","2,,6,26,","57.4","2,,,6","850",",,,6"
"USC00055805","1923-03","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","5",",6","5",",6","1",",6","5",",6","","","19230321",",,6","19230321",",,6","406",",,6,21,","30.5",",,6,21,","65.9",",,,6","914",",,,6"
"USC00055805","1923-04","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","3",",6","2",",6","0",",6","2",",6","","","19230422","+,,6","19230422",",,6","25",",,6,22,+","10.4",",,6,22,","14.9",",,,6","50",",,,6"
"USC00055805","1923-05","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","12",",6","9",",6","1",",6","1",",6","","","19230515",",,6","19230513",",,6","51",",,6,15,","31.0",",,6,13,","91.7",",,,6","51",",,,6"
"USC00055805","1923-06","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","9",",6","8",",6","1",",6","","","","","","","19230609",",,6","","","42.9",",,6,09,","93.7",",,,6","",""
"USC00055805","1923-07","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","9",",6","8",",6","1",",6","0",",6","","","19230731","+,,6","19230727",",,6","0",",,6,31,+","36.6",",,6,27,","109.7",",,,6","0",",,,6"
"USC00055805","1923-08","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","11",",6","10",",6","3",",6","0",",6","","","19230824","+,,6","19230816",",,6","0",",T,6,24,+","42.9",",,6,16,","144.6",",,,6","0",",T,,6"
"USC00055805","1923-09","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","4",",6","2",",6","0",",6","0",",6","","","19230930","+,,6","19230917",",,6","0",",,6,30,+","12.7",",,6,17,","18.7",",,,6","0",",,,6"
"USC00055805","1923-10","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","6",",6","6",",6","0",",6","","","","","","","19231003",",,6","","","24.4",",,6,03,","74.5",",,,6","",""
"USC00055805","1923-12","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","2",",6","2",",6","1",",6","2",",6","","","19231209",",,6","19231209",",,6","406",",,6,09,","26.2",",,6,09,","29.2",",,,6","457",",,,6"
"USC00055805","1924-01","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","1",",6","1",",6","0",",6","1",",6","","","19240111",",,6","19240111",",,6","152",",,6,11,","23.6",",,6,11,","23.6",",,,6","152",",,,6"
"USC00055805","1924-02","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","1",",6","1",",6","0",",6","1",",6","","","19240210",",,6","19240210",",,6","127",",,6,10,","5.6",",,6,10,","5.6",",,,6","127",",,,6"
"USC00055805","1924-03","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","4",",6","4",",6","0",",6","4",",6","","","19240312",",,6","19240312",",,6","330",",,6,12,","16.5",",,6,12,","29.7",",,,6","584",",,,6"
"USC00055805","1924-04","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","4",",6","4",",6","0",",6","2",",6","","","19240426",",,6","19240426",",,6","305",",,6,26,","16.0",",,6,26,","29.3",",,,6","356",",,,6"
"USC00055805","1924-05","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","5",",6","5",",6","2",",6","0",",6","","","19240531","+,,6","19240527",",,6","0",",,6,31,+","33.0",",,6,27,","75.1",",,,6","0",",,,6"
"USC00055805","1924-06","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","1",",6","0",",6","0",",6","0",",6","","","19240630","+,,6","19240601",",,6","0",",,6,30,+","1.3",",,6,01,","1.3",",,,6","0",",,,6"
"USC00055805","1924-07","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","6",",6","5",",6","1",",6","0",",6","","","19240731","+,,6","19240708",",,6","0",",,6,31,+","29.5",",,6,08,","48.3",",,,6","0",",,,6"
"USC00055805","1924-08","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","2",",6","1",",6","0",",6","0",",6","","","19240831","+,,6","19240809",",,6","0",",,6,31,+","5.3",",,6,09,","6.6",",,,6","0",",,,6"
"USC00055805","1924-09","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","4",",6","2",",6","0",",6","0",",6","","","19240930","+,,6","19240911",",,6","0",",,6,30,+","18.0",",,6,11,","29.5",",,,6","0",",,,6"
"USC00055805","1924-10","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","5",",6","4",",6","0",",6","0",",6","","","19241031","+,,6","19241008",",,6","0",",,6,31,+","20.3",",,6,08,","53.3",",,,6","0",",,,6"
"USC00055805","1924-11","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","2","1,6","0","1,6","0","1,6","2",",6","","","19241122","+,,6","19241106",",1,6","25",",,6,22,+","2.0","1,,6,06,","3.5","1,,,6","50",",,,6"
"USC00055805","1924-12","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","6",",6","1",",6","0",",6","6",",6","","","19241203",",,6","19241203",",,6","229",",,6,03,","15.2",",,6,03,","22.8",",,,6","380",",,,6"
"USC00055805","1925-01","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","2",",6","1",",6","0",",6","2",",6","","","19250125",",,6","19250125",",,6","76",",,6,25,","6.4",",,6,25,","7.7",",,,6","101",",,,6"
"USC00055805","1925-02","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","1",",6","0",",6","0",",6","1",",6","","","19250228",",,6","19250228",",,6","25",",,6,28,","1.0",",,6,28,","1.0",",,,6","25",",,,6"
"USC00055805","1925-03","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","2",",6","2",",6","0",",6","2",",6","","","19250313",",,6","19250313",",,6","127",",,6,13,","12.7",",,6,13,","21.1",",,,6","229",",,,6"
"USC00055805","1925-04","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","2",",6","1",",6","0",",6","0",",6","","","19250430","+,,6","19250402",",,6","0",",,6,30,+","20.3",",,6,02,","21.6",",,,6","0",",,,6"
"USC00055805","1925-05","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","5",",6","3",",6","0",",6","0",",6","","","19250531","+,,6","19250510",",,6","0",",,6,31,+","5.1",",,6,10,","13.5",",,,6","0",",,,6"
"USC00055805","1925-06","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","7",",6","4",",6","0",",6","0",",6","","","19250630","+,,6","19250619",",,6","0",",,6,30,+","21.1",",,6,19,","52.3",",,,6","0",",,,6"
"USC00055805","1925-07","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","6",",6","4",",6","0",",6","","","","","","","19250721",",,6","","","15.2",",,6,21,","39.4",",,,6","",""
"USC00055805","1925-08","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","9",",6","6",",6","0",",6","","","","","","","19250811",",,6","","","20.3",",,6,11,","65.4",",,,6","",""
"USC00055805","1925-09","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","5",",6","2",",6","1",",6","0",",6","","","19250930","+,,6","19250913",",,6","0",",,6,30,+","30.5",",,6,13,","42.0",",,,6","0",",,,6"
"USC00055805","1925-10","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","9",",6","8",",6","0",",6","4",",6","2","","19251014",",,6","19251006",",,6","127",",,6,14,","20.3",",,6,06,","78.7",",,,6","297",",,,6"
"USC00055805","1925-11","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","1",",6","1",",6","0",",6","1",",6","","","19251113",",,6","19251113",",,6","203",",,6,13,","20.3",",,6,13,","20.3",",,,6","203",",,,6"
"USC00055805","1925-12","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","4",",6","4",",6","1",",6","4",",6","","","19251214",",,6","19251214",",,6","305",",,6,14,","27.9",",,6,14,","59.1",",,,6","762",",,,6"
"USC00055805","1926-01","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","3",",6","3",",6","0",",6","3",",6","","","19260110",",,6","19260110",",,6","152",",,6,10,","15.2",",,6,10,","24.1",",,,6","279",",,,6"
"USC00055805","1926-02","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","3",",6","2",",6","0",",6","2",",6","","","19260222",",,6","19260222",",,6","102",",,6,22,","5.1",",,6,22,","10.4",",,,6","179",",,,6"
"USC00055805","1926-04","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","8",",6","4",",6","1",",6","1",",6","","","19260401",",,6","19260421",",,6","38",",,6,01,","34.5",",,6,21,","68.3",",,,6","38",",,,6"
"USC00055805","1926-05","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","7",",6","7",",6","1",",6","0",",6","","","19260531","+,,6","19260511",",,6","0",",,6,31,+","34.3",",,6,11,","72.1",",,,6","0",",,,6"
"USC00055805","1926-06","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","5",",6","5",",6","0",",6","0",",6","","","19260630","+,,6","19260616","+,,6","0",",,6,30,+","5.1",",,6,16,+","22.7",",,,6","0",",,,6"
"USC00055805","1926-07","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","10",",6","8",",6","1",",6","0",",6","","","19260731","+,,6","19260703",",,6","0",",,6,31,+","28.7",",,6,03,","81.2",",,,6","0",",,,6"
"USC00055805","1926-08","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","6",",6","6",",6","0",",6","0",",6","","","19260831","+,,6","19260809",",,6","0",",,6,31,+","12.4",",,6,09,","46.7",",,,6","0",",,,6"
"USC00055805","1926-09","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","0",",6","0",",6","0",",6","0",",6","","","19260930","+,,6","19260930","+,,6","0",",,6,30,+","0.0",",,6,30,+","0.0",",,,6","0",",,,6"
"USC00055805","1926-10","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","4",",6","3",",6","0",",6","2",",6","","","19261029",",,6","19261029",",,6","102",",,6,29,","5.1",",,6,29,","13.7",",,,6","153",",,,6"
"USC00055805","1926-11","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","3",",6","2",",6","0",",6","3",",6","","","19261103","+,,6","19261103","+,,6","76",",,6,03,+","2.5",",,6,03,+","6.3",",,,6","203",",,,6"
"USC00055805","1926-12","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","3",",6","3",",6","1",",6","","","","","","","19261223",",,6","","","32.3",",,6,23,","47.6",",,,6","",""
"USC00055805","1927-06","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","6",",6","6",",6","1",",6","","","","","","","19270612",",,6","","","43.2",",,6,12,","86.3",",,,6","",""
"USC00055805","1927-07","39.65","-105.23333","1830.0","MORRISON 1 SW, CO US","5",",6","5",",6","0",",6","","","","","","","19270721",",,6","","","10.2",",,6,21,","35.6",",,,6","",""
