"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IRM00040875","1992-04","27.218","56.378","6.7","BANDAR ABBASS INTERNATIONAL, IR","1","5,S","1","5,S","1","5,S","","","","","","","","","","","","","19920413",",5,S","","","","","80.0","5,,S,13,","","","80.0","5,,,S","","","","","",""
"IRM00040875","1996-04","27.218","56.378","6.7","BANDAR ABBASS INTERNATIONAL, IR","1","3,S","1","3,S","0","3,S","","","","","","","","","","","","","19960417",",3,S","","","","","9.9","3,,S,17,","","","9.9","3,,,S","","","","","",""
"IRM00040875","1996-05","27.218","56.378","6.7","BANDAR ABBASS INTERNATIONAL, IR","1","2,S","1","2,S","1","2,S","","","","","","","","","","","","","19960502",",2,S","","","","","182.9","2,,S,02,","","","182.9","2,,,S","","","","","",""
"IRM00040875","1996-11","27.218","56.378","6.7","BANDAR ABBASS INTERNATIONAL, IR","0","4,S","0","4,S","0","4,S","","","","","","","","","","","","","19961130","+,4,S","","","","","0.0","4,,S,30,+","","","0.0","4,,,S","","","","","",""
"IRM00040875","1998-04","27.218","56.378","6.7","BANDAR ABBASS INTERNATIONAL, IR","1","5,S","1","5,S","0","5,S","","","","","","","","","","","","","19980424",",5,S","","","","","4.1","5,,S,24,","","","4.1","5,,,S","","","","","",""
"IRM00040875","1999-11","27.218","56.378","6.7","BANDAR ABBASS INTERNATIONAL, IR","","","","","","","","","","","0","5,S","25","5,S","7","5,S","","","","","19991106","+,5,S","","","","","34.0","5,S,06,+","","","","","31.08","5,,,S","",""
"IRM00040875","2000-03","27.218","56.378","6.7","BANDAR ABBASS INTERNATIONAL, IR","1","5,S","0","5,S","0","5,S","","","","","","","","","","","","","20000327",",5,S","","","","","0.8","5,,S,27,","","","0.8","5,,,S","","","","","",""
"IRM00040875","2000-06","27.218","56.378","6.7","BANDAR ABBASS INTERNATIONAL, IR","0","3,S","0","3,S","0","3,S","","","","","","","","","","","","","20000630","+,3,S","","","","","0.0","3,,S,30,+","","","0.0","3,,,S","","","","","",""
"IRM00040875","2000-07","27.218","56.378","6.7","BANDAR ABBASS INTERNATIONAL, IR","0","3,S","0","3,S","0","3,S","","","","","","","","","","","","","20000731","+,3,S","","","","","0.0","3,,S,31,+","","","0.0","3,,,S","","","","","",""
"IRM00040875","2000-08","27.218","56.378","6.7","BANDAR ABBASS INTERNATIONAL, IR","1","1,S","0","1,S","0","1,S","","","","","","","","","","","","","20000806",",1,S","","","","","1.5","1,,S,06,","","","1.5","1,,,S","","","","","",""
"IRM00040875","2000-10","27.218","56.378","6.7","BANDAR ABBASS INTERNATIONAL, IR","0","5,S","0","5,S","0","5,S","","","","","","","","","","","","","20001031","+,5,S","","","","","0.0","5,,S,31,+","","","0.0","5,,,S","","","","","",""
"IRM00040875","2000-11","27.218","56.378","6.7","BANDAR ABBASS INTERNATIONAL, IR","1","5,S","0","5,S","0","5,S","","","","","","","","","","","","","20001125",",5,S","","","","","0.8","5,,S,25,","","","0.8","5,,,S","","","","","",""
"IRM00040875","2000-12","27.218","56.378","6.7","BANDAR ABBASS INTERNATIONAL, IR","1","4,S","1","4,S","0","4,S","","","","","","","","","","","","","20001212",",4,S","","","","","3.0","4,,S,12,","","","3.0","4,,,S","","","","","",""
"IRM00040875","2001-02","27.218","56.378","6.7","BANDAR ABBASS INTERNATIONAL, IR","0","3,S","0","3,S","0","3,S","","","","","0","3,S","25","3,S","0","3,S","","","20010228","+,3,S","20010228",",3,S","","","0.0","3,,S,28,+","29.4","3,S,28,","0.0","3,,,S","","","25.38","3,,,S","",""
"IRM00040875","2001-03","27.218","56.378","6.7","BANDAR ABBASS INTERNATIONAL, IR","2","2,S","0","2,S","0","2,S","","","","","","","","","","","","","20010321",",2,S","","","","","0.8","2,,S,21,","","","1.1","2,,,S","","","","","",""
