"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00368263","1979-05","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","13",",6","9",",6","2",",6","","","","","","","19790524",",,6","","","64.0",",,6,24,","183.9",",,,6","",""
"USC00368263","1979-06","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","10",",6","7",",6","1",",6","","","","","","","19790612",",,6","","","38.1",",,6,12,","100.6",",,,6","",""
"USC00368263","1979-08","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","10",",6","8",",6","2",",6","","","","","","","19790812",",,6","","","33.0",",,6,12,","108.7",",,,6","",""
"USC00368263","1979-09","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","7",",6","5",",6","3",",6","","","","","","","19790906",",,6","","","57.2",",,6,06,","196.4",",,,6","",""
"USC00368263","1979-10","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","12",",6","8",",6","1",",6","","","","","","","19791010",",,6","","","36.1",",,6,10,","116.4",",,,6","",""
"USC00368263","1979-11","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","7",",6","4",",6","1",",6","","","","","","","19791103",",,6","","","31.5",",,6,03,","84.6",",,,6","",""
"USC00368263","1979-12","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","6",",6","6",",6","0",",6","","","","","","","19791220",",,6","","","11.2",",,6,20,","39.9",",,,6","",""
"USC00368263","1980-01","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","4",",6","4",",6","1",",6","","","","","","","19800112",",,6","","","32.8",",,6,12,","61.8",",,,6","",""
"USC00368263","1980-02","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","3",",6","3",",6","0",",6","","","","","","","19800217",",,6","","","11.7",",,6,17,","23.1",",,,6","",""
"USC00368263","1980-03","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","12",",6","11",",6","3",",6","","","","","","","19800314",",,6","","","31.2",",,6,14,","160.6",",,,6","",""
"USC00368263","1980-04","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","9",",6","8",",6","2",",6","","","","","","","19800401",",,6","","","48.0",",,6,01,","147.9",",,,6","",""
"USC00368263","1980-05","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","12",",6","9",",6","0",",6","","","","","","","19800513",",,6","","","16.0",",,6,13,","67.0",",,,6","",""
"USC00368263","1980-06","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","9",",6","5",",6","0",",6","","","","","","","19800604",",,6","","","23.9",",,6,04,","57.7",",,,6","",""
