"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SF004371000","1918-04","-26.667","27.1","1372.0","POTCHEFSTROOM UPPER, SF","0",",I","0",",I","0",",I","","","","","","","","","","","","","19180430","+,,I","","","","","0.0",",,I,30,+","","","0.0",",,,I","","","","","",""
"SF004371000","1918-05","-26.667","27.1","1372.0","POTCHEFSTROOM UPPER, SF","2",",I","0",",I","0",",I","","","","","","","","","","","","","19180507",",,I","","","","","2.3",",,I,07,","","","2.8",",,,I","","","","","",""
"SF004371000","1918-06","-26.667","27.1","1372.0","POTCHEFSTROOM UPPER, SF","1",",I","0",",I","0",",I","","","","","","","","","","","","","19180614",",,I","","","","","0.5",",,I,14,","","","0.5",",,,I","","","","","",""
"SF004371000","1918-07","-26.667","27.1","1372.0","POTCHEFSTROOM UPPER, SF","5",",I","5",",I","1",",I","","","","","","","","","","","","","19180731",",,I","","","","","33.5",",,I,31,","","","71.8",",,,I","","","","","",""
"SF004371000","1918-08","-26.667","27.1","1372.0","POTCHEFSTROOM UPPER, SF","4",",I","4",",I","2",",I","","","","","","","","","","","","","19180801",",,I","","","","","32.3",",,I,01,","","","86.9",",,,I","","","","","",""
"SF004371000","1918-09","-26.667","27.1","1372.0","POTCHEFSTROOM UPPER, SF","2",",I","2",",I","1",",I","","","","","","","","","","","","","19180901",",,I","","","","","47.0",",,I,01,","","","49.5",",,,I","","","","","",""
"SF004371000","1918-10","-26.667","27.1","1372.0","POTCHEFSTROOM UPPER, SF","12",",I","9",",I","3",",I","","","","","","","","","","","","","19181015",",,I","","","","","42.4",",,I,15,","","","138.7",",,,I","","","","","",""
"SF004371000","1918-11","-26.667","27.1","1372.0","POTCHEFSTROOM UPPER, SF","5",",I","3",",I","0",",I","","","","","","","","","","","","","19181110",",,I","","","","","11.9",",,I,10,","","","30.4",",,,I","","","","","",""
"SF004371000","1918-12","-26.667","27.1","1372.0","POTCHEFSTROOM UPPER, SF","0",",I","0",",I","0",",I","","","","","","","","","","","","","19181231","+,,I","","","","","0.0",",,I,31,+","","","0.0",",,,I","","","","","",""
"SF004371000","1919-01","-26.667","27.1","1372.0","POTCHEFSTROOM UPPER, SF","7",",I","5",",I","1",",I","","","","","","","","","","","","","19190118",",,I","","","","","36.3",",,I,18,","","","77.5",",,,I","","","","","",""
