"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"PEM00084390","1973-01","-4.577","-81.254","86.0","CAPITAN MONTES, PE","","","","","5","3,S","1","3,S","0","3,S","0","1,S","0","1,S","","","","","","","19730102",",1,S","19730106",",3,S","","","18.0","1,S,02,","4.1","3,,S,06,","","","","","10.1","3,,,S","","","","","22.07","1,,,S"
"PEM00084390","1973-02","-4.577","-81.254","86.0","CAPITAN MONTES, PE","","","","","2","3,S","1","3,S","0","3,S","0","4,S","0","4,S","","","","","","","19730201",",4,S","19730205",",3,S","","","18.0","4,S,01,","3.0","3,,S,05,","","","","","5.0","3,,,S","","","","","21.75","4,,,S"
"PEM00084390","1973-03","-4.577","-81.254","86.0","CAPITAN MONTES, PE","","","","","0","2,S","0","2,S","0","2,S","","","","","","","","","","","","","19730331","+,2,S","","","","","0.0","2,,S,31,+","","","","","0.0","2,,,S","","","","","",""
"PEM00084390","1973-04","-4.577","-81.254","86.0","CAPITAN MONTES, PE","","","","","1","1,S","0","1,S","0","1,S","","","","","","","","","","","","","19730407",",1,S","","","","","1.0","1,,S,07,","","","","","1.0","1,,,S","","","","","",""
"PEM00084390","1973-05","-4.577","-81.254","86.0","CAPITAN MONTES, PE","","","","","0","2,S","0","2,S","0","2,S","","","","","","","","","","","","","19730531","+,2,S","","","","","0.0","2,,S,31,+","","","","","0.0","2,,,S","","","","","",""
"PEM00084390","1973-06","-4.577","-81.254","86.0","CAPITAN MONTES, PE","","","","","1","1,S","0","1,S","0","1,S","0","4,S","0","4,S","","","","","","","19730612","+,4,S","19730619",",1,S","","","15.0","4,S,12,+","0.3","1,,S,19,","","","","","0.3","1,,,S","","","","","16.62","4,,,S"
"PEM00084390","1973-07","-4.577","-81.254","86.0","CAPITAN MONTES, PE","","","","","1","5,S","1","5,S","0","5,S","","","","","","","","","","","","","19730704",",5,S","","","","","5.1","5,,S,04,","","","","","5.1","5,,,S","","","","","",""
"PEM00084390","1973-08","-4.577","-81.254","86.0","CAPITAN MONTES, PE","","","","","0","4,S","0","4,S","0","4,S","","","","","","","","","","","","","19730831","+,4,S","","","","","0.0","4,,S,31,+","","","","","0.0","4,,,S","","","","","",""
"PEM00084390","1973-09","-4.577","-81.254","86.0","CAPITAN MONTES, PE","","","","","0","2,S","0","2,S","0","2,S","","","","","","","","","","","","","19730930","+,2,S","","","","","0.0","2,,S,30,+","","","","","0.0","2,,,S","","","","","",""
"PEM00084390","1973-11","-4.577","-81.254","86.0","CAPITAN MONTES, PE","","","","","1","5,S","1","5,S","0","5,S","","","","","","","","","","","","","19731126",",5,S","","","","","9.9","5,,S,26,","","","","","9.9","5,,,S","","","","","",""
