"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00106152","1893-12","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","0.0",",0","1","3,0","1","3,0","0","3,0","","","0",",0","0",",0","27",",0","1",",0","0",",0","0",",0","","","18931224",",,0","","","18931223",",,0","18931231",",3,0","18931201",",,0","-6.7",",0,24,","","","3",",,0,23,","14.0","3,,0,31,","11.1",",0,01,","","","","","","","","","492.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","31.8",",a,,0","3",",,,0","2.43",",0","6.42",",,,0","-1.55",",,,0","",""
"USC00106152","1894-01","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","0.0","0","0.0","2,0","","","","","","","","","","","1","1,0","29","1,0","10","1,0","0","1,0","0","1,0","","","18940108",",1,0","","","","","","","18940115","+,1,0","-19.4","1,0,08,","","","","","","","7.2","1,0,15,+","","","","","","","","","601.2","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.45","2,0","1.36","1,,,0","-6.26","1,,,0","",""
"USC00106152","1894-02","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","0.0","0","0.0",",0","","","","","","","","","","","3",",0","28",",0","9",",0","0",",0","0",",0","","","18940220",",,0","","","","","","","18940209",",,0","-22.2",",0,20,","","","","","","","7.2",",0,09,","","","","","","","","","611.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","78.7",",a,,0","","","-3.51",",0","1.52",",,,0","-8.53",",,,0","",""
"USC00106152","1894-03","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","0.0","0","0.0",",0","9",",0","8",",0","1",",0","","","3",",0","0",",0","24",",0","0",",0","0",",0","0",",0","","","18940305",",,0","","","18940307",",,0","18940315",",,0","18940323",",,0","-11.1",",0,05,","","","114",",,0,07,","37.1",",,0,15,","14.4",",0,23,","","","","","","","","","476.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","87.1",",,,0","177",",,,0","2.95",",0","7.79",",,,0","-1.88",",,,0","",""
"USC00106152","1894-04","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","0.0","0","0.0",",0","9",",0","6",",0","0",",0","","","0",",0","0",",0","7",",0","0",",0","3",",0","0",",0","","","18940407",",,0","","","18940402",",,0","18940414",",,0","18940425",",,0","-3.9",",0,07,","","","0",",T,0,02,","10.7",",,0,14,","24.4",",0,25,","","","","","","","","","307.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","35.0",",,,0","0",",T,,0","8.08",",0","13.44",",,,0","2.71",",,,0","",""
"USC00106152","1894-05","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","23.3","0","23.3",",0","5",",0","5",",0","0",",0","","","0",",0","0",",0","3",",0","0",",0","9",",0","0",",0","","","18940509","+,,0","","","18940501",",,0","18940503",",,0","18940523",",,0","-1.1",",0,09,+","","","0",",T,0,01,","14.7",",,0,03,","31.1",",0,23,","","","","","","","","","201.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","38.8",",,,0","0",",T,,0","12.59",",0","18.80",",,,0","6.38",",,,0","",""
"USC00106152","1894-06","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","29.7","0","6.4",",0","4",",0","4",",0","0",",0","","","0",",0","0",",0","1",",0","0",",0","14",",0","0",",0","","","18940611",",,0","","","18940630","+,,0","18940619",",,0","18940602",",,0","0.0",",0,11,","","","0",",,0,30,+","11.9",",,0,19,","28.9",",0,02,","","","","","","","","","136.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","31.3",",,,0","0",",,,0","14.00",",0","20.28",",,,0","7.72",",,,0","",""
"USC00106152","1894-07","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","154.3","0","124.6","1,0","2",",0","1",",0","0",",0","","","0",",0","0","1,0","0","1,0","0",",0","30",",0","1",",0","","","18940701",",1,0","","","18940731","+,,0","18940704",",,0","18940723",",,0","4.4","1,0,01,","","","0",",,0,31,+","2.8",",,0,04,","33.9",",0,23,","","","11.6","0","","","","","11.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","3.1",",,,0","0",",,,0","22.12","1,0","29.43",",,,0","14.80","1,,,0","",""
"USC00106152","1894-08","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","231.9","0","77.6",",0","1",",0","1",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","30",",0","11",",0","","","18940805",",,0","","","18940831","+,,0","18940831",",,0","18940823",",,0","1.1",",0,05,","","","0",",,0,31,+","6.4",",,0,31,","35.6",",0,23,","","","46.7","0","","","","","35.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","6.4",",,,0","0",",,,0","19.70",",0","29.31",",,,0","10.10",",,,0","",""
"USC00106152","1894-09","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","232.2","0","0.3",",0","4",",0","3",",0","0",",0","","","0",",0","0",",0","1",",0","0",",0","10",",0","0",",0","","","18940922",",,0","","","18940930","+,,0","18940912",",,0","18940910",",,0","0.0",",0,22,","","","0",",,0,30,+","13.0",",,0,12,","29.4",",0,10,","","","233.4","0","","","","","186.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","22.9",",,,0","0",",,,0","12.12",",0","19.16",",,,0","5.08",",,,0","",""
