"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00312645","1926-12","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","8",",6","6",",6","2",",6","0",",6","0","4,6","13","4,6","1","5,6","0","5,6","0","5,6","","","19261217",",4,6","19261231","+,,6","","","19261228",",,6","19261222","+,5,6","-10.0","4,6,17,","0",",,6,31,+","30.7",",,6,28,","15.0","5,6,22,+","","","117.1",",,,6","0",",,,6","3.77","7,6","8.07","5,,,6","-0.53","4,,,6"
"USC00312645","1927-01","36.0","-81.75","670.6","EDGEMONT, NC US","0.0","","0.0","5,6","5",",6","3",",6","0",",6","0",",6","0","3,6","15","3,6","4","2,6","1","2,6","0","2,6","","","19270116",",3,6","19270109",",,6","","","19270126",",,6","19270123",",2,6","-15.0","3,6,16,","0",",T,6,09,","10.9",",,6,26,","23.9","2,6,23,","372.2","2,6","30.7",",,,6","0",",T,,6","3.87","5,6","8.50","2,,,6","-0.77","3,,,6"
"USC00312645","1927-02","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","9",",6","4",",6","2",",6","0",",6","","","","","","","","","","","","","","","19270220",",,6","","","19270219",",,6","","","","","0",",T,6,20,","48.8",",,6,19,","","","","","98.3",",,,6","0",",T,,6","","","","","",""
"USC00312645","1927-03","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","10",",6","8",",6","0",",6","1",",6","","","","","","","","","","","","","","","19270301",",,6","","","19270301",",,6","","","","","274",",,6,01,","23.9",",,6,01,","","","","","84.3",",,,6","274",",,,6","","","","","",""
"USC00312645","1927-04","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","12",",6","8",",6","0",",6","0",",6","","","","","","","","","","","","","","","19270430","+,,6","","","19270410",",,6","","","","","0",",,6,30,+","24.9",",,6,10,","","","","","85.3",",,,6","0",",,,6","","","","","",""
"USC00312645","1927-05","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","6",",6","3",",6","0",",6","0",",6","","","","","","","","","","","","","","","19270531","+,,6","","","19270530",",,6","","","","","0",",,6,31,+","23.6",",,6,30,","","","","","49.9",",,,6","0",",,,6","","","","","",""
"USC00312645","1927-06","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","9",",6","7",",6","0",",6","0",",6","","","","","","","","","","","","","","","19270630","+,,6","","","19270618","+,,6","","","","","0",",,6,30,+","21.6",",,6,18,+","","","","","113.7",",,,6","0",",,,6","","","","","",""
"USC00312645","1927-07","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","12",",6","11",",6","2",",6","0",",6","","","","","","","","","","","","","","","19270731","+,,6","","","19270717",",,6","","","","","0",",,6,31,+","50.8",",,6,17,","","","","","170.7",",,,6","0",",,,6","","","","","",""
"USC00312645","1927-08","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","11",",6","9",",6","0",",6","0",",6","","","","","","","","","","","","","","","19270831","+,,6","","","19270817",",,6","","","","","0",",,6,31,+","16.5",",,6,17,","","","","","78.1",",,,6","0",",,,6","","","","","",""
"USC00312645","1927-09","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","5",",6","5",",6","1",",6","0",",6","","","","","","","","","","","","","","","19270930","+,,6","1","","19270905",",,6","","","","","0",",,6,30,+","41.7",",,6,05,","","","","","74.7",",,,6","0",",,,6","","","","","",""
