"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00195984","1913-04","41.9928","-71.1666","29.0","NORTON WEST, MA US","","","","","5",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19130417",",,6","","","","","","","","","24.1",",,6,17,","","","","","","","","","","","","","","","","","","","","","","","","","41.1",",,,6","","","","","","","","","",""
"USC00195984","1913-05","41.9928","-71.1666","29.0","NORTON WEST, MA US","","","0.3",",6","","","","","","","","","","","0",",6","6",",6","0",",6","7",",6","0",",6","","","19130510",",,6","","","","","","","","","19130504",",,6","-1.1",",6,10,","","","","","","","28.9",",6,04,","","","","","","","210.5",",6","","","","","","","","","","","","","","","","","","","11.55",",6","18.36",",,,6","4.74",",,,6","",""
"USC00195984","1913-06","41.9928","-71.1666","29.0","NORTON WEST, MA US","","","19.1",",6","","","","","","","","","","","0",",6","0",",6","0",",6","26",",6","1",",6","","","19130610",",,6","","","","","","","","","19130617",",,6","2.2",",6,10,","","","","","","","33.3",",6,17,","","","","","","","56.0",",6","","","","","","","","","","","","","","","","","","","17.10",",6","24.31",",,,6","9.90",",,,6","",""
"USC00195984","1913-09","41.9928","-71.1666","29.0","NORTON WEST, MA US","","","18.6",",6","","","","","","","","","","","0",",6","5",",6","0",",6","19",",6","0",",6","","","19130916","+,,6","","","","","","","","","19130909",",,6","-3.3",",6,16,+","","","","","","","30.0",",6,09,","","","","","","","120.5",",6","","","","","","","","","","","","","","","","","","","14.94",",6","22.19",",,,6","7.69",",,,6","",""
"USC00195984","1915-06","41.9928","-71.1666","29.0","NORTON WEST, MA US","","","23.8","4,6","6",",6","6",",6","0",",6","","","","","0","4,6","0","4,6","0","1,6","28","1,6","0","1,6","","","19150601",",4,6","","","","","","","19150627",",,6","19150615",",1,6","2.8","4,6,01,","","","","","22.9",",,6,27,","31.1","1,6,15,","","","","","","","38.0","1,6","","","","","","","","","","","","","","","62.6",",,,6","","","17.79","4,6","25.81","1,,,6","9.77","4,,,6","",""
"USC00195984","1917-05","41.9928","-71.1666","29.0","NORTON WEST, MA US","","","0.0",",6","","","","","","","","","1",",6","0",",6","9",",6","0",",6","7",",6","0",",6","","","19170516","+,,6","","","19170506",",,6","","","","","19170521",",,6","-4.4",",6,16,+","","","25",",,6,06,","","","27.8",",6,21,","","","","","","","274.2",",6","","","","","","","","","","","","","","","","","25",",,,6","9.49",",6","16.50",",,,6","2.47",",,,6","",""
"USC00195984","1917-06","41.9928","-71.1666","29.0","NORTON WEST, MA US","","","24.2",",6","","","","","","","","","","","0",",6","0",",6","0",",6","24",",6","0",",6","","","19170601",",,6","","","","","","","","","19170628","+,,6","2.2",",6,01,","","","","","","","29.4",",6,28,+","","","","","","","36.9",",6","","","","","","","","","","","","","","","","","","","17.91",",6","24.66",",,,6","11.15",",,,6","",""
"USC00195984","1917-09","41.9928","-71.1666","29.0","NORTON WEST, MA US","","","2.0",",6","","","","","","","","","","","0",",6","5",",6","0",",6","8",",6","0",",6","","","19170924",",,6","","","","","","","","","19170904",",,6","-3.3",",6,24,","","","","","","","26.1",",6,04,","","","","","","","216.6",",6","","","","","","","","","","","","","","","","","","","11.18",",6","17.69",",,,6","4.67",",,,6","",""
"USC00195984","1918-06","41.9928","-71.1666","29.0","NORTON WEST, MA US","","","17.7",",6","","","","","","","","","","","0",",6","1",",6","0",",6","21",",6","1",",6","","","19180621",",,6","","","","","","","","","19180602",",,6","-2.8",",6,21,","","","","","","","32.2",",6,02,","","","","","","","93.0",",6","","","","","","","","","","","","","","","","","","","15.82",",6","23.02",",,,6","8.62",",,,6","",""
"USC00195984","1918-09","41.9928","-71.1666","29.0","NORTON WEST, MA US","","","6.5",",6","","","","","","","","","","","0",",6","4",",6","0",",6","18",",6","0",",6","","","19180912",",,6","","","","","","","","","19180907","+,,6","-1.1",",6,12,","","","","","","","27.8",",6,07,+","","","","","","","137.8",",6","","","","","","","","","","","","","","","","","","","13.96",",6","22.06",",,,6","5.86",",,,6","",""
