"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023034","1907-08","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","345.8",",0","","","","","","","","","","","0",",0","0",",0","0",",0","31",",0","31",",0","","","","","19070831",",,0","","","","","","","","","19070805",",,0","16.1",",0,31,","","","","","","","39.4",",0,05,","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","29.49",",0","37.78",",,,0","21.20",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1907-09","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","258.6",",0","","","","","","","","","","","0",",0","0",",0","0",",0","30",",0","27",",0","","","","","19070911",",,0","","","","","","","","","19070905",",,0","14.4",",0,11,","","","","","","","39.4",",0,05,","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","26.95",",0","35.69",",,,0","18.21",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1907-10","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","50.9",",0","","","","","","","","","","","0",",0","0",",0","0",",0","23",",0","3",",0","","","","","19071009","+,,0","","","","","","","","","19071001",",,0","5.6",",0,09,+","","","","","","","35.6",",0,01,","","","","","32.9",",0","","","","","","","","","","","","","","","","","","","","","18.92",",0","24.54",",,,0","13.29",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1907-11","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","0.0","2,0","","","","","","","","","","","0",",0","7",",0","0","2,0","6","2,0","0","2,0","","","","","19071112",",,0","","","","","","","","","19071107",",2,0","-3.9",",0,12,","","","","","","","25.6","2,0,07,","","","","","227.9","2,0","","","","","","","","","","","","","","","","","","","","","10.06","2,0","16.45","2,,,0","3.68",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1907-12","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","0.0",",0","","","","","","","","","","","0",",0","15",",0","0",",0","6",",0","0",",0","","","","","19071217",",,0","","","","","","","","","19071229","+,,0","-3.3",",0,17,","","","","","","","26.1",",0,29,+","","","","","293.8",",0","","","","","","","","","","","","","","","","","","","","","8.86",",0","16.69",",,,0","1.02",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-01","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","0.0","0","0.0","1,0","","","","","","","","","","","0","1,0","12","1,0","0",",0","6",",0","0",",0","","","","","19080116",",1,0","","","","","","","","","19080127","+,,0","-8.9","1,0,16,","","","","","","","23.9",",0,27,+","","","","","267.6",",0","","","","","","","","","","","","","","","","","","","","","9.34","1,0","17.16",",,,0","1.52","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-02","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","0.6","0","0.6",",0","","","","","","","","","","","0",",0","7",",0","0",",0","8",",0","0",",0","","","","","19080202",",,0","","","","","","","","","19080229",",,0","-9.4",",0,02,","","","","","","","30.6",",0,29,","","","","","194.0",",0","","","","","","","","","","","","","","","","","","","","","11.66",",0","19.67",",,,0","3.66",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-03","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","54.3","0","53.7","1,0","","","","","","","","","0",",0","0","1,0","1","1,0","0",",0","26",",0","9",",0","","","","","19080311",",1,0","","","19080331","+,,0","","","","","19080317",",,0","-1.1","1,0,11,","","","0",",,0,31,+","","","36.7",",0,17,","","","","","59.0",",0","","","","","","","","","","","","","","","","","","","0",",,,0","18.27","1,0","27.73",",,,0","8.81","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-04","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","110.6","0","56.3","1,0","","","","","","","","","","","0","1,0","1","1,0","0",",0","29",",0","1",",0","","","","","19080430",",1,0","","","","","","","","","19080406",",,0","0.0","1,0,30,","","","","","","","32.2",",0,06,","","","","","26.5",",0","","","","","","","","","","","","","","","","","","","","","19.41","1,0","27.44",",,,0","11.39","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-05","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","270.8","0","160.2","2,0","","","","","","","","","","","0","2,0","0","2,0","0","2,0","29","2,0","16","2,0","","","","","19080507",",2,0","","","","","","","","","19080521","+,2,0","3.9","2,0,07,","","","","","","","38.9","2,0,21,+","","","","","9.1","2,0","","","","","","","","","","","","","","","","","","","","","23.54","2,0","32.29","2,,,0","14.79","2,,,0","","","","","","","","","","","","","","","","","",""
