"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00343740","1946-04","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","","","39.1","5,6","3",",6","2",",6","0",",6","","","","","0",",6","0",",6","0","5,6","22","5,6","2","5,6","","","19460412",",,6","","","","","","","19460423",",,6","19460427",",5,6","1.7",",6,12,","","","","","3.0",",,6,23,","35.0","5,6,27,","2221.1",",,,6","","","38.1","5,6","","","","","6.6",",,,6","","","18.27","5,6","25.29","5,,,6","11.25",",,,6","6520",",,,6"
"USC00343740","1946-05","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","","","37.0","1,6","8",",6","8",",6","1",",6","","","","","0",",6","0",",6","0","1,6","26","1,6","1","1,6","","","19460511",",,6","","","","","","","19460510",",,6","19460523",",1,6","2.2",",6,11,","","","","","39.9",",,6,10,","32.8","1,6,23,","2024.3","2,,,6","","","34.5","1,6","","","","","113.3",",,,6","","","18.26","1,6","25.21","1,,,6","11.32",",,,6","6317",",,,6"
"USC00343740","1946-06","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","","","226.5","1,6","3",",6","2",",6","0",",6","","","","","0",",6","0",",6","0","1,6","27","1,6","21","1,6","","","19460603",",,6","","","","","","","19460630",",,6","19460615",",1,6","5.0",",6,03,","","","","","20.1",",,6,30,","41.1","1,6,15,","3111.6",",,,6","","","12.1","1,6","","","","","23.4",",,,6","","","25.71","1,6","32.72","1,,,6","18.70",",,,6","6244",",,,6"
"USC00343740","1946-07","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","","","342.6",",6","3",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","28",",6","","","19460721","+,,6","","","","","","","19460730",",,6","19460723",",,6","17.2",",6,21,+","","","","","17.5",",,6,30,","41.1",",6,23,","3987.8",",,,6","0.0","6","0.0",",6","","","","","26.6",",,,6","","","29.38",",6","37.12",",,,6","21.65",",,,6","5278",",,,6"
"USC00343740","1946-08","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","","","286.9",",6","8",",6","5",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","24",",6","","","19460829",",,6","","","","","","","19460826",",,6","19460807",",,6","12.8",",6,29,","","","","","15.0",",,6,26,","43.9",",6,07,","2883.1",",,,6","2.5","6","2.5",",6","","","","","36.3",",,,6","","","27.51",",6","34.39",",,,6","20.62",",,,6","4604",",,,6"
"USC00343740","1946-09","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","","","142.6","1,6","2",",6","2",",6","0",",6","","","","","0",",6","0",",6","0","1,6","29","1,6","9","1,6","","","19460930",",,6","","","","","","","19460920",",,6","19460905",",1,6","6.1",",6,30,","","","","","6.1",",,6,20,","35.6","1,6,05,","2265.2",",,,6","13.9","6","11.4","1,6","","","","","9.7",",,,6","","","22.91","1,6","29.86","1,,,6","15.96",",,,6","5620",",,,6"
"USC00343740","1946-10","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","","","","","4","1,6","4","1,6","1","1,6","","","","","0","3,6","0","3,6","0","4,6","20","4,6","0","4,6","","","19461018",",3,6","","","","","","","19461006",",1,6","19461023",",4,6","2.2","3,6,18,","","","","","32.5","1,,6,06,","30.0","4,6,23,","1474.3","1,,,6","","","","","","","","","71.6","1,,,6","","","17.76","7,6","24.04","4,,,6","11.48","3,,,6","7135",",,,6"
"USC00343740","1946-11","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","","","0.0","4,6","5",",6","3",",6","0",",6","","","","","0","1,6","10","1,6","0","3,6","3","3,6","0","3,6","","","19461126",",1,6","","","","","","","19461105",",,6","19461129","+,3,6","-5.0","1,6,26,","","","","","19.1",",,6,05,","21.1","3,6,29,+","","","","","244.0","3,6","","","","","50.3",",,,6","","","8.87","4,6","15.04","3,,,6","2.69","1,,,6","6512",",,,6"
"USC00343740","1946-12","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","","","0.0","3,6","1",",6","1",",6","0",",6","","","","","0",",6","14",",6","2","3,6","3","3,6","0","3,6","","","19461230",",,6","","","","","","","19461212",",,6","19461207",",3,6","-15.0",",6,30,","","","","","5.3",",,6,12,","22.2","3,6,07,","","","","","334.3","3,6","","","","","5.3",",,,6","","","6.08","3,6","12.65","3,,,6","-0.48",",,,6","6164",",,,6"
"USC00343740","1947-01","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","0.0","6","0.0","2,6","2",",6","1",",6","0",",6","","","","","3","1,6","19","1,6","3","1,6","0","1,6","0","1,6","","","19470104",",1,6","","","","","","","19470103",",,6","19470126","+,1,6","-25.0","1,6,04,","","","","","20.3",",,6,03,","18.9","1,6,26,+","","","","","460.3","1,6","","","","","21.8",",,,6","","","2.15","2,6","8.65","1,,,6","-4.36","1,,,6","5740",",,,6"
"USC00343740","1947-02","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","0.0","6","0.0","2,6","1","1,6","0","1,6","0","1,6","","","","","0",",6","26",",6","2","2,6","1","2,6","0","2,6","","","19470209","+,,6","","","","","","","19470228",",1,6","19470215",",2,6","-11.7",",6,09,+","","","","","1.3","1,,6,28,","23.9","2,6,15,","","","","","430.5","2,6","","","","","1.3","1,,,6","","","1.68","2,6","9.26","2,,,6","-5.89",",,,6","6438",",,,6"
"USC00343740","1947-03","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","0.0","6","0.0","4,6","6",",6","1",",6","1",",6","","","","","0","1,6","16","1,6","1","3,6","5","3,6","0","3,6","","","19470302",",1,6","","","","","","","19470313",",,6","19470331","+,3,6","-12.2","1,6,02,","","","","","63.0",",,6,13,","26.1","3,6,31,+","","","","","324.7","3,6","","","","","68.9",",,,6","","","6.20","4,6","12.93","3,,,6","-0.53","1,,,6","7419",",,,6"
"USC00343740","1947-04","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","3.1","6","3.1","4,6","10",",6","7",",6","4",",6","","","","","0","2,6","0","2,6","0","2,6","17","2,6","0","2,6","","","19470416","+,2,6","","","","","","","19470414",",,6","19470430",",2,6","1.7","2,6,16,+","","","","","82.6",",,6,14,","29.4","2,6,30,","","","","","126.3","2,6","","","","","212.0",",,,6","","","13.64","4,6","20.45","2,,,6","6.82","2,,,6","7861",",,,6"
"USC00343740","1947-05","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","31.2","6","28.1","1,6","9",",6","8",",6","3",",6","","","","","0",",6","0",",6","0","1,6","23","1,6","1","1,6","","","19470531",",,6","","","","","","","19470516",",,6","19470531",",1,6","2.8",",6,31,","","","","","42.9",",,6,16,","35.0","1,6,31,","2203.9",",,,6","","","40.8","1,6","","","","","156.2",",,,6","","","17.78","1,6","24.39","1,,,6","11.16",",,,6","6044",",,,6"
"USC00343740","1947-06","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","223.3","6","192.1","1,6","5","1,6","4","1,6","0","1,6","","","","","0","1,6","0","1,6","0",",6","30",",6","14",",6","","","19470615","+,1,6","","","","","","","19470604",",1,6","19470628",",,6","10.0","1,6,15,+","","","","","21.1","1,,6,04,","39.4",",6,28,","2779.0",",,,6","","","0.2",",6","","","","","49.8","1,,,6","","","24.90","1,6","31.61",",,,6","18.20","1,,,6","6284",",,,6"
"USC00343740","1947-07","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","459.6","6","236.3","2,6","7",",6","4",",6","1",",6","","","","","0","1,6","0","1,6","0","1,6","29","1,6","17","1,6","","","19470724",",1,6","","","","","","","19470703",",,6","19470731",",1,6","11.1","1,6,24,","","","","","31.8",",,6,03,","41.1","1,6,31,","2921.0","1,,,6","3.7","6","3.7","1,6","","","","","66.9",",,,6","","","26.40","2,6","33.76","1,,,6","19.04","1,,,6","5660",",,,6"
"USC00343740","1947-08","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","803.0","6","343.4",",6","2",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","29",",6","","","19470826",",,6","","","","","2","","19470814",",,6","19470831","+,,6","16.1",",6,26,","","","","","16.3",",,6,14,","41.7",",6,31,+","","","3.7","6","0.0",",6","","","","","17.6",",,,6","","","29.41",",6","37.62",",,,6","21.20",",,,6","",""
"USC00343740","1947-09","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","1006.4","6","203.4",",6","1",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","18",",6","","","19470923",",,6","","","","","","","19470920",",,6","19470904",",,6","8.3",",6,23,","","","","","1.0",",,6,20,","43.3",",6,04,","","","6.8","6","3.1",",6","","","","","1.0",",,,6","","","25.01",",6","33.51",",,,6","16.52",",,,6","",""
"USC00343740","1947-10","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","1097.2","6","90.8","1,6","3",",6","2",",6","1",",6","","","","","0","1,6","0","1,6","0",",6","28",",6","6",",6","","","19471028",",1,6","","","","","2","","19471008",",,6","19471006",",,6","5.0","1,6,28,","","","","","28.4",",,6,08,","36.7",",6,06,","","","33.7","6","26.9",",6","","","","","47.7",",,,6","","","20.53","1,6","28.28",",,,6","12.77","1,,,6","",""
"USC00343740","1947-11","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","1097.2","6","0.0","1,6","6",",6","3",",6","0",",6","","","","","0","1,6","14","1,6","0",",6","0",",6","0",",6","","","19471111",",1,6","","","","","","","19471117",",,6","19471106","+,,6","-6.1","1,6,11,","","","","","7.9",",,6,17,","20.6",",6,06,+","","","372.5","6","338.8",",6","","","","","22.7",",,,6","","","6.55","1,6","12.12",",,,6","0.97","1,,,6","",""
"USC00343740","1947-12","36.7425","-98.133","365.8","GREAT SALT PLAINS DAM, OK US","1097.2","6","0.0","1,6","4",",6","4",",6","1",",6","","","","","0","1,6","25","1,6","2",",6","0",",6","0",",6","","","19471212",",1,6","","","","","1","","19471204",",,6","19471229",",,6","-6.7","1,6,12,","","","","","73.7",",,6,04,","18.9",",6,29,","","","830.3","6","457.8",",6","","","","","86.3",",,,6","","","3.14","1,6","8.55",",,,6","-2.26","1,,,6","",""
