"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NHST0013","2012-04","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","6",",N","4",",N","1",",N","","","","","","","","","20120423",",,N","","","","","60.2",",,N,23,","80.9",",,,N","",""
"US1NHST0013","2012-05","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","21",",N","9",",N","1",",N","","","","","","","","","20120510",",,N","","","","","27.9",",,N,10,","110.5",",,,N","",""
"US1NHST0013","2012-06","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","16",",N","10",",N","1",",N","","","","","","","","","20120603",",,N","","","","","65.3",",,N,03,","162.2",",,,N","",""
"US1NHST0013","2012-07","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","13",",N","8",",N","0",",N","","","","","","","","","20120727",",,N","","","","","12.2",",,N,27,","49.1",",,,N","",""
"US1NHST0013","2012-08","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","14",",N","8",",N","1",",N","","","","","","","","","20120813",",,N","","","","","26.7",",,N,13,","105.4",",,,N","",""
"US1NHST0013","2012-09","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","14",",N","5",",N","1",",N","","","","","","","","","20120929",",,N","","","","","34.0",",,N,29,","79.9",",,,N","",""
"US1NHST0013","2012-10","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","19",",N","13",",N","2",",N","","","","","","","","","20121030",",,N","","","","","34.8",",,N,30,","136.8",",,,N","",""
"US1NHST0013","2012-11","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","7",",N","3",",N","0",",N","","","1","5,N","","","20121108",",5,N","20121109",",,N","","","64","5,,N,08,","11.7",",,N,09,","28.4",",,,N","64","5,,,N"
"US1NHST0013","2012-12","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","17",",N","12",",N","1",",N","","","","","","","","","20121227",",,N","","","","","34.0",",,N,27,","161.4",",,,N","",""
"US1NHST0013","2013-01","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","10",",N","6",",N","0",",N","31",",N","","","20130103","+,,N","","","20130131","+,,N","279",",,N,03,+","","","8.9",",,N,31,+","38.0",",,,N","",""
