"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087563","1989-09","-36.067","-59.1","38.0","LAS FLORES, AR","0","4,S","9","4,S","19890916",",4,S","-5.6","4,S,16,","1.82","4,,,S"
"ARM00087563","1989-12","-36.067","-59.1","38.0","LAS FLORES, AR","0","5,S","0","5,S","19891204",",5,S","7.4","5,S,04,","13.50","5,,,S"
"ARM00087563","1990-05","-36.067","-59.1","38.0","LAS FLORES, AR","0","5,S","3","5,S","19900528",",5,S","-5.2","5,S,28,","4.30","5,,,S"
"ARM00087563","1993-11","-36.067","-59.1","38.0","LAS FLORES, AR","0","4,S","0","4,S","19931107",",4,S","6.0","4,S,07,","12.40","4,,,S"
"ARM00087563","1994-01","-36.067","-59.1","38.0","LAS FLORES, AR","0","5,S","0","5,S","19940121",",5,S","6.2","5,S,21,","13.98","5,,,S"
"ARM00087563","1995-10","-36.067","-59.1","38.0","LAS FLORES, AR","0","4,S","2","4,S","19951029",",4,S","-0.1","4,S,29,","7.06","4,,,S"
"ARM00087563","1995-11","-36.067","-59.1","38.0","LAS FLORES, AR","0","5,S","0","5,S","19951112",",5,S","3.0","5,S,12,","11.44","5,,,S"
"ARM00087563","1996-10","-36.067","-59.1","38.0","LAS FLORES, AR","0","5,S","1","5,S","19961020",",5,S","-0.8","5,S,20,","9.41","5,,,S"
"ARM00087563","1996-11","-36.067","-59.1","38.0","LAS FLORES, AR","0","4,S","0","4,S","19961123",",4,S","2.5","4,S,23,","11.30","4,,,S"
"ARM00087563","1997-09","-36.067","-59.1","38.0","LAS FLORES, AR","0","3,S","2","3,S","19970918",",3,S","-1.2","3,S,18,","4.81","3,,,S"
"ARM00087563","1997-12","-36.067","-59.1","38.0","LAS FLORES, AR","0","5,S","0","5,S","19971204",",5,S","7.1","5,S,04,","13.04","5,,,S"
"ARM00087563","1998-04","-36.067","-59.1","38.0","LAS FLORES, AR","0","2,S","0","2,S","19980401",",2,S","1.1","2,S,01,","11.21","2,,,S"
"ARM00087563","1998-09","-36.067","-59.1","38.0","LAS FLORES, AR","0","5,S","1","5,S","19980914",",5,S","-1.2","5,S,14,","5.44","5,,,S"
"ARM00087563","1998-10","-36.067","-59.1","38.0","LAS FLORES, AR","0","4,S","0","4,S","19981029",",4,S","2.5","4,S,29,","9.24","4,,,S"
"ARM00087563","1998-12","-36.067","-59.1","38.0","LAS FLORES, AR","0","3,S","0","3,S","19981206",",3,S","2.4","3,S,06,","13.85","3,,,S"
"ARM00087563","1999-04","-36.067","-59.1","38.0","LAS FLORES, AR","0","3,S","0","3,S","19990409",",3,S","1.1","3,S,09,","8.10","3,,,S"
"ARM00087563","2004-02","-36.067","-59.1","38.0","LAS FLORES, AR","0","1,S","0","1,S","20040222",",1,S","5.5","1,S,22,","14.11","1,,,S"
"ARM00087563","2004-03","-36.067","-59.1","38.0","LAS FLORES, AR","0","2,S","0","2,S","20040311",",2,S","5.2","2,S,11,","14.42","2,,,S"
"ARM00087563","2004-04","-36.067","-59.1","38.0","LAS FLORES, AR","0","5,S","0","5,S","20040420",",5,S","1.5","5,S,20,","10.92","5,,,S"
"ARM00087563","2004-05","-36.067","-59.1","38.0","LAS FLORES, AR","0","3,S","2","3,S","20040515",",3,S","-3.8","3,S,15,","4.35","3,,,S"
"ARM00087563","2004-06","-36.067","-59.1","38.0","LAS FLORES, AR","0","5,S","4","5,S","20040613",",5,S","-1.7","5,S,13,","4.27","5,,,S"
"ARM00087563","2004-07","-36.067","-59.1","38.0","LAS FLORES, AR","0","2,S","13","2,S","20040718",",2,S","-5.6","2,S,18,","1.80","2,,,S"
"ARM00087563","2005-01","-36.067","-59.1","38.0","LAS FLORES, AR","0","4,S","0","4,S","20050125",",4,S","4.4","4,S,25,","15.22","4,,,S"
"ARM00087563","2005-02","-36.067","-59.1","38.0","LAS FLORES, AR","0",",S","0",",S","20050201",",,S","5.3",",S,01,","16.28",",,,S"
"ARM00087563","2005-03","-36.067","-59.1","38.0","LAS FLORES, AR","0",",S","0",",S","20050330",",,S","3.4",",S,30,","12.56",",,,S"
"ARM00087563","2005-04","-36.067","-59.1","38.0","LAS FLORES, AR","0","3,S","3","3,S","20050426",",3,S","-1.4","3,S,26,","7.09","3,,,S"
"ARM00087563","2005-05","-36.067","-59.1","38.0","LAS FLORES, AR","0","4,S","6","4,S","20050508",",4,S","-2.4","4,S,08,","4.70","4,,,S"
"ARM00087563","2005-06","-36.067","-59.1","38.0","LAS FLORES, AR","0","2,S","5","2,S","20050614",",2,S","-4.4","2,S,14,","5.16","2,,,S"
"ARM00087563","2020-01","-36.067","-59.1","38.0","LAS FLORES, AR","0","1,S","0","1,S","20200130",",1,S","4.9","1,S,30,","14.99","1,,,S"
"ARM00087563","2020-02","-36.067","-59.1","38.0","LAS FLORES, AR","0","1,S","0","1,S","20200222",",1,S","6.1","1,S,22,","14.38","1,,,S"
"ARM00087563","2020-05","-36.067","-59.1","38.0","LAS FLORES, AR","0","1,S","2","1,S","20200514",",1,S","-0.6","1,S,14,","6.41","1,,,S"
