"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00291028","1915-04","35.76667","-106.46667","2255.5","BLAND, NM US","11",",6","9",",6","2",",6","","","","","","","","","","","19150417",",,6","","","","","36.8",",,6,17,","","","127.9",",,,6","","","",""
"USC00291028","1915-05","35.76667","-106.46667","2255.5","BLAND, NM US","8",",6","4",",6","0",",6","1",",6","","","","","","","19150506",",,6","19150506",",,6","","","76",",,6,06,","15.7",",,6,06,","","","32.5",",,,6","76",",,,6","",""
"USC00291028","1915-06","35.76667","-106.46667","2255.5","BLAND, NM US","2",",6","1",",6","0",",6","0",",6","","","","","","","19150630","+,,6","19150603",",,6","","","0",",,6,30,+","7.6",",,6,03,","","","8.4",",,,6","0",",,,6","",""
"USC00291028","1915-07","35.76667","-106.46667","2255.5","BLAND, NM US","6",",6","5",",6","2",",6","0",",6","","","","","","","19150731","+,,6","19150724","+,,6","","","0",",,6,31,+","50.8",",,6,24,+","","","133.9",",,,6","0",",,,6","",""
"USC00291028","1915-08","35.76667","-106.46667","2255.5","BLAND, NM US","6",",6","6",",6","0",",6","0",",6","","","","","","","19150831","+,,6","19150803",",,6","","","0",",,6,31,+","19.1",",,6,03,","","","59.2",",,,6","0",",,,6","",""
"USC00291028","1915-09","35.76667","-106.46667","2255.5","BLAND, NM US","2",",6","2",",6","0",",6","0",",6","","","","","","","19150930","+,,6","19150904",",,6","","","0",",,6,30,+","14.0",",,6,04,","","","17.8",",,,6","0",",,,6","",""
"USC00291028","1915-10","35.76667","-106.46667","2255.5","BLAND, NM US","1",",6","0",",6","0",",6","0",",6","","","","","","","19151031","+,,6","19151015",",,6","","","0",",,6,31,+","1.3",",,6,15,","","","1.3",",,,6","0",",,,6","",""
"USC00291028","1915-11","35.76667","-106.46667","2255.5","BLAND, NM US","2","2,6","0","2,6","0","2,6","0",",6","","","","","","","19151106",",,6","19151105",",2,6","","","13",",,6,06,","0.5","2,,6,05,","","","0.8","2,,,6","16",",,,6","",""
"USC00291028","1915-12","35.76667","-106.46667","2255.5","BLAND, NM US","5",",6","4",",6","0",",6","4",",6","","","","","","","19151227",",,6","19151227",",,6","","","305",",,6,27,","17.8",",,6,27,","","","33.1",",,,6","493",",,,6","",""
"USC00291028","1916-01","35.76667","-106.46667","2255.5","BLAND, NM US","7",",6","3",",6","2",",6","4",",6","","","","","","","19160128",",,6","19160128",",,6","","","711",",,6,28,","55.9",",,6,28,","","","118.0",",,,6","1345",",,,6","",""
"USC00291028","1916-02","35.76667","-106.46667","2255.5","BLAND, NM US","1",",6","0",",6","0",",6","0",",6","","","","","","","19160228",",,6","19160228",",,6","","","5",",,6,28,","0.3",",,6,28,","","","0.3",",,,6","5",",,,6","",""
