"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00027758","1959-07","54.083","43.25","198.0","TORBEEVO, RS","5","4,I","2","4,I","0","4,I","","","","","","","","","","","","","19590709",",4,I","","","","","24.3","4,,I,09,","","","35.9","4,,,I","","","","","",""
"RSM00027758","1959-08","54.083","43.25","198.0","TORBEEVO, RS","12",",I","5",",I","0",",I","","","","","","","","","","","","","19590826",",,I","","","","","16.1",",,I,26,","","","45.7",",,,I","","","","","",""
"RSM00027758","1959-10","54.083","43.25","198.0","TORBEEVO, RS","14","2,I","8","2,I","0","2,I","","","","","","","","","","","","","19591012",",2,I","","","","","6.9","2,,I,12,","","","40.8","2,,,I","","","","","",""
"RSM00027758","1959-11","54.083","43.25","198.0","TORBEEVO, RS","3","5,I","0","5,I","0","5,I","","","","","","","","","","","","","19591124",",5,I","","","","","1.0","5,,I,24,","","","2.7","5,,,I","","","","","",""
"RSM00027758","1959-12","54.083","43.25","198.0","TORBEEVO, RS","12","2,I","4","2,I","0","2,I","","","","","","","","","","","","","19591203",",2,I","","","","","7.4","2,,I,03,","","","26.4","2,,,I","","","","","",""
"RSM00027758","1960-01","54.083","43.25","198.0","TORBEEVO, RS","17",",I","2",",I","0",",I","","","","","","","","","","","","","19600114",",,I","","","","","4.0",",,I,14,","","","30.4",",,,I","","","","","",""
"RSM00027758","1960-02","54.083","43.25","198.0","TORBEEVO, RS","15","1,I","4","1,I","0","1,I","","","","","","","","","","","","","19600216",",1,I","","","","","5.6","1,,I,16,","","","24.2","1,,,I","","","","","",""
"RSM00027758","1960-03","54.083","43.25","198.0","TORBEEVO, RS","9","3,I","3","3,I","0","3,I","","","","","","","","","","","","","19600331",",3,I","","","","","8.5","3,,I,31,","","","24.8","3,,,I","","","","","",""
"RSM00027758","1960-04","54.083","43.25","198.0","TORBEEVO, RS","6",",I","0",",I","0",",I","","","","","","","","","","","","","19600426",",,I","","","","","1.7",",,I,26,","","","6.0",",,,I","","","","","",""
"RSM00027758","1960-05","54.083","43.25","198.0","TORBEEVO, RS","7",",I","1",",I","0",",I","","","","","","","","","","","","","19600520",",,I","","","","","5.4",",,I,20,","","","10.9",",,,I","","","","","",""
"RSM00027758","1960-06","54.083","43.25","198.0","TORBEEVO, RS","10","1,I","6","1,I","1","1,I","","","","","","","","","","","","","19600624",",1,I","","","","","52.9","1,,I,24,","","","98.8","1,,,I","","","","","",""
"RSM00027758","1960-07","54.083","43.25","198.0","TORBEEVO, RS","7",",I","4",",I","0",",I","","","","","","","","","","","","","19600709",",,I","","","","","23.9",",,I,09,","","","59.1",",,,I","","","","","",""
"RSM00027758","1960-08","54.083","43.25","198.0","TORBEEVO, RS","11",",I","8",",I","0",",I","","","","","","","","","","","","","19600809",",,I","","","","","19.4",",,I,09,","","","70.2",",,,I","","","","","",""
"RSM00027758","1960-09","54.083","43.25","198.0","TORBEEVO, RS","19",",I","8",",I","0",",I","","","","","","","","","","","","","19600920",",,I","","","","","16.1",",,I,20,","","","60.8",",,,I","","","","","",""
"RSM00027758","1960-10","54.083","43.25","198.0","TORBEEVO, RS","12","2,I","6","2,I","0","2,I","","","","","","","","","","","","","19601028",",2,I","","","","","7.6","2,,I,28,","","","35.0","2,,,I","","","","","",""
"RSM00027758","1960-11","54.083","43.25","198.0","TORBEEVO, RS","11",",I","2",",I","0",",I","","","","","","","","","","","","","19601130",",,I","","","","","4.6",",,I,30,","","","17.9",",,,I","","","","","",""
"RSM00027758","1960-12","54.083","43.25","198.0","TORBEEVO, RS","18",",I","2",",I","0",",I","","","","","","","","","","","","","19601201",",,I","","","","","7.3",",,I,01,","","","21.8",",,,I","","","","","",""
"RSM00027758","1961-01","54.083","43.25","198.0","TORBEEVO, RS","19","1,I","2","1,I","0","1,I","","","","","","","","","","","","","19610123",",1,I","","","","","4.4","1,,I,23,","","","22.5","1,,,I","","","","","",""
"RSM00027758","1961-02","54.083","43.25","198.0","TORBEEVO, RS","13","2,I","2","2,I","0","2,I","","","","","","","","","","","","","19610206",",2,I","","","","","7.3","2,,I,06,","","","27.4","2,,,I","","","","","",""
"RSM00027758","1961-03","54.083","43.25","198.0","TORBEEVO, RS","18","1,I","6","1,I","0","1,I","","","","","","","","","","","","","19610321",",1,I","","","","","11.9","1,,I,21,","","","47.6","1,,,I","","","","","",""
"RSM00027758","1961-05","54.083","43.25","198.0","TORBEEVO, RS","7","3,I","3","3,I","0","3,I","","","","","","","","","","","","","19610520",",3,I","","","","","11.1","3,,I,20,","","","33.5","3,,,I","","","","","",""
"RSM00027758","1961-06","54.083","43.25","198.0","TORBEEVO, RS","6","2,I","3","2,I","0","2,I","","","","","","","","","","","","","19610615",",2,I","","","","","7.0","2,,I,15,","","","18.2","2,,,I","","","","","",""
"RSM00027758","1961-07","54.083","43.25","198.0","TORBEEVO, RS","8",",I","6",",I","0",",I","","","","","","","","","","","","","19610720",",,I","","","","","8.0",",,I,20,","","","33.4",",,,I","","","","","",""
"RSM00027758","1961-08","54.083","43.25","198.0","TORBEEVO, RS","12",",I","4",",I","0",",I","","","","","","","","","","","","","19610806",",,I","","","","","24.9",",,I,06,","","","64.8",",,,I","","","","","",""
"RSM00027758","1961-09","54.083","43.25","198.0","TORBEEVO, RS","16",",I","11",",I","0",",I","","","","","","","","","","","","","19610904",",,I","","","","","8.3",",,I,04,","","","58.6",",,,I","","","","","",""
"RSM00027758","1961-10","54.083","43.25","198.0","TORBEEVO, RS","7","1,I","2","1,I","0","1,I","","","","","","","","","","","","","19611015",",1,I","","","","","11.0","1,,I,15,","","","17.5","1,,,I","","","","","",""
