"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00049083","1947-06","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","97.0",",6","9",",6","7",",6","2",",6","","","0",",6","0",",6","0",",6","0",",6","22",",6","8",",6","19470609","+,,6","","","19470630","+,,6","19470601",",,6","19470625",",,6","11.1",",6,09,+","","","0",",,6,30,+","44.2",",,6,01,","37.2",",6,25,","218.0","2,,,Z","","","26.1",",6","130.8",",,,6","0",",,,6","20.70",",6","26.67",",,,6","14.73",",,,6","",""
"USC00049083","1947-07","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","175.9",",6","1",",6","0",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","31",",6","14",",6","19470703",",,6","","","19470731","+,,6","19470727",",,6","19470721",",,6","12.8",",6,03,","","","0",",,6,31,+","1.3",",,6,27,","37.2",",6,21,","252.9",",,,Z","0.0","6","0.0",",6","1.3",",,,6","0",",,,6","24.01",",6","31.74",",,,6","16.28",",,,6","",""
"USC00049083","1947-08","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","170.2",",6","3",",6","2",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","29",",6","20",",6","19470827",",,6","","","19470831","+,,6","19470829",",,6","19470819",",,6","11.7",",6,27,","","","0",",,6,31,+","3.0",",,6,29,","37.2",",6,19,","215.8",",,,Z","4.5","6","4.5",",6","7.8",",,,6","0",",,,6","23.68",",6","31.57",",,,6","15.79",",,,6","",""
"USC00049083","1947-09","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","185.7","1,6","1",",6","1",",6","0",",6","","","0",",6","0","1,6","0","1,6","0",",6","30",",6","21",",6","19470919","+,1,6","","","19470930","+,,6","19470907",",,6","19470916","+,,6","11.7","1,6,19,+","","","0",",,6,30,+","8.1",",,6,07,","37.8",",6,16,+","231.5",",,,Z","6.7","6","2.2",",6","8.1",",,,6","0",",,,6","24.73","1,6","32.96",",,,6","16.50","1,,,6","",""
"USC00049083","1947-10","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","19.7",",6","11",",6","8",",6","5",",6","","","0",",6","0",",6","0",",6","0",",6","15",",6","1",",6","19471023",",,6","","","19471031","+,,6","19471010",",,6","19471006",",,6","7.2",",6,23,","","","0",",,6,31,+","106.7",",,6,10,","33.9",",6,06,","94.9",",,,Z","104.2","6","97.5",",6","359.9",",,,6","0",",,,6","15.82",",6","20.88",",,,6","10.77",",,,6","",""
"USC00049083","1947-11","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","0.0",",6","5",",6","3",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","2",",6","0",",6","19471105",",,6","","","19471130","+,,6","19471101",",,6","19471127",",,6","1.7",",6,05,","","","0",",,6,30,+","10.2",",,6,01,","24.4",",6,27,","78.3",",,,Z","312.3","6","208.1",",6","20.9",",,,6","0",",,,6","11.40",",6","16.44",",,,6","6.35",",,,6","",""
"USC00049083","1947-12","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","0.0",",6","9",",6","4",",6","0",",6","","","0",",6","0",",6","3",",6","0",",6","0",",6","0",",6","19471230","+,,6","","","19471231","+,,6","19471217",",,6","19471226",",,6","-0.6",",6,30,+","","","0",",,6,31,+","20.8",",,6,17,","18.3",",6,26,","48.8","3,,,Z","646.8","6","334.5",",6","69.7",",,,6","0",",,,6","7.54",",6","11.74",",,,6","3.35",",,,6","",""
"USC00049083","1948-01","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","0.0","0","0.0",",6","8",",6","7",",6","4",",6","","","0",",6","0",",6","1",",6","0",",6","5",",6","0",",6","19480129",",,6","","","19480131","+,,6","19480107",",,6","19480124",",,6","-0.6",",6,29,","","","0",",,6,31,+","94.5",",,6,07,","23.9",",6,24,","1100.0","3,,,6","882.0","0","235.2",",6","285.8",",,,6","0",",,,6","10.75",",6","15.48",",,,6","6.01",",,,6","6503",",,,6"
"USC00049083","1948-02","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","0.0","0","0.0",",6","10",",6","9",",6","1",",6","","","1",",6","0",",6","10",",6","0",",6","0",",6","0",",6","19480210",",,6","","","19480204",",,6","19480209",",,6","19480225",",,6","-2.2",",6,10,","","","112",",,6,04,","29.0",",,6,09,","18.9",",6,25,","587.8",",,,6","1210.5","0","328.5",",6","97.9",",,,6","112",",,,6","7.01",",6","11.83",",,,6","2.18",",,,6","3738","2,,,6"
"USC00049083","1948-03","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","0.0","0","0.0","1,6","12",",6","11",",6","4",",6","","","0",",6","0",",6","3",",6","0","1,6","1","1,6","0","1,6","19480320",",,6","","","19480331","+,,6","19480323",",,6","19480331",",1,6","-0.6",",6,20,","","","0",",,6,31,+","78.0",",,6,23,","23.3","1,6,31,","764.8","3,,,6","1503.0","0","292.5","1,6","272.4",",,,6","0",",,,6","8.53","1,6","13.70","1,,,6","3.36",",,,6","3616",",,,6"
"USC00049083","1948-04","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","0.0","0","0.0","3,6","20",",6","18",",6","8",",6","","","0",",6","0",",6","0",",6","0","3,6","2","3,6","0","3,6","19480430","+,,6","","","19480430","+,,6","19480430",",,6","19480419",",3,6","0.6",",6,30,+","","","0",",,6,30,+","61.5",",,6,30,","24.4","3,6,19,","","","1737.6","0","234.6","3,6","474.6",",,,6","0",",,,6","9.63","3,6","14.50","3,,,6","4.75",",,,6","3315",",,,6"
"USC00049083","1948-05","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","9.7","0","9.7","2,6","11",",6","8",",6","0",",6","","","0",",6","0",",6","0",",6","0","2,6","13","2,6","0","2,6","19480501",",,6","","","19480531","+,,6","19480528",",,6","19480525","+,2,6","0.6",",6,01,","","","0",",,6,31,+","11.2",",,6,28,","28.3","2,6,25,+","1134.6",",,,6","1844.2","0","106.6","2,6","53.0",",,,6","0",",,,6","14.91","2,6","20.99","2,,,6","8.84",",,,6","2612",",,,6"
"USC00049083","1948-06","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","105.7","0","96.0","2,6","5",",6","3",",6","0",",6","","","0",",6","0",",6","0",",6","0","2,6","20","2,6","8","2,6","19480610",",,6","","","19480630","+,,6","19480606",",,6","19480628",",2,6","10.0",",6,10,","","","0",",,6,30,+","10.7",",,6,06,","38.3","2,6,28,","1932.1",",,,6","1872.2","0","28.0","2,6","25.7",",,,6","0",",,,6","20.74","2,6","27.14","2,,,6","14.33",",,,6","3467",",,,6"
"USC00049083","1948-07","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","312.5","0","206.8",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","20",",0","19480704","+,,0","19480731","+,,0","19480731","+,,0","19480706",",,0","19480717","+,,0","6.7",",0,04,+","0",",,0,31,+","0",",,0,31,+","6.6",",,0,06,","37.8",",0,17,+","263.6","1,,,0","6.7","0","6.7",",0","12.2",",,,0","0",",,,0","24.79",",0","32.28",",,,0","17.29",",,,0","3824",",,,0"
"USC00049083","1948-09","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","","","2","5,0","2","5,0","0","5,0","0","5,0","0","5,0","","","","","","","","","","","","","19480930","+,5,0","19480930","+,5,0","19480918",",5,0","","","","","0","5,,0,30,+","0","5,,0,30,+","16.5","5,,0,18,","","","","","","","","","22.9","5,,,0","0","5,,,0","","","","","","","",""
"USC00049083","1948-10","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","16.0",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","19481031",",,0","19481031","+,,0","19481031","+,,0","19481004",",,0","19481009","+,,0","5.6",",0,31,","0",",,0,31,+","0",",,0,31,+","16.8",",,0,04,","29.4",",0,09,+","126.7","2,,,0","","","41.6",",0","31.1",",,,0","0",",,,0","17.51",",0","24.10",",,,0","10.92",",,,0","3623","2,,,0"
"USC00049083","1948-11","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","0.0",",0","6",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","19481129","+,,0","19481130","+,,0","19481130","+,,0","19481102",",,0","19481112",",,0","1.7",",0,29,+","0",",,0,30,+","0",",,0,30,+","90.2",",,0,02,","25.0",",0,12,","93.0","3,,,0","","","198.3",",0","148.9",",,,0","0",",,,0","11.72",",0","17.13",",,,0","6.32",",,,0","3713","3,,,0"
"USC00049083","1948-12","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","0.0","1,0","20",",0","13",",0","1",",0","0",",0","0",",0","0",",0","7",",0","0","1,0","0","1,0","0","1,0","19481224",",,0","19481231","+,,0","19481231","+,,0","19481205",",,0","19481202","+,1,0","-2.8",",0,24,","0",",,0,31,+","0",",,0,31,+","43.2",",,0,05,","13.9","1,0,02,+","","","","","403.0","1,0","155.2",",,,0","0",",,,0","4.91","1,0","7.93","1,,,0","1.88",",,,0","3208",",,,0"
"USC00049083","1949-01","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","0.0","0","0.0","2,0","4","2,0","3","2,0","0","2,0","1","2,0","1","2,0","0","2,0","18","2,0","0","2,0","0","2,0","0","2,0","19490124",",2,0","19490122",",2,0","19490122",",2,0","19490101",",2,0","19490107",",2,0","-4.4","2,0,24,","76","2,,0,22,","76","2,,0,22,","21.6","2,,0,01,","18.3","2,0,07,","","","","","415.9","2,0","36.8","2,,,0","76","2,,,0","3.99","2,0","8.24","2,,,0","-0.26","2,,,0","4818","3,,,0"
