"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00234906","1923-08","37.066667","-90.7","152.4","LEEPER, MO US","4",",6","4",",6","3",",6","","","","","","","","","19230822",",,6","","","34.8",",,6,22,","105.9",",,,6","",""
"USC00234906","1923-10","37.066667","-90.7","152.4","LEEPER, MO US","5",",6","5",",6","2",",6","","","","","","","","","19231017",",,6","","","48.3",",,6,17,","96.5",",,,6","",""
"USC00234906","1923-12","37.066667","-90.7","152.4","LEEPER, MO US","10",",6","7",",6","0",",6","","","","","","","","","19231213",",,6","","","19.1",",,6,13,","75.6",",,,6","",""
"USC00234906","1924-01","37.066667","-90.7","152.4","LEEPER, MO US","6",",6","4",",6","0",",6","1",",6","","","19240112",",,6","","","19240110",",,6","25",",,6,12,","20.8",",,6,10,","32.9",",,,6","25",",,,6"
"USC00234906","1924-02","37.066667","-90.7","152.4","LEEPER, MO US","6",",6","4",",6","0",",6","","","","","","","","","19240217",",,6","","","21.3",",,6,17,","45.4",",,,6","",""
"USC00234906","1924-03","37.066667","-90.7","152.4","LEEPER, MO US","5",",6","4",",6","0",",6","","","","","","","","","19240328",",,6","","","12.7",",,6,28,","34.9",",,,6","",""
"USC00234906","1924-05","37.066667","-90.7","152.4","LEEPER, MO US","8",",6","8",",6","1",",6","","","","","","","","","19240520",",,6","","","26.7",",,6,20,","113.1",",,,6","",""
"USC00234906","1924-06","37.066667","-90.7","152.4","LEEPER, MO US","10",",6","9",",6","0",",6","","","","","","","","","19240623",",,6","","","12.7",",,6,23,","65.9",",,,6","",""
"USC00234906","1924-07","37.066667","-90.7","152.4","LEEPER, MO US","8",",6","8",",6","3",",6","","","","","","","","","19240712",",,6","","","49.5",",,6,12,","160.2",",,,6","",""
"USC00234906","1924-08","37.066667","-90.7","152.4","LEEPER, MO US","7",",6","7",",6","1",",6","","","","","","","","","19240801",",,6","","","50.8",",,6,01,","125.0",",,,6","",""
"USC00234906","1925-12","37.066667","-90.7","152.4","LEEPER, MO US","5",",6","3",",6","1",",6","0",",6","","","19251222",",,6","","","19251204",",,6","13",",,6,22,","41.9",",,6,04,","72.2",",,,6","13",",,,6"
"USC00234906","1926-01","37.066667","-90.7","152.4","LEEPER, MO US","5",",6","5",",6","0",",6","1",",6","","","19260122",",,6","","","19260122",",,6","114",",,6,22,","21.6",",,6,22,","75.8",",,,6","114",",,,6"
