"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00412678","1940-07","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","5",",0","5",",0","2",",0","0",",0","0",",0","","","","","","","","","19400731","+,,0","19400731","+,,0","","","19400712",",,0","","","0",",,0,31,+","0",",,0,31,+","51.6",",,0,12,","118.1",",,,0","0",",,,0","",""
"USC00412678","1940-08","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","3",",0","3",",0","1",",0","0",",0","0",",0","","","","","","","","","19400831","+,,0","19400831","+,,0","","","19400816",",,0","","","0",",,0,31,+","0",",,0,31,+","69.1",",,0,16,","88.4",",,,0","0",",,,0","",""
"USC00412678","1940-09","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","2",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","19400930","+,,0","19400930","+,,0","","","19400923",",,0","","","0",",,0,30,+","0",",,0,30,+","10.2",",,0,23,","17.8",",,,0","0",",,,0","",""
"USC00412678","1940-10","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","2",",0","2",",0","1",",0","0",",0","0",",0","","","","","","","","","19401031","+,,0","19401031","+,,0","","","19401031",",,0","","","0",",,0,31,+","0",",,0,31,+","37.3",",,0,31,","52.0",",,,0","0",",,,0","",""
"USC00412678","1940-11","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","8",",0","7",",0","4",",0","0",",0","0",",0","","","","","","","","","19401130","+,,0","19401130","+,,0","","","19401123",",,0","","","0",",,0,30,+","0",",,0,30,+","46.5",",,0,23,","181.7",",,,0","0",",,,0","",""
"USC00412678","1940-12","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","7",",0","6",",0","3",",0","0",",0","0",",0","","","","","","","","","19401231","+,,0","19401231","+,,0","","","19401227",",,0","","","0",",,0,31,+","0",",,0,31,+","37.6",",,0,27,","139.7",",,,0","0",",,,0","",""
"USC00412678","1941-01","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","4",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","","","19410131","+,,0","19410131","+,,0","","","19410114",",,0","","","0",",,0,31,+","0",",,0,31,+","6.1",",,0,14,","17.5",",,,0","0",",,,0","",""
"USC00412678","1941-02","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","10",",0","8",",0","1",",0","0",",0","0",",0","","","","","","","","","19410228","+,,0","19410228","+,,0","","","19410201",",,0","","","0",",,0,28,+","0",",,0,28,+","33.0",",,0,01,","115.4",",,,0","0",",,,0","",""
"USC00412678","1941-03","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","4",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","19410331","+,,0","19410331","+,,0","","","19410323",",,0","","","0",",,0,31,+","0",",,0,31,+","15.0",",,0,23,","53.3",",,,0","0",",,,0","",""
"USC00412678","1941-04","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","14",",0","8",",0","2",",0","0",",0","0",",0","","","","","","","","","19410430","+,,0","19410430","+,,0","","","19410418",",,0","","","0",",,0,30,+","0",",,0,30,+","85.9",",,0,18,","167.7",",,,0","0",",,,0","",""
