"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00156580","1965-02","37.1244","-87.8672","151.5","PRINCETON 1 SE, KY US","","","0.0",",0","8",",0","7",",0","1",",0","7",",0","3",",0","1",",0","19",",0","4",",0","2",",0","0",",0","","","19650202",",,0","19650225",",,0","19650225",",,0","","","19650211",",,0","19650209",",,0","-19.4",",0,02,","127",",,0,25,","71",",,0,25,","33.0",",,0,11,","23.9",",0,09,","","","","","","","410.4",",0","","","","","","","","","","","","","","","","","","","","","105.6",",,,0","191",",,,0","3.68",",0","10.20",",,,0","-2.85",",,,0"
"USC00156580","1965-03","37.1244","-87.8672","151.5","PRINCETON 1 SE, KY US","","","0.0",",0","13",",0","8",",0","2",",0","4",",0","3",",0","0",",0","20",",0","0",",0","1",",0","0",",0","","","19650319",",,0","19650307","+,,0","19650307","+,,0","","","19650329",",,0","19650316",",,0","-8.9",",0,19,","25",",,0,07,+","25",",,0,07,+","97.8",",,0,29,","21.1",",0,16,","","","","","","","425.5",",0","","","","","","","","","","","","","","","","","","","","","190.9",",,,0","96",",,,0","4.61",",0","9.99",",,,0","-0.77",",,,0"
"USC00156580","1965-04","37.1244","-87.8672","151.5","PRINCETON 1 SE, KY US","","","34.2",",0","12",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","","","19650402",",,0","19650430","+,,0","19650430","+,,0","","","19650415",",,0","19650423",",,0","3.3",",0,02,","0",",,0,30,+","0",",,0,30,+","30.0",",,0,15,","30.6",",0,23,","","","","","","","92.8",",0","","","","","","","","","","","","","","","","","","","","","128.4",",,,0","0",",,,0","16.38",",0","22.66",",,,0","10.10",",,,0"
"USC00156580","1965-05","37.1244","-87.8672","151.5","PRINCETON 1 SE, KY US","","","112.3",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","1",",0","","","19650529",",,0","19650531","+,,0","19650531","+,,0","","","19650527",",,0","19650506",",,0","7.8",",0,29,","0",",,0,31,+","0",",,0,31,+","14.7",",,0,27,","32.2",",0,06,","","","","","","","4.4",",0","","","","","","","","","","","","","","","","","","","","","42.7",",,,0","0",",,,0","21.81",",0","28.05",",,,0","15.57",",,,0"
"USC00156580","1965-06","37.1244","-87.8672","151.5","PRINCETON 1 SE, KY US","","","158.5",",0","7",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","4",",0","","","19650619",",,0","19650630","+,,0","19650630","+,,0","","","19650603",",,0","19650629","+,,0","10.6",",0,19,","0",",,0,30,+","0",",,0,30,+","39.6",",,0,03,","32.8",",0,29,+","","","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","95.7",",,,0","0",",,,0","23.62",",0","29.80",",,,0","17.43",",,,0"
"USC00156580","1965-07","37.1244","-87.8672","151.5","PRINCETON 1 SE, KY US","","","205.1","1,0","6",",0","4",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","9",",0","","","19650730",",1,0","19650731","+,,0","19650731","+,,0","","","19650703",",,0","19650725",",,0","11.7","1,0,30,","0",",,0,31,+","0",",,0,31,+","51.6",",,0,03,","37.8",",0,25,","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","94.8",",,,0","0",",,,0","25.17","1,0","31.63",",,,0","18.71","1,,,0"
"USC00156580","1965-08","37.1244","-87.8672","151.5","PRINCETON 1 SE, KY US","","","223.8",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","20",",0","","","19650829",",,0","19650831","+,,0","19650831","+,,0","","","19650826",",,0","19650816",",,0","8.3",",0,29,","0",",,0,31,+","0",",,0,31,+","10.2",",,0,26,","37.8",",0,16,","1.7","0","","","","","1.7",",0","","","","","","","","","","","","","","","","","","","","","33.2",",,,0","0",",,,0","25.50",",0","32.88",",,,0","18.12",",,,0"
"USC00156580","1965-09","37.1244","-87.8672","151.5","PRINCETON 1 SE, KY US","","","126.3",",0","10",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","1",",0","","","19650925",",,0","19650930","+,,0","19650930","+,,0","","","19650911",",,0","19650916",",,0","1.7",",0,25,","0",",,0,30,+","0",",,0,30,+","48.5",",,0,11,","32.2",",0,16,","22.0","0","","","","","20.3",",0","","","","","","","","","","","","","","","","","","","","","147.8",",,,0","0",",,,0","21.87",",0","27.26",",,,0","16.47",",,,0"
"USC00156580","1965-10","37.1244","-87.8672","151.5","PRINCETON 1 SE, KY US","","","15.8",",0","7",",0","2",",0","1",",0","0",",0","0",",0","0",",0","2",",0","0",",0","20",",0","0",",0","","","19651025",",,0","19651031","+,,0","19651031","+,,0","","","19651007",",,0","19651018","+,,0","-2.8",",0,25,","0",",,0,31,+","0",",,0,31,+","27.9",",,0,07,","30.0",",0,18,+","157.8","0","","","","","135.8",",0","","","","","","","","","","","","","","","","","","","","","35.9",",,,0","0",",,,0","14.46",",0","21.72",",,,0","7.21",",,,0"
"USC00156580","1965-11","37.1244","-87.8672","151.5","PRINCETON 1 SE, KY US","","","2.2",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","12",",0","0",",0","","","19651130",",,0","19651130","+,,0","19651130","+,,0","","","19651121",",,0","19651107",",,0","-8.9",",0,30,","0",",,0,30,+","0",",,0,30,+","19.6",",,0,21,","25.0",",0,07,","352.2","0","","","","","194.4",",0","","","","","","","","","","","","","","","","","","","","","43.3",",,,0","0",",,,0","11.93",",0","18.36",",,,0","5.50",",,,0"
