"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094051","1997-09","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","","","","","21.7",",M","","","","","","","","","","","0",",M","4",",M","0",",M","28",",M","2",",M","19970919",",,M","","","","","","","19970903",",,M","-3.9",",M,19,","","","","","","","34.4",",M,03,","","","86.1",",M","","","","","16.19",",M","26.77",",,,M","5.60",",,,M","","","","","","","","","",""
"USW00094051","1997-10","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","","","","","3.0",",M","","","","","","","","","","","0",",M","18",",M","1",",M","6",",M","1",",M","19971028",",,M","","","","","","","19971002",",,M","-7.8",",M,28,","","","","","","","33.3",",M,02,","","","347.5",",M","","","","","7.22",",M","15.23",",,,M","-0.78",",,,M","","","","","","","","","",""
"USW00094051","1997-11","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","","","","","0.0","1,M","","","","","","","","","","","3","1,M","28","1,M","5","1,M","1","1,M","0","1,M","19971115",",1,M","","","","","","","19971106",",1,M","-21.1","1,M,15,","","","","","","","21.7","1,M,06,","","","564.5","1,M","","","","","-1.13","1,M","7.60","1,,,M","-9.86","1,,,M","","","","","","","","","",""
"USW00094051","1997-12","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","","","","","0.0",",M","","","","","","","","","","","4",",M","31",",M","6",",M","0",",M","0",",M","19971206","+,,M","","","","","","","19971214",",,M","-21.1",",M,06,+","","","","","","","17.2",",M,14,","","","681.1",",M","","","","","-3.64",",M","4.62",",,,M","-11.90",",,,M","","","","","","","","","",""
"USW00094051","1998-01","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","","","0.0","W","0.0",",M","","","","","","","","","","","17",",M","31",",M","18",",M","0",",M","0",",M","19980112",",,M","","","","","","","19980101",",,M","-40.0",",M,12,","","","","","","","11.1",",M,01,","","","900.0",",M","","","","","-10.70",",M","-2.54",",,,M","-18.86",",,,M","","","","","","","","","",""
"USW00094051","1998-04","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","3.9",",W","","","0.0",",W","0",",W","0",",W","0",",W","","","","","0",",W","16",",W","0",",W","6",",W","0",",W","19980419",",,W","","","","","19980430","+,,W","19980423",",,W","-8.3",",W,19,","","","","","0.0",",,W,30,+","27.2",",W,23,","","","315.5",",W","0.0",",,,W","","","7.82",",W","15.86",",,,W","-0.22",",,,W","","","300",",W","300",",W","17.9",",W","21.5",",W"
"USW00094051","1998-05","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","4.7",",W","","","5.9",",W","0",",W","0",",W","0",",W","","","","","0",",W","10",",W","0",",W","19",",W","1",",W","19980507",",,W","","","","","19980531","+,,W","19980526",",,W","-4.4",",W,07,","","","","","0.0",",,W,31,+","32.2",",W,26,","","","183.0",",W","0.0",",,,W","","","12.62",",W","21.67",",,,W","3.56",",,,W","","","350",",W","270",",W","14.8",",W","19.7",",W"
"USW00094051","1998-06","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","4.4",",W","","","1.1",",W","0",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","17",",W","0",",W","19980606","+,,W","","","","","19980630","+,,W","19980622","+,,W","0.6",",W,06,+","","","","","0.0",",,W,30,+","27.8",",W,22,+","","","127.2",",W","0.0",",,,W","","","14.13",",W","20.72",",,,W","7.54",",,,W","","","260",",W","260",",W","18.3",",W","23.2",",W"
"USW00094051","1998-07","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","3.7",",W","","","139.2",",W","0",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","31",",W","15",",W","19980715","+,,W","","","","","19980731","+,,W","19980717",",,W","9.4",",W,15,+","","","","","0.0",",,W,31,+","38.9",",W,17,","0.5","W","0.5",",W","0.0",",,,W","","","22.80",",W","31.70",",,,W","13.91",",,,W","","","130",",W","120",",W","21.0",",W","24.1",",W"
"USW00094051","1998-08","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","3.6",",W","","","136.4",",W","9",",W","3",",W","0",",W","","","","","0",",W","0",",W","0",",W","31",",W","17",",W","19980829",",,W","","","","","19980803",",,W","19980806",",,W","7.2",",W,29,","","","","","21.6",",,W,03,","36.7",",W,06,","0.5","W","0.0",",W","34.5",",,,W","","","22.73",",W","31.96",",,,W","13.50",",,,W","","","230",",W","240",",W","17.4",",W","22.8",",W"
