"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA006151061","1994-11","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","","","0.0","4,C","0","4,C","2","4,C","0","4,C","0","4,C","0","4,C","19941126",",4,C","19941114","+,4,C","-2.6","4,C,26,","18.3","4,C,14,+","","","285.4","4,C","7.36","4,C","10.28","4,,,C","4.43","4,,,C","","","",""
"CA006151061","1994-12","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","","","0.0","1,C","0","1,C","13","1,C","6","1,C","0","1,C","0","1,C","19941212",",1,C","19941203",",1,C","-12.5","1,C,12,","12.5","1,C,03,","","","502.8","1,C","1.57","1,C","4.32","1,,,C","-1.17","1,,,C","","","",""
"CA006151061","1995-01","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","0.0","C","0.0","5,C","0","5,C","20","5,C","12","5,C","0","5,C","0","5,C","19950128",",5,C","19950112",",5,C","-13.4","5,C,28,","11.3","5,C,12,","","","513.7","5,C","-1.43","5,C","1.10","5,,,C","-3.95","5,,,C","","","",""
"CA006151061","1995-02","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","0.0","C","0.0","2,C","0","2,C","25","2,C","16","2,C","0","2,C","0","2,C","19950206",",2,C","19950219",",2,C","-17.6","2,C,06,","8.6","2,C,19,","","","608.9","2,C","-5.09","2,C","-1.35","2,,,C","-8.82","2,,,C","","","",""
"CA006151061","1995-03","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","0.0","C","0.0","3,C","0","3,C","11","3,C","5","3,C","0","3,C","0","3,C","19950310",",3,C","19950313",",3,C","-11.3","3,C,10,","17.2","3,C,13,","","","430.7","3,C","2.95","3,C","7.07","3,,,C","-1.17","3,,,C","","","",""
"CA006151061","1995-06","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","","","49.0","4,C","0","4,C","0","4,C","0","4,C","16","4,C","1","4,C","19950609",",4,C","19950619",",4,C","11.0","4,C,09,","34.2","4,C,19,","","","21.8","4,C","19.38","4,C","22.26","4,,,C","16.49","4,,,C","","","",""
"CA006151061","1995-10","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","","","4.8",",C","0",",C","0",",C","0",",C","4",",C","0",",C","19951017",",,C","19951012",",,C","4.3",",C,17,","25.7",",C,12,","","","191.3",",C","12.32",",C","15.54",",,,C","9.10",",,,C","","","",""
"CA006151061","1995-11","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","","","0.0","2,C","0","2,C","15","2,C","2","2,C","0","2,C","0","2,C","19951129",",2,C","19951102",",2,C","-6.0","2,C,29,","18.7","2,C,02,","","","442.4","2,C","2.53","2,C","5.03","2,,,C","0.04","2,,,C","","","",""
"CA006151061","1995-12","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","","","0.0","3,C","0","3,C","24","3,C","18","2,C","0","2,C","0","2,C","19951209",",3,C","19951203",",2,C","-13.6","3,C,09,","8.1","2,C,03,","","","599.1","2,C","-2.93","3,C","-0.37","2,,,C","-5.50","3,,,C","","","",""
"CA006151061","1996-01","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","0.0","C","0.0","1,C","0","1,C","27","1,C","18","1,C","0","1,C","0","1,C","19960104",",1,C","19960118",",1,C","-17.1","1,C,04,","14.2","1,C,18,","","","696.9","1,C","-4.90","1,C","-1.25","1,,,C","-8.55","1,,,C","","","",""
