"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087506","1968-05","-35.494","-69.574","1430.1","MALARGUE, AR","","","","","","","0","4,S","14","4,S","","","","","","","19680516","+,4,S","","","","","-7.8","4,S,16,+","","","","","","","","","","","0.59","4,,,S"
"ARM00087506","1968-06","-35.494","-69.574","1430.1","MALARGUE, AR","","","","","","","0","4,S","20","4,S","0","4,S","1","4,S","0","4,S","19680612",",4,S","","","19680620",",4,S","-6.1","4,S,12,","","","21.1","4,S,20,","","","5.03","7,S","11.13","4,,,S","-1.07","4,,,S"
"ARM00087506","1968-07","-35.494","-69.574","1430.1","MALARGUE, AR","","","","","","","0","3,S","25","3,S","","","","","","","19680705",",3,S","","","","","-7.2","3,S,05,","","","","","","","","","","","-2.30","3,,,S"
"ARM00087506","1968-08","-35.494","-69.574","1430.1","MALARGUE, AR","","","","","","","0","4,S","19","4,S","","","","","","","19680808",",4,S","","","","","-7.8","4,S,08,","","","","","","","","","","","-0.72","4,,,S"
"ARM00087506","1968-12","-35.494","-69.574","1430.1","MALARGUE, AR","","","","","","","","","","","0","4,S","26","4,S","0","4,S","","","","","19681228","+,4,S","","","","","28.9","4,S,28,+","","","","","25.64","4,,,S","",""
"ARM00087506","1973-10","-35.494","-69.574","1430.1","MALARGUE, AR","0","5,S","0","5,S","0","5,S","0","4,","4","4,S","","","","","","","19731012",",4,S","19731031","+,5,S","","","-4.0","4,S,12,","0.0","5,,S,31,+","","","0.0","5,,,S","","","","","3.56","4,,,S"
"ARM00087506","1973-12","-35.494","-69.574","1430.1","MALARGUE, AR","2","3,S","1","3,S","1","3,S","","","","","","","","","","","","","19731225",",3,S","","","","","36.1","3,,S,25,","","","38.1","3,,,S","","","","","",""
"ARM00087506","1974-01","-35.494","-69.574","1430.1","MALARGUE, AR","1","5,S","1","5,S","0","5,S","","","","","","","","","","","","","19740124",",5,S","","","","","9.9","5,,S,24,","","","9.9","5,,,S","","","","","",""
"ARM00087506","1974-02","-35.494","-69.574","1430.1","MALARGUE, AR","6","4,S","4","4,S","1","4,S","0","5,","0","5,S","","","","","","","19740208","+,5,S","19740214",",4,S","","","5.0","5,S,08,+","32.0","4,,S,14,","","","53.1","4,,,S","","","","","10.22","5,,,S"
"ARM00087506","1974-08","-35.494","-69.574","1430.1","MALARGUE, AR","2","5,S","1","5,S","0","5,S","0","4,","22","4,S","","","","","","","19740809","+,4,S","19740804",",5,S","","","-6.0","4,S,09,+","3.0","5,,S,04,","","","4.0","5,,,S","","","","","-1.07","4,,,S"
"ARM00087506","1974-09","-35.494","-69.574","1430.1","MALARGUE, AR","0","4,S","0","4,S","0","4,S","","","","","","","","","","","","","19740930","+,4,S","","","","","0.0","4,,S,30,+","","","0.0","4,,,S","","","","","",""
"ARM00087506","1974-12","-35.494","-69.574","1430.1","MALARGUE, AR","4","2,S","3","2,S","0","2,S","","","","","","","","","","","","","19741211",",2,S","","","","","11.9","2,,S,11,","","","19.9","2,,,S","","","","","",""
"ARM00087506","1975-09","-35.494","-69.574","1430.1","MALARGUE, AR","","","","","","","0","5,S","12","5,S","","","","","","","19750906",",5,S","","","","","-6.0","5,S,06,","","","","","","","","","","","0.48","5,,,S"
"ARM00087506","1977-05","-35.494","-69.574","1430.1","MALARGUE, AR","5","4,S","4","4,S","0","4,S","","","","","","","","","","","","","19770501",",4,S","","","","","24.9","4,,S,01,","","","64.3","4,,,S","","","","","",""
"ARM00087506","1977-09","-35.494","-69.574","1430.1","MALARGUE, AR","1","5,S","1","5,S","0","5,S","","","","","","","","","","","","","19770908",",5,S","","","","","23.1","5,,S,08,","","","23.1","5,,,S","","","","","",""
"ARM00087506","1977-11","-35.494","-69.574","1430.1","MALARGUE, AR","4","1,S","1","1,S","0","1,S","0","5,","2","5,S","","","","","","","19771102",",5,S","19771119",",1,S","","","-1.0","5,S,02,","10.9","1,,S,19,","","","15.4","1,,,S","","","","","5.80","5,,,S"
"ARM00087506","1977-12","-35.494","-69.574","1430.1","MALARGUE, AR","8",",S","4",",S","1",",S","0","4,","1","4,S","","","","","","","19771221",",4,S","19771231",",,S","","","0.0","4,S,21,","27.9",",,S,31,","","","63.1",",,,S","","","","","10.26","4,,,S"
"ARM00087506","1978-01","-35.494","-69.574","1430.1","MALARGUE, AR","4","2,S","3","2,S","0","2,S","","","","","","","","","","","","","19780123",",2,S","","","","","11.9","2,,S,23,","","","25.4","2,,,S","","","","","",""
"ARM00087506","1978-02","-35.494","-69.574","1430.1","MALARGUE, AR","7","4,S","5","4,S","0","4,S","","","","","","","","","","","","","19780215","+,4,S","","","","","8.9","4,,S,15,+","","","36.1","4,,,S","","","","","",""
"ARM00087506","1978-03","-35.494","-69.574","1430.1","MALARGUE, AR","5","4,S","3","4,S","0","4,S","","","","","","","","","","","","","19780325",",4,S","","","","","16.0","4,,S,25,","","","25.0","4,,,S","","","","","",""
"ARM00087506","1978-04","-35.494","-69.574","1430.1","MALARGUE, AR","0",",S","0",",S","0",",S","0","1,","1","1,S","","","","","","","19780430",",1,S","19780430","+,,S","","","-1.0","1,S,30,","0.0",",,S,30,+","","","0.0",",,,S","","","","","5.00","1,,,S"
"ARM00087506","1978-05","-35.494","-69.574","1430.1","MALARGUE, AR","1","5,S","1","5,S","0","5,S","","","","","","","","","","","","","19780513",",5,S","","","","","7.1","5,,S,13,","","","7.1","5,,,S","","","","","",""
"ARM00087506","1978-07","-35.494","-69.574","1430.1","MALARGUE, AR","5","5,S","5","5,S","1","5,S","","","","","","","","","","","","","19780719",",5,S","","","","","50.0","5,,S,19,","","","75.2","5,,,S","","","","","",""
"ARM00087506","1978-09","-35.494","-69.574","1430.1","MALARGUE, AR","4","5,S","3","5,S","0","5,S","","","","","","","","","","","","","19780918",",5,S","","","","","9.9","5,,S,18,","","","24.4","5,,,S","","","","","",""
"ARM00087506","1978-12","-35.494","-69.574","1430.1","MALARGUE, AR","3","5,S","2","5,S","1","5,S","","","","","","","","","","","","","19781223",",5,S","","","","","45.0","5,,S,23,","","","51.1","5,,,S","","","","","",""
"ARM00087506","1979-01","-35.494","-69.574","1430.1","MALARGUE, AR","5",",S","4",",S","0",",S","0","3,S","0","3,S","","","","","","","19790128",",3,S","19790106",",,S","","","6.0","3,S,28,","9.9",",,S,06,","","","26.1",",,,S","","","","","12.07","3,,,S"
"ARM00087506","1979-02","-35.494","-69.574","1430.1","MALARGUE, AR","6","2,S","4","2,S","0","2,S","0","3,S","0","3,S","","","","","","","19790225","+,3,S","19790208",",2,S","","","7.0","3,S,25,+","23.9","2,,S,08,","","","48.0","2,,,S","","","","","9.88","3,,,S"
"ARM00087506","1979-03","-35.494","-69.574","1430.1","MALARGUE, AR","9","2,S","4","2,S","1","2,S","","","","","","","","","","","","","19790305",",2,S","","","","","32.0","2,,S,05,","","","68.0","2,,,S","","","","","",""
"ARM00087506","1979-04","-35.494","-69.574","1430.1","MALARGUE, AR","4","2,S","4","2,S","0","2,S","0","5,S","5","5,S","","","","","","","19790405",",5,S","19790404",",2,S","","","-3.0","5,S,05,","8.9","2,,S,04,","","","23.1","2,,,S","","","","","4.12","5,,,S"
"ARM00087506","1979-05","-35.494","-69.574","1430.1","MALARGUE, AR","4","1,S","4","1,S","1","1,S","0","3,S","12","3,S","","","","","","","19790530",",3,S","19790520",",1,S","","","-9.0","3,S,30,","33.0","1,,S,20,","","","45.1","1,,,S","","","","","1.21","3,,,S"
"ARM00087506","1979-06","-35.494","-69.574","1430.1","MALARGUE, AR","3","3,S","2","3,S","1","3,S","0","4,S","23","4,S","","","","","","","19790615",",4,S","19790620",",3,S","","","-11.0","4,S,15,","50.0","3,,S,20,","","","65.3","3,,,S","","","","","-4.31","4,,,S"
"ARM00087506","1979-07","-35.494","-69.574","1430.1","MALARGUE, AR","4","3,S","3","3,S","0","3,S","0","4,S","19","4,S","","","","","","","19790716",",4,S","19790701",",3,S","","","-7.0","4,S,16,","19.1","3,,S,01,","","","36.1","3,,,S","","","","","-0.78","4,,,S"
"ARM00087506","1979-08","-35.494","-69.574","1430.1","MALARGUE, AR","4","4,S","3","4,S","1","4,S","0","3,S","15","3,S","","","","","","","19790814",",3,S","19790813",",4,S","","","-4.0","3,S,14,","54.1","4,,S,13,","","","78.3","4,,,S","","","","","0.61","3,,,S"
"ARM00087506","1979-09","-35.494","-69.574","1430.1","MALARGUE, AR","8","3,S","3","3,S","0","3,S","0","4,S","15","4,S","","","","","","","19790901",",4,S","19790912",",3,S","","","-9.0","4,S,01,","14.0","3,,S,12,","","","25.0","3,,,S","","","","","-0.50","4,,,S"
"ARM00087506","1979-10","-35.494","-69.574","1430.1","MALARGUE, AR","2","2,S","2","2,S","0","2,S","","","","","","","","","","","","","19791004",",2,S","","","","","7.1","2,,S,04,","","","13.2","2,,,S","","","","","",""
"ARM00087506","1979-11","-35.494","-69.574","1430.1","MALARGUE, AR","3","4,S","1","4,S","0","4,S","0","5,S","1","5,S","","","","","","","19791109",",5,S","19791108",",4,S","","","-1.0","5,S,09,","7.1","4,,S,08,","","","8.6","4,,,S","","","","","6.28","5,,,S"
"ARM00087506","1979-12","-35.494","-69.574","1430.1","MALARGUE, AR","8",",S","4",",S","0",",S","0","3,S","0","3,S","","","","","","","19791231","+,3,S","19791213",",,S","","","6.0","3,S,31,+","10.9",",,S,13,","","","31.4",",,,S","","","","","9.36","3,,,S"
"ARM00087506","1980-01","-35.494","-69.574","1430.1","MALARGUE, AR","4","5,S","1","5,S","0","5,S","","","","","","","","","","","","","19800111",",5,S","","","","","9.9","5,,S,11,","","","13.9","5,,,S","","","","","",""
"ARM00087506","1980-02","-35.494","-69.574","1430.1","MALARGUE, AR","5","4,S","2","4,S","0","4,S","0","4,S","0","4,S","","","","","","","19800210",",4,S","19800221",",4,S","","","5.0","4,S,10,","7.9","4,,S,21,","","","18.3","4,,,S","","","","","10.52","4,,,S"
"ARM00087506","1980-04","-35.494","-69.574","1430.1","MALARGUE, AR","6",",S","3",",S","0",",S","0",",S","10",",S","","","","","","","19800413",",,S","19800410",",,S","","","-5.0",",S,13,","23.9",",,S,10,","","","49.5",",,,S","","","","","3.23",",,,S"
"ARM00087506","1980-05","-35.494","-69.574","1430.1","MALARGUE, AR","3",",S","0",",S","0",",S","0","3,S","13","3,S","","","","","","","19800507",",3,S","19800510",",,S","","","-4.0","3,S,07,","2.0",",,S,10,","","","3.5",",,,S","","","","","1.46","3,,,S"
"ARM00087506","1980-06","-35.494","-69.574","1430.1","MALARGUE, AR","8","4,S","5","4,S","1","4,S","","","","","","","","","","","","","19800628",",4,S","","","","","29.0","4,,S,28,","","","64.2","4,,,S","","","","","",""
"ARM00087506","1980-07","-35.494","-69.574","1430.1","MALARGUE, AR","3","1,S","2","1,S","0","1,S","0","3,S","23","3,S","","","","","","","19800702","+,3,S","19800727",",1,S","","","-10.0","3,S,02,+","7.1","1,,S,27,","","","11.5","1,,,S","","","","","-3.14","3,,,S"
"ARM00087506","1980-08","-35.494","-69.574","1430.1","MALARGUE, AR","0","1,S","0","1,S","0","1,S","","","","","","","","","","","","","19800831","+,1,S","","","","","0.0","1,,S,31,+","","","0.0","1,,,S","","","","","",""
