"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00153762","1894-01","37.7558","-87.6455","136.9","HENDERSON 8 SSW, KY US","","","","","7",",6","6",",6","1",",6","","","1",",6","","","","","","","","","","","","","","","","","18940124",",,6","","","18940115",",,6","","","","","","","102",",,6,24,","34.0",",,6,15,","","","","","","","","","","","","","","","","","","","99.5",",,,6","102",",,,6","","","","","",""
"USC00153762","1894-02","37.7558","-87.6455","136.9","HENDERSON 8 SSW, KY US","","","0.0",",6","8",",6","7",",6","1",",6","","","3",",6","0",",6","21",",6","2",",6","0",",6","0",",6","","","18940216",",,6","","","18940225",",,6","","","18940208",",,6","18940209",",,6","-11.7",",6,16,","","","76",",,6,25,","30.2",",,6,08,","20.6",",6,09,","","","","","424.0",",6","","","","","","","","","","","106.9",",,,6","178",",,,6","3.19",",6","8.81",",,,6","-2.43",",,,6"
"USC00153762","1894-03","37.7558","-87.6455","136.9","HENDERSON 8 SSW, KY US","","","11.7",",6","7",",6","4",",6","1",",6","","","","","0",",6","6",",6","0",",6","13",",6","0",",6","","","18940326",",,6","","","","","","","18940306",",,6","18940321","+,,6","-7.8",",6,26,","","","","","31.2",",,6,06,","27.2",",6,21,+","","","","","211.6",",6","","","","","","","","","","","79.0",",,,6","","","11.88",",6","18.12",",,,6","5.65",",,,6"
"USC00153762","1894-04","37.7558","-87.6455","136.9","HENDERSON 8 SSW, KY US","","","33.1",",6","6",",6","6",",6","2",",6","","","","","0",",6","0",",6","0",",6","14",",6","3",",6","","","18940406",",,6","","","","","","","18940409",",,6","18940430",",,6","1.7",",6,06,","","","","","53.3",",,6,09,","33.3",",6,30,","","","","","126.2",",6","","","","","","","","","","","131.0",",,,6","","","15.23",",6","21.33",",,,6","9.13",",,,6"
"USC00153762","1894-05","37.7558","-87.6455","136.9","HENDERSON 8 SSW, KY US","","","85.9",",6","10",",6","10",",6","1",",6","","","","","0",",6","0",",6","0",",6","23",",6","4",",6","","","18940520","+,,6","","","","","","","18940506",",,6","18940517",",,6","5.6",",6,20,+","","","","","34.5",",,6,06,","32.8",",6,17,","","","","","56.8",",6","","","","","","","","","","","105.4",",,,6","","","19.27",",6","24.95",",,,6","13.59",",,,6"
"USC00153762","1894-06","37.7558","-87.6455","136.9","HENDERSON 8 SSW, KY US","","","204.1",",6","7",",6","7",",6","0",",6","","","","","0",",6","0",",6","0",",6","29",",6","19",",6","","","18940606",",,6","","","","","","","18940626",",,6","18940629",",,6","7.2",",6,06,","","","","","23.6",",,6,26,","35.6",",6,29,","","","","","8.6",",6","","","","","","","","","","","61.5",",,,6","","","24.85",",6","31.58",",,,6","18.11",",,,6"
"USC00153762","1894-07","37.7558","-87.6455","136.9","HENDERSON 8 SSW, KY US","","","229.3",",6","5",",6","2",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","14",",6","","","18940708",",,6","","","","","","","18940718",",,6","18940703",",,6","15.6",",6,08,","","","","","28.4",",,6,18,","36.7",",6,03,","0.0","6","","","0.0",",6","","","","","","","","","","","35.8",",,,6","","","25.73",",6","31.75",",,,6","19.71",",,,6"
"USC00153762","1894-08","37.7558","-87.6455","136.9","HENDERSON 8 SSW, KY US","","","242.7",",6","5",",6","5",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","12",",6","","","18940805","+,,6","","","","","","","18940824",",,6","18940810",",,6","13.3",",6,05,+","","","","","26.9",",,6,24,","36.7",",6,10,","0.0","6","","","0.0",",6","","","","","","","","","","","58.5",",,,6","","","26.16",",6","31.61",",,,6","20.71",",,,6"
"USC00153762","1894-09","37.7558","-87.6455","136.9","HENDERSON 8 SSW, KY US","","","145.3","3,6","3",",6","3",",6","1",",6","","","","","0","2,6","0","2,6","0","2,6","28","2,6","5","2,6","","","18940926",",2,6","","","","","","","18940915",",,6","18940906",",2,6","9.4","2,6,26,","","","","","71.1",",,6,15,","33.3","2,6,06,","1.4","6","","","1.4","2,6","","","","","","","","","","","84.6",",,,6","","","23.69","3,6","28.50","2,,,6","18.89","2,,,6"
"USC00153762","1894-10","37.7558","-87.6455","136.9","HENDERSON 8 SSW, KY US","","","26.3","2,6","5",",6","5",",6","0",",6","","","","","0",",6","0",",6","0","2,6","16","2,6","0","2,6","","","18941009",",,6","","","","","","","18941002",",,6","18941022",",2,6","3.9",",6,09,","","","","","24.1",",,6,02,","30.6","2,6,22,","90.4","6","","","89.0","2,6","","","","","","","","","","","66.0",",,,6","","","16.14","2,6","22.30","2,,,6","9.97",",,,6"
