"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00146340","1973-04","37.1861","-97.5086","370.3","PERTH, KS US","7","4,6","6","4,6","0","4,6","","","","","","","","","","","","","","","","","","","","","","","","","19730418",",4,6","","","","","","","","","23.4","4,,6,18,","","","103.4","4,,,6","","","","","","","",""
"USC00146340","1973-05","37.1861","-97.5086","370.3","PERTH, KS US","3",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19730507",",,6","","","","","","","","","7.6",",,6,07,","","","15.2",",,,6","","","","","","","",""
"USC00146340","1973-07","37.1861","-97.5086","370.3","PERTH, KS US","4",",6","2",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","19730726",",,6","","","","","","","","","58.4",",,6,26,","","","79.8",",,,6","","","","","","","",""
"USC00146340","1973-08","37.1861","-97.5086","370.3","PERTH, KS US","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19730813",",,6","","","","","","","","","8.9",",,6,13,","","","8.9",",,,6","","","","","","","",""
"USC00146340","1973-09","37.1861","-97.5086","370.3","PERTH, KS US","7","1,6","7","1,6","4","1,6","","","","","","","","","","","","","","","","","","","","","","","","","19730921",",1,6","","","","","","","","","61.0","1,,6,21,","","","170.9","1,,,6","","","","","","","",""
"USC00146340","1973-10","37.1861","-97.5086","370.3","PERTH, KS US","3","1,6","3","1,6","2","1,6","","","","","","","","","","","","","","","","","","","","","","","","","19731011",",1,6","","","","","","","","","63.5","1,,6,11,","","","125.7","1,,,6","","","","","","","",""
"USC00146340","1973-12","37.1861","-97.5086","370.3","PERTH, KS US","3",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19731230",",,6","","","","","","","","","12.7",",,6,30,","","","15.0",",,,6","","","","","","","",""
"USC00146340","1979-03","37.1861","-97.5086","370.3","PERTH, KS US","4",",6","4",",6","2",",6","","","","","0","3,6","11","3,6","0","3,6","4","3,6","0","3,6","","","19790304",",3,6","","","","","","","19790322","+,,6","19790329",",3,6","-3.9","3,6,04,","","","","","38.1",",,6,22,+","26.7","3,6,29,","104.7",",,,6","","","8.75","6,6","15.06","3,,,6","2.44","3,,,6"
"USC00146340","1986-06","37.1861","-97.5086","370.3","PERTH, KS US","9",",6","7",",6","2",",6","","","","","","","","","","","","","","","","","","","","","","","","","19860630",",,6","","","","","","","","","48.3",",,6,30,","","","144.1",",,,6","","","","","","","",""
"USC00146340","1987-04","37.1861","-97.5086","370.3","PERTH, KS US","4",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19870414",",,6","","","","","","","","","10.2",",,6,14,","","","20.8",",,,6","","","","","","","",""
"USC00146340","1987-06","37.1861","-97.5086","370.3","PERTH, KS US","5","1,6","5","1,6","0","1,6","","","","","","","","","","","","","","","","","","","","","","","","","19870610","+,1,6","","","","","","","","","14.2","1,,6,10,+","","","47.2","1,,,6","","","","","","","",""
"USC00146340","1988-02","37.1861","-97.5086","370.3","PERTH, KS US","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19880203",",,6","","","","","","","","","1.3",",,6,03,","","","1.3",",,,6","","","","","","","",""
