"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00193625","1885-10","42.216667","-70.883333","18.3","HINGHAM 1, MA US","5",",6","5",",6","2",",6","","","0",",","11",",6","","","18851025",",,6","","","","","18851014",",,6","-3.9",",6,25,","","","35.1",",,6,14,","96.6",",,,6","","","3.11",",,,6"
"USC00193625","1885-11","42.216667","-70.883333","18.3","HINGHAM 1, MA US","4",",6","4",",6","1",",6","","","0",",","13",",6","","","18851129","+,,6","","","","","18851126",",,6","-10.0",",6,29,+","","","105.4",",,6,26,","145.3",",,,6","","","1.67",",,,6"
"USC00193625","1885-12","42.216667","-70.883333","18.3","HINGHAM 1, MA US","8",",6","5",",6","0",",6","0",",6","0",",","28",",6","","","18851208",",,6","18851227",",,6","","","18851214",",,6","-15.0",",6,08,","13",",,6,27,","22.4",",,6,14,","62.9",",,,6","13",",,,6","-5.78",",,,6"
"USC00193625","1886-01","42.216667","-70.883333","18.3","HINGHAM 1, MA US","8",",6","6",",6","3",",6","3",",6","5","1,","26","1,6","","","18860113",",1,6","18860126",",,6","","","18860130",",,6","-29.4","1,6,13,","305",",,6,26,","71.9",",,6,30,","175.3",",,,6","699",",,,6","-8.65","1,,,6"
"USC00193625","1886-02","42.216667","-70.883333","18.3","HINGHAM 1, MA US","4",",6","4",",6","2",",6","","","2","1,","24","1,6","","","18860206",",1,6","","","","","18860213",",,6","-25.6","1,6,06,","","","165.4",",,6,13,","216.0",",,,6","","","-8.73","1,,,6"
"USC00193625","1886-03","42.216667","-70.883333","18.3","HINGHAM 1, MA US","6","1,6","4","1,6","1","1,6","0",",6","2",",","26",",6","","","18860302","+,,6","18860319",",,6","","","18860321",",1,6","-18.9",",6,02,+","10",",,6,19,","58.4","1,,6,21,","94.5","1,,,6","18",",,,6","-4.81",",,,6"
"USC00193625","1886-04","42.216667","-70.883333","18.3","HINGHAM 1, MA US","1",",6","1",",6","1",",6","","","0",",","10",",6","","","18860404",",,6","","","","","18860406",",,6","-5.0",",6,04,","","","46.0",",,6,06,","46.0",",,,6","","","2.32",",,,6"
"USC00193625","1886-05","42.216667","-70.883333","18.3","HINGHAM 1, MA US","9",",6","6",",6","1",",6","","","0",",","3",",6","","","18860501",",,6","","","2","","18860509",",,6","-2.8",",6,01,","","","38.9",",,6,09,","103.1",",,,6","","","6.69",",,,6"
"USC00193625","1886-06","42.216667","-70.883333","18.3","HINGHAM 1, MA US","9",",6","5",",6","0",",6","","","0",",","0",",6","","","18860606",",,6","","","1","","18860603",",,6","3.3",",6,06,","","","11.2",",,6,03,","42.4",",,,6","","","10.57",",,,6"
"USC00193625","1886-07","42.216667","-70.883333","18.3","HINGHAM 1, MA US","6",",6","3",",6","0",",6","","","0",",","0",",6","","","18860701",",,6","","","","","18860715",",,6","5.6",",6,01,","","","21.8",",,6,15,","45.7",",,,6","","","13.57",",,,6"
"USC00193625","1886-08","42.216667","-70.883333","18.3","HINGHAM 1, MA US","9",",6","7",",6","2",",6","","","0",",","0",",6","","","18860822",",,6","","","1","","18860807",",,6","3.3",",6,22,","","","34.3",",,6,07,","127.6",",,,6","","","12.11",",,,6"
"USC00193625","1886-09","42.216667","-70.883333","18.3","HINGHAM 1, MA US","8",",6","5",",6","1",",6","","","0",",","0",",6","1","","18860921",",,6","","","1","","18860923",",,6","0.6",",6,21,","","","34.3",",,6,23,","78.8",",,,6","","","10.55",",,,6"
"USC00193625","1886-10","42.216667","-70.883333","18.3","HINGHAM 1, MA US","4",",6","2",",6","1",",6","","","0","1,","7","1,6","","","18861017",",1,6","","","","","18861031",",,6","-8.3","1,6,17,","","","83.8",",,6,31,","89.9",",,,6","","","3.95","1,,,6"
"USC00193625","1886-11","42.216667","-70.883333","18.3","HINGHAM 1, MA US","7",",6","7",",6","2",",6","","","0",",","20",",6","","","18861128",",,6","","","","","18861106",",,6","-9.4",",6,28,","","","34.5",",,6,06,","117.7",",,,6","","","-0.63",",,,6"
"USC00193625","1886-12","42.216667","-70.883333","18.3","HINGHAM 1, MA US","8","2,6","8","2,6","3","2,6","5",",6","0",",","28",",6","","","18861217",",,6","18861205",",,6","","","18861218",",2,6","-16.1",",6,17,","305",",,6,05,","44.5","2,,6,18,","168.0","2,,,6","812",",,,6","-6.78",",,,6"
"USC00193625","1887-01","42.216667","-70.883333","18.3","HINGHAM 1, MA US","8",",6","8",",6","3",",6","","","5",",","25",",6","","","18870119",",,6","","","","","18870124",",,6","-26.7",",6,19,","","","40.6",",,6,24,","186.2",",,,6","","","-8.93",",,,6"
"USC00193625","1887-02","42.216667","-70.883333","18.3","HINGHAM 1, MA US","9","3,6","7","3,6","2","3,6","3",",6","0",",","24",",6","","","18870205",",,6","18870226","+,,6","","","18870218",",3,6","-17.2",",6,05,","102",",,6,26,+","37.6","3,,6,18,","127.1","3,,,6","294",",,,6","-6.24",",,,6"
"USC00193625","1887-03","42.216667","-70.883333","18.3","HINGHAM 1, MA US","7",",6","6",",6","4",",6","4",",6","0",",","31",",6","","","18870301",",,6","18870306",",,6","","","18870310",",,6","-13.9",",6,01,","203",",,6,06,","36.1",",,6,10,","130.1",",,,6","406",",,,6","-5.63",",,,6"
"USC00193625","1887-04","42.216667","-70.883333","18.3","HINGHAM 1, MA US","5",",6","5",",6","2",",6","2",",6","0",",","19",",6","","","18870408",",,6","18870402",",,6","","","18870418",",,6","-8.9",",6,08,","254",",,6,02,","39.6",",,6,18,","117.3",",,,6","381",",,,6","-0.96",",,,6"
"USC00193625","1887-05","42.216667","-70.883333","18.3","HINGHAM 1, MA US","4",",6","3",",6","1",",6","","","0",",","2",",6","","","18870514",",,6","","","","","18870529",",,6","-1.1",",6,14,","","","36.1",",,6,29,","63.3",",,,6","","","7.52",",,,6"
"USC00193625","1887-06","42.216667","-70.883333","18.3","HINGHAM 1, MA US","3",",6","2",",6","2",",6","","","0",",","0",",6","","","18870615","+,,6","","","","","18870603",",,6","2.2",",6,15,+","","","45.0",",,6,03,","88.7",",,,6","","","11.14",",,,6"
"USC00193625","1887-07","42.216667","-70.883333","18.3","HINGHAM 1, MA US","7",",6","7",",6","3",",6","","","0",",","0",",6","","","18870716",",,6","","","","","18870724",",,6","11.7",",6,16,","","","50.0",",,6,24,","132.6",",,,6","","","17.89",",,,6"
"USC00193625","1887-08","42.216667","-70.883333","18.3","HINGHAM 1, MA US","7",",6","6",",6","2",",6","","","0",",","0",",6","","","18870814",",,6","","","","","18870823",",,6","4.4",",6,14,","","","35.1",",,6,23,","92.0",",,,6","","","12.99",",,,6"
"USC00193625","1887-09","42.216667","-70.883333","18.3","HINGHAM 1, MA US","4",",6","4",",6","0",",6","","","0",",","2",",6","","","18870927","+,,6","","","","","18870907",",,6","-1.7",",6,27,+","","","17.8",",,6,07,","31.5",",,,6","","","8.07",",,,6"
"USC00193625","1887-10","42.216667","-70.883333","18.3","HINGHAM 1, MA US","6",",6","4",",6","1",",6","","","0",",","9",",6","","","18871031","+,,6","","","","","18871021",",,6","-5.0",",6,31,+","","","36.3",",,6,21,","75.7",",,,6","","","3.42",",,,6"
"USC00193625","1887-11","42.216667","-70.883333","18.3","HINGHAM 1, MA US","5",",6","4",",6","1",",6","","","0",",","19",",6","","","18871130",",,6","","","","","18871115",",,6","-11.1",",6,30,","","","29.0",",,6,15,","62.5",",,,6","","","-1.52",",,,6"
"USC00193625","1887-12","42.216667","-70.883333","18.3","HINGHAM 1, MA US","8",",6","6",",6","2",",6","","","0",",","27",",6","","","18871231",",,6","","","","","18871212",",,6","-17.2",",6,31,","","","27.4",",,6,12,","118.6",",,,6","","","-5.30",",,,6"
"USC00193625","1888-01","42.216667","-70.883333","18.3","HINGHAM 1, MA US","7","1,6","5","1,6","1","1,6","4",",6","9",",","31",",6","","","18880123",",,6","18880118","+,,6","","","18880101",",1,6","-25.6",",6,23,","102",",,6,18,+","34.3","1,,6,01,","94.2","1,,,6","382",",,,6","-13.18",",,,6"
"USC00193625","1888-02","42.216667","-70.883333","18.3","HINGHAM 1, MA US","5",",6","5",",6","1",",6","2",",6","2",",","25",",6","","","18880216",",,6","18880211",",,6","","","18880220",",,6","-21.1",",6,16,","102",",,6,11,","33.5",",,6,20,","94.2",",,,6","127",",,,6","-7.90",",,,6"
"USC00193625","1888-03","42.216667","-70.883333","18.3","HINGHAM 1, MA US","5",",6","4",",6","2",",6","","","0",",","27",",6","","","18880325","+,,6","","","","","18880314",",,6","-13.9",",6,25,+","","","53.3",",,6,14,","137.6",",,,6","","","-5.48",",,,6"
"USC00193625","1888-04","42.216667","-70.883333","18.3","HINGHAM 1, MA US","6",",6","5",",6","0",",6","1",",6","0",",","22",",6","","","18880408",",,6","18880402",",,6","","","18880405",",,6","-10.0",",6,08,","25",",,6,02,","24.6",",,6,05,","56.6",",,,6","25",",,,6","-1.90",",,,6"
"USC00193625","1888-05","42.216667","-70.883333","18.3","HINGHAM 1, MA US","7",",6","7",",6","1",",6","","","0",",","2",",6","","","18880508",",,6","","","","","18880515",",,6","-1.1",",6,08,","","","76.7",",,6,15,","145.8",",,,6","","","5.92",",,,6"
"USC00193625","1888-06","42.216667","-70.883333","18.3","HINGHAM 1, MA US","6",",6","3",",6","0",",6","","","0",",6","0",",6","","","18880602",",,6","","","","","18880615",",,6","2.2",",6,02,","","","23.6",",,6,15,","36.9",",,,6","","","11.49",",,,6"
"USC00193625","1888-07","42.216667","-70.883333","18.3","HINGHAM 1, MA US","5",",6","4",",6","1",",6","","","0",",","0",",6","","","18880703",",,6","","","1","","18880726",",,6","5.6",",6,03,","","","29.2",",,6,26,","40.4",",,,6","","","12.47",",,,6"
"USC00193625","1888-08","42.216667","-70.883333","18.3","HINGHAM 1, MA US","6",",6","3",",6","3",",6","","","0",",","0",",6","","","18880828",",,6","","","","","18880822",",,6","6.7",",6,28,","","","75.4",",,6,22,","162.0",",,,6","","","13.95",",,,6"
"USC00193625","1888-09","42.216667","-70.883333","18.3","HINGHAM 1, MA US","7",",6","6",",6","3",",6","","","0",",","4",",6","","","18880930",",,6","","","","","18880926",",,6","-4.4",",6,30,","","","119.4",",,6,26,","233.9",",,,6","","","9.59",",,,6"
"USC00193625","1888-10","42.216667","-70.883333","18.3","HINGHAM 1, MA US","6",",6","6",",6","2",",6","","","","","","","","","","","","","","","18881008",",,6","","","","","51.3",",,6,08,","118.9",",,,6","","","",""
"USC00193625","1888-11","42.216667","-70.883333","18.3","HINGHAM 1, MA US","7",",6","6",",6","2",",6","","","0",",","11",",6","","","18881122",",,6","","","","","18881127",",,6","-12.8",",6,22,","","","138.2",",,6,27,","245.0",",,,6","","","1.09",",,,6"
"USC00193625","1888-12","42.216667","-70.883333","18.3","HINGHAM 1, MA US","4",",6","4",",6","2",",6","0",",6","0",",","21",",6","","","18881214",",,6","18881231","+,,6","","","18881218",",,6","-16.1",",6,14,","0",",,6,31,+","73.7",",,6,18,","136.8",",,,6","0",",,,6","-4.28",",,,6"
"USC00193625","1889-01","42.216667","-70.883333","18.3","HINGHAM 1, MA US","5",",6","5",",6","2",",6","1",",6","0",",","25",",6","","","18890120",",,6","18890121",",,6","","","18890107",",,6","-13.9",",6,20,","102",",,6,21,","114.3",",,6,07,","188.7",",,,6","102",",,,6","-4.37",",,,6"
"USC00193625","1889-02","42.216667","-70.883333","18.3","HINGHAM 1, MA US","6",",6","5",",6","0",",6","2",",6","1",",","25",",6","","","18890224",",,6","18890212",",,6","","","18890218",",,6","-21.1",",6,24,","76",",,6,12,","17.3",",,6,18,","58.0",",,,6","140",",,,6","-8.97",",,,6"
"USC00193625","1889-03","42.216667","-70.883333","18.3","HINGHAM 1, MA US","5",",6","3",",6","1",",6","1",",6","0",",","22",",6","","","18890301",",,6","18890331",",,6","","","18890306",",,6","-9.4",",6,01,","51",",,6,31,","39.1",",,6,06,","71.7",",,,6","64",",,,6","-2.56",",,,6"
"USC00193625","1889-04","42.216667","-70.883333","18.3","HINGHAM 1, MA US","8",",6","5",",6","2",",6","","","0",",","11",",6","","","18890416",",,6","","","","","18890427",",,6","-5.6",",6,16,","","","41.7",",,6,27,","105.0",",,,6","","","1.84",",,,6"
"USC00193625","1889-05","42.216667","-70.883333","18.3","HINGHAM 1, MA US","9",",6","6",",6","1",",6","","","0",",","1",",6","","","18890502",",,6","","","","","18890521",",,6","0.0",",6,02,","","","33.0",",,6,21,","85.6",",,,6","","","8.15",",,,6"
"USC00193625","1889-06","42.216667","-70.883333","18.3","HINGHAM 1, MA US","10",",6","6",",6","1",",6","","","0",",","0",",6","","","18890619",",,6","","","","","18890602",",,6","3.3",",6,19,","","","26.7",",,6,02,","90.6",",,,6","","","13.80",",,,6"
"USC00193625","1889-07","42.216667","-70.883333","18.3","HINGHAM 1, MA US","10",",6","9",",6","2",",6","","","0",",","0",",6","","","18890716",",,6","","","","","18890727",",,6","8.3",",6,16,","","","62.0",",,6,27,","191.0",",,,6","","","15.24",",,,6"
"USC00193625","1889-08","42.216667","-70.883333","18.3","HINGHAM 1, MA US","8",",6","6",",6","1",",6","","","0",",","0",",6","","","18890828",",,6","","","","","18890814",",,6","5.0",",6,28,","","","47.2",",,6,14,","112.9",",,,6","","","13.11",",,,6"
"USC00193625","1889-09","42.216667","-70.883333","18.3","HINGHAM 1, MA US","3",",6","3",",6","2",",6","","","","","","","","","","","","","","","18890911",",,6","","","","","62.0",",,6,11,","118.7",",,,6","","","",""
