"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GHM00065416","2017-12","9.033","-2.483","301.0","BOLE, GH","","","","","","","0","4,S","27","4,S","27","4,S","","","20171218",",4,S","","","37.4","4,S,18,","","","","","35.71","4,,,S","",""
"GHM00065416","2019-08","9.033","-2.483","301.0","BOLE, GH","","","0","5,S","0","5,S","0","5,S","26","5,S","1","5,S","20190818","+,5,S","20190815",",5,S","21.5","5,S,18,+","32.5","5,S,15,","","","26.17","9,S","29.51","5,,,S","22.84","5,,,S"
"GHM00065416","2020-06","9.033","-2.483","301.0","BOLE, GH","","","","","","","0","5,S","25","5,S","5","5,S","","","20200605",",5,S","","","34.0","5,S,05,","","","","","30.85","5,,,S","",""
"GHM00065416","2020-07","9.033","-2.483","301.0","BOLE, GH","","","","","","","0",",S","31",",S","0",",S","","","20200702",",,S","","","31.5",",S,02,","","","","","28.85",",,,S","",""
"GHM00065416","2020-10","9.033","-2.483","301.0","BOLE, GH","","","0","4,S","0","4,S","","","","","","","20201029",",4,S","","","19.0","4,S,29,","","","","","","","","","22.24","4,,,S"
"GHM00065416","2020-11","9.033","-2.483","301.0","BOLE, GH","","","0","2,S","0","2,S","0","5,S","25","5,S","25","5,S","20201120",",2,S","20201122",",5,S","17.0","2,S,20,","36.6","5,S,22,","","","28.19","6,S","35.46","5,,,S","20.92","2,,,S"
"GHM00065416","2020-12","9.033","-2.483","301.0","BOLE, GH","","","0","5,S","0","5,S","0","5,S","26","5,S","26","5,S","20201229",",5,S","20201230",",5,S","17.5","5,S,29,","37.5","5,S,30,","","","28.92","7,S","36.34","5,,,S","21.50","5,,,S"
"GHM00065416","2021-01","9.033","-2.483","301.0","BOLE, GH","","","","","","","0","3,S","28","3,S","28","3,S","","","20210106",",3,S","","","39.0","3,S,06,","","","","","37.01","3,,,S","",""
"GHM00065416","2022-11","9.033","-2.483","301.0","BOLE, GH","","","0","5,S","0","5,S","","","","","","","20221117",",5,S","","","14.0","5,S,17,","","","","","","","","","19.64","5,,,S"
"GHM00065416","2023-04","9.033","-2.483","301.0","BOLE, GH","","","","","","","0","3,S","27","3,S","23","3,S","","","20230414",",3,S","","","38.0","3,S,14,","","","","","35.07","3,,,S","",""
"GHM00065416","2023-07","9.033","-2.483","301.0","BOLE, GH","","","","","","","0","4,S","27","4,S","3","4,S","","","20230702",",4,S","","","33.5","4,S,02,","","","","","30.90","4,,,S","",""
"GHM00065416","2023-08","9.033","-2.483","301.0","BOLE, GH","","","","","","","0","4,S","27","4,S","0","4,S","","","20230825","+,4,S","","","32.0","4,S,25,+","","","","","29.74","4,,,S","",""
"GHM00065416","2023-11","9.033","-2.483","301.0","BOLE, GH","269.0","5,S","0","1,S","0","1,S","0","5,S","25","5,S","25","5,S","20231115",",1,S","20231121","+,5,S","17.5","1,S,15,","36.5","5,S,21,+","0.0","5,S","29.02","5,S","35.07","5,,,S","22.96","1,,,S"
"GHM00065416","2024-01","9.033","-2.483","301.0","BOLE, GH","","","","","","","0","5,S","26","5,S","26","5,S","","","20240122","+,5,S","","","38.5","5,S,22,+","","","","","37.23","5,,,S","",""
"GHM00065416","2024-02","9.033","-2.483","301.0","BOLE, GH","","","","","","","0","5,S","24","5,S","24","5,S","","","20240214",",5,S","","","41.5","5,S,14,","","","","","38.29","5,,,S","",""
