"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00157510","1951-04","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","19.2","0","18.9",",0","16",",0","9",",0","1",",0","0",",0","0",",0","0",",0","6",",0","0",",0","11",",0","0",",0","","","19510417",",,0","19510430","+,,0","19510412",",,0","","","19510402",",,0","19510427",",,0","-2.8",",0,17,","0",",,0,30,+","0",",T,0,12,","26.2",",,0,02,","29.4",",0,27,","2374.8","0","","","205.5",",0","","","","","","","","","","","","","","","","","88.9",",,,0","0",",T,,0","12.11",",0","18.32",",,,0","5.90",",,,0"
"USC00157510","1951-05","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","54.2","0","35.0",",0","10",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","1",",0","","","19510513",",,0","19510531","+,,0","19510531","+,,0","","","19510526",",,0","19510501",",,0","3.3",",0,13,","0",",,0,31,+","0",",,0,31,+","12.7",",,0,26,","32.2",",0,01,","2427.2","0","","","52.4",",0","","","","","","","","","","","","","","","","","46.2",",,,0","0",",,,0","17.77",",0","25.60",",,,0","9.95",",,,0"
"USC00157510","1951-06","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","183.1","0","128.9",",0","14",",0","10",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","5",",0","","","19510611","+,,0","19510630","+,,0","19510630","+,,0","","","19510630",",,0","19510602","+,,0","12.2",",0,11,+","0",",,0,30,+","0",",,0,30,+","23.4",",,0,30,","33.9",",0,02,+","2427.2","0","","","0.0",",0","","","","","","","","","","","","","","","","","101.6",",,,0","0",",,,0","22.63",",0","28.58",",,,0","16.68",",,,0"
"USC00157510","1951-07","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","373.2","0","190.1",",0","14",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","13",",0","2","","19510707",",,0","19510731","+,,0","19510731","+,,0","","","19510724",",,0","19510727","+,,0","10.6",",0,07,","0",",,0,31,+","0",",,0,31,+","48.3",",,0,24,","33.9",",0,27,+","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","","","140.3",",,,0","0",",,,0","24.47",",0","30.79",",,,0","18.15",",,,0"
"USC00157510","1951-08","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","551.9","0","178.7",",0","9",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","8",",0","","","19510824",",,0","19510831","+,,0","19510831","+,,0","1","","19510809",",,0","19510830","+,,0","12.2",",0,24,","0",",,0,31,+","0",",,0,31,+","29.0",",,0,09,","34.4",",0,30,+","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","","","63.9",",,,0","0",",,,0","24.10",",0","30.66",",,,0","17.54",",,,0"
"USC00157510","1951-09","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","624.0","0","72.1",",0","13",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","2",",0","","","19510929",",,0","19510930","+,,0","19510930","+,,0","","","19510922",",,0","19510901",",,0","5.0",",0,29,","0",",,0,30,+","0",",,0,30,+","48.3",",,0,22,","33.3",",0,01,","25.8","0","","","25.8",",0","","","","","","","","","","","","","","","","","166.0",",,,0","0",",,,0","19.87",",0","26.19",",,,0","13.55",",,,0"
"USC00157510","1951-10","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","647.3","0","23.3",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","21",",0","0",",0","","","19511009",",,0","19511031","+,,0","19511031","+,,0","","","19511030",",,0","19511006",",,0","-1.1",",0,09,","0",",,0,31,+","0",",,0,31,+","14.0",",,0,30,","31.7",",0,06,","152.2","0","","","126.4",",0","","","","","","","","","","","","","","","","","39.7",",,,0","0",",,,0","15.01",",0","22.93",",,,0","7.09",",,,0"
"USC00157510","1951-11","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","647.3","0","0.0",",0","13",",0","12",",0","5",",0","0",",0","0",",0","0",",0","19",",0","1",",0","1",",0","0",",0","","","19511120",",,0","19511130","+,,0","19511103","+,,0","","","19511114",",,0","19511113",",,0","-9.4",",0,20,","0",",,0,30,+","0",",T,0,03,+","53.3",",,0,14,","21.1",",0,13,","546.2","0","","","394.0",",0","","","","","","","","","","","","","","","","","238.2",",,,0","0",",T,,0","5.20",",0","11.11",",,,0","-0.71",",,,0"
"USC00157510","1951-12","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","647.3","0","0.0","1,0","14","2,0","7","2,0","3","2,0","0",",0","0",",0","0","1,0","19","1,0","1","1,0","3","1,0","0","1,0","","","19511216",",1,0","19511231","+,,0","19511212",",,0","","","19511208",",2,0","19511231",",1,0","-16.1","1,0,16,","0",",,0,31,+","20",",,0,12,","30.5","2,,0,08,","22.2","1,0,31,","939.4","0","","","393.2","1,0","","","","","","","","","","","","","","","","","207.5",",a,,0","20",",,,0","5.23","1,0","11.19","1,,,0","-0.73","1,,,0"
"USC00157510","1952-01","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","2.0","0","2.0",",0","17",",0","9",",0","2",",0","0",",0","0",",0","0",",0","18",",0","2",",0","1",",0","0",",0","","","19520130",",,0","19520131","+,,0","19520131","+,,0","","","19520127",",,0","19520101",",,0","-12.8",",0,30,","0",",,0,31,+","0",",,0,31,+","36.8",",,0,27,","25.0",",0,01,","1320.9","0","","","381.5",",0","","","","","","","","","","","","","","","","","142.0",",,,0","0",",,,0","6.09",",0","11.32",",,,0","0.86",",,,0"
"USC00157510","1952-02","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","2.0","0","0.0",",0","12",",0","9",",0","0",",0","0",",0","0",",0","0",",0","12",",0","0",",0","0",",0","0",",0","3","","19520218",",,0","19520229","+,,0","19520229","+,,0","","","19520203",",,0","19520210",",,0","-5.0",",0,18,","0",",,0,29,+","0",",,0,29,+","11.9",",,0,03,","18.9",",0,10,","1675.4","0","","","354.5",",0","","","","","","","","","","","","","","","","","68.7",",,,0","0",",,,0","6.11",",0","11.16",",,,0","1.06",",,,0"
"USC00157510","1952-03","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","2.0","0","0.0",",0","12",",0","9",",0","2",",0","0",",0","0",",0","0",",0","7",",0","0",",0","5",",0","0",",0","","","19520306",",,0","19520331","+,,0","19520331","+,,0","","","19520322",",,0","19520320",",,0","-2.8",",0,06,","0",",,0,31,+","0",",,0,31,+","110.0",",,0,22,","25.6",",0,20,","1964.8","0","","","289.4",",0","","","","","","","","","","","","","","","","","226.4",",,,0","0",",,,0","9.00",",0","14.38",",,,0","3.62",",,,0"
"USC00157510","1952-04","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","8.9","0","6.9","1,0","9",",0","5",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","14","1,0","0","1,0","","","19520416","+,1,0","19520430","+,,0","19520430","+,,0","","","19520424",",,0","19520422","+,1,0","1.1","1,0,16,+","0",",,0,30,+","0",",,0,30,+","15.2",",,0,24,","28.9","1,0,22,+","2090.4","0","","","125.6","1,0","","","","","","","","","","","","","","","","","49.8",",,,0","0",",,,0","14.24","1,0","20.48","1,,,0","8.00","1,,,0"
"USC00157510","1952-05","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","58.6","0","49.7",",0","12",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","1",",0","","","19520514",",,0","19520531","+,,0","19520531","+,,0","","","19520510",",,0","19520505",",,0","3.9",",0,14,","0",",,0,31,+","0",",,0,31,+","45.0",",,0,10,","32.2",",0,05,","2121.3","0","","","30.9",",0","","","","","","","","","","","","","","","","","166.6",",,,0","0",",,,0","18.94",",0","25.66",",,,0","12.22",",,,0"
"USC00157510","1952-06","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","267.3","0","208.7",",0","10",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","16",",0","","","19520603",",,0","19520630","+,,0","19520630","+,,0","","","19520615",",,0","19520630","+,,0","11.1",",0,03,","0",",,0,30,+","0",",,0,30,+","17.5",",,0,15,","36.1",",0,30,+","2121.3","0","","","0.0",",0","","","","","","","","","","","","","","","","","44.3",",,,0","0",",,,0","25.29",",0","32.05",",,,0","18.53",",,,0"
"USC00157510","1952-07","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","492.5","0","225.2",",0","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","23",",0","","","19520710",",,0","19520731","+,,0","19520731","+,,0","","","19520715",",,0","19520728",",,0","8.9",",0,10,","0",",,0,31,+","0",",,0,31,+","5.6",",,0,15,","39.4",",0,28,","0.5","0","","","0.5",",0","","","","","","","","","","","","","","","","","24.1",",,,0","0",",,,0","25.58",",0","33.58",",,,0","17.58",",,,0"
"USC00157510","1952-08","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","679.9","0","187.4",",0","12",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","12",",0","","","19520827",",,0","19520831","+,,0","19520831","+,,0","","","19520805",",,0","19520816","+,,0","9.4",",0,27,","0",",,0,31,+","0",",,0,31,+","55.9",",,0,05,","34.4",",0,16,+","0.5","0","","","0.0",",0","","","","","","","","","","","","","","","","","97.1",",,,0","0",",,,0","24.38",",0","31.15",",,,0","17.61",",,,0"
"USC00157510","1952-09","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","739.0","0","59.1","1,0","7",",0","4",",0","0",",0","0","1,0","0",",0","0","1,0","0","1,0","0","1,0","29","1,0","2","1,0","","","19520924",",1,0","19520930","+,1,0","19520911",",,0","","","19520902",",,0","19520912",",1,0","3.9","1,0,24,","0","1,,0,30,+","0",",T,0,11,","10.2",",,0,02,","33.9","1,0,12,","24.2","0","","","23.7","1,0","","","","","","","","","","","","","","","","","32.6",",,,0","0",",T,,0","19.56","1,0","27.83","1,,,0","11.28","1,,,0"
"USC00157510","1952-10","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","739.3","0","0.3",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","15",",0","0",",0","13",",0","0",",0","1","","19521030","+,,0","19521031","+,,0","19521031","+,,0","","","19521009",",,0","19521001",",,0","-7.8",",0,30,+","0",",,0,31,+","0",",,0,31,+","16.5",",,0,09,","28.3",",0,01,","275.2","0","","","251.0",",0","","","","","","","","","","","","","","","","","33.5",",,,0","0",",,,0","10.25",",0","19.28",",,,0","1.21",",,,0"
"USC00157510","1952-11","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","739.3","0","0.0",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","14",",0","1",",0","6",",0","0",",0","","","19521128",",,0","19521130","+,,0","19521130","+,,0","","","19521122",",,0","19521102",",,0","-8.9",",0,28,","0",",,0,30,+","0",",,0,30,+","29.2",",,0,22,","24.4",",0,02,","596.2","0","","","321.0",",0","","","","","","","","","","","","","","","","","99.8",",,,0","0",",,,0","7.63",",0","14.24",",,,0","1.02",",,,0"
"USC00157510","1952-12","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","739.3","0","0.0",",0","10",",0","6",",0","0",",0","0",",0","0",",0","0",",0","18",",0","2",",0","1",",0","0",",0","","","19521229",",,0","19521231","+,,0","19521231","+,,0","","","19521205",",,0","19521209",",,0","-8.9",",0,29,","0",",,0,31,+","0",",,0,31,+","22.9",",,0,05,","22.2",",0,09,","1033.3","0","","","437.1",",0","","","","","","","","","","","","","","","","","69.6",",,,0","0",",,,0","4.23",",0","9.17",",,,0","-0.70",",,,0"
"USC00157510","1953-01","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","0.0","0","0.0",",0","17",",0","13",",0","0",",0","","","","","0",",0","17",",0","1",",0","0",",0","0",",0","","","19530104",",,0","","","","","","","19530108",",,0","19530115",",,0","-6.7",",0,04,","","","","","20.3",",,0,08,","18.3",",0,15,","1413.4","0","","","380.1",",0","","","","","","","","","","","","","","","","","140.0",",,,0","","","6.07",",0","11.34",",,,0","0.81",",,,0"
"USC00157510","1953-02","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","0.0","0","0.0",",0","9","1,0","5","1,0","1","1,0","0",",0","0",",0","0",",0","20",",0","0",",0","0",",0","0",",0","","","19530218",",,0","19530228","+,,0","19530228","+,,0","","","19530221",",1,0","19530210","+,,0","-8.9",",0,18,","0",",,0,28,+","0",",,0,28,+","27.9","1,,0,21,","16.7",",0,10,+","1783.8","0","","","370.4",",0","","","","","","","","","","","","","","","","","73.3","1,,,0","0",",,,0","5.11",",0","11.69",",,,0","-1.48",",,,0"
"USC00157510","1953-03","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","0.0","0","0.0",",0","14",",0","10",",0","0",",0","0",",0","0",",0","0",",0","12",",0","0",",0","6",",0","0",",0","","","19530309",",,0","19530331","+,,0","19530331","+,,0","","","19530323",",,0","19530322",",,0","-4.4",",0,09,","0",",,0,31,+","0",",,0,31,+","20.6",",,0,23,","22.8",",0,22,","2053.0","0","","","269.2",",0","","","","","","","","","","","","","","","","","130.1",",,,0","0",",,,0","9.65",",0","16.69",",,,0","2.61",",,,0"
"USC00157510","1953-04","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","10.6","0","10.6",",0","15",",0","11",",0","0",",0","0",",0","0",",0","0",",0","6",",0","0",",0","11",",0","0",",0","1","","19530420","+,,0","19530430","+,,0","19530420",",,0","","","19530430",",,0","19530424",",,0","-1.7",",0,20,+","0",",,0,30,+","0",",T,0,20,","20.3",",,0,30,","28.9",",0,24,","2247.5","0","","","194.5",",0","","","","","","","","","","","","","","","","","94.7",",,,0","0",",T,,0","12.20",",0","18.99",",,,0","5.41",",,,0"
"USC00157510","1953-05","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","94.9","0","84.3",",0","15",",0","9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","3",",0","2","","19530510","+,,0","19530531","+,,0","19530531","+,,0","","","19530517",",,0","19530530",",,0","8.3",",0,10,+","0",",,0,31,+","0",",,0,31,+","19.1",",,0,17,","32.8",",0,30,","2259.9","0","","","12.4",",0","","","","","","","","","","","","","","","","","95.5",",,,0","0",",,,0","20.65",",0","26.62",",,,0","14.68",",,,0"
"USC00157510","1953-06","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","252.6","0","157.7",",0","9",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","9",",0","2","","19530603",",,0","19530630","+,,0","19530613",",,0","7","","19530610",",,0","19530621","+,,0","8.3",",0,03,","0",",,0,30,+","0",",T,0,13,","36.1",",,0,10,","34.4",",0,21,+","2260.1","0","","","0.2",",0","","","","","","","","","","","","","","","","","136.5",",,,0","0",",T,,0","23.58",",0","30.28",",,,0","16.89",",,,0"
"USC00157510","1953-07","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","414.9","0","162.3",",0","14",",0","9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","10",",0","3","","19530711",",,0","19530731","+,,0","19530731","+,,0","3","","19530707",",,0","19530730","+,,0","10.0",",0,11,","0",",,0,31,+","0",",,0,31,+","24.1",",,0,07,","33.9",",0,30,+","0.8","0","","","0.8",",0","","","","","","","","","","","","","","","","","100.0",",,,0","0",",,,0","23.54",",0","29.93",",,,0","17.15",",,,0"
"USC00157510","1953-08","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","567.6","0","152.7",",0","4",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","16",",0","","","19530820",",,0","19530831","+,,0","19530831","+,,0","","","19530805",",,0","19530831",",,0","9.4",",0,20,","0",",,0,31,+","0",",,0,31,+","33.0",",,0,05,","36.1",",0,31,","0.8","0","","","0.0",",0","","","","","","","","","","","","","","","","","52.5",",,,0","0",",,,0","23.26",",0","31.32",",,,0","15.19",",,,0"
"USC00157510","1953-09","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","644.0","0","76.4",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","7",",0","","","19530914",",,0","19530930","+,,0","19530930","+,,0","","","19530905",",,0","19530902",",,0","3.9",",0,14,","0",",,0,30,+","0",",,0,30,+","19.3",",,0,05,","37.8",",0,02,","18.7","0","","","17.9",",0","","","","","","","","","","","","","","","","","39.3",",,,0","0",",,,0","20.28",",0","29.11",",,,0","11.45",",,,0"
"USC00157510","1953-10","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","655.4","0","11.4",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","26",",0","1",",0","","","19531030",",,0","19531031","+,,0","19531031","+,,0","","","19531027",",,0","19531002",",,0","-4.4",",0,30,","0",",,0,31,+","0",",,0,31,+","8.4",",,0,27,","32.2",",0,02,","135.7","0","","","117.0",",0","","","","","","","","","","","","","","","","","11.5",",,,0","0",",,,0","14.93",",0","25.15",",,,0","4.71",",,,0"
"USC00157510","1953-11","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","655.4","0","0.0",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","21",",0","0",",0","10",",0","0",",0","","","19531107",",,0","19531130","+,,0","19531130","+,,0","","","19531122",",,0","19531103",",,0","-10.6",",0,07,","0",",,0,30,+","0",",,0,30,+","23.9",",,0,22,","25.0",",0,03,","478.7","0","","","343.0",",0","","","","","","","","","","","","","","","","","40.4",",,,0","0",",,,0","6.90",",0","15.70",",,,0","-1.91",",,,0"
"USC00157510","1953-12","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","655.4","0","0.0",",0","12",",0","6",",0","0",",0","5",",0","1",",0","2",",0","21",",0","2",",0","0",",0","0",",0","2","","19531218",",,0","19531215","+,,0","19531214",",,0","","","19531214",",,0","19531204",",,0","-21.1",",0,18,","76",",,0,15,+","76",",,0,14,","22.9",",,0,14,","20.0",",0,04,","962.9","0","","","484.2",",0","","","","","","","","","","","","","","","","","60.8",",,,0","76",",,,0","2.71",",0","8.98",",,,0","-3.56",",,,0"
"USC00157510","1954-01","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","0.0","0","0.0","1,0","13","1,0","9","1,0","2","1,0","5",",0","1",",0","1","1,0","22","1,0","4","1,0","0","1,0","0","1,0","1","","19540113",",1,0","19540110",",,0","19540110",",,0","","","19540120",",1,0","19540119",",1,0","-21.7","1,0,13,","76",",,0,10,","66",",,0,10,","43.7","1,,0,20,","17.2","1,0,19,","1425.7","0","","","462.8","1,0","","","","","","","","","","","","","","","","","154.3","1,,,0","71",",,,0","2.91","1,0","8.55","1,,,0","-2.74","1,,,0"
