"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"GMW00034193","1960-04","48.425158","10.931764","461.8","MULHAUSEN, GM","0","4,X","0","4,X","","","19600430","+,4,X","19600428","+,4,X","0","4,,X,30,+","0","4,T,X,28,+","0","4,T,,X"
"GMW00034193","1960-06","48.425158","10.931764","461.8","MULHAUSEN, GM","0","4,X","0","4,X","","","19600630","+,4,X","19600630","+,4,X","0","4,,X,30,+","0","4,,X,30,+","0","4,,,X"
"GMW00034193","1960-08","48.425158","10.931764","461.8","MULHAUSEN, GM","0","4,","","","","","19600831","+,4,X","","","0","4,,X,31,+","","","",""
"GMW00034193","1960-09","48.425158","10.931764","461.8","MULHAUSEN, GM","0","5,","","","","","19600930","+,5,X","","","0","5,,X,30,+","","","",""
"GMW00034193","1961-04","48.425158","10.931764","461.8","MULHAUSEN, GM","0","5,","","","","","19610430","+,5,X","","","0","5,,X,30,+","","","",""
"GMW00034193","1961-05","48.425158","10.931764","461.8","MULHAUSEN, GM","0","5,","","","","","19610531","+,5,X","","","0","5,,X,31,+","","","",""
"GMW00034193","1961-06","48.425158","10.931764","461.8","MULHAUSEN, GM","0","4,","","","","","19610630","+,4,X","","","0","4,,X,30,+","","","",""
"GMW00034193","1961-08","48.425158","10.931764","461.8","MULHAUSEN, GM","0","4,","","","","","19610831","+,4,X","","","0","4,,X,31,+","","","",""
"GMW00034193","1961-09","48.425158","10.931764","461.8","MULHAUSEN, GM","0","5,","","","","","19610930","+,5,X","","","0","5,,X,30,+","","","",""
"GMW00034193","1961-10","48.425158","10.931764","461.8","MULHAUSEN, GM","0","5,","","","","","19611031","+,5,X","","","0","5,,X,31,+","","","",""
"GMW00034193","1962-01","48.425158","10.931764","461.8","MULHAUSEN, GM","11","5,X","","","1","","19620104","+,5,X","","","406","5,,X,04,+","","","",""
"GMW00034193","1962-02","48.425158","10.931764","461.8","MULHAUSEN, GM","9","4,X","","","3","","19620216","+,4,X","","","152","4,,X,16,+","","","",""
"GMW00034193","1962-03","48.425158","10.931764","461.8","MULHAUSEN, GM","7","3,","","","","","19620315","+,3,X","","","51","3,,X,15,+","","","",""
"GMW00034193","1962-04","48.425158","10.931764","461.8","MULHAUSEN, GM","0",",","","","","","19620430","+,,X","","","0",",,X,30,+","","","",""
"GMW00034193","1962-05","48.425158","10.931764","461.8","MULHAUSEN, GM","0","1,","","","","","19620531","+,1,X","","","0","1,,X,31,+","","","",""
"GMW00034193","1962-06","48.425158","10.931764","461.8","MULHAUSEN, GM","0",",","","","","","19620630","+,,X","","","0",",,X,30,+","","","",""
"GMW00034193","1962-07","48.425158","10.931764","461.8","MULHAUSEN, GM","0","5,","","","","","19620731","+,5,X","","","0","5,,X,31,+","","","",""
"GMW00034193","1962-08","48.425158","10.931764","461.8","MULHAUSEN, GM","0","1,","","","","","19620831","+,1,X","","","0","1,,X,31,+","","","",""
"GMW00034193","1962-09","48.425158","10.931764","461.8","MULHAUSEN, GM","0","1,","","","","","19620930","+,1,X","","","0","1,,X,30,+","","","",""
"GMW00034193","1962-10","48.425158","10.931764","461.8","MULHAUSEN, GM","0",",","","","","","19621031","+,,X","","","0",",,X,31,+","","","",""
"GMW00034193","1962-11","48.425158","10.931764","461.8","MULHAUSEN, GM","8","2,","","","","","19621126","+,2,X","","","76","2,,X,26,+","","","",""
"GMW00034193","1962-12","48.425158","10.931764","461.8","MULHAUSEN, GM","23","2,","","","","","19621228","+,2,X","","","203","2,,X,28,+","","","",""
"GMW00034193","1963-01","48.425158","10.931764","461.8","MULHAUSEN, GM","30","1,","","","","","19630131","+,1,X","","","330","1,,X,31,+","","","",""
"GMW00034193","1963-02","48.425158","10.931764","461.8","MULHAUSEN, GM","27","1,","","","","","19630228","+,1,X","","","356","1,,X,28,+","","","",""
"GMW00034193","1963-03","48.425158","10.931764","461.8","MULHAUSEN, GM","12",",","","","","","19630301",",,X","","","356",",,X,01,","","","",""
"GMW00034193","1963-04","48.425158","10.931764","461.8","MULHAUSEN, GM","2","1,","","","","","19630401",",1,X","","","51","1,,X,01,","","","",""
"GMW00034193","1963-05","48.425158","10.931764","461.8","MULHAUSEN, GM","0","1,","","","","","19630531","+,1,X","","","0","1,,X,31,+","","","",""
"GMW00034193","1963-06","48.425158","10.931764","461.8","MULHAUSEN, GM","0",",","","","","","19630630","+,,X","","","0",",,X,30,+","","","",""
"GMW00034193","1963-07","48.425158","10.931764","461.8","MULHAUSEN, GM","0","1,","","","","","19630731","+,1,X","","","0","1,,X,31,+","","","",""
"GMW00034193","1963-08","48.425158","10.931764","461.8","MULHAUSEN, GM","0",",","","","","","19630831","+,,X","","","0",",,X,31,+","","","",""
