"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GHM00065439","2009-05","7.362","-2.329","309.1","SUNYANI, GH","","","0","4,S","0","4,S","","","","","","","20090508",",4,S","","","20.2","4,S,08,","","","","","","","","","","","21.80","4,,,S"
"GHM00065439","2019-08","7.362","-2.329","309.1","SUNYANI, GH","","","0","5,S","0","5,S","","","","","","","20190804",",5,S","","","21.5","5,S,04,","","","","","","","","","","","22.26","5,,,S"
"GHM00065439","2019-12","7.362","-2.329","309.1","SUNYANI, GH","","","0","5,S","0","5,S","","","","","","","20191231",",5,S","","","19.8","5,S,31,","","","","","","","","","","","22.39","5,,,S"
"GHM00065439","2020-01","7.362","-2.329","309.1","SUNYANI, GH","","","0","3,S","0","3,S","","","","","","","20200104",",3,S","","","16.1","3,S,04,","","","","","","","","","","","20.64","3,,,S"
"GHM00065439","2020-06","7.362","-2.329","309.1","SUNYANI, GH","","","","","","","0","3,S","27","3,S","0","3,S","","","20200608","+,3,S","","","32.0","3,S,08,+","","","","","","","30.11","3,,,S","",""
"GHM00065439","2020-07","7.362","-2.329","309.1","SUNYANI, GH","176.9","4,S","0","2,S","0","2,S","0","2,S","29","2,S","0","2,S","20200717",",2,S","20200722","+,2,S","19.6","2,S,17,","30.8","2,S,22,+","0.0","S","0.0","2,S","24.91","4,S","28.31","2,,,S","21.52","2,,,S"
"GHM00065439","2020-08","7.362","-2.329","309.1","SUNYANI, GH","","","0","2,S","0","2,S","","","","","","","20200807",",2,S","","","16.5","2,S,07,","","","","","","","","","","","19.53","2,,,S"
"GHM00065439","2020-10","7.362","-2.329","309.1","SUNYANI, GH","","","0","4,S","0","4,S","","","","","","","20201014",",4,S","","","19.0","4,S,14,","","","","","","","","","","","20.68","4,,,S"
"GHM00065439","2020-11","7.362","-2.329","309.1","SUNYANI, GH","","","0","4,S","0","4,S","0","3,S","27","3,S","21","3,S","20201114",",4,S","20201114",",3,S","20.5","4,S,14,","34.8","3,S,14,","","","","","27.55","7,S","33.00","3,,,S","22.09","4,,,S"
"GHM00065439","2020-12","7.362","-2.329","309.1","SUNYANI, GH","","","0","3,S","0","3,S","0","4,S","27","4,S","15","4,S","20201230","+,3,S","20201230",",4,S","19.0","3,S,30,+","35.0","4,S,30,","","","","","27.34","6,S","32.56","4,,,S","22.13","3,,,S"
"GHM00065439","2021-01","7.362","-2.329","309.1","SUNYANI, GH","","","0","4,S","0","4,S","0","5,S","26","5,S","23","5,S","20210125",",4,S","20210130",",5,S","18.7","4,S,25,","35.1","5,S,30,","","","","","27.82","8,S","33.53","5,,,S","22.10","4,,,S"
"GHM00065439","2021-05","7.362","-2.329","309.1","SUNYANI, GH","","","","","","","0","5,S","26","5,S","22","5,S","","","20210512",",5,S","","","35.0","5,S,12,","","","","","","","33.08","5,,,S","",""
"GHM00065439","2022-03","7.362","-2.329","309.1","SUNYANI, GH","","","0","4,S","0","4,S","","","","","","","20220320",",4,S","","","20.3","4,S,20,","","","","","","","","","","","22.57","4,,,S"
"GHM00065439","2022-06","7.362","-2.329","309.1","SUNYANI, GH","","","0","5,S","0","5,S","","","","","","","20220630",",5,S","","","19.4","5,S,30,","","","","","","","","","","","21.52","5,,,S"
"GHM00065439","2022-11","7.362","-2.329","309.1","SUNYANI, GH","","","0","3,S","0","3,S","","","","","","","20221113",",3,S","","","18.8","3,S,13,","","","","","","","","","","","21.06","3,,,S"
"GHM00065439","2023-04","7.362","-2.329","309.1","SUNYANI, GH","","","0","4,S","0","4,S","0","3,S","27","3,S","21","3,S","20230404",",4,S","20230414",",3,S","18.5","4,S,04,","35.5","3,S,14,","","","","","26.73","6,S","32.88","3,,,S","20.57","4,,,S"
"GHM00065439","2023-05","7.362","-2.329","309.1","SUNYANI, GH","223.1","5,S","0","2,S","0","2,S","0","4,S","27","4,S","18","4,S","20230524","+,2,S","20230512",",4,S","19.5","2,S,24,+","34.4","4,S,12,","","","0.0","4,S","26.93","5,S","32.64","4,,,S","21.21","2,,,S"
"GHM00065439","2023-06","7.362","-2.329","309.1","SUNYANI, GH","","","0","5,S","0","5,S","","","","","","","20230629",",5,S","","","16.6","5,S,29,","","","","","","","","","","","20.35","5,,,S"
"GHM00065439","2023-07","7.362","-2.329","309.1","SUNYANI, GH","192.3","4,S","0","2,S","0","2,S","0","2,S","29","2,S","1","2,S","20230713",",2,S","20230718",",2,S","19.0","2,S,13,","33.5","2,S,18,","0.0","S","0.0","2,S","25.38","4,S","29.95","2,,,S","20.81","2,,,S"
"GHM00065439","2023-08","7.362","-2.329","309.1","SUNYANI, GH","","","0","3,S","0","3,S","0","4,S","27","4,S","0","4,S","20230821",",3,S","20230819",",4,S","19.0","3,S,21,","31.0","4,S,19,","","","","","24.66","6,S","28.49","4,,,S","20.83","3,,,S"
"GHM00065439","2023-09","7.362","-2.329","309.1","SUNYANI, GH","","","0","3,S","0","3,S","","","","","","","20230911",",3,S","","","17.5","3,S,11,","","","","","","","","","","","20.57","3,,,S"
"GHM00065439","2023-10","7.362","-2.329","309.1","SUNYANI, GH","","","0","2,S","0","2,S","","","","","","","20231013","+,2,S","","","18.0","2,S,13,+","","","","","","","","","","","20.69","2,,,S"
"GHM00065439","2023-11","7.362","-2.329","309.1","SUNYANI, GH","219.5","5,S","0","3,S","0","3,S","0","2,S","28","2,S","15","2,S","20231126",",3,S","20231112",",2,S","20.0","3,S,26,","33.8","2,S,12,","","","0.0","2,S","27.10","5,S","32.23","2,,,S","21.98","3,,,S"
"GHM00065439","2023-12","7.362","-2.329","309.1","SUNYANI, GH","","","0","5,S","0","5,S","0","2,S","29","2,S","21","2,S","20231222",",5,S","20231223",",2,S","16.5","5,S,22,","35.5","2,S,23,","","","","","26.33","7,S","33.13","2,,,S","19.53","5,,,S"
"GHM00065439","2024-01","7.362","-2.329","309.1","SUNYANI, GH","","","0","3,S","0","3,S","0","5,S","26","5,S","26","5,S","20240101",",3,S","20240122",",5,S","17.8","3,S,01,","37.5","5,S,22,","","","","","28.24","7,S","34.97","5,,,S","21.51","3,,,S"
"GHM00065439","2024-02","7.362","-2.329","309.1","SUNYANI, GH","","","0","5,S","0","5,S","0","2,S","27","2,S","27","2,S","20240209",",5,S","20240214",",2,S","20.6","5,S,09,","39.3","2,S,14,","","","","","30.06","7,S","37.07","2,,,S","23.06","5,,,S"
"GHM00065439","2024-04","7.362","-2.329","309.1","SUNYANI, GH","","","","","","","0","3,S","27","3,S","24","3,S","","","20240410","+,3,S","","","35.5","3,S,10,+","","","","","","","33.86","3,,,S","",""
"GHM00065439","2024-06","7.362","-2.329","309.1","SUNYANI, GH","","","0","2,S","0","2,S","","","","","","","20240615",",2,S","","","19.3","2,S,15,","","","","","","","","","","","22.05","2,,,S"
