"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00115772","1995-04","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","0.0",",0","13",",0","9",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","3",",0","0",",0","1","","19950404",",,0","19950412",",,0","19950412",",,0","6","","19950411",",,0","19950416",",,0","-7.8",",0,04,","0",",T,0,12,","0",",T,0,12,","24.9",",,0,11,","23.9",",0,16,","","","  10.0",",,,0,3,2","  10.0",",,,0,5,2","305.1",",0","  17.2",",,,0,3,2","  12.2",",,,0,5,2","   2.8",",,,0,3,2","   4.4",",,,0,5,2","   5.0",",,,0,3,2","   5.6",",,,0,5,2","   6.2",",,,0,3,2","   7.3",",,,0,5,2","  12.0",",,,0,3,2","   9.2",",,,0,5,2","136.1",",,,0","0",",T,,0","8.16",",0","14.37",",,,0","1.96",",,,0"
"USC00115772","1995-05","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","3.9",",0","17",",0","12",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","3","","19950502",",,0","19950531","+,,0","19950531","+,,0","12","","19950508",",,0","19950517",",,0","3.9",",0,02,","0",",,0,31,+","0",",,0,31,+","39.1",",,0,08,","27.2",",0,17,","","","  15.6",",,,0,3,2","  15.6",",,,0,5,2","121.9",",0","  26.1",",,,0,3,2","  21.1",",,,0,5,2","   8.3",",,,0,3,2","   9.4",",,,0,5,2","  11.7",",,,0,3,2","  10.6",",,,0,5,2","  12.4",",,,0,3,2","  13.4",",,,0,5,2","  18.0",",,,0,3,2","  15.8",",,,0,5,2","196.1",",,,0","0",",,,0","14.52",",0","19.46",",,,0","9.59",",,,0"
"USC00115772","1995-06","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","116.4",",0","12",",0","10",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","4",",0","4","","19950613","+,,0","19950630","+,,0","19950630","+,,0","9","","19950603",",,0","19950621",",,0","11.1",",0,13,+","0",",,0,30,+","0",",,0,30,+","36.8",",,0,03,","33.9",",0,21,","","","  24.4",",,,0,3,2","  23.3",",,,0,5,2","8.1",",0","  32.8",",,,0,3,2","  27.2",",,,0,5,2","  16.1",",,,0,3,2","  17.2",",,,0,5,2","  20.0",",,,0,3,2","  19.4",",,,0,5,2","  20.1",",,,0,3,2","  20.1",",,,0,5,2","  27.0",",,,0,3,2","  23.0",",,,0,5,2","137.6",",,,0","0",",,,0","21.94",",0","27.81",",,,0","16.07",",,,0"
"USC00115772","1995-07","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","162.8",",0","7",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","5",",0","1","","19950702",",,0","19950731","+,,0","19950731","+,,0","7","","19950704",",,0","19950714",",,0","10.0",",0,02,","0",",,0,31,+","0",",,0,31,+","68.6",",,0,04,","36.1",",0,14,","2.3","0","  27.8",",,,0,3,2","  26.7",",,,0,5,2","2.3",",0","  35.0",",,,0,3,2","  30.0",",,,0,5,2","  18.3",",,,0,3,2","  20.0",",,,0,5,2","  24.4",",,,0,3,2","  22.2",",,,0,5,2","  23.1",",,,0,3,2","  23.0",",,,0,5,2","  30.0",",,,0,3,2","  26.5",",,,0,5,2","118.6",",,,0","0",",,,0","23.51",",0","29.50",",,,0","17.53",",,,0"
"USC00115772","1995-08","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","219.7",",0","9",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","13",",0","4","","19950822",",,0","19950831","+,,0","19950831","+,,0","6","","19950801",",,0","19950819",",,0","13.3",",0,22,","0",",,0,31,+","0",",,0,31,+","30.5",",,0,01,","33.9",",0,19,","2.3","0","  28.9",",,,0,3,2","  26.7",",,,0,5,2","0.0",",0","  35.6",",,,0,3,2","  30.6",",,,0,5,2","  22.8",",,,0,3,2","  23.3",",,,0,5,2","  25.6",",,,0,3,2","  25.6",",,,0,5,2","  24.9",",,,0,3,2","  25.0",",,,0,5,2","  31.8",",,,0,3,2","  27.7",",,,0,5,2","95.4",",,,0","0",",,,0","25.42",",0","30.88",",,,0","19.96",",,,0"
"USC00115772","1995-09","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","31.9",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","22",",0","0",",0","1","","19950923",",,0","19950930","+,,0","19950930","+,,0","","","19950907",",,0","19950906",",,0","-1.7",",0,23,","0",",,0,30,+","0",",,0,30,+","17.8",",,0,07,","30.6",",0,06,","94.7","0","  23.9",",,,0,3,2","  23.9",",,,0,5,2","92.4",",0","  32.2",",,,0,3,2","  26.7",",,,0,5,2","   7.8",",,,0,3,2","  11.1",",,,0,5,2","  13.3",",,,0,3,2","  13.9",",,,0,5,2","  16.5",",,,0,3,2","  17.2",",,,0,5,2","  23.0",",,,0,3,2","  20.0",",,,0,5,2","51.3",",,,0","0",",,,0","16.32",",0","22.78",",,,0","9.85",",,,0"
"USC00115772","1995-10","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","6.4",",0","11",",0","6",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","14",",0","0",",0","2","","19951029","+,,0","19951031","+,,0","19951031","+,,0","1","","19951001",",,0","19951013","+,,0","-1.1",",0,29,+","0",",,0,31,+","0",",,0,31,+","20.3",",,0,01,","28.3",",0,13,+","293.7","0","  16.1",",,,0,3,2","  16.7",",,,0,5,2","199.0",",0","  21.7",",,,0,3,2","  18.3",",,,0,5,2","   5.6",",,,0,3,2","   7.8",",,,0,5,2","   7.8",",,,0,3,2","   8.9",",,,0,5,2","  10.3",",,,0,3,2","  11.8",",,,0,5,2","  16.1",",,,0,3,2","  14.0",",,,0,5,2","68.4",",,,0","0",",,,0","12.12",",0","19.05",",,,0","5.19",",,,0"
"USC00115772","1995-11","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","0.0",",0","5",",0","4",",0","1",",0","0",",0","0",",0","0",",0","27",",0","3",",0","0",",0","0",",0","","","19951129","+,,0","19951130","+,,0","19951111",",,0","1","","19951111",",,0","19951127",",,0","-12.2",",0,29,+","0",",T,0,30,+","15",",,0,11,","33.3",",,0,11,","17.2",",0,27,","834.0","0","   9.4",",,,0,3,2","   9.4",",,,0,5,2","540.3",",0","  12.8",",,,0,3,2","  11.7",",,,0,5,2","   0.0",",,,0,3,2","   1.7",",,,0,5,2","   1.1",",,,0,3,2","   1.7",",,,0,5,2","   2.3",",,,0,3,2","   3.7",",,,0,5,2","   4.9",",,,0,3,2","   5.0",",,,0,5,2","70.8",",,,0","28",",,,0","0.32",",0","5.56",",,,0","-4.92",",,,0"
"USC00115772","1995-12","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","0.0",",0","5",",0","1",",0","0",",0","6",",0","2",",0","3",",0","31",",0","14",",0","0",",0","0",",0","","","19951209",",,0","19951231","+,,0","19951231",",,0","","","19951231",",,0","19951203",",,0","-20.6",",0,09,","25",",,0,31,+","33",",,0,31,","2.5",",,0,31,","16.1",",0,03,","1502.6","0","   2.8",",,,0,3,2","   3.9",",,,0,5,2","668.6",",0","   7.8",",,,0,3,2","   5.6",",,,0,5,2","  -2.2",",,,0,3,2","   0.0",",,,0,5,2","  -1.1",",,,0,3,2","   0.0",",,,0,5,2","   0.3",",,,0,3,2","   0.9",",,,0,5,2","   1.3",",,,0,3,2","   1.5",",,,0,5,2","5.2",",,,0","78",",,,0","-3.23",",0","1.58",",,,0","-8.05",",,,0"
"USC00115772","1996-01","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","0.0","0","0.0",",0","9",",0","4",",0","1",",0","16",",0","4",",0","9",",0","31",",0","17",",0","0",",0","0",",0","3","","19960131",",,0","19960131","+,,0","19960127",",,0","","","19960118",",,0","19960118",",,0","-28.3",",0,31,","76",",,0,31,+","56",",,0,27,","33.0",",,0,18,","15.6",",0,18,","2277.4","0","   0.0",",,,0,3,2","   0.0",",,,0,5,2","774.8",",0","   2.8",",,,0,3,2","   0.6",",,,0,5,2","  -2.2",",,,0,3,2","  -5.0",",,,0,5,2","  -1.1",",,,0,3,2","  -2.8",",,,0,5,2","  -0.9",",,,0,3,2","  -0.8",",,,0,5,2","  -0.3",",,,0,3,2","  -0.4",",,,0,5,2","66.9",",,,0","198",",,,0","-6.66",",0","-1.63",",,,0","-11.69",",,,0"
"USC00115772","1996-02","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","0.0","0","0.0",",0","6",",0","2",",0","0",",0","7",",0","0",",0","6",",0","23",",0","11",",0","0",",0","0",",0","5","","19960203",",,0","19960206","+,,0","19960219",",,0","2","","19960227",",,0","19960227",",,0","-31.7",",0,03,","76",",,0,06,+","13",",,0,19,","11.7",",,0,27,","18.9",",0,27,","2912.9","0","   4.4",",,,0,3,2","   0.6",",,,0,5,2","635.5",",0","   8.3","1,,,0,3,2","   2.2",",,,0,5,2","  -3.9",",,,0,3,2","  -9.4",",,,0,5,2","  -3.3","1,,,0,3,2","  -8.3",",,,0,5,2","  -0.9",",,,0,3,2","  -2.3",",,,0,5,2","   0.6","1,,,0,3,2","  -1.4",",,,0,5,2","18.2",",,,0","23",",,,0","-3.58",",0","1.74",",,,0","-8.91",",,,0"
"USC00115772","1996-03","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","0.0","0","0.0","1,0","6",",0","3",",0","0",",0","3",",0","0",",0","3","1,0","23","1,0","9",",0","0",",0","0",",0","1","","19960308",",1,0","19960309","+,,0","19960320","+,,0","1","","19960305",",,0","19960325",",,0","-20.0","1,0,08,","25",",,0,09,+","10",",,0,20,+","13.2",",,0,05,","18.3",",0,25,","3475.2","0","   5.6",",,,0,3,2","   4.4",",,,0,5,2","562.3",",0","   9.4",",,,0,3,2","   5.6",",,,0,5,2","  -3.3",",,,0,3,2","  -1.1",",,,0,5,2","  -1.7",",,,0,3,2","  -0.6",",,,0,5,2","   0.2",",,,0,3,2","   0.2",",,,0,5,2","   2.9",",,,0,3,2","   1.1",",,,0,5,2","23.2",",,,0","25",",,,0","-0.48","1,0","5.04",",,,0","-6.00","1,,,0"
"USC00115772","1996-04","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   9.4",",,,0,3,2","  10.0",",,,0,5,2","","","  15.6",",,,0,3,2","  12.2",",,,0,5,2","   2.8",",,,0,3,2","   3.3",",,,0,5,2","   6.7",",,,0,3,2","   5.0",",,,0,5,2","   5.6",",,,0,3,2","   6.4",",,,0,5,2","  11.7",",,,0,3,2","   8.8",",,,0,5,2","","","","","","","","","",""
"USC00115772","1996-05","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","31.4",",0","19",",0","14",",0","3",",0","0","1,0","0",",0","0",",0","0",",0","0",",0","11",",0","3",",0","6","","19960513",",,0","19960531","+,1,0","19960531","+,,0","12","","19960527",",,0","19960519",",,0","1.7",",0,13,","0","1,,0,31,+","0",",,0,31,+","48.5",",,0,27,","32.8",",0,19,","","","  18.9",",,,0,3,2","  18.9",",,,0,5,2","150.4",",0","  25.0",",,,0,3,2","  21.7",",,,0,5,2","   5.0",",,,0,3,2","   7.2",",,,0,5,2","  11.1",",,,0,3,2","  10.0",",,,0,5,2","  12.3",",,,0,3,2","  13.0",",,,0,5,2","  17.1",",,,0,3,2","  15.1",",,,0,5,2","238.0",",,,0","0",",,,0","14.49",",0","19.54",",,,0","9.45",",,,0"
"USC00115772","1996-06","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","111.6",",0","13",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","6",",0","4","","19960605",",,0","19960630","+,,0","19960630","+,,0","7","","19960603",",,0","19960630",",,0","8.9",",0,05,","0",",,0,30,+","0",",,0,30,+","12.4",",,0,03,","33.9",",0,30,","","","  23.9",",,,0,3,2","  22.2",",,,0,5,2","19.2",",0","  31.7","1,,,0,3,2","  25.6",",,,0,5,2","  12.2",",,,0,3,2","  14.4",",,,0,5,2","  16.7","1,,,0,3,2","  17.2",",,,0,5,2","  18.8",",,,0,3,2","  19.1",",,,0,5,2","  25.4","1,,,0,3,2","  21.9",",,,0,5,2","61.2",",,,0","0",",,,0","21.42",",0","26.77",",,,0","16.06",",,,0"
"USC00115772","1996-07","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","106.7",",0","10",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","3",",0","","","19960710",",,0","19960731","+,,0","19960731","+,,0","2","","19960721",",,0","19960719","+,,0","8.9",",0,10,","0",",,0,31,+","0",",,0,31,+","37.6",",,0,21,","33.3",",0,19,+","2.8","0","  25.6",",,,0,3,2","  23.3",",,,0,5,2","2.8",",0","  32.8",",,,0,3,2","  28.3",",,,0,5,2","  17.2",",,,0,3,2","  18.9",",,,0,5,2","  21.7",",,,0,3,2","  22.2",",,,0,5,2","  21.4",",,,0,3,2","  21.3",",,,0,5,2","  28.7",",,,0,3,2","  25.3",",,,0,5,2","86.6",",,,0","0",",,,0","21.69",",0","27.95",",,,0","15.42",",,,0"
"USC00115772","1996-08","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","111.3",",0","7",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","2",",0","","","19960816",",,0","19960831","+,,0","19960831","+,,0","","","19960823",",,0","19960808",",,0","11.1",",0,16,","0",",,0,31,+","0",",,0,31,+","31.8",",,0,23,","32.8",",0,08,","3.6","0","  25.0",",,,0,3,2","  23.9",",,,0,5,2","0.8",",0","  32.2",",,,0,3,2","  28.3",",,,0,5,2","  18.3",",,,0,3,2","  20.0",",,,0,5,2","  23.9",",,,0,3,2","  22.8",",,,0,5,2","  21.7",",,,0,3,2","  21.7",",,,0,5,2","  28.6",",,,0,3,2","  25.5",",,,0,5,2","58.9",",,,0","0",",,,0","21.90",",0","27.73",",,,0","16.06",",,,0"
"USC00115772","1996-09","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","32.5",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","21",",0","0",",0","3","","19960914",",,0","19960930","+,,0","19960930","+,,0","2","","19960926",",,0","19960905",",,0","2.8",",0,14,","0",",,0,30,+","0",",,0,30,+","16.8",",,0,26,","29.4",",0,05,","80.0","0","  22.2",",,,0,3,2","  21.7",",,,0,5,2","76.4",",0","  28.9",",,,0,3,2","  25.0",",,,0,5,2","  11.7",",,,0,3,2","  12.8",",,,0,5,2","  15.6",",,,0,3,2","  15.6",",,,0,5,2","  17.1",",,,0,3,2","  17.6",",,,0,5,2","  23.1",",,,0,3,2","  20.6",",,,0,5,2","47.0",",,,0","0",",,,0","16.87",",0","23.50",",,,0","10.24",",,,0"
"USC00115772","1996-10","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","3.2",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","13",",0","0",",0","1","","19961031",",,0","19961031","+,,0","19961031","+,,0","2","","19961023",",,0","19961015","+,,0","-5.6",",0,31,","0",",,0,31,+","0",",,0,31,+","17.8",",,0,23,","26.7",",0,15,+","280.6","0","  16.7",",,,0,3,2","  16.1",",,,0,5,2","200.6",",0","  20.6",",,,0,3,2","  17.2","1,,,0,5,2","   5.0",",,,0,3,2","   7.2",",,,0,5,2","  10.0",",,,0,3,2","  10.6","1,,,0,5,2","  11.0",",,,0,3,2","  11.7",",,,0,5,2","  16.2",",,,0,3,2","  14.3","1,,,0,5,2","37.1",",,,0","0",",,,0","11.97",",0","18.75",",,,0","5.18",",,,0"
"USC00115772","1996-11","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","0.0",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","25",",0","9",",0","0",",0","0",",0","1","","19961126",",,0","19961120","+,,0","19961120",",,0","1","","19961130",",,0","19961107",",,0","-12.8",",0,26,","0",",T,0,20,+","3",",,0,20,","11.2",",,0,30,","18.9",",0,07,","838.4","0","   6.7",",,,0,3,2","   8.3",",,,0,5,2","557.8",",0","  12.8",",,,0,3,2","  10.6",",,,0,5,2","   0.0",",,,0,3,2","   0.0",",,,0,5,2","   0.6",",,,0,3,2","   0.6",",,,0,5,2","   2.4",",,,0,3,2","   3.0",",,,0,5,2","   4.5",",,,0,3,2","   4.4",",,,0,5,2","22.9",",,,0","3",",,,0","-0.26",",0","4.27",",,,0","-4.80",",,,0"
"USC00115772","1996-12","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","0.0",",0","8",",0","3",",0","0",",0","7",",0","2",",0","4",",0","29",",0","13",",0","0",",0","0",",0","6","","19961220",",,0","19961206","+,,0","19961201",",,0","","","19961201",",,0","19961211",",,0","-21.1",",0,20,","51",",,0,06,+","51",",,0,01,","4.3",",,0,01,","10.6",",0,11,","1535.3","0","   2.8",",,,0,3,2","   2.8",",,,0,5,2","696.9",",0","   5.0",",,,0,3,2","   3.9",",,,0,5,2","  -3.3",",,,0,3,2","  -2.8",",,,0,5,2","  -1.7",",,,0,3,2","  -2.2",",,,0,5,2","   0.1",",,,0,3,2","   0.3",",,,0,5,2","   1.2",",,,0,3,2","   1.1",",,,0,5,2","15.7",",,,0","79",",,,0","-4.15",",0","0.09",",,,0","-8.38",",,,0"
"USC00115772","1997-01","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","0.0","0","0.0",",0","12",",0","6",",0","0",",0","21",",0","6",",0","13",",0","29",",0","21",",0","0",",0","0",",0","2","","19970128","+,,0","19970119","+,,0","19970109",",,0","","","19970125",",,0","19970105",",,0","-25.0",",0,28,+","203",",,0,19,+","81",",,0,09,","10.2",",,0,25,","17.2",",0,05,","2367.8","0","   1.1",",,,0,3,2","   0.0",",,,0,5,2","832.5",",0","   5.6",",,,0,3,2","   0.0",",,,0,5,2","  -4.4",",,,0,3,2","  -5.6",",,,0,5,2","  -3.9",",,,0,3,2","  -5.0",",,,0,5,2","  -1.9",",,,0,3,2","  -2.2",",,,0,5,2","  -0.9",",,,0,3,2","  -1.5",",,,0,5,2","35.3",",,,0","293",",,,0","-8.52",",0","-2.96",",,,0","-14.08",",,,0"
"USC00115772","1997-02","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","0.0","0","0.0",",0","7",",0","5",",0","1",",0","5",",0","1",",0","0",",0","26",",0","12",",0","0",",0","0",",0","","","19970215","+,,0","19970228","+,,0","19970216",",,0","","","19970221",",,0","19970219",",,0","-12.2",",0,15,+","25",",,0,28,+","28",",,0,16,","64.0",",,0,21,","12.8",",0,19,","2925.2","0","   0.6",",,,0,3,2","   0.0",",,,0,5,2","557.4",",0","   2.2",",,,0,3,2","   0.0",",,,0,5,2","  -1.7",",,,0,3,2","  -3.3",",,,0,5,2","  -0.6",",,,0,3,2","  -1.7",",,,0,5,2","  -0.3",",,,0,3,2","  -1.1",",,,0,5,2","  -0.1",",,,0,3,2","  -0.6",",,,0,5,2","104.0",",,,0","62",",,,0","-1.58",",0","1.79",",,,0","-4.94",",,,0"
"USC00115772","1997-03","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","0.0","0","0.0",",0","11",",0","6",",0","0",",0","0",",0","0",",0","0",",0","19",",0","2",",0","2",",0","0",",0","","","19970315",",,0","19970331","+,,0","19970315",",,0","","","19970325",",,0","19970328","+,,0","-12.2",",0,15,","0",",,0,31,+","0",",T,0,15,","16.3",",,0,25,","22.8",",0,28,+","3352.9","0","   7.8",",,,0,3,2","   7.8",",,,0,5,2","427.7",",0","  13.3",",,,0,3,2","  10.0",",,,0,5,2","   0.0",",,,0,3,2","   0.0",",,,0,5,2","   1.1",",,,0,3,2","   1.1",",,,0,5,2","   2.8",",,,0,3,2","   2.9",",,,0,5,2","   7.0",",,,0,3,2","   4.9",",,,0,5,2","44.6",",,,0","0",",T,,0","4.54",",0","10.27",",,,0","-1.19",",,,0"
"USC00115772","1997-04","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","0.0","0","0.0",",0","7",",0","4",",0","0",",0","4",",0","1",",0","0",",0","11",",0","0",",0","2",",0","0",",0","1","","19970409",",,0","19970412","+,,0","19970411",",,0","","","19970411",",,0","19970430",",,0","-8.9",",0,09,","254",",,0,12,+","254",",,0,11,","23.4",",,0,11,","24.4",",0,30,","3677.7","0","  11.7",",,,0,3,2","  11.1",",,,0,5,2","324.8",",0","  19.4",",,,0,3,2","  13.3",",,,0,5,2","   0.0",",,,0,3,2","   2.8",",,,0,5,2","   1.7",",,,0,3,2","   3.9",",,,0,5,2","   5.9",",,,0,3,2","   6.6",",,,0,5,2","  11.5",",,,0,3,2","   9.2",",,,0,5,2","51.7",",,,0","262",",,,0","7.51",",0","13.43",",,,0","1.58",",,,0"
"USC00115772","1997-05","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","7.5","0","7.5",",0","14",",0","8",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","10",",0","0",",0","1","","19970516",",,0","19970531","+,,0","19970531","+,,0","","","19970508",",,0","19970519",",,0","0.0",",0,16,","0",",,0,31,+","0",",,0,31,+","19.8",",,0,08,","31.7",",0,19,","3844.8","0","  16.7","1,,,0,3,2","  15.0",",,,0,5,2","167.1",",0","  22.8",",,,0,3,2","  17.8",",,,0,5,2","   7.8","1,,,0,3,2","   8.9",",,,0,5,2","  12.8",",,,0,3,2","  11.7",",,,0,5,2","  11.4","1,,,0,3,2","  12.0",",,,0,5,2","  18.0",",,,0,3,2","  14.9",",,,0,5,2","99.1",",,,0","0",",,,0","13.18",",0","19.46",",,,0","6.90",",,,0"
"USC00115772","1997-06","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","101.7","0","94.2",",0","10",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","2",",0","1","","19970605",",,0","19970630","+,,0","19970630","+,,0","","","19970606",",,0","19970625","+,,0","8.3",",0,05,","0",",,0,30,+","0",",,0,30,+","28.4",",,0,06,","32.2",",0,25,+","3856.4","0","  24.4",",,,0,3,2","  23.9",",,,0,5,2","11.6",",0","  35.0",",,,0,3,2","  31.7",",,,0,5,2","  14.4",",,,0,3,2","  14.4",",,,0,5,2","  18.9",",,,0,3,2","  17.2",",,,0,5,2","  18.8",",,,0,3,2","  19.1",",,,0,5,2","  26.0",",,,0,3,2","  22.9",",,,0,5,2","91.8",",,,0","0",",,,0","21.09",",0","27.04",",,,0","15.13",",,,0"
"USC00115772","1997-07","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","244.1","0","142.4",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","10",",0","1","","19970706","+,,0","19970731","+,,0","19970731","+,,0","","","19970721",",,0","19970727","+,,0","7.8",",0,06,+","0",",,0,31,+","0",",,0,31,+","20.8",",,0,21,","35.0",",0,27,+","10.8","0","  26.7",",,,0,3,2","  26.1",",,,0,5,2","10.8",",0","  35.6",",,,0,3,2","  30.6",",,,0,5,2","  17.8",",,,0,3,2","  18.3",",,,0,5,2","  23.3",",,,0,3,2","  21.1",",,,0,5,2","  22.5",",,,0,3,2","  22.5",",,,0,5,2","  30.8",",,,0,3,2","  26.4",",,,0,5,2","37.2",",,,0","0",",,,0","22.58",",0","29.25",",,,0","15.90",",,,0"
"USC00115772","1997-08","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","338.8","0","94.7",",0","15",",0","11",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","3",",0","3","","19970806",",,0","19970831","+,,0","19970831","+,,0","","","19970817",",,0","19970803",",,0","8.3",",0,06,","0",",,0,31,+","0",",,0,31,+","61.2",",,0,17,","33.9",",0,03,","17.8","0","  24.4",",,,0,3,2","  23.9",",,,0,5,2","7.0",",0","  33.3",",,,0,3,2","  27.8",",,,0,5,2","  18.3",",,,0,3,2","  20.0",",,,0,5,2","  21.1",",,,0,3,2","  22.2",",,,0,5,2","  21.1",",,,0,3,2","  21.8",",,,0,5,2","  26.6",",,,0,3,2","  24.5",",,,0,5,2","242.0",",,,0","0",",,,0","21.16",",0","26.75",",,,0","15.57",",,,0"
"USC00115772","1997-09","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","390.1","0","51.3",",0","6",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","1",",0","3","","19970924",",,0","19970930","+,,0","19970930","+,,0","","","19970903",",,0","19970917",",,0","5.0",",0,24,","0",",,0,30,+","0",",,0,30,+","29.5",",,0,03,","32.2",",0,17,","57.0","0","  22.2",",,,0,3,2","  22.2",",,,0,5,2","39.2",",0","  27.2",",,,0,3,2","  25.6",",,,0,5,2","  15.6",",,,0,3,2","  16.1",",,,0,5,2","  17.8",",,,0,3,2","  17.8",",,,0,5,2","  18.6",",,,0,3,2","  19.2",",,,0,5,2","  22.1",",,,0,3,2","  21.3",",,,0,5,2","70.4",",,,0","0",",,,0","18.74",",0","25.11",",,,0","12.36",",,,0"
