"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"NIM00065101","2010-07","8.44","4.494","343.2","ILORIN, NI","0","5,S","26","5,S","1","5,S","20100709",",5,S","32.8","5,S,09,","29.33","5,,,S"
"NIM00065101","2022-12","8.44","4.494","343.2","ILORIN, NI","0","3,S","28","3,S","26","3,S","20221205",",3,S","36.6","3,S,05,","34.30","3,,,S"
