"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00150397","1950-09","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","","","19500930","+,,0","19500930","+,,0","1","","","","","","","","0",",,0,30,+","0",",,0,30,+","","","","","","","","","","","","","","","","","","","","","","","0",",,,0","","","","","",""
"USC00150397","1950-10","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","","","17.0",",0","4",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","0",",0","1","","19501026",",,0","19501031","+,,0","19501031","+,,0","","","19501008",",,0","19501030","+,,0","0.6",",0,26,","0",",,0,31,+","0",",,0,31,+","15.5",",,0,08,","29.4",",0,30,+","","","","","61.6",",0","","","","","","","","","","","34.5",",,,0","0",",,,0","16.89",",0","24.26",",,,0","9.52",",,,0"
"USC00150397","1950-11","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","","","2.5",",0","12",",0","9",",0","0",",0","0","5,0","1",",0","1",",0","17",",0","3",",0","3",",0","0",",0","1","","19501125",",,0","19501130","+,5,0","19501124",",,0","3","","19501109",",,0","19501101",",,0","-20.6",",0,25,","0","5,,0,30,+","76",",,0,24,","22.6",",,0,09,","28.3",",0,01,","","","","","397.6",",0","","","","","","","","","","","116.5",",,,0","76",",,,0","5.16",",0","11.11",",,,0","-0.78",",,,0"
"USC00150397","1950-12","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","","","0.0",",0","7",",0","6",",0","0",",0","2","4,0","3","1,0","0",",0","26",",0","6",",0","1",",0","0",",0","","","19501227",",,0","19501220",",4,0","19501220",",1,0","1","","19501203",",,0","19501202",",,0","-13.9",",0,27,","76","4,,0,20,","76","1,,0,20,","20.3",",,0,03,","21.1",",0,02,","","","","","565.8",",0","","","","","","","","","","","56.4",",,,0","165","1,,,0","0.08",",0","6.20",",,,0","-6.04",",,,0"
"USC00150397","1951-01","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","0.0","0","0.0",",0","14",",0","14",",0","2",",0","3",",0","3",",0","0",",0","19",",0","3",",0","0",",0","0",",0","1","","19510108",",,0","19510131",",,0","19510131",",,0","","","19510114",",,0","19510120","+,,0","-14.4",",0,08,","76",",,0,31,","51",",,0,31,","58.7",",,0,14,","20.6",",0,20,+","","","","","443.7",",0","","","","","","","","","","","220.5",",,,0","114",",,,0","4.02",",0","9.49",",,,0","-1.45",",,,0"
"USC00150397","1951-02","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","0.0","0","0.0","1,0","9",",0","7",",0","0",",0","12",",0","2",",0","2",",0","14",",0","3","1,0","0","1,0","0","1,0","","","19510202",",,0","19510201",",,0","19510201",",,0","","","19510201",",,0","19510227","+,1,0","-29.4",",0,02,","229",",,0,01,","193",",,0,01,","25.1",",,0,01,","20.0","1,0,27,+","","","","","384.5","1,0","","","","","","","","","","","89.7",",,,0","218",",,,0","3.88","1,0","10.65","1,,,0","-2.89",",,,0"
"USC00150397","1951-03","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","0.0","0","0.0",",0","20",",0","13",",0","1",",0","1",",0","3",",0","0",",0","16",",0","0",",0","5",",0","0",",0","","","19510320",",,0","19510319",",,0","19510313",",,0","2","","19510318",",,0","19510330","+,,0","-6.1",",0,20,","25",",,0,19,","64",",,0,13,","30.0",",,0,18,","23.3",",0,30,+","","","","","331.3",",0","","","","","","","","","","","138.9",",,,0","127",",,,0","7.65",",0","13.88",",,,0","1.42",",,,0"
"USC00150397","1951-04","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","25.0","0","25.0",",0","13",",0","9",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","10",",0","0",",0","","","19510418","+,,0","19510430","+,,0","19510412","+,,0","","","19510413",",,0","19510428",",,0","-1.1",",0,18,+","0",",,0,30,+","0",",T,0,12,+","19.1",",,0,13,","31.7",",0,28,","","","","","201.3",",0","","","","","","","","","","","84.6",",,,0","0",",T,,0","12.45",",0","19.24",",,,0","5.67",",,,0"
"USC00150397","1951-05","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","86.2","0","61.2",",0","9",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","4",",0","","","19510507",",,0","19510531","+,,0","19510510",",,0","","","19510505",",,0","19510520",",,0","3.3",",0,07,","0",",,0,31,+","0",",T,0,10,","11.9",",,0,05,","32.8",",0,20,","","","","","37.3",",0","","","","","","","","","","","51.2",",,,0","0",",T,,0","19.11",",0","27.34",",,,0","10.88",",,,0"
"USC00150397","1951-06","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","242.9","0","156.7",",0","13",",0","9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","10",",0","","","19510606",",,0","19510630","+,,0","19510630","+,,0","9","","19510608",",,0","19510603","+,,0","10.0",",0,06,","0",",,0,30,+","0",",,0,30,+","22.1",",,0,08,","36.1",",0,03,+","","","","","0.0",",0","","","","","","","","","","","88.0",",,,0","0",",,,0","23.56",",0","30.12",",,,0","16.99",",,,0"
"USC00150397","1951-07","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","444.1","0","201.2",",0","9",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","15",",0","","","19510706",",,0","19510731","+,,0","19510731","+,,0","6","","19510724",",,0","19510731","+,,0","9.4",",0,06,","0",",,0,31,+","0",",,0,31,+","30.7",",,0,24,","34.4",",0,31,+","0.0","0","","","0.0",",0","","","","","","","","","","","75.7",",,,0","0",",,,0","24.82",",0","31.69",",,,0","17.95",",,,0"
"USC00150397","1951-08","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","639.6","0","195.5",",0","8",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","","","19510824",",,0","19510831","+,,0","19510831","+,,0","2","","19510809",",,0","19510831","+,,0","8.3",",0,24,","0",",,0,31,+","0",",,0,31,+","33.0",",,0,09,","36.1",",0,31,+","0.0","0","","","0.0",",0","","","","","","","","","","","87.6",",,,0","0",",,,0","24.64",",0","32.26",",,,0","17.02",",,,0"
"USC00150397","1951-09","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","733.1","0","93.5",",0","7",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","5",",0","","","19510929",",,0","19510930","+,,0","19510930","+,,0","2","","19510922",",,0","19510901",",,0","3.3",",0,29,","0",",,0,30,+","0",",,0,30,+","42.9",",,0,22,","35.6",",0,01,","28.6","0","","","28.6",",0","","","","","","","","","","","112.5",",,,0","0",",,,0","20.50",",0","28.41",",,,0","12.58",",,,0"
"USC00150397","1951-10","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","764.8","0","31.7",",0","3",",0","3",",0","1",",0","0",",0","0",",0","0",",0","4",",0","0",",0","22",",0","3",",0","","","19511009",",,0","19511031","+,,0","19511031","+,,0","","","19511024",",,0","19511004",",,0","-2.2",",0,09,","0",",,0,31,+","0",",,0,31,+","49.5",",,0,24,","33.3",",0,04,","140.3","0","","","111.7",",0","","","","","","","","","","","58.9",",,,0","0",",,,0","15.75",",0","24.37",",,,0","7.13",",,,0"
"USC00150397","1951-11","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","764.8","0","0.0",",0","15",",0","13",",0","2",",0","0",",0","0",",0","0",",0","20",",0","1",",0","2",",0","0",",0","","","19511103",",,0","19511130","+,,0","19511102",",,0","1","","19511114",",,0","19511113",",,0","-12.2",",0,03,","0",",,0,30,+","3",",,0,02,","36.3",",,0,14,","25.0",",0,13,","543.1","0","","","402.8",",0","","","","","","","","","","","183.3",",,,0","3",",,,0","4.91",",0","11.30",",,,0","-1.49",",,,0"
"USC00150397","1951-12","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","764.8","0","0.0",",0","10",",0","10",",0","3",",0","2",",0","1",",0","1",",0","19",",0","2",",0","4",",0","0",",0","","","19511216",",,0","19511219","+,,0","19511218",",,0","1","","19511220",",,0","19511206",",,0","-18.9",",0,16,","25",",,0,19,+","38",",,0,18,","40.9",",,0,20,","23.3",",0,06,","979.7","0","","","436.6",",0","","","","","","","","","","","198.5",",,,0","38",",,,0","4.25",",0","10.08",",,,0","-1.58",",,,0"
"USC00150397","1952-01","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","0.6","0","0.6",",0","12",",0","11",",0","1",",0","0",",0","0",",0","0",",0","19",",0","3",",0","2",",0","0",",0","","","19520130",",,0","19520129",",,0","19520129","+,,0","4","","19520102",",,0","19520117","+,,0","-14.4",",0,30,","0",",T,0,29,","0",",T,0,29,+","25.9",",,0,02,","21.7",",0,17,+","1372.4","0","","","392.7",",0","","","","","","","","","","","111.3",",,,0","0",",T,,0","5.68",",0","11.22",",,,0","0.15",",,,0"
"USC00150397","1952-02","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","0.6","0","0.0",",0","7",",0","5",",0","0",",0","0",",0","1",",0","0",",0","21",",0","0",",0","0",",0","0",",0","","","19520225","+,,0","19520217",",,0","19520217",",,0","1","","19520203",",,0","19520210",",,0","-6.1",",0,25,+","0",",T,0,17,","25",",,0,17,","17.3",",,0,03,","19.4",",0,10,","1748.4","0","","","376.0",",0","","","","","","","","","","","49.9",",,,0","25",",,,0","5.37",",0","11.69",",,,0","-0.96",",,,0"
"USC00150397","1952-03","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","2.6","0","2.0",",0","10",",0","10",",0","3",",0","0",",0","0",",0","0",",0","14",",0","0",",0","5",",0","0",",0","","","19520307",",,0","19520331","+,,0","19520302",",,0","4","","19520322",",,0","19520321",",,0","-6.7",",0,07,","0",",,0,31,+","0",",T,0,02,","82.0",",,0,22,","26.7",",0,21,","2060.0","0","","","311.6",",0","","","","","","","","","","","222.0",",,,0","0",",T,,0","8.35",",0","15.00",",,,0","1.69",",,,0"
"USC00150397","1952-04","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","12.1","0","9.5",",0","7",",0","6",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","16",",0","0",",0","","","19520408","+,,0","19520430","+,,0","19520430","+,,0","","","19520413",",,0","19520429","+,,0","-1.1",",0,08,+","0",",,0,30,+","0",",,0,30,+","20.6",",,0,13,","28.9",",0,29,+","2201.8","0","","","141.8",",0","","","","","","","","","","","51.6",",,,0","0",",,,0","13.92",",0","21.47",",,,0","6.38",",,,0"
"USC00150397","1952-05","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","70.6","0","58.5",",0","10",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","2",",0","","","19520514",",,0","19520531","+,,0","19520531","+,,0","6","","19520510",",,0","19520505",",,0","3.3",",0,14,","0",",,0,31,+","0",",,0,31,+","22.6",",,0,10,","33.3",",0,05,","2232.9","0","","","31.1",",0","","","","","","","","","","","60.1",",,,0","0",",,,0","19.22",",0","27.03",",,,0","11.41",",,,0"
"USC00150397","1952-06","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","305.6","0","235.0",",0","8",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","22",",0","","","19520602",",,0","19520630","+,,0","19520630","+,,0","8","","19520623",",,0","19520630","+,,0","10.0",",0,02,","0",",,0,30,+","0",",,0,30,+","18.0",",,0,23,","37.2",",0,30,+","2232.9","0","","","0.0",",0","","","","","","","","","","","57.1",",,,0","0",",,,0","26.17",",0","33.89",",,,0","18.44",",,,0"
"USC00150397","1952-07","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","554.7","0","249.1",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","26",",0","","","19520710",",,0","19520731","+,,0","19520731","+,,0","6","","19520704",",,0","19520727",",,0","11.1",",0,10,","0",",,0,31,+","0",",,0,31,+","23.1",",,0,04,","40.6",",0,27,","0.0","0","","","0.0",",0","","","","","","","","","","","64.8",",,,0","0",",,,0","26.37",",0","34.32",",,,0","18.41",",,,0"
"USC00150397","1952-08","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","756.9","0","202.2",",0","7",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","22",",0","","","19520824",",,0","19520831","+,,0","19520831","+,,0","5","","19520831","+,,0","19520803",",,0","10.6",",0,24,","0",",,0,31,+","0",",,0,31,+","29.2",",,0,31,+","37.2",",0,03,","0.0","0","","","0.0",",0","","","","","","","","","","","99.3",",,,0","0",",,,0","24.86",",0","32.54",",,,0","17.18",",,,0"
"USC00150397","1952-09","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","833.0","0","76.1",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","7",",0","","","19520924","+,,0","19520930","+,,0","19520930","+,,0","1","","19520902",",,0","19520902","+,,0","2.8",",0,24,+","0",",,0,30,+","0",",,0,30,+","25.1",",,0,02,","35.0",",0,02,+","25.9","0","","","25.9",",0","","","","","","","","","","","30.9",",,,0","0",",,,0","20.01",",0","29.00",",,,0","11.01",",,,0"
"USC00150397","1952-10","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","840.0","0","7.0",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","12",",0","0",",0","16",",0","1",",0","2","","19521022",",,0","19521031","+,,0","19521031","+,,0","","","19521010",",,0","19521001",",,0","-7.2",",0,22,","0",",,0,31,+","0",",,0,31,+","19.3",",,0,10,","32.8",",0,01,","243.7","0","","","217.8",",0","","","","","","","","","","","42.2",",,,0","0",",,,0","11.53",",0","21.13",",,,0","1.94",",,,0"
"USC00150397","1952-11","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","840.0","0","0.0","1,0","8",",0","4",",0","1",",0","2",",0","2",",0","0",",0","12",",0","0","1,0","6","1,0","0","1,0","","","19521128",",,0","19521130","+,,0","19521129",",,0","1","","19521119",",,0","19521102",",1,0","-10.0",",0,28,","25",",,0,30,+","28",",,0,29,","26.9",",,0,19,","27.2","1,0,02,","537.1","0","","","293.4","1,0","","","","","","","","","","","60.0",",,,0","53",",,,0","8.32","1,0","15.01","1,,,0","1.63",",,,0"
"USC00150397","1952-12","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","","","","","8","2,0","8","2,0","2","2,0","1",",0","1",",0","0",",0","17",",0","","","","","","","","","19521228",",,0","19521213",",,0","19521213",",,0","1","","19521210",",2,0","","","-10.0",",0,28,","25",",,0,13,","28",",,0,13,","30.2","2,,0,10,","","","","","","","","","","","","","","","","","","","122.4",",a,,0","48",",,,0","","","","","-0.50",",,,0"
"USC00150397","1953-01","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","0.0","0","0.0",",0","17",",0","12",",0","0",",0","2",",0","1","1,0","0",",0","18",",0","0",",0","0",",0","0",",0","2","","19530106",",,0","19530106","+,,0","19530103",",1,0","","","19530117",",,0","19530116","+,,0","-8.3",",0,06,","76",",,0,06,+","66","1,,0,03,","17.3",",,0,17,","19.4",",0,16,+","","","","","398.1",",0","","","","","","","","","","","110.9",",,,0","66","1,,,0","5.49",",0","11.25",",,,0","-0.27",",,,0"
"USC00150397","1953-02","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","0.0","0","0.0",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","0",",0","0",",0","","","19530217",",,0","19530228","+,,0","19530228","+,,0","1","","19530221",",,0","19530221","+,,0","-9.4",",0,17,","0",",,0,28,+","0",",,0,28,+","18.8",",,0,21,","17.2",",0,21,+","","","","","349.3",",0","","","","","","","","","","","44.7",",,,0","0",",,,0","5.86",",0","12.95",",,,0","-1.23",",,,0"
"USC00150397","1953-03","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","0.0","0","0.0",",0","10",",0","10",",0","2",",0","0",",0","0",",0","0",",0","12",",0","0",",0","5",",0","0",",0","","","19530310",",,0","19530302","+,,0","19530326","+,,0","","","19530303",",,0","19530323","+,,0","-6.1",",0,10,","0",",T,0,02,+","0",",T,0,26,+","43.4",",,0,03,","23.3",",0,23,+","","","","","277.5",",0","","","","","","","","","","","166.9",",,,0","0",",T,,0","9.38",",0","16.53",",,,0","2.23",",,,0"
