"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00205811","1948-05","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","7",",0","19480510","+,,0","19480531","+,,0","19480531","+,,0","19480506",",,0","-2.8",",0,10,+","0",",,0,31,+","0",",,0,31,+","13.2",",,0,06,","29.4",",,,0","0",",,,0","3.59",",,,0"
"USC00205811","1948-08","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","9",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","19480831","+,,0","19480831","+,,0","19480817",",,0","","","0",",,0,31,+","0",",,0,31,+","33.0",",,0,17,","70.9",",,,0","0",",,,0","",""
"USC00205811","1948-10","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","10",",0","6",",0","0",",0","0",",0","0",",0","","","","","","","19481031","+,,0","19481031","+,,0","19481010",",,0","","","0",",,0,31,+","0",",,0,31,+","12.7",",,0,10,","43.2",",,,0","0",",,,0","",""
"USC00205811","1949-05","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","11",",0","7",",0","0",",0","0",",0","0",",0","","","","","","","19490531","+,,0","19490531","+,,0","19490519",",,0","","","0",",,0,31,+","0",",,0,31,+","20.8",",,0,19,","77.1",",,,0","0",",,,0","",""
"USC00205811","1949-07","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","9",",0","8",",0","1",",0","0",",0","0",",0","","","","","","","19490731","+,,0","19490731","+,,0","19490729",",,0","","","0",",,0,31,+","0",",,0,31,+","40.1",",,0,29,","121.6",",,,0","0",",,,0","",""
"USC00205811","1949-08","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","9",",0","6",",0","0",",0","0",",0","0",",0","","","","","","","19490831","+,,0","19490831","+,,0","19490801",",,0","","","0",",,0,31,+","0",",,0,31,+","20.8",",,0,01,","55.6",",,,0","0",",,,0","",""
"USC00205811","1949-09","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","13",",0","9",",0","1",",0","0",",0","0",",0","","","","","","","19490930","+,,0","19490930","+,,0","19490905",",,0","","","0",",,0,30,+","0",",,0,30,+","38.1",",,0,05,","128.3",",,,0","0",",,,0","",""
"USC00205811","1949-10","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","","","","","","","0",",0","0",",0","","","","","","","19491031","+,,0","19491031","+,,0","","","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0","",""
"USC00205811","1950-04","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","7",",0","3",",0","0",",0","","","0","3,0","","","","","","","","","19500430","+,3,0","19500426",",,0","","","","","0","3,,0,30,+","11.2",",,0,26,","22.4",",,,0","0","3,,,0","",""
"USC00205811","1950-05","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","10","1,0","6","1,0","0","1,0","","","0",",0","","","","","","","","","19500531","+,,0","19500531",",1,0","","","","","0",",,0,31,+","20.3","1,,0,31,","54.1","1,,,0","0",",,,0","",""
