"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES"
"SWE00139933","1925-11","63.05","16.54","170.0","BISPGARDEN, SW","23",",","19251130","+,,E","190",",,E,30,+"
"SWE00139933","1926-01","63.05","16.54","170.0","BISPGARDEN, SW","31",",","19260126",",,E","580",",,E,26,"
"SWE00139933","1926-02","63.05","16.54","170.0","BISPGARDEN, SW","28",",","19260223",",,E","730",",,E,23,"
"SWE00139933","1926-03","63.05","16.54","170.0","BISPGARDEN, SW","28","3,","19260315","+,3,E","680","3,,E,15,+"
"SWE00139933","1926-04","63.05","16.54","170.0","BISPGARDEN, SW","30",",","19260402","+,,E","590",",,E,02,+"
"SWE00139933","1926-12","63.05","16.54","170.0","BISPGARDEN, SW","31",",","19261225","+,,E","150",",,E,25,+"
"SWE00139933","1927-01","63.05","16.54","170.0","BISPGARDEN, SW","31",",","19270124",",,E","360",",,E,24,"
"SWE00139933","1927-02","63.05","16.54","170.0","BISPGARDEN, SW","28",",","19270227",",,E","450",",,E,27,"
"SWE00139933","1927-03","63.05","16.54","170.0","BISPGARDEN, SW","31",",","19270301",",,E","440",",,E,01,"
"SWE00139933","1928-02","63.05","16.54","170.0","BISPGARDEN, SW","29",",","19280226","+,,E","580",",,E,26,+"
"SWE00139933","1928-03","63.05","16.54","170.0","BISPGARDEN, SW","31",",","19280301",",,E","540",",,E,01,"
"SWE00139933","1928-04","63.05","16.54","170.0","BISPGARDEN, SW","27",",","19280401",",,E","510",",,E,01,"
"SWE00139933","1930-02","63.05","16.54","170.0","BISPGARDEN, SW","28",",","19300209",",,E","220",",,E,09,"
"SWE00139933","1936-01","63.05","16.54","170.0","BISPGARDEN, SW","31",",","19360131",",,E","660",",,E,31,"
"SWE00139933","1936-02","63.05","16.54","170.0","BISPGARDEN, SW","29",",","19360208","+,,E","600",",,E,08,+"
"SWE00139933","1936-03","63.05","16.54","170.0","BISPGARDEN, SW","31",",","19360310","+,,E","630",",,E,10,+"
"SWE00139933","1936-04","63.05","16.54","170.0","BISPGARDEN, SW","28","2,","19360401",",2,E","450","2,,E,01,"
"SWE00139933","1936-12","63.05","16.54","170.0","BISPGARDEN, SW","31",",","19361211","+,,E","290",",,E,11,+"
"SWE00139933","1945-02","63.05","16.54","170.0","BISPGARDEN, SW","28",",","19450221","+,,E","650",",,E,21,+"
"SWE00139933","1945-03","63.05","16.54","170.0","BISPGARDEN, SW","31",",","19450311",",,E","690",",,E,11,"
"SWE00139933","1945-04","63.05","16.54","170.0","BISPGARDEN, SW","18",",","19450401",",,E","440",",,E,01,"
"SWE00139933","1945-05","63.05","16.54","170.0","BISPGARDEN, SW","0",",","19450531","+,,E","0",",,E,31,+"
"SWE00139933","1945-06","63.05","16.54","170.0","BISPGARDEN, SW","0",",","19450630","+,,E","0",",,E,30,+"
"SWE00139933","1945-07","63.05","16.54","170.0","BISPGARDEN, SW","0",",","19450731","+,,E","0",",,E,31,+"
