"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087938","1957-07","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","3,S","22","3,S","","","","","","","19570711",",3,S","","","","","-12.2","3,S,11,","","","","","","","","","-3.39","3,,,S"
"ARM00087938","1957-08","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0",",S","30",",S","","","","","","","19570813","+,,S","","","","","-7.8",",S,13,+","","","","","","","","","-1.97",",,,S"
"ARM00087938","1957-09","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","1,S","18","1,S","","","","","","","19570901",",1,S","","","","","-3.9","1,S,01,","","","","","","","","","0.16","1,,,S"
"ARM00087938","1957-10","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","3,S","15","3,S","","","","","","","19571015",",3,S","","","","","-6.1","3,S,15,","","","","","","","","","0.21","3,,,S"
"ARM00087938","1957-11","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","3,S","3","3,S","","","","","","","19571106","+,3,S","","","","","0.0","3,S,06,+","","","","","","","","","4.28","3,,,S"
"ARM00087938","1957-12","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0",",S","1",",S","","","","","","","19571208",",,S","","","","","0.0",",S,08,","","","","","","","","","3.96",",,,S"
"ARM00087938","1958-01","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","2,S","1","2,S","","","","","","","19580113",",2,S","","","","","0.0","2,S,13,","","","","","","","","","5.08","2,,,S"
"ARM00087938","1958-02","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","2,S","4","2,S","","","","","","","19580221",",2,S","","","","","-3.9","2,S,21,","","","","","","","","","3.27","2,,,S"
"ARM00087938","1958-03","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","3","4,S","","","","","","","19580322",",4,S","","","","","-1.1","4,S,22,","","","","","","","","","4.39","4,,,S"
"ARM00087938","1958-05","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","1,S","15","1,S","","","","","","","19580508",",1,S","","","","","-11.1","1,S,08,","","","","","","","","","-0.63","1,,,S"
"ARM00087938","1958-07","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","23","4,S","","","","","","","19580723","+,4,S","","","","","-7.2","4,S,23,+","","","","","","","","","-2.30","4,,,S"
"ARM00087938","1958-10","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","2,S","6","2,S","","","","","","","19581001",",2,S","","","","","-5.0","2,S,01,","","","","","","","","","3.08","2,,,S"
"ARM00087938","1958-11","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","2,S","4","2,S","","","","","","","19581117","+,2,S","","","","","-1.1","2,S,17,+","","","","","","","","","3.93","2,,,S"
"ARM00087938","1958-12","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","5,S","5","5,S","","","","","","","19581210",",5,S","","","","","-2.8","5,S,10,","","","","","","","","","3.72","5,,,S"
"ARM00087938","1979-12","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","3","5,S","1","5,S","0","5,S","","","","","","","","","","","","","19791216",",5,S","","","","","4.1","5,,S,16,","","","7.1","5,,,S","","","",""
"ARM00087938","1980-02","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","3","5,S","2","5,S","0","5,S","","","","","","","","","","","","","19800212","+,5,S","","","","","4.1","5,,S,12,+","","","9.2","5,,,S","","","",""
"ARM00087938","1980-07","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","4","4,S","2","4,S","0","4,S","","","","","","","","","","","","","19800713","+,4,S","","","","","7.9","4,,S,13,+","","","17.8","4,,,S","","","",""
"ARM00087938","1994-01","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","18","3,S","4","3,S","0","3,S","","","","","","","","","","","","","19940119",",3,S","","","","","20.1","3,,S,19,","","","50.9","3,,,S","","","",""
"ARM00087938","1994-03","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","15","3,S","6","3,S","0","3,S","0","5,S","0","5,S","","","","","","","19940312",",5,S","19940327",",3,S","","","0.6","5,S,12,","14.0","3,,S,27,","","","53.0","3,,,S","","","4.23","5,,,S"
"ARM00087938","1994-12","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","14","4,S","6","4,S","0","4,S","","","","","","","","","","","","","19941201",",4,S","","","","","17.0","4,,S,01,","","","55.9","4,,,S","","","",""
"ARM00087938","1995-02","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","15","4,S","3","4,S","0","4,S","","","","","","","","","","","","","19950204",",4,S","","","","","6.1","4,,S,04,","","","26.8","4,,,S","","","",""
"ARM00087938","1995-09","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","12","5,S","7","5,S","0","5,S","0","4,S","16","4,S","","","","","","","19950905",",4,S","19950909",",5,S","","","-6.0","4,S,05,","21.1","5,,S,09,","","","70.9","5,,,S","","","-1.31","4,,,S"
"ARM00087938","1995-11","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","13","1,S","4","1,S","0","1,S","0","3,S","4","3,S","","","","","","","19951103",",3,S","19951121",",1,S","","","-1.4","3,S,03,","16.0","1,,S,21,","","","41.4","1,,,S","","","3.04","3,,,S"
"ARM00087938","1996-01","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","16","3,S","7","3,S","0","3,S","0","3,S","1","3,S","","","","","","","19960131",",3,S","19960103",",3,S","","","-0.1","3,S,31,","8.9","3,,S,03,","","","41.9","3,,,S","","","3.63","3,,,S"
"ARM00087938","1996-02","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","16","2,S","7","2,S","0","2,S","0","4,S","3","4,S","","","","","","","19960220",",4,S","19960204",",2,S","","","-2.3","4,S,20,","23.9","2,,S,04,","","","65.0","2,,,S","","","3.86","4,,,S"
"ARM00087938","1996-03","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","14","1,S","6","1,S","0","1,S","","","","","","","","","","","","","19960327",",1,S","","","","","16.0","1,,S,27,","","","45.8","1,,,S","","","",""
"ARM00087938","1996-05","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","3,S","9","3,S","","","","","","","19960513",",3,S","","","","","-2.5","3,S,13,","","","","","","","","","1.10","3,,,S"
"ARM00087938","1996-08","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","22","4,S","","","","","","","19960807",",4,S","","","","","-3.5","4,S,07,","","","","","","","","","-1.35","4,,,S"
"ARM00087938","1996-10","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","14","2,S","2","2,S","0","2,S","0","5,S","8","5,S","","","","","","","19961007",",5,S","19961019","+,2,S","","","-2.3","5,S,07,","3.0","2,,S,19,+","","","22.0","2,,,S","","","1.98","5,,,S"
"ARM00087938","1996-11","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","19","1,S","4","1,S","0","1,S","0","5,S","2","5,S","","","","","","","19961111",",5,S","19961114",",1,S","","","-1.2","5,S,11,","7.9","1,,S,14,","","","37.7","1,,,S","","","2.21","5,,,S"
"ARM00087938","1997-01","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","20","1,S","7","1,S","0","1,S","","","","","","","","","","","","","19970130","+,1,S","","","","","7.9","1,,S,30,+","","","52.6","1,,,S","","","",""
"ARM00087938","1997-03","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","10","4,S","3","4,S","0","4,S","","","","","","","","","","","","","19970309",",4,S","","","","","9.9","4,,S,09,","","","27.9","4,,,S","","","",""
"ARM00087938","1997-04","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","12","3,S","9","3,S","0","3,S","","","","","","","","","","","","","19970402",",3,S","","","","","20.1","3,,S,02,","","","76.4","3,,,S","","","",""
"ARM00087938","1997-05","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","6","3,S","3","3,S","0","3,S","0","5,S","8","5,S","","","","","","","19970527",",5,S","19970523",",3,S","","","-2.0","5,S,27,","4.1","3,,S,23,","","","12.1","3,,,S","","","1.35","5,,,S"
"ARM00087938","1997-06","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","18",",S","12",",S","0",",S","","","","","","","","","","","","","19970609",",,S","","","","","14.0",",,S,09,","","","82.0",",,,S","","","",""
"ARM00087938","1997-07","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","14","5,S","3","5,S","0","5,S","","","","","","","","","","","","","19970712",",5,S","","","","","15.0","5,,S,12,","","","33.1","5,,,S","","","",""
"ARM00087938","1997-08","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","11","1,S","8","1,S","0","1,S","","","","","","","","","","","","","19970824","+,1,S","","","","","6.1","1,,S,24,+","","","39.0","1,,,S","","","",""
"ARM00087938","1997-10","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","2","4,S","","","","","","","19971025",",4,S","","","","","-0.9","4,S,25,","","","","","","","","","2.77","4,,,S"
"ARM00087938","1997-12","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","1,S","0","1,S","","","","","","","19971215",",1,S","","","","","1.6","1,S,15,","","","","","","","","","4.98","1,,,S"
"ARM00087938","1998-01","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","0","4,S","","","","","","","19980131",",4,S","","","","","2.8","4,S,31,","","","","","","","","","5.93","4,,,S"
"ARM00087938","1998-02","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","7","5,S","3","5,S","0","5,S","0","3,S","0","3,S","","","","","","","19980201",",3,S","19980201",",5,S","","","2.3","3,S,01,","9.9","5,,S,01,","","","21.6","5,,,S","","","7.00","3,,,S"
"ARM00087938","1998-03","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","5,S","0","5,S","","","","","","","19980306",",5,S","","","","","2.0","5,S,06,","","","","","","","","","6.30","5,,,S"
"ARM00087938","1998-04","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","8","1,S","3","1,S","0","1,S","0","3,S","0","3,S","","","","","","","19980421",",3,S","19980406",",1,S","","","1.2","3,S,21,","4.1","1,,S,06,","","","15.1","1,,,S","","","4.48","3,,,S"
"ARM00087938","1998-07","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","17","4,S","5","4,S","0","4,S","0","3,S","5","3,S","","","","","","","19980721",",3,S","19980728","+,4,S","","","-2.5","3,S,21,","5.1","4,,S,28,+","","","33.1","4,,,S","","","1.20","3,,,S"
"ARM00087938","1998-08","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","15","5,S","9","5,S","0","5,S","","","","","","","","","","","","","19980829",",5,S","","","","","21.1","5,,S,29,","","","67.9","5,,,S","","","",""
"ARM00087938","1998-09","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","11","2,S","7","2,S","0","2,S","0","5,S","10","5,S","","","","","","","19980912",",5,S","19980913",",2,S","","","-4.5","5,S,12,","9.9","2,,S,13,","","","35.2","2,,,S","","","0.50","5,,,S"
"ARM00087938","1998-10","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","11","3,S","2","3,S","0","3,S","0","5,S","2","5,S","","","","","","","19981024",",5,S","19981006",",3,S","","","-0.9","5,S,24,","4.1","3,,S,06,","","","15.2","3,,,S","","","2.88","5,,,S"
"ARM00087938","1998-11","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","13","4,S","4","4,S","0","4,S","","","","","","","","","","","","","19981129",",4,S","","","","","13.0","4,,S,29,","","","36.3","4,,,S","","","",""
"ARM00087938","1998-12","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","7","4,S","3","4,S","0","4,S","0","4,S","0","4,S","","","","","","","19981202",",4,S","19981226",",4,S","","","1.2","4,S,02,","7.9","4,,S,26,","","","20.0","4,,,S","","","5.11","4,,,S"
"ARM00087938","1999-05","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","3,S","5","3,S","","","","","","","19990505",",3,S","","","","","-1.3","3,S,05,","","","","","","","","","2.15","3,,,S"
"ARM00087938","1999-06","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","","","","","0","5,S","0","5,S","0","5,S","","","","","19990607",",5,S","","","","","12.0","5,S,07,","","","5.17","5,,,S","",""
"ARM00087938","1999-09","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","5,S","10","5,S","","","","","","","19990904",",5,S","","","","","-2.5","5,S,04,","","","","","","","","","0.86","5,,,S"
"ARM00087938","1999-10","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","5,S","4","5,S","","","","","","","19991015",",5,S","","","","","-2.0","5,S,15,","","","","","","","","","2.66","5,,,S"
"ARM00087938","2000-01","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","0","4,S","","","","","","","20000109",",4,S","","","","","0.6","4,S,09,","","","","","","","","","5.07","4,,,S"
"ARM00087938","2000-02","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","5,S","0","5,S","","","","","","","20000212",",5,S","","","","","2.6","5,S,12,","","","","","","","","","6.04","5,,,S"
"ARM00087938","2000-08","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","3,S","12","3,S","","","","","","","20000817",",3,S","","","","","-3.2","3,S,17,","","","","","","","","","0.52","3,,,S"
"ARM00087938","2000-09","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","17","4,S","","","","","","","20000910",",4,S","","","","","-6.5","4,S,10,","","","","","","","","","-1.04","4,,,S"
"ARM00087938","2000-10","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","2,S","3","2,S","","","","","","","20001017",",2,S","","","","","-0.4","2,S,17,","","","","","","","","","2.31","2,,,S"
"ARM00087938","2000-11","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","0","4,S","","","","","","","20001124",",4,S","","","","","0.5","4,S,24,","","","","","","","","","3.61","4,,,S"
"ARM00087938","2000-12","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","0","4,S","","","","","","","20001209",",4,S","","","","","1.5","4,S,09,","","","","","","","","","4.59","4,,,S"
"ARM00087938","2001-01","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","3,S","0","3,S","","","","","","","20010110",",3,S","","","","","3.0","3,S,10,","","","","","","","","","5.88","3,,,S"
"ARM00087938","2001-02","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","1,S","0","1,S","","","","","","","20010204","+,1,S","","","","","1.0","1,S,04,+","","","","","","","","","4.63","1,,,S"
"ARM00087938","2001-03","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","1,S","0","1,S","","","","","","","20010331",",1,S","","","","","0.7","1,S,31,","","","","","","","","","4.13","1,,,S"
"ARM00087938","2001-04","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","5,S","6","5,S","","","","","","","20010410",",5,S","","","","","-1.2","5,S,10,","","","","","","","","","2.72","5,,,S"
"ARM00087938","2001-05","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","6","4,S","","","","","","","20010531",",4,S","","","","","-1.7","4,S,31,","","","","","","","","","1.96","4,,,S"
"ARM00087938","2001-06","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","5,S","12","5,S","","","","","","","20010606",",5,S","","","","","-5.5","5,S,06,","","","","","","","","","-0.07","5,,,S"
"ARM00087938","2001-07","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","21","4,S","","","","","","","20010718",",4,S","","","","","-6.5","4,S,18,","","","","","","","","","-1.94","4,,,S"
"ARM00087938","2001-08","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","12","4,S","","","","","","","20010811",",4,S","","","","","-3.1","4,S,11,","","","","","","","","","0.14","4,,,S"
"ARM00087938","2001-09","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","1,S","10","1,S","","","","","","","20010911",",1,S","","","","","-2.6","1,S,11,","","","","","","","","","1.07","1,,,S"
"ARM00087938","2001-11","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","5,S","0","5,S","","","","","","","20011115",",5,S","","","","","0.2","5,S,15,","","","","","","","","","2.99","5,,,S"
"ARM00087938","2001-12","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","0","4,S","","","","","","","20011222",",4,S","","","","","1.0","4,S,22,","","","","","","","","","4.98","4,,,S"
"ARM00087938","2002-01","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","0","4,S","","","","","","","20020102",",4,S","","","","","3.0","4,S,02,","","","","","","","","","6.32","4,,,S"
"ARM00087938","2002-03","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","3","4,S","","","","","","","20020330",",4,S","","","","","-1.2","4,S,30,","","","","","","","","","2.72","4,,,S"
"ARM00087938","2002-05","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","20","4,S","","","","","","","20020531",",4,S","","","","","-4.5","4,S,31,","","","","","","","","","-0.73","4,,,S"
"ARM00087938","2002-08","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","10","4,S","","","","","","","20020824",",4,S","","","","","-2.5","4,S,24,","","","","","","","","","0.59","4,,,S"
"ARM00087938","2002-10","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","5,S","6","5,S","","","","","","","20021024",",5,S","","","","","-2.3","5,S,24,","","","","","","","","","1.70","5,,,S"
"ARM00087938","2002-11","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","11","4,S","6","4,S","0","4,S","0","5,S","3","5,S","","","","","","","20021101",",5,S","20021123",",4,S","","","-3.0","5,S,01,","7.1","4,,S,23,","","","38.6","4,,,S","","","3.29","5,,,S"
"ARM00087938","2002-12","-54.843","-68.296","21.6","USHUAIA MALVINAS ARGENTINAS, AR","","","","","","","0","4,S","0","4,S","","","","","","","20021203",",4,S","","","","","2.6","4,S,03,","","","","","","","","","6.27","4,,,S"
