"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087420","2020-01","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0","1,","0","1,S","20200106",",1,S","13.6","1,S,06,","19.66","1,,,S"
"ARM00087420","2020-02","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0","3,","0","3,S","20200222",",3,S","12.0","3,S,22,","17.11","3,,,S"
"ARM00087420","2020-03","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0","2,","0","2,S","20200315",",2,S","12.0","2,S,15,","17.18","2,,,S"
"ARM00087420","2020-04","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0","1,","0","1,S","20200407",",1,S","7.0","1,S,07,","11.29","1,,,S"
"ARM00087420","2020-05","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0","3,","1","3,S","20200531",",3,S","-0.2","3,S,31,","6.23","3,,,S"
"ARM00087420","2020-06","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0","1,","6","1,S","20200628",",1,S","-3.2","1,S,28,","2.41","1,,,S"
"ARM00087420","2020-07","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0","1,","10","1,S","20200725","+,1,S","-2.6","1,S,25,+","1.41","1,,,S"
"ARM00087420","2020-08","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0","3,","4","3,S","20200820",",3,S","-3.6","3,S,20,","3.12","3,,,S"
"ARM00087420","2020-09","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0","1,","0","1,S","20200902",",1,S","1.6","1,S,02,","7.85","1,,,S"
"ARM00087420","2020-10","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0","2,","0","2,S","20201005",",2,S","1.9","2,S,05,","10.57","2,,,S"
"ARM00087420","2020-11","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0","3,","0","3,S","20201106",",3,S","11.0","3,S,06,","15.32","3,,,S"
"ARM00087420","2020-12","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0",",","0",",S","20201219",",,S","11.4",",S,19,","16.13",",,,S"
"ARM00087420","2021-01","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0","5,","0","5,S","20210117",",5,S","11.8","5,S,17,","16.79","5,,,S"
"ARM00087420","2021-03","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0","4,","0","4,S","20210327",",4,S","7.1","4,S,27,","14.32","4,,,S"
"ARM00087420","2021-04","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0","2,","0","2,S","20210411",",2,S","4.8","2,S,11,","12.04","2,,,S"
"ARM00087420","2021-05","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0","1,","0","1,S","20210505",",1,S","1.8","1,S,05,","6.17","1,,,S"
"ARM00087420","2021-06","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0","3,","6","3,S","20210629","+,3,S","-4.4","3,S,29,+","2.70","3,,,S"
"ARM00087420","2021-07","-32.883","-68.85","827.0","MENDOZA OBSERVATORIO, AR","0",",","8",",S","20210718",",,S","-1.6",",S,18,","2.10",",,,S"
