"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00004839","1996-07","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","39.9",",M","","","","","","","","","0",",M","0",",M","0",",M","29",",M","0",",M","","","","","19960705",",,M","","","","","","","19960716",",,M","6.1",",M,05,","","","","","28.9",",M,16,","22.8","M","22.8",",M","","","18.89",",M","24.47",",,,M","13.30",",,,M","","","","","","","","","",""
"USW00004839","1996-08","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","92.5",",M","","","","","","","","","0",",M","0",",M","0",",M","31",",M","3",",M","","","","","19960829","+,,M","","","","","","","19960807",",,M","10.6",",M,29,+","","","","","34.4",",M,07,","25.8","M","3.0",",M","","","21.22",",M","27.47",",,,M","14.96",",,,M","","","","","","","","","",""
"USW00004839","1996-09","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","31.7",",M","","","","","","","","","0",",M","0",",M","0",",M","16",",M","0",",M","","","","","19960930",",,M","","","","","","","19960905",",,M","1.7",",M,30,","","","","","31.7",",M,05,","118.8","M","93.0",",M","","","16.29",",M","22.13",",,,M","10.45",",,,M","","","","","","","","","",""
"USW00004839","1996-10","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","0.0",",M","","","","","","","","","0",",M","6",",M","0",",M","4",",M","0",",M","","","","","19961011",",,M","","","","","","","19961017",",,M","-3.3",",M,11,","","","","","25.6",",M,17,","368.4","M","249.6",",M","","","10.28",",M","15.75",",,,M","4.82",",,,M","","","","","","","","","",""
"USW00004839","1996-11","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","0.0",",M","","","","","","","","","0",",M","22",",M","7",",M","0",",M","0",",M","","","","","19961114",",,M","","","","","","","19961106",",,M","-12.8",",M,14,","","","","","18.3",",M,06,","893.4","M","525.0",",M","","","0.83",",M","3.73",",,,M","-2.07",",,,M","","","","","","","","","",""
"USW00004839","1996-12","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","0.0","2,M","","","","","","","","","1","2,M","24","2,M","8","2,M","0","2,M","0","2,M","","","","","19961220",",2,M","","","","","","","19961223",",2,M","-18.9","2,M,20,","","","","","8.9","2,M,23,","1469.7","M","576.3","2,M","","","-1.54","2,M","0.98","2,,,M","-4.06","2,,,M","","","","","","","","","",""
"USW00004839","1997-02","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","0.0","2,M","","","","","","","","","1","2,M","25","2,M","13","2,M","0","2,M","0","2,M","","","","","19970213",",2,M","","","","","","","19970218",",2,M","-19.4","2,M,13,","","","","","11.1","2,M,18,","","","533.2","2,M","","","-2.18","2,M","1.32","2,,,M","-5.67","2,,,M","","","","","","","","","",""
"USW00004839","1997-03","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","0.0",",M","","","","","","","","","0",",M","23",",M","4",",M","0",",M","0",",M","","","","","19970316","+,,M","","","","","","","19970327",",,M","-8.3",",M,16,+","","","","","19.4",",M,27,","","","521.3",",M","","","1.52",",M","5.46",",,,M","-2.43",",,,M","","","","","","","","","",""
"USW00004839","1997-04","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","0.0","1,M","","","","","","","","","0","1,M","16","1,M","1","1,M","1","1,M","0","1,M","","","","","19970410",",1,M","","","","","","","19970430",",1,M","-8.9","1,M,10,","","","","","21.1","1,M,30,","","","367.4","1,M","","","5.66","1,M","11.33","1,,,M","0.00","1,,,M","","","","","","","","","",""
"USW00004839","1997-05","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","0.0","1,M","","","","","","","","","0","1,M","3","1,M","0","1,M","2","1,M","0","1,M","","","","","19970504",",1,M","","","","","","","19970524",",1,M","-1.7","1,M,04,","","","","","26.1","1,M,24,","","","260.8","1,M","","","9.64","1,M","15.06","1,,,M","4.23","1,,,M","","","","","","","","","",""
"USW00004839","1997-06","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","53.8","1,M","","","","","","","","","0","1,M","0","1,M","0","1,M","28","1,M","1","1,M","","","","","19970615",",1,M","","","","","","","19970624",",1,M","5.6","1,M,15,","","","","","32.2","1,M,24,","","","17.1","1,M","","","19.60","1,M","25.68","1,,,M","13.51","1,,,M","","","","","","","","","",""
"USW00004839","1997-07","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","82.6","1,M","","","","","","","","","0","1,M","0","1,M","0","1,M","28","1,M","1","1,M","","","","","19970705",",1,M","","","","","","","19970714",",1,M","8.3","1,M,05,","","","","","32.2","1,M,14,","8.4","M","8.4","1,M","","","20.81","1,M","26.55","1,,,M","15.06","1,,,M","","","","","","","","","",""
"USW00004839","1997-08","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","35.5",",M","","","","","","","","","0",",M","0",",M","0",",M","27",",M","0",",M","","","","","19970814",",,M","","","","","","","19970816","+,,M","6.7",",M,14,","","","","","29.4",",M,16,+","38.2","M","29.8",",M","","","18.52",",M","23.72",",,,M","13.32",",,,M","","","","","","","","","",""
"USW00004839","1997-09","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","11.2",",M","","","","","","","","","0",",M","0",",M","0",",M","16",",M","0",",M","","","","","19970924",",,M","","","","","","","19970916",",,M","1.7",",M,24,","","","","","28.3",",M,16,","121.6","M","83.4",",M","","","15.93",",M","21.64",",,,M","10.21",",,,M","","","","","","","","","",""
"USW00004839","1997-10","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","9.8",",M","","","","","","","","","0",",M","6",",M","0",",M","10",",M","0",",M","","","","","19971023",",,M","","","","","","","19971008",",,M","-2.8",",M,23,","","","","","28.3",",M,08,","383.2","M","261.6",",M","","","10.21",",M","15.54",",,,M","4.88",",,,M","","","","","","","","","",""
"USW00004839","1997-11","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","0.0",",M","","","","","","","","","0",",M","20",",M","2",",M","0",",M","0",",M","","","","","19971122",",,M","","","","","","","19971101",",,M","-6.1",",M,22,","","","","","14.4",",M,01,","859.7","M","476.5",",M","","","2.45",",M","5.56",",,,M","-0.66",",,,M","","","","","","","","","",""
"USW00004839","1997-12","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","","","0.0","1,M","","","","","","","","","0","1,M","27","1,M","5","1,M","0","1,M","0","1,M","","","","","19971231",",1,M","","","","","","","19971219",",1,M","-8.9","1,M,31,","","","","","7.8","1,M,19,","1417.2","M","557.5","1,M","","","-0.25","1,M","2.00","1,,,M","-2.51","1,,,M","","","","","","","","","",""
"USW00004839","1998-01","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","0.0","W","0.0",",M","","","","","","","","","0",",M","27",",M","15",",M","0",",M","0",",M","","","","","19980114",",,M","","","","","","","19980105",",,M","-16.1",",M,14,","","","","","12.8",",M,05,","2013.3","W","596.1",",M","","","-0.90",",M","1.47",",,,M","-3.26",",,,M","","","","","","","","","",""
"USW00004839","1998-02","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","0.0","W","0.0",",M","","","","","","","","","0",",M","20",",M","3",",M","0",",M","0",",M","","","","","19980206",",,M","","","","","","","19980226",",,M","-7.8",",M,06,","","","","","13.9",",M,26,","2475.9","W","462.6",",M","","","1.81",",M","5.67",",,,M","-2.05",",,,M","","","","","","","","","",""
"USW00004839","1998-03","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","","","3.9","W","3.9",",M","","","","","","","","","0",",M","22",",M","5",",M","4",",M","0",",M","","","","","19980311",",,M","","","","","","","19980329",",,M","-14.4",",M,11,","","","","","24.4",",M,29,","2966.8","W","490.9",",M","","","2.62",",M","6.32",",,,M","-1.08",",,,M","","","","","","","","","",""
"USW00004839","1998-04","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","4.2","1,W","3.9","W","0.0","2,W","14","1,W","8","1,W","0","1,W","","","0","2,W","4","2,W","0","2,W","2","2,W","0","2,W","","","","","19980411","+,2,W","","","","","19980426",",1,W","19980412",",2,W","-2.2","2,W,11,+","","","20.6","1,,W,26,","21.7","2,W,12,","3233.1","W","266.3","2,W","75.0","1,,,W","8.82","2,W","14.45","2,,,W","3.20","2,,,W","","","110","1,W","110","1,W","13.0","1,W","17.0","1,W"
"USW00004839","1998-05","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","3.7",",W","22.5","W","18.6","3,W","9",",W","3",",W","0",",W","","","0","3,W","0","3,W","0","3,W","20","3,W","0","3,W","","","","","19980526","+,3,W","","","","","19980513",",,W","19980515",",3,W","6.7","3,W,26,+","","","10.9",",,W,13,","31.7","3,W,15,","3301.1","W","68.0","3,W","25.2",",,,W","16.57","3,W","22.92","3,,,W","10.22","3,,,W","","","270",",W","260",",W","21.0",",W","30.0",",W"
"USW00004839","1998-06","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","3.7",",W","98.9","W","76.4",",W","13",",W","4",",W","0",",W","","","0",",W","0",",W","0",",W","22",",W","3",",W","","","","","19980606",",,W","","","","","19980611",",,W","19980624",",,W","3.3",",W,06,","","","14.5",",,W,11,","34.4",",W,24,","3366.3","W","65.2",",W","32.1",",,,W","18.71",",W","24.58",",,,W","12.83",",,,W","","","290",",W","280",",W","17.0",",W","21.0",",W"
"USW00004839","1998-07","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","3.2",",W","196.7","W","97.8","2,W","9",",W","3",",W","0",",W","","","0","2,W","0","2,W","0","2,W","29","2,W","2","2,W","","","","","19980705",",2,W","","","","","19980707",",,W","19980721","+,2,W","8.3","2,W,05,","","","13.2",",,W,07,","32.8","2,W,21,+","0.3","W","0.3","2,W","38.7",",,,W","21.69","2,W","28.07","2,,,W","15.32","2,,,W","","","280",",W","290",",W","14.8",",W","19.2",",W"
"USW00004839","1998-08","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","2.8",",W","299.4","W","102.7","1,W","14",",W","8",",W","0",",W","","","0","1,W","0","1,W","0","1,W","30","1,W","0","1,W","","","","","19980819",",1,W","","","","","19980807",",,W","19980823",",1,W","9.4","1,W,19,","","","21.1",",,W,07,","31.1","1,W,23,","1.1","W","0.8","1,W","82.2",",,,W","21.73","1,W","27.19","1,,,W","16.27","1,,,W","","","240",",W","260",",W","12.5",",W","16.1",",W"
"USW00004839","1998-09","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","3.1",",W","340.1","W","40.7",",W","13",",W","5",",W","0",",W","","","0",",W","0",",W","0",",W","26",",W","1",",W","","","","","19980923",",,W","","","","","19980914",",,W","19980913",",,W","2.8",",W,23,","","","13.2",",,W,14,","32.2",",W,13,","42.6","W","41.5",",W","49.0",",,,W","18.31",",W","24.70",",,,W","11.91",",,,W","","","240",",W","230",",W","13.4",",W","17.4",",W"
"USW00004839","1998-10","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","3.5",",W","341.7","W","1.6","2,W","17",",W","6",",W","1",",W","","","0","2,W","1","2,W","0","2,W","5","2,W","0","2,W","","","","","19981022",",2,W","","","","","19981017",",,W","19981016","+,2,W","-1.1","2,W,22,","","","25.9",",,W,17,","24.4","2,W,16,+","229.6","W","187.0","2,W","69.5",",,,W","11.94","2,W","16.65","2,,,W","7.23","2,,,W","","","240",",W","240",",W","14.3",",W","18.3",",W"
"USW00004839","1998-11","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","5.1",",W","341.7","W","0.0","3,W","12",",W","3",",W","1",",W","","","0","3,W","8","3,W","0","3,W","0","3,W","0","3,W","","","","","19981113",",3,W","","","","","19981110",",,W","19981129",",3,W","-4.4","3,W,13,","","","32.8",",,W,10,","18.3","3,W,29,","556.8","W","327.2","3,W","62.0",",,,W","6.21","3,W","10.31","3,,,W","2.12","3,,,W","","","220",",W","210",",W","24.1",",W","30.0",",W"
"USW00004839","1998-12","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","4.9",",W","341.7","W","0.0",",W","8",",W","2",",W","0",",W","","","0",",W","23",",W","8",",W","0",",W","0",",W","","","","","19981222",",,W","","","","","19981206",",,W","19981203",",,W","-12.8",",W,22,","","","19.3",",,W,06,","17.2",",W,03,","1077.8","W","521.0",",W","28.0",",,,W","1.53",",W","5.29",",,,W","-2.23",",,,W","","","220",",W","220",",W","16.1",",W","18.3",",W"
"USW00004839","1999-01","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","5.4",",W","0.0","W","0.0","1,W","15",",W","7",",W","0",",W","","","2","1,W","27","1,W","16","1,W","0","1,W","0","1,W","","","","","19990114",",1,W","","","","","19990122",",,W","19990123",",1,W","-20.0","1,W,14,","","","17.8",",,W,22,","11.1","1,W,23,","1796.5","W","718.7","1,W","59.2",",,,W","-5.63","1,W","-2.18","1,,,W","-9.07","1,,,W","","","80",",W","80",",W","17.0",",W","20.6",",W"
"USW00004839","1999-02","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","4.9",",W","0.0","W","0.0","1,W","11",",W","6",",W","0",",W","","","0","1,W","20","1,W","6","1,W","1","1,W","0","1,W","","","","","19990222",",1,W","","","","","19990228",",,W","19990211",",1,W","-11.7","1,W,22,","","","8.4",",,W,28,","21.1","1,W,11,","2281.3","W","484.8","1,W","41.0",",,,W","0.38","1,W","4.56","1,,,W","-3.80","1,,,W","","","230",",W","230",",W","21.9",",W","26.8",",W"
"USW00004839","1999-03","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","4.8",",W","0.0","W","0.0","1,W","4",",W","2",",W","0",",W","","","0","1,W","27","1,W","5","1,W","1","1,W","0","1,W","","","","","19990307",",1,W","","","","","19990302",",,W","19990331",",1,W","-15.0","1,W,07,","","","7.1",",,W,02,","21.7","1,W,31,","2819.7","W","538.4","1,W","12.2",",,,W","0.39","1,W","5.70","1,,,W","-4.93","1,,,W","","","240",",W","270",",W","16.1",",W","20.6",",W"
"USW00004839","1999-04","42.74634","-86.09677","206.5","HOLLAND TULIP CITY AIRPORT, MI US","4.4",",W","0.8","W","0.8",",W","14",",W","9",",W","2",",W","","","0",",W","8",",W","0",",W","3",",W","0",",W","","","","","19990420",",,W","","","","","19990423",",,W","19990403",",,W","-2.8",",W,20,","","","43.9",",,W,23,","25.0",",W,03,","3100.3","W","280.6",",W","130.2",",,,W","9.01",",W","14.81",",,,W","3.20",",,,W","","","230",",W","230",",W","17.9",",W","21.0",",W"
